"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","644,759","651,740","654,468","644,329","0.05K","-1.07%"
"2025- 07- 31","651,742","658,999","666,440","650,300","0.05K","-1.10%"
"2025- 07- 30","658,999","659,741","665,903","647,300","0.04K","-0.11%"
"2025- 07- 29","659,741","661,547","667,000","651,800","0.03K","-0.27%"
"2025- 07- 28","661,547","666,892","668,499","658,001","0.02K","-0.80%"
"2025- 07- 27","666,892","658,890","668,499","658,003","0.02K","1.21%"
"2025- 07- 26","658,890","656,077","661,727","654,190","0.01K","0.38%"
"2025- 07- 25","656,409","655,383","656,411","637,260","0.06K","0.21%"
"2025- 07- 24","655,023","657,174","661,405","649,645","0.03K","-0.33%"
"2025- 07- 23","657,174","667,028","667,876","649,000","0.03K","-1.47%"
"2025- 07- 22","666,987","656,060","669,697","649,490","0.03K","1.67%"
"2025- 07- 21","656,062","659,530","670,000","650,662","0.04K","-0.53%"
"2025- 07- 20","659,530","660,108","666,533","653,001","0.02K","-0.09%"
"2025- 07- 19","660,092","660,594","663,729","656,843","0.02K","-0.08%"
"2025- 07- 18","660,594","661,374","668,971","651,617","0.04K","-0.12%"
"2025- 07- 17","661,374","662,201","671,085","656,154","0.03K","-0.12%"
"2025- 07- 16","662,201","656,101","669,000","652,375","0.04K","0.88%"
"2025- 07- 15","656,394","669,348","670,506","643,576","0.06K","-1.94%"
"2025- 07- 14","669,348","662,450","678,499","660,190","0.09K","1.03%"
"2025- 07- 13","662,499","652,188","665,000","651,253","0.02K","1.59%"
"2025- 07- 12","652,108","653,001","659,214","650,000","0.02K","-0.14%"
"2025- 07- 11","653,001","635,334","656,587","630,104","0.10K","2.78%"
"2025- 07- 10","635,334","611,769","645,000","610,001","0.14K","3.79%"
"2025- 07- 09","612,138","595,690","615,000","593,501","0.07K","2.76%"
"2025- 07- 08","595,669","593,073","596,500","589,293","0.02K","0.35%"
"2025- 07- 07","593,607","596,947","599,000","589,434","0.05K","-0.51%"
"2025- 07- 06","596,627","590,786","597,499","587,901","0.01K","0.99%"
"2025- 07- 05","590,786","589,901","591,776","587,892","0.01K","0.18%"
"2025- 07- 04","589,750","595,638","596,521","584,000","0.02K","-0.99%"
"2025- 07- 03","595,622","591,599","599,750","591,174","0.05K","0.62%"
"2025- 07- 02","591,954","578,699","595,792","576,001","0.05K","2.29%"
"2025- 07- 01","578,699","585,312","587,221","575,214","0.10K","-1.13%"
"2025- 06- 30","585,312","597,239","600,000","583,288","0.12K","-1.92%"
"2025- 06- 29","596,783","591,840","597,887","591,452","0.02K","0.82%"
"2025- 06- 28","591,933","590,867","594,049","589,287","0.01K","0.18%"
"2025- 06- 27","590,867","589,785","594,053","584,171","0.02K","0.18%"
"2025- 06- 26","589,785","598,710","602,953","588,437","0.03K","-1.49%"
"2025- 06- 25","598,710","585,655","601,289","584,224","0.03K","2.25%"
"2025- 06- 24","585,548","580,880","586,997","575,554","0.05K","0.80%"
"2025- 06- 23","580,880","561,151","584,700","552,995","0.11K","3.47%"
"2025- 06- 22","561,385","566,580","573,282","546,391","0.05K","-0.92%"
"2025- 06- 21","566,580","573,450","577,887","560,000","0.02K","-1.20%"
"2025- 06- 20","573,450","578,709","587,635","567,137","0.08K","-0.87%"
"2025- 06- 19","578,502","578,436","580,762","574,165","0.01K","0.01%"
"2025- 06- 18","578,436","577,658","583,100","570,237","0.05K","0.13%"
"2025- 06- 17","577,658","588,787","594,188","568,127","0.08K","-1.87%"
"2025- 06- 16","588,661","588,522","600,735","585,126","0.08K","0.13%"
"2025- 06- 15","587,895","587,482","591,127","583,027","0.01K","0.07%"
"2025- 06- 14","587,482","593,371","593,403","582,486","0.01K","-0.99%"
"2025- 06- 13","593,381","588,412","593,710","573,096","0.11K","0.80%"
"2025- 06- 12","588,700","604,506","605,422","588,530","0.08K","-2.61%"
"2025- 06- 11","604,506","614,200","614,283","600,511","0.06K","-1.60%"
"2025- 06- 10","614,366","614,992","616,347","604,376","0.10K","-0.10%"
"2025- 06- 09","614,992","594,705","616,773","591,208","0.11K","3.41%"
"2025- 06- 08","594,705","593,889","599,818","591,138","0.02K","0.14%"
"2025- 06- 07","593,889","586,354","595,842","584,000","0.02K","1.29%"
"2025- 06- 06","586,354","571,151","593,579","568,899","0.07K","2.66%"
"2025- 06- 05","571,151","593,158","596,500","563,004","0.11K","-3.68%"
"2025- 06- 04","593,000","597,393","600,499","588,653","0.08K","-0.74%"
"2025- 06- 03","597,407","602,717","605,761","596,396","0.09K","-0.88%"
"2025- 06- 02","602,716","607,278","608,797","591,500","0.11K","-0.75%"
"2025- 06- 01","607,278","602,849","608,998","599,210","0.01K","0.73%"
"2025- 05- 31","602,849","600,777","606,312","596,000","0.01K","0.38%"
"2025- 05- 30","600,563","602,973","607,660","594,125","0.07K","-0.40%"
"2025- 05- 29","603,000","615,921","621,821","600,251","0.08K","-2.10%"
"2025- 05- 28","615,921","619,337","621,499","610,001","0.08K","-0.55%"
"2025- 05- 27","619,337","624,063","629,688","615,013","0.09K","-0.79%"
"2025- 05- 26","624,299","620,881","628,588","620,000","0.02K","0.55%"
"2025- 05- 25","620,881","613,431","622,155","608,031","0.01K","1.15%"
"2025- 05- 24","613,813","611,295","623,758","609,000","0.02K","0.41%"
"2025- 05- 23","611,295","635,256","636,000","608,900","0.07K","-3.76%"
"2025- 05- 22","635,185","619,726","635,519","616,901","0.08K","2.51%"
"2025- 05- 21","619,643","605,997","624,000","601,571","0.07K","2.25%"
"2025- 05- 20","605,997","597,947","609,000","591,412","0.06K","1.36%"
"2025- 05- 19","597,856","605,102","607,443","582,091","0.06K","-1.15%"
"2025- 05- 18","604,840","588,773","605,479","588,349","0.02K","2.73%"
"2025- 05- 17","588,773","589,651","591,346","584,701","0.02K","-0.15%"
"2025- 05- 16","589,651","591,267","594,842","587,505","0.02K","-0.27%"
"2025- 05- 15","591,267","585,771","592,499","573,001","0.05K","0.94%"
"2025- 05- 14","585,781","585,791","586,000","577,253","0.05K","0.00%"
"2025- 05- 13","585,798","585,095","590,344","580,003","0.07K","0.22%"
"2025- 05- 12","584,534","592,497","600,367","578,160","0.07K","-1.36%"
"2025- 05- 11","592,592","596,542","597,628","588,468","0.04K","-0.66%"
"2025- 05- 10","596,542","585,188","597,409","583,838","0.03K","1.94%"
"2025- 05- 09","585,188","586,711","591,908","579,501","0.08K","-0.31%"
"2025- 05- 08","587,005","558,319","589,467","557,593","0.13K","5.14%"
"2025- 05- 07","558,319","553,887","559,992","549,518","0.04K","0.80%"
"2025- 05- 06","553,887","539,761","553,887","533,718","0.03K","2.62%"
"2025- 05- 05","539,761","537,587","542,000","529,920","0.08K","0.44%"
"2025- 05- 04","537,381","545,586","547,711","537,000","0.01K","-1.50%"
"2025- 05- 03","545,586","550,296","550,838","544,750","0.01K","-0.86%"
"2025- 05- 02","550,296","549,085","554,535","545,683","0.05K","0.22%"
"2025- 05- 01","549,085","536,138","554,738","535,785","0.03K","2.41%"
"2025- 04- 30","536,138","532,788","538,999","528,175","0.04K","0.63%"
"2025- 04- 29","532,788","538,875","541,435","529,975","0.05K","-1.13%"
"2025- 04- 28","538,875","536,981","545,288","531,501","0.08K","0.37%"
"2025- 04- 27","536,899","541,609","545,000","535,651","0.02K","-0.82%"
"2025- 04- 26","541,346","540,556","544,000","537,621","0.02K","0.11%"
"2025- 04- 25","540,775","535,461","545,000","529,473","0.05K","1.00%"
"2025- 04- 24","535,434","537,746","537,937","525,482","0.05K","-0.43%"
"2025- 04- 23","537,746","536,998","541,570","525,993","0.08K","0.18%"
"2025- 04- 22","536,775","510,455","538,097","507,203","0.16K","5.16%"
"2025- 04- 21","510,455","499,651","517,247","498,878","0.03K","2.16%"
"2025- 04- 20","499,685","499,524","501,850","492,501","0.00K","0.03%"
"2025- 04- 19","499,524","494,379","501,800","493,566","0.02K","1.04%"
"2025- 04- 18","494,379","495,000","496,739","492,136","0.02K","-0.13%"
"2025- 04- 17","495,000","494,105","499,915","492,238","0.07K","0.18%"
"2025- 04- 16","494,111","493,947","501,769","490,001","0.04K","0.03%"
"2025- 04- 15","493,947","497,558","575,000","493,140","0.04K","-0.67%"
"2025- 04- 14","497,286","494,670","503,020","491,795","0.08K","0.53%"
"2025- 04- 13","494,670","501,918","505,745","489,169","0.01K","-1.44%"
"2025- 04- 12","501,918","491,428","505,404","487,846","0.02K","2.22%"
"2025- 04- 11","491,001","469,819","494,940","467,100","0.05K","4.28%"
"2025- 04- 10","470,845","482,733","483,973","466,571","0.04K","-2.46%"
"2025- 04- 09","482,733","460,583","487,999","451,112","0.07K","4.81%"
"2025- 04- 08","460,597","470,790","479,990","458,654","0.06K","-2.17%"
"2025- 04- 07","470,790","462,342","476,701","439,505","0.11K","1.84%"
"2025- 04- 06","462,273","490,613","492,000","455,000","0.04K","-5.76%"
"2025- 04- 05","490,508","490,775","493,998","484,633","0.01K","-0.06%"
"2025- 04- 04","490,781","470,941","494,611","463,153","0.05K","4.27%"
"2025- 04- 03","470,677","471,283","478,597","456,437","0.10K","-0.11%"
"2025- 04- 02","471,175","484,900","503,118","470,000","0.05K","-2.83%"
"2025- 04- 01","484,900","472,458","487,499","471,529","0.09K","2.56%"
"2025- 03- 31","472,807","478,041","482,855","470,300","0.10K","-1.17%"
