"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","91,590.6","91,196.4","91,995.5","91,157.3","0.01K","0.43%"
"2025- 08- 01","91,196.4","94,333.4","94,434.1","90,783.2","0.05K","-3.33%"
"2025- 07- 31","94,333.4","95,786.7","96,500.0","94,195.2","0.05K","-1.52%"
"2025- 07- 30","95,786.7","94,909.0","96,000.0","94,217.1","0.03K","0.92%"
"2025- 07- 29","94,909.0","94,845.8","96,352.0","94,106.5","0.04K","0.07%"
"2025- 07- 28","94,845.8","94,923.8","95,400.0","94,352.1","0.03K","-0.08%"
"2025- 07- 27","94,923.8","93,787.5","95,050.7","93,615.8","0.02K","1.21%"
"2025- 07- 26","93,787.5","93,500.0","94,102.0","93,272.5","0.02K","0.35%"
"2025- 07- 25","93,462.2","94,030.5","94,100.9","91,363.7","0.03K","-0.60%"
"2025- 07- 24","94,030.5","93,365.6","94,871.2","92,417.7","0.01K","0.71%"
"2025- 07- 23","93,365.6","94,801.4","94,871.2","92,300.2","0.01K","-1.51%"
"2025- 07- 22","94,801.4","93,726.3","95,328.4","92,833.8","0.03K","1.10%"
"2025- 07- 21","93,768.8","93,960.9","95,829.3","93,265.6","0.02K","-0.17%"
"2025- 07- 20","93,924.2","94,559.5","95,195.5","93,333.0","0.01K","-0.64%"
"2025- 07- 19","94,527.1","94,646.1","95,406.8","94,184.3","0.01K","-0.16%"
"2025- 07- 18","94,677.6","95,480.3","96,845.4","93,800.1","0.04K","-0.84%"
"2025- 07- 17","95,480.2","94,971.8","96,499.9","94,458.4","0.03K","0.50%"
"2025- 07- 16","95,008.5","94,275.7","95,995.0","93,859.3","0.03K","0.83%"
"2025- 07- 15","94,222.6","95,524.6","95,524.6","92,500.3","0.03K","-1.31%"
"2025- 07- 14","95,477.0","94,079.1","97,200.0","93,777.9","0.07K","1.49%"
"2025- 07- 13","94,079.1","92,970.3","94,171.2","92,734.0","0.02K","1.23%"
"2025- 07- 12","92,935.9","93,400.4","93,654.0","92,309.7","0.01K","-0.33%"
"2025- 07- 11","93,240.9","92,117.0","94,641.9","91,603.9","0.07K","1.35%"
"2025- 07- 10","92,002.0","88,291.7","92,723.8","88,020.0","0.04K","4.13%"
"2025- 07- 09","88,355.8","86,683.2","88,900.0","86,329.1","0.03K","1.96%"
"2025- 07- 08","86,654.6","86,351.0","87,098.8","85,700.0","0.02K","0.31%"
"2025- 07- 07","86,383.8","86,815.6","87,079.7","86,001.3","0.01K","-0.53%"
"2025- 07- 06","86,847.8","86,117.3","87,179.8","85,793.6","0.01K","0.92%"
"2025- 07- 05","86,059.1","85,918.2","86,222.1","85,825.2","0.00K","0.12%"
"2025- 07- 04","85,956.0","87,122.2","87,122.2","85,290.0","0.02K","-1.35%"
"2025- 07- 03","87,129.2","86,152.5","87,836.0","85,886.7","0.03K","1.14%"
"2025- 07- 02","86,145.9","83,685.3","86,870.1","83,311.1","0.02K","3.02%"
"2025- 07- 01","83,616.5","85,029.0","85,177.2","83,501.5","0.02K","-1.59%"
"2025- 06- 30","84,971.3","86,605.8","87,005.4","84,932.4","0.02K","-1.89%"
"2025- 06- 29","86,603.9","85,850.3","86,770.0","85,762.8","0.02K","0.88%"
"2025- 06- 28","85,849.7","85,700.3","86,048.7","85,530.3","0.00K","0.20%"
"2025- 06- 27","85,675.0","85,772.7","86,300.0","85,117.1","0.01K","-0.06%"
"2025- 06- 26","85,726.0","86,407.9","86,989.8","85,502.5","0.01K","-0.64%"
"2025- 06- 25","86,278.1","85,404.6","87,200.0","85,358.6","0.03K","1.11%"
"2025- 06- 24","85,334.6","85,580.3","85,812.4","84,730.0","0.02K","-0.31%"
"2025- 06- 23","85,603.4","82,393.3","85,809.2","81,200.1","0.06K","3.90%"
"2025- 06- 22","82,393.3","83,549.5","84,562.6","80,240.4","0.04K","-1.38%"
"2025- 06- 21","83,549.5","84,658.5","85,268.3","82,676.8","0.02K","-1.31%"
"2025- 06- 20","84,658.5","85,525.8","87,000.0","83,850.0","0.05K","-1.02%"
"2025- 06- 19","85,527.6","86,020.3","86,372.0","85,200.0","0.02K","-0.48%"
"2025- 06- 18","85,942.6","85,461.0","86,211.6","84,875.1","0.01K","0.47%"
"2025- 06- 17","85,539.2","86,867.1","87,505.0","84,318.6","0.04K","-1.51%"
