"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","1,901,129,984","1,920,473,984","1,939,997,952","1,900,099,968","","-1.01%"
"2025- 07- 31","1,920,473,984","1,939,949,952","1,952,888,064","1,920,115,968","","-1.01%"
"2025- 07- 30","1,940,000,000","1,938,162,048","1,948,995,968","1,920,004,992","","0.09%"
"2025- 07- 29","1,938,161,024","1,938,999,040","1,950,000,000","1,931,000,064","","-0.04%"
"2025- 07- 28","1,938,999,040","1,940,600,064","1,944,999,936","1,929,965,056","","-0.08%"
"2025- 07- 27","1,940,600,064","1,923,303,936","1,940,974,976","1,922,936,064","","0.91%"
"2025- 07- 26","1,923,193,984","1,920,001,024","1,926,999,040","1,911,257,984","","0.17%"
"2025- 07- 25","1,920,001,024","1,931,335,040","1,932,199,040","1,888,988,032","","-0.59%"
"2025- 07- 24","1,931,332,992","1,932,752,000","1,943,500,032","1,921,168,000","","-0.08%"
"2025- 07- 23","1,932,908,032","1,944,918,016","1,944,918,016","1,920,000,000","","-0.62%"
"2025- 07- 22","1,944,923,008","1,922,386,048","1,944,999,936","1,910,002,944","","1.17%"
"2025- 07- 21","1,922,386,944","1,915,089,024","1,944,998,016","1,909,650,048","","0.38%"
"2025- 07- 20","1,915,089,024","1,927,798,016","1,938,130,048","1,908,499,968","","-0.66%"
"2025- 07- 19","1,927,798,016","1,931,881,984","1,939,367,936","1,926,499,968","","-0.21%"
"2025- 07- 18","1,931,881,984","1,942,859,008","1,960,000,000","1,922,116,992","","-0.57%"
"2025- 07- 17","1,942,860,032","1,926,496,000","1,959,655,936","1,913,835,008","","0.85%"
"2025- 07- 16","1,926,496,000","1,913,019,008","1,945,149,952","1,910,488,960","","0.70%"
"2025- 07- 15","1,913,019,008","1,945,348,992","1,945,798,016","1,884,999,936","","-1.66%"
"2025- 07- 14","1,945,348,992","1,920,854,016","1,985,464,960","1,920,002,048","","1.28%"
"2025- 07- 13","1,920,854,016","1,896,387,968","1,920,956,032","1,894,680,960","","1.26%"
"2025- 07- 12","1,896,999,936","1,879,987,968","1,898,000,000","1,868,000,000","","0.90%"
"2025- 07- 11","1,879,987,968","1,844,000,000","1,907,998,976","1,824,999,936","","1.73%"
"2025- 07- 10","1,848,102,016","1,787,998,976","1,850,000,000","1,784,999,936","","3.42%"
"2025- 07- 09","1,787,000,064","1,762,001,024","1,794,000,000","1,754,696,960","","1.39%"
"2025- 07- 08","1,762,425,984","1,760,000,000","1,767,998,976","1,750,147,968","","0.14%"
"2025- 07- 07","1,760,000,000","1,762,472,960","1,768,900,992","1,753,421,952","","-0.14%"
"2025- 07- 06","1,762,472,960","1,758,221,056","1,764,065,024","1,750,000,000","","0.32%"
"2025- 07- 05","1,756,801,024","1,756,235,008","1,761,054,976","1,753,000,960","","0.03%"
"2025- 07- 04","1,756,236,032","1,768,002,944","1,769,944,064","1,746,000,000","","-0.71%"
