"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","8,889,999","8,657,242","8,889,999","8,657,242","0.00K","2.69%"
"2025- 08- 01","8,657,242","8,400,008","8,889,997","8,400,000","0.00K","3.06%"
"2025- 07- 31","8,400,008","8,979,903","8,979,950","8,400,000","0.00K","-6.46%"
"2025- 07- 30","8,979,903","8,799,982","9,000,000","8,316,100","0.00K","2.04%"
"2025- 07- 29","8,799,982","8,395,190","8,900,000","8,300,100","0.00K","4.82%"
"2025- 07- 28","8,395,190","8,399,974","8,989,900","8,260,568","0.00K","-0.06%"
"2025- 07- 27","8,399,974","8,300,015","8,990,000","8,255,200","0.00K","1.20%"
"2025- 07- 26","8,300,015","8,794,972","8,950,000","8,013,000","0.00K","-5.63%"
"2025- 07- 25","8,794,972","8,100,018","8,949,968","8,100,001","0.00K","8.58%"
"2025- 07- 24","8,100,018","8,374,951","9,071,877","7,700,032","0.00K","-3.28%"
"2025- 07- 23","8,374,951","7,494,272","9,110,961","7,352,001","0.01K","11.75%"
"2025- 07- 22","7,494,272","7,819,979","7,820,000","7,302,003","0.00K","-4.17%"
"2025- 07- 21","7,819,979","7,528,033","7,890,000","7,300,005","0.00K","3.88%"
"2025- 07- 20","7,528,033","7,987,968","7,988,000","7,517,890","0.00K","-5.76%"
"2025- 07- 19","7,987,968","8,099,824","8,099,864","7,700,149","0.00K","-1.38%"
"2025- 07- 18","8,099,824","8,699,978","8,700,000","7,672,500","0.00K","-6.90%"
"2025- 07- 17","8,699,978","7,822,956","8,820,499","7,201,234","0.00K","11.21%"
"2025- 07- 16","7,822,956","7,825,000","7,845,008","7,530,000","0.00K","-0.03%"
"2025- 07- 15","7,825,000","7,844,986","7,845,005","7,554,963","0.00K","-0.25%"
"2025- 07- 14","7,844,986","7,899,943","8,499,876","7,550,000","0.00K","-0.70%"
"2025- 07- 13","7,899,943","7,885,021","7,900,000","7,525,004","0.00K","0.19%"
"2025- 07- 12","7,885,021","7,901,224","7,901,232","7,502,000","0.00K","-0.21%"
"2025- 07- 11","7,901,224","7,999,993","7,999,993","7,501,234","0.00K","-1.23%"
"2025- 07- 10","7,999,993","7,799,958","8,000,000","7,501,234","0.00K","2.56%"
"2025- 07- 09","7,799,958","7,800,050","7,800,050","7,501,234","0.00K","0.00%"
"2025- 07- 08","7,800,050","7,800,012","7,800,050","7,501,234","0.00K","0.00%"
"2025- 07- 07","7,800,012","7,800,078","8,023,060","7,501,236","0.00K","0.00%"
"2025- 07- 06","7,800,078","7,822,114","8,023,061","7,800,050","0.00K","-0.28%"
"2025- 07- 05","7,822,114","7,823,001","8,049,997","7,822,090","0.00K","-0.01%"
"2025- 07- 04","7,823,001","8,099,073","8,099,077","7,823,000","0.00K","-3.41%"
"2025- 07- 03","8,099,073","7,822,509","8,099,999","7,822,509","0.00K","3.54%"
"2025- 07- 02","7,822,509","7,822,187","8,099,998","7,822,151","0.00K","0.00%"
"2025- 07- 01","7,822,187","7,822,030","8,099,854","7,822,006","0.00K","0.00%"
"2025- 06- 30","7,822,030","7,800,086","8,124,993","7,800,055","0.00K","0.28%"
"2025- 06- 29","7,800,086","7,700,060","8,099,993","7,700,026","0.00K","1.30%"
"2025- 06- 28","7,700,060","7,800,080","8,124,966","7,700,000","0.00K","-1.28%"
"2025- 06- 27","7,800,080","7,800,054","8,188,988","7,800,050","0.00K","0.00%"
"2025- 06- 26","7,800,054","8,177,877","8,200,000","7,800,000","0.00K","-4.62%"
"2025- 06- 25","8,177,877","8,043,096","8,200,000","8,014,881","0.00K","1.68%"
"2025- 06- 24","8,043,096","8,008,998","8,099,989","7,880,838","0.00K","0.43%"
"2025- 06- 23","8,008,998","7,124,977","8,099,982","6,600,002","0.00K","12.41%"
"2025- 06- 22","7,124,977","7,125,031","7,499,996","6,625,006","0.00K","0.00%"
"2025- 06- 21","7,125,031","7,399,970","7,499,999","7,100,023","0.00K","-3.72%"
"2025- 06- 20","7,399,970","7,131,043","7,449,990","6,600,000","0.00K","3.77%"
"2025- 06- 19","7,131,043","7,530,014","7,905,000","1","0.00K","-5.30%"
"2025- 06- 18","7,530,014","7,705,007","7,999,996","7,530,000","0.00K","-2.27%"
"2025- 06- 17","7,705,007","7,999,993","8,000,000","7,600,050","0.00K","-3.69%"
"2025- 06- 16","7,999,993","7,909,958","7,999,999","7,700,001","0.00K","1.14%"
"2025- 06- 15","7,909,958","7,987,984","7,987,990","7,610,001","0.00K","-0.98%"
"2025- 06- 14","7,987,984","7,999,996","8,000,000","7,610,000","0.00K","-0.15%"
"2025- 06- 13","7,999,996","7,999,982","8,000,000","7,700,000","0.00K","0.00%"
"2025- 06- 12","7,999,982","7,670,980","8,179,999","7,598,014","0.00K","4.29%"
"2025- 06- 11","7,670,980","7,600,027","7,672,000","7,598,715","0.00K","0.93%"
"2025- 06- 10","7,600,027","7,671,958","7,672,000","7,600,000","0.00K","-0.94%"
"2025- 06- 09","7,671,958","8,152,972","8,152,997","7,600,000","0.00K","-5.90%"
"2025- 06- 08","8,152,972","7,999,993","8,153,000","7,750,000","0.00K","1.91%"
"2025- 06- 07","7,999,993","7,900,049","8,000,000","7,750,001","0.00K","1.27%"
"2025- 06- 06","7,900,049","8,154,986","8,154,999","7,850,849","0.00K","-3.13%"
"2025- 06- 05","8,154,986","7,750,019","8,175,000","7,750,000","0.00K","5.23%"
"2025- 06- 04","7,750,019","7,605,027","7,799,997","7,600,000","0.00K","1.91%"
"2025- 06- 03","7,605,027","7,605,044","7,800,000","7,598,715","0.00K","0.00%"
"2025- 06- 02","7,605,044","8,174,952","8,175,000","7,598,757","0.00K","-6.97%"
"2025- 06- 01","8,174,952","7,920,021","8,179,997","7,850,273","0.00K","3.22%"
"2025- 05- 31","7,920,021","8,247,987","8,248,000","7,598,736","0.00K","-3.98%"
"2025- 05- 30","8,247,987","8,125,022","8,254,758","7,780,614","0.00K","1.51%"
"2025- 05- 29","8,125,022","7,598,716","8,350,000","7,598,716","0.00K","6.93%"
"2025- 05- 28","7,598,716","7,675,475","7,953,000","7,500,000","0.00K","-1.00%"
"2025- 05- 27","7,675,475","7,952,966","7,987,972","7,470,001","0.00K","-3.49%"
"2025- 05- 26","7,952,966","8,000,036","8,250,000","7,750,013","0.00K","-0.59%"
"2025- 05- 25","8,000,036","7,953,036","8,249,999","7,953,000","0.00K","0.59%"
"2025- 05- 24","7,953,036","7,954,279","7,954,311","7,673,458","0.00K","-0.02%"
"2025- 05- 23","7,954,279","8,254,391","8,254,400","7,636,193","0.00K","-3.64%"
"2025- 05- 22","8,254,391","8,199,955","8,256,450","8,055,322","0.00K","0.66%"
"2025- 05- 21","8,199,955","7,358,489","8,199,998","7,350,467","0.00K","11.44%"
"2025- 05- 20","7,358,489","7,927,940","8,010,000","7,358,452","0.00K","-7.18%"
"2025- 05- 19","7,927,940","7,997,000","8,000,000","7,584,192","0.00K","-0.86%"
"2025- 05- 18","7,997,000","7,800,014","7,997,000","7,800,011","0.00K","2.53%"
"2025- 05- 17","7,800,014","7,825,646","7,918,497","7,715,777","0.00K","-0.33%"
"2025- 05- 16","7,825,646","7,899,996","7,920,000","7,615,327","0.00K","-0.94%"
"2025- 05- 15","7,899,996","7,920,093","7,920,099","7,615,336","0.00K","-0.25%"
"2025- 05- 14","7,920,093","6,050,048","7,996,999","6,050,015","0.00K","30.91%"
"2025- 05- 13","6,050,048","6,598,985","8,000,000","5,700,553","0.00K","-8.32%"
"2025- 05- 12","6,598,985","6,600,028","6,748,999","5,700,553","0.00K","-0.02%"
"2025- 05- 11","6,600,028","6,749,973","6,749,999","6,000,000","0.00K","-2.22%"
