"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","2,154,780","2,142,050","2,162,200","2,140,850","0.03K","0.59%"
"2025- 08- 01","2,142,050","2,187,190","2,196,640","2,134,020","0.03K","-2.06%"
"2025- 07- 31","2,187,190","2,224,340","2,236,000","2,185,010","0.01K","-1.67%"
"2025- 07- 30","2,224,340","2,217,350","2,229,750","2,190,000","0.01K","0.32%"
"2025- 07- 29","2,217,350","2,218,030","2,245,710","2,200,500","0.01K","-0.03%"
"2025- 07- 28","2,218,030","2,214,630","2,223,000","2,201,710","0.01K","0.15%"
"2025- 07- 27","2,214,630","2,193,370","2,223,170","2,192,000","0.01K","0.97%"
"2025- 07- 26","2,193,370","2,186,640","2,200,000","2,177,340","0.00K","0.22%"
"2025- 07- 25","2,188,630","2,200,590","2,201,560","2,134,170","0.02K","-0.54%"
"2025- 07- 24","2,200,590","2,209,310","2,224,180","2,185,610","0.01K","-0.39%"
"2025- 07- 23","2,209,300","2,247,590","2,247,590","2,185,000","0.01K","-1.70%"
"2025- 07- 22","2,247,590","2,195,760","2,250,000","2,176,630","0.02K","2.36%"
"2025- 07- 21","2,195,760","2,197,420","2,237,280","2,175,000","0.01K","-0.06%"
"2025- 07- 20","2,197,000","2,214,320","2,227,920","2,187,820","0.01K","-0.78%"
"2025- 07- 19","2,214,320","2,214,590","2,225,000","2,204,280","0.01K","-0.01%"
"2025- 07- 18","2,214,590","2,239,460","2,265,000","2,190,920","0.02K","-1.11%"
"2025- 07- 17","2,239,460","2,223,750","2,269,990","2,209,600","0.01K","0.71%"
"2025- 07- 16","2,223,750","2,218,410","2,250,000","2,205,310","0.02K","0.24%"
"2025- 07- 15","2,218,410","2,250,880","2,254,080","2,162,000","0.03K","-1.44%"
"2025- 07- 14","2,250,880","2,225,000","2,297,120","2,219,920","0.03K","1.16%"
"2025- 07- 13","2,225,000","2,194,190","2,228,000","2,189,420","0.01K","1.41%"
"2025- 07- 12","2,193,990","2,193,000","2,205,260","2,183,490","0.01K","0.05%"
"2025- 07- 11","2,193,000","2,157,770","2,217,780","2,150,510","0.04K","1.63%"
"2025- 07- 10","2,157,770","2,075,570","2,170,000","2,066,120","0.04K","3.96%"
"2025- 07- 09","2,075,570","2,034,000","2,089,680","2,018,790","0.02K","2.04%"
"2025- 07- 08","2,034,000","2,022,950","2,043,150","2,007,010","0.01K","0.58%"
"2025- 07- 07","2,022,300","2,040,990","2,048,560","2,012,320","0.01K","-0.92%"
"2025- 07- 06","2,040,990","2,030,250","2,046,140","2,023,020","0.01K","0.53%"
"2025- 07- 05","2,030,250","2,024,580","2,032,400","2,019,000","0.01K","0.28%"
"2025- 07- 04","2,024,580","2,048,900","2,050,710","2,004,140","0.01K","-1.19%"
"2025- 07- 03","2,048,900","2,047,290","2,065,000","2,032,020","0.01K","0.08%"
"2025- 07- 02","2,047,290","1,991,340","2,060,000","1,977,000","0.02K","2.90%"
"2025- 07- 01","1,989,540","2,011,130","2,019,990","1,975,560","0.02K","-1.07%"
"2025- 06- 30","2,011,130","2,040,480","2,048,000","2,000,020","0.02K","-1.44%"
"2025- 06- 29","2,040,480","2,025,500","2,045,290","2,021,690","0.01K","0.76%"
"2025- 06- 28","2,025,000","2,025,490","2,031,360","2,017,760","0.00K","-0.02%"
"2025- 06- 27","2,025,490","2,020,130","2,030,320","2,006,000","0.01K","0.27%"
"2025- 06- 26","2,020,130","2,031,930","2,044,880","2,014,810","0.01K","-0.58%"
"2025- 06- 25","2,031,930","2,015,050","2,050,000","2,012,460","0.01K","0.84%"
"2025- 06- 24","2,015,050","2,011,180","2,024,000","1,995,560","0.01K","0.05%"
"2025- 06- 23","2,014,000","1,942,970","2,024,970","1,915,550","0.02K","3.66%"
"2025- 06- 22","1,942,970","1,968,210","1,989,330","1,890,200","0.03K","-1.28%"
