"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","191,561.41","192,761.23","194,379.53","190,821.16","0.03K","-0.62%"
"2025- 08- 01","192,761.22","197,813.22","198,663.73","188,995.02","0.04K","-2.55%"
"2025- 07- 31","197,813.22","200,790.00","202,232.44","195,482.81","0.04K","-1.48%"
"2025- 07- 30","200,789.94","199,291.64","201,851.02","195,405.80","0.02K","0.75%"
"2025- 07- 29","199,291.92","198,947.17","201,526.97","195,804.00","0.02K","0.17%"
"2025- 07- 28","198,947.16","199,537.95","200,285.33","195,750.88","0.02K","-0.30%"
"2025- 07- 27","199,538.61","197,240.67","200,275.64","194,817.19","0.02K","1.17%"
"2025- 07- 26","197,240.67","196,768.88","197,742.03","193,883.69","0.01K","1.50%"
"2025- 07- 25","194,319.38","195,359.09","197,736.69","189,953.08","0.04K","-0.53%"
"2025- 07- 24","195,359.09","197,732.09","199,042.55","192,778.70","0.02K","-1.14%"
"2025- 07- 23","197,612.52","198,824.17","201,213.08","193,446.63","0.02K","-0.61%"
"2025- 07- 22","198,824.17","195,643.55","201,679.53","194,262.63","0.02K","0.49%"
"2025- 07- 21","197,857.52","197,812.84","201,779.55","194,417.73","0.03K","0.02%"
"2025- 07- 20","197,812.84","198,272.81","200,626.41","194,690.48","0.02K","-0.23%"
"2025- 07- 19","198,272.81","198,435.78","199,894.88","195,377.92","0.01K","-0.08%"
"2025- 07- 18","198,435.78","201,490.53","203,926.64","194,944.17","0.03K","-1.52%"
"2025- 07- 17","201,490.53","198,597.88","204,293.94","197,159.28","0.03K","1.46%"
"2025- 07- 16","198,597.88","196,772.70","203,140.45","195,152.77","0.03K","-0.24%"
"2025- 07- 15","199,077.91","199,468.98","201,853.27","193,214.84","0.04K","-0.20%"
"2025- 07- 14","199,468.98","198,649.77","206,417.63","196,066.66","0.08K","0.41%"
"2025- 07- 13","198,650.34","195,829.88","198,935.56","193,400.58","0.03K","1.44%"
"2025- 07- 12","195,829.88","193,993.33","197,199.84","193,000.53","0.02K","0.95%"
"2025- 07- 11","193,993.33","190,080.48","198,327.91","189,595.95","0.06K","2.06%"
"2025- 07- 10","190,080.48","183,930.11","193,864.80","182,905.30","0.05K","3.34%"
"2025- 07- 09","183,930.11","180,552.63","187,099.31","179,583.81","0.02K","1.87%"
"2025- 07- 08","180,552.63","180,392.55","182,835.31","177,433.84","0.03K","0.09%"
"2025- 07- 07","180,392.55","179,518.91","182,851.30","177,721.50","0.04K","0.49%"
"2025- 07- 06","179,518.91","177,506.27","181,715.19","176,998.05","0.01K","1.13%"
"2025- 07- 05","177,506.27","179,317.11","179,851.03","177,054.38","0.01K","-1.01%"
"2025- 07- 04","179,317.11","181,157.48","181,600.31","176,361.69","0.03K","0.36%"
"2025- 07- 03","178,673.73","179,488.88","183,008.06","176,209.41","0.05K","-0.45%"
"2025- 07- 02","179,488.88","174,291.88","181,033.80","171,547.31","0.03K","2.98%"
"2025- 07- 01","174,291.88","174,162.94","177,552.80","171,915.39","0.02K","0.07%"
"2025- 06- 30","174,162.94","177,410.52","180,331.02","174,004.45","0.05K","-1.83%"
"2025- 06- 29","177,410.52","178,115.56","180,121.36","175,543.91","0.02K","-0.40%"
"2025- 06- 28","178,115.56","177,750.84","178,560.23","175,294.94","0.01K","1.37%"
"2025- 06- 27","175,700.94","177,479.03","178,388.56","174,552.52","0.01K","-1.00%"
"2025- 06- 26","177,479.03","178,428.89","179,621.16","175,078.30","0.02K","-0.53%"
"2025- 06- 25","178,428.89","175,429.77","180,520.34","174,920.39","0.03K","1.71%"
"2025- 06- 24","175,429.77","177,088.78","177,683.66","173,064.36","0.02K","-0.94%"
"2025- 06- 23","177,088.78","168,639.78","178,172.30","167,578.05","0.03K","5.01%"
"2025- 06- 22","168,639.78","172,880.13","174,918.36","164,030.89","0.04K","-2.45%"
"2025- 06- 21","172,880.13","174,260.78","175,740.69","168,365.20","0.02K","-0.79%"
"2025- 06- 20","174,260.78","175,751.72","178,507.44","170,963.48","0.04K","-0.85%"
"2025- 06- 19","175,761.23","173,223.30","176,894.86","173,005.34","0.02K","0.56%"
"2025- 06- 18","174,784.08","175,024.34","176,017.20","171,143.50","0.02K","-0.14%"
"2025- 06- 17","175,024.34","177,797.09","178,928.19","170,571.55","0.02K","-1.56%"
"2025- 06- 16","177,797.09","174,932.38","180,890.84","173,483.70","0.02K","1.63%"
"2025- 06- 15","174,940.97","174,779.09","177,229.58","173,446.20","0.01K","0.09%"
"2025- 06- 14","174,779.09","177,854.89","177,854.91","173,128.58","0.01K","-1.73%"
"2025- 06- 13","177,854.89","173,828.55","177,854.91","170,200.80","0.05K","1.26%"
"2025- 06- 12","175,639.94","180,995.67","181,624.77","173,749.81","0.03K","-2.96%"
"2025- 06- 11","180,995.67","183,107.16","183,466.02","178,717.69","0.03K","-1.15%"
"2025- 06- 10","183,107.20","181,595.47","183,658.25","178,413.08","0.02K","-0.20%"
"2025- 06- 09","183,475.80","175,185.36","184,241.91","173,655.66","0.02K","4.73%"
"2025- 06- 08","175,185.36","177,383.25","178,513.30","174,344.38","0.01K","-1.24%"
"2025- 06- 07","177,383.25","175,139.11","177,746.94","172,564.81","0.01K","1.28%"
"2025- 06- 06","175,142.50","169,470.33","176,338.61","166,657.95","0.02K","3.34%"
"2025- 06- 05","169,485.47","174,782.39","176,065.14","165,941.20","0.04K","-3.17%"
"2025- 06- 04","175,035.16","176,767.67","177,517.64","172,398.98","0.02K","-1.00%"
"2025- 06- 03","176,801.20","176,511.36","179,190.11","173,928.31","0.02K","0.16%"
"2025- 06- 02","176,511.36","176,144.45","178,024.72","171,702.95","0.02K","0.21%"
"2025- 06- 01","176,144.45","176,667.80","178,231.77","173,337.00","0.01K","-0.30%"
"2025- 05- 31","176,667.80","173,524.94","177,036.30","172,028.31","0.02K","1.81%"
"2025- 05- 30","173,524.94","177,971.41","179,634.14","173,111.38","0.05K","-2.50%"
"2025- 05- 29","177,971.41","182,187.63","183,726.59","175,657.30","0.03K","-2.31%"
"2025- 05- 28","182,187.63","184,511.95","184,961.88","178,329.48","0.03K","-1.26%"
"2025- 05- 27","184,511.95","181,844.86","187,331.09","178,838.84","0.04K","1.47%"
"2025- 05- 26","181,844.86","183,015.95","185,201.56","180,380.16","0.02K","-0.64%"
"2025- 05- 25","183,015.95","181,547.77","183,747.41","177,134.36","0.01K","0.81%"
"2025- 05- 24","181,547.77","180,409.53","184,073.95","177,988.52","0.02K","0.93%"
"2025- 05- 23","179,880.94","190,229.41","190,649.41","177,790.59","0.05K","-5.44%"
"2025- 05- 22","190,229.41","183,572.09","190,564.59","182,976.66","0.09K","3.63%"
"2025- 05- 21","183,572.09","181,179.48","186,906.73","177,516.80","0.05K","1.32%"
"2025- 05- 20","181,179.48","177,308.41","182,124.47","175,739.88","0.04K","2.18%"
"2025- 05- 19","177,308.41","181,555.45","182,551.83","172,169.02","0.04K","-1.33%"
"2025- 05- 18","179,699.69","176,783.44","181,747.81","174,336.23","0.03K","2.75%"
"2025- 05- 17","174,887.67","176,723.33","177,628.59","173,835.86","0.01K","-1.33%"
"2025- 05- 16","177,240.31","177,598.27","178,796.50","173,681.16","0.03K","-0.20%"
"2025- 05- 15","177,598.27","176,468.08","178,235.63","171,784.80","0.04K","0.66%"
"2025- 05- 14","176,429.52","176,401.27","176,738.95","171,815.31","0.03K","0.02%"
"2025- 05- 13","176,401.27","176,499.69","177,463.39","171,764.31","0.04K","-0.06%"
"2025- 05- 12","176,499.69","174,599.30","179,550.80","171,247.58","0.04K","1.09%"
"2025- 05- 11","174,599.30","177,861.38","178,182.23","173,630.48","0.02K","-1.83%"
"2025- 05- 10","177,861.38","174,726.73","178,290.05","172,653.30","0.02K","1.79%"
"2025- 05- 09","174,726.73","175,698.27","177,241.56","172,253.58","0.04K","-0.55%"
"2025- 05- 08","175,698.27","164,152.11","176,462.27","162,131.70","0.07K","7.03%"
"2025- 05- 07","164,152.11","161,803.61","164,779.84","159,651.17","0.03K","1.45%"
"2025- 05- 06","161,803.61","158,256.41","161,938.75","155,384.75","0.04K","2.24%"
"2025- 05- 05","158,256.41","159,565.44","160,567.31","155,535.81","0.03K","-0.82%"
"2025- 05- 04","159,565.44","160,405.14","162,892.27","157,402.59","0.02K","-0.52%"
"2025- 05- 03","160,405.14","163,853.23","163,853.23","159,981.70","0.01K","-0.98%"
"2025- 05- 02","161,996.16","164,207.52","165,203.14","161,364.58","0.04K","-1.35%"
"2025- 05- 01","164,207.52","157,984.98","165,931.98","157,840.73","0.04K","3.94%"
"2025- 04- 30","157,984.98","159,797.92","161,764.23","156,780.41","0.03K","-1.15%"
"2025- 04- 29","159,823.77","158,323.81","165,000.00","157,411.17","0.04K","0.95%"
"2025- 04- 28","158,323.81","158,687.36","161,773.30","155,400.67","0.03K","-0.23%"
"2025- 04- 27","158,687.36","158,115.48","160,872.39","156,441.39","0.01K","0.36%"
"2025- 04- 26","158,115.48","160,019.44","160,861.63","156,928.77","0.01K","-1.19%"
"2025- 04- 25","160,019.44","157,839.72","161,385.11","154,483.59","0.02K","1.38%"
"2025- 04- 24","157,839.72","158,135.22","158,398.88","152,767.47","0.04K","-0.19%"
"2025- 04- 23","158,135.22","157,606.88","158,770.92","153,269.52","0.04K","1.45%"
"2025- 04- 22","155,873.17","146,527.94","158,286.80","144,704.00","0.06K","6.38%"
"2025- 04- 21","146,527.94","143,843.19","148,478.94","143,562.28","0.04K","2.86%"
"2025- 04- 20","142,454.31","142,684.86","144,373.75","140,923.20","0.01K","-0.16%"
"2025- 04- 19","142,684.86","141,169.39","144,701.20","141,072.22","0.01K","1.07%"
"2025- 04- 18","141,169.39","143,135.02","143,646.08","140,980.02","0.01K","-1.37%"
"2025- 04- 17","143,135.02","142,443.56","154,461.02","139,990.56","0.03K","0.49%"
"2025- 04- 16","142,443.56","141,295.84","144,735.66","140,085.91","0.02K","0.86%"
"2025- 04- 15","141,229.63","145,021.09","146,497.28","141,166.50","0.03K","-2.61%"
"2025- 04- 14","145,021.09","144,461.56","147,137.75","141,986.05","0.03K","0.44%"
"2025- 04- 13","144,388.48","147,049.33","148,054.56","141,999.83","0.02K","-1.81%"
"2025- 04- 12","147,049.33","144,145.02","147,977.64","141,615.05","0.02K","2.01%"
"2025- 04- 11","144,145.02","139,439.48","145,836.75","136,680.25","0.04K","4.47%"
"2025- 04- 10","137,980.36","145,836.81","147,514.80","136,990.95","0.04K","-5.39%"
"2025- 04- 09","145,836.81","138,724.16","150,461.70","134,156.05","0.08K","6.19%"
"2025- 04- 08","137,330.86","143,564.25","146,464.06","136,611.97","0.04K","-4.30%"
"2025- 04- 07","143,506.52","140,161.75","145,297.53","132,840.95","0.11K","2.43%"
"2025- 04- 06","140,102.41","149,370.08","150,041.25","136,543.44","0.09K","-6.23%"
"2025- 04- 05","149,412.64","148,877.98","151,563.89","145,917.09","0.02K","0.36%"
"2025- 04- 04","148,877.98","144,483.17","152,505.55","142,106.80","0.08K","3.04%"
