"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","6,579,176","6,567,195","6,619,163","6,551,375","39.45M","0.18%"
"2025- 08- 01","6,567,195","6,741,982","6,792,539","6,526,182","45.13M","-2.59%"
"2025- 07- 31","6,741,982","6,801,656","6,910,000","6,721,088","28.04M","-0.88%"
"2025- 07- 30","6,801,656","6,770,531","6,856,948","6,690,000","26.02M","0.49%"
"2025- 07- 29","6,768,826","6,752,905","6,837,216","6,730,097","21.25M","0.22%"
"2025- 07- 28","6,753,670","6,809,012","6,840,000","6,720,284","21.58M","-0.81%"
"2025- 07- 27","6,809,012","6,743,068","6,838,419","6,736,464","13.94M","0.98%"
"2025- 07- 26","6,743,068","6,710,000","6,765,701","6,687,138","14.65M","0.49%"
"2025- 07- 25","6,710,000","6,730,394","6,740,944","6,550,051","30.37M","-0.30%"
"2025- 07- 24","6,730,394","6,764,425","6,790,000","6,661,924","19.18M","-0.50%"
"2025- 07- 23","6,764,425","6,832,409","6,845,452","6,693,649","20.86M","-1.00%"
"2025- 07- 22","6,832,409","6,710,400","6,847,440","6,647,872","30.41M","1.76%"
"2025- 07- 21","6,714,077","6,697,231","6,842,316","6,660,000","23.96M","0.25%"
"2025- 07- 20","6,697,231","6,748,295","6,780,000","6,666,600","21.51M","-0.76%"
"2025- 07- 19","6,748,295","6,731,012","6,776,268","6,711,265","13.91M","0.26%"
"2025- 07- 18","6,731,012","6,794,297","6,894,325","6,681,686","42.93M","-0.84%"
"2025- 07- 17","6,788,230","6,734,563","6,880,000","6,690,000","34.18M","0.81%"
"2025- 07- 16","6,733,466","6,665,471","6,815,880","6,640,000","35.66M","1.06%"
"2025- 07- 15","6,663,152","6,783,318","6,791,355","6,566,992","49.84M","-1.77%"
"2025- 07- 14","6,783,318","6,729,680","6,964,132","6,715,503","53.96M","0.91%"
"2025- 07- 13","6,721,828","6,629,114","6,747,251","6,620,001","20.85M","1.34%"
"2025- 07- 12","6,633,111","6,615,172","6,666,000","6,592,995","17.40M","0.27%"
