"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","423,800","420,303","424,439","420,000","0.01K","0.82%"
"2025- 08- 01","420,369","433,872","434,000","420,000","0.01K","-2.92%"
"2025- 07- 31","433,000","438,984","442,500","433,000","0.01K","-1.35%"
"2025- 07- 30","438,944","435,136","440,000","432,900","0.01K","0.87%"
"2025- 07- 29","435,138","432,500","439,709","425,066","0.01K","0.61%"
"2025- 07- 28","432,500","430,459","433,200","428,453","0.01K","0.56%"
"2025- 07- 27","430,090","424,659","430,461","423,987","0.00K","1.27%"
"2025- 07- 26","424,691","423,174","425,850","421,505","0.00K","0.34%"
"2025- 07- 25","423,253","429,039","429,307","417,100","0.01K","-1.24%"
"2025- 07- 24","428,559","427,988","430,000","422,500","0.00K","0.48%"
"2025- 07- 23","426,518","433,000","433,000","423,271","0.01K","-1.20%"
"2025- 07- 22","431,689","424,859","433,000","423,158","0.01K","1.71%"
"2025- 07- 21","424,426","427,045","434,549","423,540","0.01K","-0.29%"
"2025- 07- 20","425,680","427,337","430,288","424,000","0.01K","-0.24%"
"2025- 07- 19","426,701","425,835","427,800","424,000","0.00K","0.64%"
"2025- 07- 18","424,000","435,011","439,000","424,000","0.01K","-2.64%"
"2025- 07- 17","435,479","431,275","439,000","425,017","0.02K","0.95%"
"2025- 07- 16","431,383","430,000","435,350","428,239","0.01K","0.42%"
"2025- 07- 15","429,578","432,145","433,000","420,000","0.01K","-0.43%"
"2025- 07- 14","431,424","425,000","441,778","420,633","0.03K","1.51%"
"2025- 07- 13","425,000","419,630","426,480","418,753","0.01K","1.68%"
"2025- 07- 12","417,974","422,095","423,500","417,500","0.01K","-0.82%"
"2025- 07- 11","421,419","417,001","427,000","403,000","0.04K","1.05%"
"2025- 07- 10","417,046","395,888","419,001","392,363","0.05K","5.86%"
"2025- 07- 09","393,971","391,473","400,000","384,615","0.02K","0.84%"
"2025- 07- 08","390,700","388,200","393,938","387,095","0.01K","0.64%"
"2025- 07- 07","388,200","390,895","392,206","387,973","0.00K","-0.69%"
"2025- 07- 06","390,895","388,086","390,895","384,744","0.00K","0.72%"
"2025- 07- 05","388,086","389,780","389,979","380,000","0.00K","0.07%"
"2025- 07- 04","387,809","391,628","392,113","380,253","0.01K","-1.02%"
"2025- 07- 03","391,806","390,809","394,500","386,000","0.01K","0.32%"
"2025- 07- 02","390,570","378,513","392,452","377,489","0.02K","3.48%"
"2025- 07- 01","377,452","384,655","384,662","376,880","0.01K","-1.45%"
"2025- 06- 30","382,998","387,000","389,407","376,010","0.01K","-0.93%"
"2025- 06- 29","386,578","383,287","388,586","381,215","0.01K","0.86%"
"2025- 06- 28","383,298","385,070","385,100","380,000","0.00K","-0.47%"
"2025- 06- 27","385,093","384,109","386,999","380,000","0.01K","0.26%"
"2025- 06- 26","384,093","386,000","388,515","378,500","0.01K","-0.49%"
"2025- 06- 25","385,999","383,877","392,350","381,000","0.02K","0.98%"
"2025- 06- 24","382,269","380,000","384,402","375,500","0.01K","0.60%"
"2025- 06- 23","380,000","367,798","380,000","362,037","0.02K","3.98%"
"2025- 06- 22","365,469","373,557","375,000","350,200","0.02K","-1.39%"
"2025- 06- 21","370,612","376,826","379,309","369,996","0.00K","-1.43%"
