"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","4,631,584","4,619,695","4,654,889","4,614,873","0.03K","0.22%"
"2025- 08- 01","4,621,232","4,705,202","4,720,000","4,600,000","0.03K","-1.78%"
"2025- 07- 31","4,705,202","4,783,367","4,823,499","4,698,558","0.02K","-1.63%"
"2025- 07- 30","4,783,367","4,790,144","4,821,979","4,704,421","0.02K","-0.14%"
"2025- 07- 29","4,790,144","4,782,812","4,837,999","4,754,214","0.03K","0.15%"
"2025- 07- 28","4,782,812","4,818,407","4,829,729","4,765,001","0.02K","-0.74%"
"2025- 07- 27","4,818,407","4,769,824","4,833,199","4,724,978","0.02K","1.02%"
"2025- 07- 26","4,769,824","4,761,440","4,790,961","4,545,454","0.03K","0.18%"
"2025- 07- 25","4,761,440","4,798,934","4,803,497","4,650,275","0.05K","-0.78%"
"2025- 07- 24","4,798,934","4,809,851","4,839,363","4,752,040","0.03K","-0.23%"
"2025- 07- 23","4,809,851","4,838,124","4,838,124","4,750,000","0.04K","-0.58%"
"2025- 07- 22","4,838,124","4,744,159","4,855,634","4,702,643","0.06K","1.98%"
"2025- 07- 21","4,744,159","4,740,100","4,816,192","4,711,562","0.04K","0.09%"
"2025- 07- 20","4,740,100","4,767,000","4,787,695","4,705,202","0.02K","-0.56%"
"2025- 07- 19","4,767,000","4,770,378","4,788,419","4,744,210","0.01K","-0.07%"
"2025- 07- 18","4,770,378","4,797,489","4,845,988","4,728,460","0.06K","-0.57%"
"2025- 07- 17","4,797,489","4,760,526","4,874,285","4,729,557","0.05K","0.78%"
"2025- 07- 16","4,760,526","4,733,664","4,814,650","4,703,000","0.04K","0.57%"
"2025- 07- 15","4,733,664","4,826,567","4,829,896","4,661,545","0.05K","-1.92%"
"2025- 07- 14","4,826,567","4,784,812","4,944,442","4,767,266","0.06K","0.87%"
"2025- 07- 13","4,784,812","4,710,421","4,790,000","4,703,648","0.03K","1.58%"
"2025- 07- 12","4,710,421","4,701,470","4,736,809","4,683,572","0.02K","0.19%"
"2025- 07- 11","4,701,470","4,598,221","4,738,129","4,565,536","0.07K","2.25%"
