"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","4,622,643","4,614,468","4,658,017","4,603,016","0.30K","0.18%"
"2025- 08- 01","4,614,468","4,705,028","4,725,000","4,604,957","0.30K","-1.92%"
"2025- 07- 31","4,705,028","4,785,000","4,819,688","4,695,000","0.30K","-1.67%"
"2025- 07- 30","4,785,000","4,778,076","4,840,000","4,700,000","0.30K","0.14%"
"2025- 07- 29","4,778,076","4,779,919","4,829,000","4,750,000","0.29K","-0.04%"
"2025- 07- 28","4,779,919","4,802,889","4,830,256","4,760,011","0.30K","-0.48%"
"2025- 07- 27","4,802,889","4,773,550","4,829,999","4,750,007","0.29K","0.61%"
"2025- 07- 26","4,773,550","4,750,000","4,784,999","4,733,501","0.29K","0.50%"
"2025- 07- 25","4,750,000","4,796,338","4,808,769","4,450,000","0.30K","-0.97%"
"2025- 07- 24","4,796,338","4,799,045","4,834,899","4,751,777","0.30K","-0.06%"
"2025- 07- 23","4,799,045","4,824,713","4,839,688","4,740,001","0.30K","-0.53%"
"2025- 07- 22","4,824,713","4,736,030","4,850,000","4,705,500","0.30K","1.87%"
"2025- 07- 21","4,736,030","4,736,949","4,820,000","4,710,002","0.30K","-0.02%"
"2025- 07- 20","4,736,949","4,768,000","4,789,850","4,705,334","0.30K","-0.65%"
"2025- 07- 19","4,768,000","4,781,998","4,799,982","4,748,500","0.29K","-0.29%"
"2025- 07- 18","4,781,998","4,800,217","4,843,222","4,735,000","0.30K","-0.38%"
"2025- 07- 17","4,800,136","4,767,354","4,872,749","4,736,068","0.30K","0.69%"
"2025- 07- 16","4,767,354","4,725,614","4,840,000","4,670,025","0.30K","0.88%"
"2025- 07- 15","4,725,614","4,824,618","4,828,910","4,522,222","0.30K","-2.05%"
"2025- 07- 14","4,824,618","4,786,037","4,948,000","4,774,229","0.31K","0.81%"
"2025- 07- 13","4,786,037","4,700,019","4,789,990","4,700,019","0.30K","1.83%"
"2025- 07- 12","4,700,019","4,705,000","4,735,925","4,680,422","0.29K","-0.11%"
"2025- 07- 11","4,705,000","4,613,562","4,741,000","4,500,000","0.30K","1.98%"
"2025- 07- 10","4,613,562","4,429,028","4,650,000","4,400,000","0.30K","4.17%"
"2025- 07- 09","4,429,028","4,349,998","4,450,000","4,325,004","0.30K","1.82%"
"2025- 07- 08","4,349,998","4,326,672","4,357,136","4,300,009","0.30K","0.54%"
"2025- 07- 07","4,326,672","4,346,483","4,365,000","4,300,000","0.30K","-0.46%"
"2025- 07- 06","4,346,483","4,308,731","4,358,000","4,290,133","0.29K","0.88%"
"2025- 07- 05","4,308,731","4,306,145","4,324,888","4,287,005","0.29K","0.06%"
"2025- 07- 04","4,306,145","4,364,960","4,364,960","4,281,963","0.29K","-1.35%"
"2025- 07- 03","4,364,960","4,321,570","4,375,000","4,295,005","0.30K","1.00%"
"2025- 07- 02","4,321,570","4,206,856","4,339,972","4,193,000","0.30K","2.73%"
"2025- 07- 01","4,206,856","4,251,118","4,268,000","4,090,000","0.30K","-1.04%"
"2025- 06- 30","4,251,118","4,295,223","4,309,697","4,227,020","0.30K","-1.03%"
"2025- 06- 29","4,295,223","4,256,172","4,310,000","4,243,000","0.30K","0.92%"
"2025- 06- 28","4,256,172","4,260,467","4,288,000","4,251,009","0.29K","-0.10%"
"2025- 06- 27","4,260,467","4,250,020","4,289,744","4,233,986","0.30K","0.25%"
"2025- 06- 26","4,250,020","4,250,039","4,299,099","4,242,558","0.29K","0.00%"
"2025- 06- 25","4,250,039","4,187,267","4,291,448","4,187,162","0.30K","1.50%"
"2025- 06- 24","4,187,267","4,178,037","4,208,000","4,145,000","0.30K","0.01%"
"2025- 06- 23","4,187,000","4,012,964","4,200,697","3,960,000","0.31K","4.44%"
"2025- 06- 22","4,008,873","4,070,000","4,119,995","3,756,906","0.31K","-1.50%"
"2025- 06- 21","4,070,000","4,110,000","4,131,226","4,020,000","0.30K","-0.97%"
"2025- 06- 20","4,110,000","4,144,000","4,215,667","4,100,002","0.30K","-0.82%"
"2025- 06- 19","4,144,000","4,147,642","4,160,000","4,110,036","0.30K","-0.09%"
"2025- 06- 18","4,147,642","4,133,158","4,175,999","4,105,000","0.30K","0.35%"
"2025- 06- 17","4,133,158","4,207,499","4,248,185","4,094,000","0.30K","-1.78%"
"2025- 06- 16","4,208,000","4,172,485","4,325,000","4,141,290","0.31K","0.85%"
"2025- 06- 15","4,172,485","4,168,637","4,187,816","4,125,880","0.29K","0.09%"
"2025- 06- 14","4,168,637","4,188,981","4,188,981","4,121,000","0.29K","-0.49%"
"2025- 06- 13","4,188,981","4,180,486","4,188,982","4,036,000","0.30K","0.36%"
"2025- 06- 12","4,173,750","4,261,000","4,273,165","4,164,151","0.30K","-2.05%"
"2025- 06- 11","4,261,000","4,307,158","4,311,995","4,200,000","0.30K","-1.07%"
"2025- 06- 10","4,307,158","4,312,990","4,315,000","4,100,000","0.30K","-0.14%"
"2025- 06- 09","4,312,990","4,160,201","4,315,000","4,141,003","0.30K","3.67%"
"2025- 06- 08","4,160,201","4,148,705","4,184,765","4,110,003","0.29K","0.28%"
"2025- 06- 07","4,148,705","4,113,000","4,168,888","4,100,015","0.29K","0.87%"
"2025- 06- 06","4,113,000","4,019,024","4,159,775","3,994,007","0.30K","2.34%"
"2025- 06- 05","4,019,024","4,106,824","4,171,932","3,936,500","0.30K","-2.14%"
"2025- 06- 04","4,106,824","4,124,746","4,180,977","4,073,000","0.30K","-0.43%"
"2025- 06- 03","4,124,746","4,127,526","4,180,000","4,070,000","0.30K","-0.07%"
"2025- 06- 02","4,127,526","4,151,204","4,154,105","3,936,500","0.30K","-0.57%"
"2025- 06- 01","4,151,204","4,117,871","4,156,364","4,079,000","0.30K","0.81%"
"2025- 05- 31","4,117,871","4,092,871","4,157,111","3,900,000","0.30K","0.61%"
"2025- 05- 30","4,092,871","4,151,425","4,174,995","4,081,089","0.30K","-1.41%"
"2025- 05- 29","4,151,425","4,209,341","4,271,274","4,135,722","0.30K","-1.38%"
"2025- 05- 28","4,209,341","4,252,000","4,300,000","4,185,000","0.30K","-1.00%"
"2025- 05- 27","4,252,000","4,275,678","4,301,479","4,210,000","0.30K","-0.55%"
"2025- 05- 26","4,275,678","4,265,000","4,317,966","4,252,398","0.30K","0.25%"
"2025- 05- 25","4,265,000","4,234,862","4,290,000","4,184,000","0.30K","0.71%"
"2025- 05- 24","4,234,862","4,201,066","4,289,888","4,195,956","0.29K","0.80%"
"2025- 05- 23","4,201,066","4,307,060","4,350,000","4,187,968","0.30K","-2.46%"
"2025- 05- 22","4,307,060","4,250,000","4,341,536","4,165,000","0.31K","1.34%"
"2025- 05- 21","4,250,000","4,137,762","4,277,777","4,113,000","0.31K","2.27%"
"2025- 05- 20","4,155,553","4,105,000","4,162,676","4,046,362","0.31K","1.23%"
"2025- 05- 19","4,105,000","4,144,407","4,163,348","3,980,844","0.30K","-0.95%"
"2025- 05- 18","4,144,408","4,018,060","4,149,988","4,018,060","0.30K","3.14%"
"2025- 05- 17","4,018,059","4,014,716","4,040,501","4,000,010","0.30K","0.08%"
"2025- 05- 16","4,014,716","4,009,012","4,050,000","3,960,014","0.30K","0.14%"
"2025- 05- 15","4,009,012","4,019,999","4,040,000","3,901,000","0.30K","-0.27%"
"2025- 05- 14","4,019,999","4,020,000","4,044,399","3,950,000","0.30K","0.00%"
"2025- 05- 13","4,020,000","3,999,963","4,055,000","3,943,766","0.30K","0.50%"
"2025- 05- 12","3,999,964","4,028,898","4,079,999","3,901,134","0.30K","-0.72%"
"2025- 05- 11","4,028,898","4,030,000","4,049,999","3,975,059","0.30K","-0.03%"
"2025- 05- 10","4,030,000","3,976,344","4,030,000","3,825,000","0.30K","1.35%"
"2025- 05- 09","3,976,344","3,964,000","4,010,501","3,901,005","0.30K","0.31%"
"2025- 05- 08","3,964,000","3,748,152","3,985,484","3,734,991","0.31K","5.76%"
"2025- 05- 07","3,748,152","3,738,577","3,760,000","3,605,008","0.30K","0.26%"
"2025- 05- 06","3,738,577","3,652,160","3,740,000","3,601,909","0.30K","2.37%"
"2025- 05- 05","3,652,160","3,650,000","3,694,000","3,610,000","0.30K","0.06%"
"2025- 05- 04","3,650,000","3,692,556","3,720,983","3,650,000","0.29K","-1.15%"
"2025- 05- 03","3,692,556","3,729,000","3,734,000","3,692,556","0.30K","-0.98%"
"2025- 05- 02","3,729,000","3,718,022","3,764,999","3,650,000","0.30K","0.30%"
"2025- 05- 01","3,718,022","3,638,712","3,745,550","3,608,683","0.30K","2.18%"
"2025- 04- 30","3,638,712","3,634,560","3,659,921","3,565,000","0.30K","0.11%"
"2025- 04- 29","3,634,560","3,650,289","3,665,253","3,606,417","0.30K","-0.43%"
"2025- 04- 28","3,650,289","3,596,876","3,670,000","3,567,779","0.30K","1.48%"
"2025- 04- 27","3,596,876","3,638,205","3,654,799","3,590,155","0.30K","-1.14%"
"2025- 04- 26","3,638,205","3,629,149","3,644,999","3,590,011","0.30K","0.25%"
"2025- 04- 25","3,629,149","3,595,146","3,670,000","3,527,239","0.30K","0.95%"
"2025- 04- 24","3,595,146","3,569,928","3,595,146","3,400,000","0.31K","2.40%"
"2025- 04- 23","3,510,811","3,554,544","3,600,000","3,463,144","0.31K","-1.21%"
"2025- 04- 22","3,553,899","3,345,000","3,569,643","3,320,600","0.31K","6.25%"
"2025- 04- 21","3,345,000","3,242,503","3,368,500","3,239,974","0.30K","3.16%"
"2025- 04- 20","3,242,503","3,240,025","3,249,076","3,201,055","0.30K","0.08%"
"2025- 04- 19","3,240,025","3,213,254","3,255,000","3,210,535","0.29K","0.83%"
"2025- 04- 18","3,213,254","3,234,605","3,237,007","3,174,500","0.30K","-0.66%"
"2025- 04- 17","3,234,605","3,209,190","3,249,699","3,197,504","0.30K","0.79%"
"2025- 04- 16","3,209,190","3,190,914","3,260,000","3,160,001","0.30K","0.57%"
"2025- 04- 15","3,190,914","3,220,173","3,279,888","2,875,000","0.30K","-0.91%"
"2025- 04- 14","3,220,173","3,174,806","3,261,999","3,135,011","0.30K","1.43%"
"2025- 04- 13","3,174,806","3,231,000","3,260,000","3,155,001","0.30K","-1.74%"
"2025- 04- 12","3,231,000","3,185,481","3,255,111","2,984,000","0.30K","1.43%"
"2025- 04- 11","3,185,481","3,018,327","3,200,001","2,916,000","0.31K","5.54%"
"2025- 04- 10","3,018,327","3,093,522","3,123,729","2,979,768","0.30K","-2.43%"
"2025- 04- 09","3,093,522","2,916,661","3,150,000","2,829,000","0.32K","6.06%"
"2025- 04- 08","2,916,661","3,013,002","3,074,997","2,850,000","0.30K","-3.20%"
"2025- 04- 07","3,013,002","2,998,155","3,091,999","2,844,444","0.32K","0.50%"
"2025- 04- 06","2,998,155","3,180,526","3,190,000","2,950,000","0.30K","-5.73%"
"2025- 04- 05","3,180,526","3,192,716","3,204,000","3,142,000","0.30K","-0.38%"
"2025- 04- 04","3,192,716","3,169,326","3,225,000","3,110,000","0.30K","0.74%"
"2025- 04- 03","3,169,326","3,137,601","3,216,896","3,100,000","0.30K","1.01%"
"2025- 04- 02","3,137,601","3,255,900","3,345,000","3,134,806","0.30K","-3.63%"
"2025- 04- 01","3,255,900","3,162,261","3,259,999","3,155,980","0.30K","2.66%"
"2025- 03- 31","3,171,530","3,161,138","3,215,000","3,125,003","0.30K","0.33%"
"2025- 03- 30","3,161,138","3,203,100","3,229,999","3,144,353","0.29K","-1.31%"
"2025- 03- 29","3,203,100","3,256,422","3,277,180","3,150,000","0.30K","-1.64%"
"2025- 03- 28","3,256,422","3,323,208","3,325,000","3,210,000","0.30K","-2.01%"
"2025- 03- 27","3,323,208","3,314,037","3,344,000","3,265,033","0.30K","0.28%"
"2025- 03- 26","3,314,037","3,325,690","3,345,971","3,270,001","0.30K","-0.35%"
"2025- 03- 25","3,325,698","3,347,000","3,359,000","3,270,329","0.30K","-0.64%"
"2025- 03- 24","3,347,000","3,287,000","3,360,000","3,280,002","0.31K","1.83%"
"2025- 03- 23","3,287,000","3,241,313","3,342,000","3,210,000","0.30K","1.41%"
"2025- 03- 22","3,241,313","3,222,586","3,252,000","3,200,009","0.30K","0.58%"
"2025- 03- 21","3,222,586","3,199,347","3,237,778","3,170,000","0.30K","0.73%"
"2025- 03- 20","3,199,347","3,277,104","3,315,888","3,181,830","0.30K","-2.37%"
"2025- 03- 19","3,277,104","3,036,376","3,305,309","3,029,992","0.32K","7.93%"
"2025- 03- 18","3,036,376","3,076,218","3,081,876","2,981,011","0.30K","-1.30%"
"2025- 03- 17","3,076,218","3,045,148","3,095,000","3,021,000","0.31K","1.02%"
"2025- 03- 16","3,045,148","3,102,033","3,123,000","3,021,000","0.30K","-1.61%"
"2025- 03- 15","3,095,001","3,083,880","3,108,999","3,067,308","0.30K","0.36%"
"2025- 03- 14","3,083,880","2,971,240","3,116,662","2,966,000","0.31K","3.79%"
"2025- 03- 13","2,971,240","3,058,808","3,078,888","2,932,998","0.30K","-2.86%"
"2025- 03- 12","3,058,808","3,033,997","3,085,244","2,964,356","0.31K","0.82%"
"2025- 03- 11","3,033,997","2,880,000","3,065,746","2,820,000","0.31K","5.35%"
"2025- 03- 10","2,880,000","2,966,412","3,078,860","2,852,000","0.32K","-2.91%"
"2025- 03- 09","2,966,412","3,154,000","3,179,821","2,940,000","0.30K","-5.95%"
"2025- 03- 08","3,154,000","3,171,219","3,205,882","3,125,000","0.30K","-0.07%"
"2025- 03- 07","3,156,345","3,288,000","3,332,339","3,063,029","0.32K","-4.00%"
"2025- 03- 06","3,288,000","3,306,213","3,376,982","3,210,000","0.31K","-0.55%"
"2025- 03- 05","3,306,213","3,187,167","3,315,049","3,158,500","0.32K","3.74%"
"2025- 03- 04","3,187,167","3,390,000","3,390,000","2,990,000","0.32K","-5.98%"
"2025- 03- 03","3,390,000","3,405,709","3,415,171","3,300,212","0.30K","-0.46%"
"2025- 03- 02","3,405,709","3,154,157","3,444,355","3,104,768","0.34K","7.98%"
"2025- 03- 01","3,154,157","3,084,421","3,169,000","3,055,022","0.31K","2.26%"
"2025- 02- 28","3,084,421","3,098,984","3,102,515","2,860,346","0.33K","-0.47%"
"2025- 02- 27","3,098,984","3,076,234","3,169,899","3,022,005","0.31K","0.74%"
"2025- 02- 26","3,076,234","3,251,343","3,400,000","3,011,000","0.33K","-5.39%"
"2025- 02- 25","3,251,343","3,350,000","3,442,899","3,155,555","0.33K","-2.94%"
"2025- 02- 24","3,350,000","3,510,601","3,522,000","3,339,724","0.30K","-4.57%"
"2025- 02- 23","3,510,601","3,525,883","3,549,955","3,479,000","0.30K","-0.43%"
"2025- 02- 22","3,525,883","3,518,647","3,563,999","3,501,111","0.30K","-0.37%"
"2025- 02- 21","3,538,833","3,571,087","3,650,000","3,483,722","0.31K","-0.90%"
"2025- 02- 20","3,571,087","3,509,068","3,600,000","3,472,011","0.31K","1.77%"
"2025- 02- 19","3,509,068","3,476,000","3,520,000","3,421,111","0.31K","0.95%"
"2025- 02- 18","3,476,000","3,485,999","3,516,888","3,400,033","0.31K","-0.29%"
"2025- 02- 17","3,485,999","3,501,722","3,554,444","3,475,055","0.30K","-0.45%"
"2025- 02- 16","3,501,722","3,559,281","3,569,900","3,501,547","0.30K","-1.62%"
"2025- 02- 15","3,559,281","3,529,291","3,620,000","3,515,000","0.30K","0.85%"
"2025- 02- 14","3,529,291","3,490,744","3,555,900","3,460,011","0.31K","1.10%"
"2025- 02- 13","3,490,744","3,529,112","3,529,112","3,420,000","0.31K","-1.09%"
"2025- 02- 12","3,529,112","3,468,661","3,532,825","3,410,000","0.30K","1.74%"
"2025- 02- 11","3,468,661","3,508,922","3,545,800","3,429,312","0.30K","-1.15%"
"2025- 02- 10","3,508,922","3,489,806","3,539,999","3,420,000","0.30K","0.55%"
"2025- 02- 09","3,489,806","3,493,451","3,529,999","3,425,000","0.30K","-0.10%"
"2025- 02- 08","3,493,451","3,500,857","3,557,899","3,451,112","0.30K","-0.21%"
"2025- 02- 07","3,500,857","3,493,244","3,610,745","3,470,000","0.31K","0.22%"
"2025- 02- 06","3,493,244","3,483,000","3,569,766","3,450,000","0.31K","0.29%"
"2025- 02- 05","3,483,000","3,537,675","3,569,800","3,475,200","0.30K","-1.55%"
"2025- 02- 04","3,537,675","3,652,025","3,676,941","3,466,000","0.31K","-3.13%"
"2025- 02- 03","3,652,025","3,550,156","3,698,987","3,355,648","0.32K","2.87%"
"2025- 02- 02","3,550,156","3,618,816","3,689,298","3,500,000","0.31K","-1.90%"
"2025- 02- 01","3,618,816","3,677,100","3,698,950","3,615,777","0.30K","-1.59%"
"2025- 01- 31","3,677,100","3,750,995","3,784,000","3,650,511","0.31K","-1.97%"
"2025- 01- 30","3,750,995","3,731,746","3,794,000","3,702,222","0.31K","0.52%"
"2025- 01- 29","3,731,746","3,630,000","3,794,000","3,625,060","0.30K","2.80%"
"2025- 01- 28","3,630,000","3,652,875","3,707,602","3,570,011","0.31K","-0.63%"
"2025- 01- 27","3,652,875","3,680,005","3,748,481","3,510,000","0.32K","-0.74%"
"2025- 01- 26","3,680,005","3,753,215","3,800,000","3,680,005","0.30K","-1.95%"
"2025- 01- 25","3,753,215","3,759,354","3,800,000","3,732,743","0.30K","-0.16%"
"2025- 01- 24","3,759,354","3,706,665","3,825,000","3,682,025","0.31K","1.42%"
"2025- 01- 23","3,706,665","3,722,079","3,814,000","3,626,000","0.32K","-0.41%"
"2025- 01- 22","3,722,079","3,783,790","3,800,000","3,700,000","0.30K","-1.63%"
"2025- 01- 21","3,783,790","3,665,982","3,820,000","3,595,000","0.31K","3.21%"
"2025- 01- 20","3,665,982","3,637,509","3,920,000","3,585,011","0.34K","0.78%"
"2025- 01- 19","3,637,509","3,722,977","3,799,000","3,581,635","0.32K","-2.30%"
"2025- 01- 18","3,722,977","3,687,053","3,748,532","3,630,433","0.31K","0.97%"
"2025- 01- 17","3,687,053","3,547,000","3,750,000","3,510,002","0.33K","3.95%"
"2025- 01- 16","3,547,000","3,553,127","3,570,000","3,450,011","0.31K","-0.17%"
"2025- 01- 15","3,553,127","3,435,363","3,559,999","3,259,123","0.32K","3.43%"
"2025- 01- 14","3,435,363","3,367,999","3,460,483","3,300,000","0.31K","2.00%"
"2025- 01- 13","3,367,999","3,363,454","3,423,458","3,225,000","0.32K","0.31%"
"2025- 01- 11","3,357,689","3,371,233","3,371,233","3,341,251","0.30K","-0.40%"
"2025- 01- 10","3,371,233","3,286,226","3,400,000","3,266,000","0.31K","2.59%"
"2025- 01- 09","3,286,226","3,385,612","3,391,307","3,250,000","0.31K","-2.94%"
"2025- 01- 08","3,385,612","3,445,882","3,455,000","3,298,772","0.31K","-1.75%"
"2025- 01- 07","3,445,883","3,615,788","3,630,000","3,415,000","0.31K","-4.70%"
"2025- 01- 06","3,615,788","3,484,261","3,617,000","3,470,005","0.31K","3.77%"
"2025- 01- 05","3,484,261","3,487,818","3,500,000","3,451,879","0.30K","-0.10%"
"2025- 01- 04","3,487,818","3,470,558","3,506,000","3,434,222","0.30K","0.50%"
"2025- 01- 03","3,470,558","3,432,431","3,500,000","3,398,002","0.31K","1.21%"
"2025- 01- 02","3,429,231","3,355,330","3,455,000","3,342,053","0.31K","2.20%"
"2025- 01- 01","3,355,330","3,326,045","3,377,744","3,307,033","0.30K","0.88%"
"2024- 12- 31","3,326,045","3,291,438","3,399,230","3,268,000","0.31K","1.05%"
"2024- 12- 30","3,291,438","3,320,000","3,359,452","3,260,000","0.33K","-0.86%"
"2024- 12- 29","3,320,000","3,369,999","3,372,859","3,290,000","0.30K","-1.48%"
"2024- 12- 28","3,369,999","3,341,027","3,377,489","3,335,090","0.30K","0.87%"
"2024- 12- 27","3,341,027","3,398,756","3,431,988","3,319,861","0.30K","-1.70%"
"2024- 12- 26","3,398,756","3,515,143","3,534,078","3,370,000","0.30K","-3.31%"
"2024- 12- 25","3,515,143","3,477,407","3,520,000","3,431,000","0.30K","1.09%"
"2024- 12- 24","3,477,407","3,349,182","3,509,093","3,300,159","0.31K","3.83%"
"2024- 12- 23","3,349,182","3,384,061","3,425,181","3,247,222","0.31K","-1.03%"
"2024- 12- 22","3,384,061","3,459,691","3,500,000","3,359,799","0.30K","-2.19%"
"2024- 12- 21","3,459,691","3,470,133","3,546,500","3,419,781","0.31K","-0.30%"
"2024- 12- 20","3,470,133","3,452,461","3,549,965","3,270,079","0.32K","0.51%"
"2024- 12- 19","3,452,461","3,531,112","3,648,888","3,380,000","0.33K","-2.23%"
"2024- 12- 18","3,531,112","3,730,927","3,739,477","3,530,000","0.31K","-5.36%"
"2024- 12- 17","3,730,927","3,710,693","3,790,000","3,695,000","0.31K","0.55%"
"2024- 12- 16","3,710,693","3,663,020","3,771,000","3,611,259","0.32K","1.30%"
"2024- 12- 15","3,663,020","3,565,000","3,689,999","3,560,000","0.31K","2.75%"
"2024- 12- 14","3,565,000","3,547,384","3,598,000","3,521,088","0.30K","0.50%"
"2024- 12- 13","3,547,384","3,496,407","3,563,898","3,475,000","0.31K","1.46%"
"2024- 12- 12","3,496,407","3,539,952","3,575,000","3,461,000","0.31K","-1.23%"
"2024- 12- 11","3,539,952","3,390,000","3,555,000","3,362,750","0.32K","4.42%"
"2024- 12- 10","3,390,000","3,422,625","3,495,000","3,300,000","0.32K","-0.95%"
"2024- 12- 09","3,422,625","3,525,333","3,527,999","3,320,000","0.31K","-2.91%"
"2024- 12- 08","3,525,333","3,480,157","3,527,999","3,450,011","0.30K","1.30%"
"2024- 12- 07","3,480,157","3,480,446","3,529,999","3,460,000","0.31K","-0.01%"
"2024- 12- 06","3,480,446","3,399,798","3,569,000","3,350,259","0.32K","2.37%"
"2024- 12- 05","3,399,798","3,435,001","3,600,999","3,208,083","0.35K","-1.02%"
"2024- 12- 04","3,435,001","3,327,368","3,450,000","3,288,376","0.33K","3.23%"
"2024- 12- 03","3,327,368","3,325,000","3,360,000","3,270,000","0.31K","0.07%"
"2024- 12- 02","3,325,000","3,354,371","3,390,000","3,300,750","0.32K","-0.88%"
"2024- 12- 01","3,354,371","3,341,151","3,380,380","3,330,000","0.31K","0.40%"
"2024- 11- 30","3,341,151","3,372,663","3,377,000","3,330,000","0.31K","-0.93%"
"2024- 11- 29","3,372,663","3,306,000","3,410,000","3,275,000","0.31K","2.02%"
"2024- 11- 28","3,306,000","3,320,000","3,340,000","3,270,152","0.31K","-0.42%"
"2024- 11- 27","3,320,000","3,189,000","3,369,977","3,189,000","0.32K","4.11%"
"2024- 11- 26","3,189,000","3,251,084","3,328,700","3,155,202","0.32K","-1.91%"
"2024- 11- 25","3,251,084","3,379,999","3,410,000","3,220,000","0.32K","-3.81%"
"2024- 11- 24","3,379,999","3,376,001","3,400,000","3,300,000","0.31K","-0.21%"
"2024- 11- 23","3,386,998","3,425,995","3,425,995","3,355,500","0.32K","-1.14%"
"2024- 11- 22","3,425,995","3,383,701","3,457,777","3,360,025","0.33K","1.07%"
"2024- 11- 21","3,389,759","3,265,673","3,410,772","3,230,259","0.34K","3.80%"
"2024- 11- 20","3,265,673","3,188,248","3,279,900","3,169,000","0.32K","2.43%"
"2024- 11- 19","3,188,248","3,126,945","3,243,001","3,123,123","0.32K","1.96%"
"2024- 11- 18","3,126,945","3,100,500","3,196,000","3,083,053","0.32K","0.85%"
"2024- 11- 17","3,100,500","3,137,399","3,157,000","3,055,556","0.31K","-1.18%"
"2024- 11- 16","3,137,399","3,129,939","3,160,000","3,100,489","0.32K","0.24%"
"2024- 11- 15","3,129,939","3,038,200","3,170,000","3,016,813","0.33K","3.02%"
"2024- 11- 14","3,038,200","3,102,983","3,161,900","3,008,703","0.34K","-2.09%"
"2024- 11- 13","3,102,983","3,005,312","3,199,899","2,980,000","0.35K","3.25%"
"2024- 11- 12","3,005,312","3,025,000","3,098,000","2,910,259","0.38K","-0.65%"
"2024- 11- 11","3,025,000","2,760,000","3,075,000","2,700,000","0.36K","9.60%"
"2024- 11- 10","2,760,000","2,645,095","2,795,000","2,630,255","0.33K","4.34%"
"2024- 11- 09","2,645,095","2,644,001","2,669,700","2,620,259","0.32K","0.04%"
"2024- 11- 08","2,644,001","2,607,715","2,665,000","2,581,600","0.32K","1.39%"
"2024- 11- 07","2,607,715","2,595,000","2,635,000","2,450,000","0.33K","0.49%"
"2024- 11- 06","2,595,000","2,400,000","2,624,996","2,390,481","0.35K","8.12%"
"2024- 11- 05","2,400,000","2,351,999","2,430,000","2,334,000","0.31K","2.04%"
"2024- 11- 04","2,351,999","2,379,539","2,416,500","2,310,101","0.31K","-1.16%"
"2024- 11- 03","2,379,539","2,412,031","2,427,900","2,343,456","0.31K","-1.35%"
"2024- 11- 02","2,412,031","2,405,113","2,445,000","2,390,122","0.31K","0.29%"
"2024- 11- 01","2,405,113","2,423,146","2,993,651","2,367,530","0.33K","-0.74%"
"2024- 10- 31","2,423,146","2,488,485","2,497,800","2,395,000","0.30K","-2.63%"
"2024- 10- 30","2,488,485","2,495,899","2,499,300","2,441,111","0.31K","-0.30%"
"2024- 10- 29","2,495,899","2,402,944","2,525,000","2,392,416","0.32K","3.87%"
"2024- 10- 28","2,402,944","2,346,808","2,419,999","2,330,004","0.32K","2.39%"
"2024- 10- 27","2,346,808","2,328,579","2,355,000","2,304,840","0.30K","0.78%"
"2024- 10- 26","2,328,579","2,308,997","2,339,965","2,280,089","0.31K","0.85%"
"2024- 10- 25","2,308,997","2,340,000","2,360,001","2,275,152","0.31K","-1.32%"
"2024- 10- 24","2,340,000","2,293,500","2,359,500","2,280,011","0.31K","2.03%"
"2024- 10- 23","2,293,500","2,309,718","2,318,138","2,250,001","0.30K","-0.70%"
"2024- 10- 22","2,309,718","2,309,996","2,331,000","2,285,000","0.31K","-0.01%"
"2024- 10- 21","2,309,996","2,360,362","2,370,555","2,290,002","0.32K","-2.13%"
"2024- 10- 20","2,360,362","2,345,804","2,370,555","2,333,601","0.31K","0.62%"
"2024- 10- 19","2,345,804","2,341,939","2,359,505","2,323,111","0.30K","0.17%"
"2024- 10- 18","2,341,939","2,307,112","2,364,999","2,297,752","0.31K","1.51%"
"2024- 10- 17","2,307,112","2,307,204","2,324,000","2,275,535","0.30K","0.00%"
"2024- 10- 16","2,307,204","2,296,661","2,341,000","2,240,000","0.32K","0.46%"
