"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","0.7530","0.7571","0.7610","0.7512","","-0.55%"
"2025- 07- 31","0.7572","0.7556","0.7585","0.7528","","0.24%"
"2025- 07- 30","0.7554","0.7490","0.7561","0.7470","","0.85%"
"2025- 07- 29","0.7490","0.7484","0.7515","0.7482","","0.04%"
"2025- 07- 28","0.7487","0.7444","0.7491","0.7433","","0.61%"
"2025- 07- 27","0.7442","0.7445","0.7447","0.7438","","0.01%"
"2025- 07- 25","0.7441","0.7402","0.7454","0.7397","","0.53%"
"2025- 07- 24","0.7402","0.7366","0.7407","0.7358","","0.53%"
"2025- 07- 23","0.7363","0.7390","0.7400","0.7361","","-0.35%"
"2025- 07- 22","0.7389","0.7414","0.7429","0.7388","","-0.31%"
"2025- 07- 21","0.7412","0.7460","0.7464","0.7401","","-0.62%"
"2025- 07- 18","0.7458","0.7457","0.7460","0.7420","","0.05%"
"2025- 07- 17","0.7454","0.7452","0.7478","0.7445","","0.05%"
"2025- 07- 16","0.7450","0.7472","0.7483","0.7414","","-0.29%"
"2025- 07- 15","0.7472","0.7447","0.7475","0.7424","","0.34%"
"2025- 07- 14","0.7447","0.7407","0.7450","0.7402","","0.54%"
"2025- 07- 11","0.7407","0.7370","0.7418","0.7360","","0.56%"
"2025- 07- 10","0.7366","0.7359","0.7390","0.7342","","0.10%"
"2025- 07- 09","0.7359","0.7357","0.7373","0.7342","","0.03%"
"2025- 07- 08","0.7357","0.7353","0.7394","0.7327","","0.05%"
"2025- 07- 07","0.7353","0.7335","0.7367","0.7316","","0.40%"
"2025- 07- 04","0.7324","0.7322","0.7335","0.7308","","0.01%"
"2025- 07- 03","0.7323","0.7333","0.7361","0.7312","","-0.14%"
"2025- 07- 02","0.7333","0.7275","0.7374","0.7271","","0.80%"
"2025- 07- 01","0.7275","0.7281","0.7298","0.7252","","-0.08%"
"2025- 06- 30","0.7281","0.7300","0.7314","0.7277","","-0.14%"
"2025- 06- 27","0.7291","0.7282","0.7309","0.7271","","0.10%"
"2025- 06- 26","0.7284","0.7318","0.7324","0.7261","","-0.46%"
"2025- 06- 25","0.7318","0.7345","0.7359","0.7314","","-0.37%"
"2025- 06- 24","0.7345","0.7394","0.7404","0.7326","","-0.66%"
"2025- 06- 23","0.7394","0.7446","0.7480","0.7390","","-0.55%"
"2025- 06- 20","0.7435","0.7426","0.7440","0.7400","","0.13%"
"2025- 06- 19","0.7425","0.7447","0.7473","0.7423","","-0.35%"
"2025- 06- 18","0.7451","0.7445","0.7463","0.7419","","0.05%"
"2025- 06- 17","0.7447","0.7364","0.7455","0.7361","","1.11%"
"2025- 06- 16","0.7365","0.7372","0.7390","0.7340","","-0.09%"
"2025- 06- 13","0.7372","0.7346","0.7399","0.7335","","0.35%"
"2025- 06- 12","0.7346","0.7378","0.7396","0.7339","","-0.49%"
"2025- 06- 11","0.7382","0.7409","0.7428","0.7370","","-0.36%"
"2025- 06- 10","0.7409","0.7377","0.7432","0.7371","","0.39%"
"2025- 06- 09","0.7380","0.7392","0.7396","0.7362","","-0.19%"
"2025- 06- 06","0.7394","0.7365","0.7404","0.7360","","0.34%"
"2025- 06- 05","0.7369","0.7376","0.7386","0.7343","","-0.12%"
"2025- 06- 04","0.7378","0.7398","0.7407","0.7363","","-0.27%"
"2025- 06- 03","0.7398","0.7387","0.7412","0.7373","","0.20%"
"2025- 06- 02","0.7383","0.7431","0.7434","0.7374","","-0.62%"
"2025- 05- 30","0.7429","0.7413","0.7437","0.7401","","0.22%"
"2025- 05- 29","0.7413","0.7422","0.7456","0.7403","","-0.16%"
"2025- 05- 28","0.7425","0.7402","0.7435","0.7394","","0.28%"
"2025- 05- 27","0.7404","0.7372","0.7408","0.7359","","0.42%"
"2025- 05- 26","0.7373","0.7398","0.7401","0.7356","","-0.19%"
"2025- 05- 23","0.7387","0.7452","0.7457","0.7384","","-0.87%"
"2025- 05- 22","0.7452","0.7452","0.7468","0.7439","","0.00%"
"2025- 05- 21","0.7452","0.7466","0.7474","0.7424","","-0.19%"
