"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","4.2775","4.2700","4.2850","4.2660","","0.29%"
"2025- 07- 31","4.2650","4.2450","4.2710","4.2450","","0.59%"
"2025- 07- 30","4.2400","4.2350","4.2425","4.2275","","0.13%"
"2025- 07- 29","4.2345","4.2350","4.2425","4.2300","","0.08%"
"2025- 07- 28","4.2310","4.2225","4.2315","4.2190","","0.23%"
"2025- 07- 25","4.2215","4.2150","4.2275","4.2145","","0.14%"
"2025- 07- 24","4.2155","4.2200","4.2230","4.2140","","-0.28%"
"2025- 07- 23","4.2275","4.2300","4.2305","4.2230","","-0.09%"
"2025- 07- 22","4.2315","4.2315","4.2335","4.2260","","-0.09%"
"2025- 07- 21","4.2355","4.2450","4.2470","4.2295","","-0.25%"
"2025- 07- 18","4.2460","4.2480","4.2480","4.2425","","-0.01%"
"2025- 07- 17","4.2465","4.2455","4.2525","4.2435","","0.04%"
"2025- 07- 16","4.2450","4.2550","4.2575","4.2435","","0.07%"
"2025- 07- 15","4.2420","4.2550","4.2575","4.2395","","-0.25%"
"2025- 07- 14","4.2525","4.2525","4.2580","4.2360","","0.00%"
"2025- 07- 11","4.2525","4.2540","4.2618","4.2500","","0.12%"
"2025- 07- 10","4.2475","4.2465","4.2540","4.2415","","-0.07%"
"2025- 07- 09","4.2505","4.2475","4.2560","4.2475","","0.22%"
"2025- 07- 08","4.2410","4.2360","4.2460","4.2340","","0.14%"
"2025- 07- 07","4.2350","4.2210","4.2435","4.2145","","0.33%"
"2025- 07- 04","4.2210","4.2300","4.2370","4.2165","","-0.04%"
"2025- 07- 03","4.2225","4.2225","4.2255","4.2150","","-0.15%"
"2025- 07- 02","4.2290","4.2075","4.2290","4.1975","","0.75%"
"2025- 07- 01","4.1975","4.1990","4.2050","4.1765","","-0.34%"
"2025- 06- 30","4.2120","4.2360","4.2360","4.2100","","-0.40%"
"2025- 06- 27","4.2290","4.2290","4.2290","4.2290","","0.00%"
"2025- 06- 26","4.2290","4.2350","4.2350","4.2150","","-0.22%"
"2025- 06- 25","4.2385","4.2360","4.2410","4.2325","","-0.13%"
"2025- 06- 24","4.2440","4.2850","4.2850","4.2435","","-1.19%"
"2025- 06- 23","4.2950","4.2550","4.2950","4.2550","","1.00%"
"2025- 06- 20","4.2525","4.2500","4.2635","4.2450","","-0.18%"
"2025- 06- 19","4.2600","4.2525","4.2655","4.2500","","0.22%"
"2025- 06- 18","4.2505","4.2360","4.2575","4.2360","","0.12%"
"2025- 06- 17","4.2455","4.2425","4.2500","4.2360","","0.12%"
"2025- 06- 16","4.2405","4.2500","4.2510","4.2305","","-0.12%"
"2025- 06- 13","4.2455","4.2175","4.2525","4.2155","","0.58%"
"2025- 06- 12","4.2210","4.2340","4.2340","4.2210","","-0.39%"
"2025- 06- 11","4.2375","4.2330","4.2415","4.2325","","0.05%"
"2025- 06- 10","4.2355","4.2350","4.2385","4.2285","","0.12%"
"2025- 06- 09","4.2305","4.2425","4.2450","4.2253","","0.07%"
"2025- 06- 06","4.2275","4.2295","4.2330","4.2250","","-0.06%"
"2025- 06- 05","4.2300","4.2450","4.2505","4.2275","","-0.40%"
"2025- 06- 04","4.2470","4.2500","4.2565","4.2405","","0.05%"
"2025- 06- 03","4.2450","4.2565","4.2565","4.2350","","-0.27%"
"2025- 06- 02","4.2565","4.2565","4.2565","4.2565","","0.00%"
"2025- 05- 30","4.2565","4.2400","4.2600","4.2200","","0.29%"
"2025- 05- 29","4.2440","4.2300","4.2585","4.2290","","0.45%"
"2025- 05- 28","4.2250","4.2425","4.2560","4.2240","","-0.33%"
"2025- 05- 27","4.2390","4.2150","4.2400","4.1965","","0.47%"
"2025- 05- 26","4.2190","4.2310","4.2330","4.2010","","-0.28%"
"2025- 05- 23","4.2310","4.2700","4.2775","4.2300","","-1.03%"
"2025- 05- 22","4.2750","4.2700","4.2785","4.2445","","0.12%"
"2025- 05- 21","4.2700","4.2950","4.2950","4.2625","","-0.67%"
"2025- 05- 20","4.2990","4.2950","4.3155","4.2835","","0.19%"
"2025- 05- 19","4.2910","4.2960","4.3155","4.2910","","-0.12%"
"2025- 05- 16","4.2960","4.2800","4.2960","4.2645","","0.30%"
"2025- 05- 15","4.2830","4.2950","4.3040","4.2766","","-0.16%"
"2025- 05- 14","4.2900","4.3160","4.3185","4.2840","","-0.75%"
"2025- 05- 13","4.3225","4.3350","4.3405","4.3175","","0.59%"
"2025- 05- 12","4.2970","4.2970","4.2970","4.2970","","0.00%"
"2025- 05- 09","4.2970","4.2825","4.3260","4.2825","","0.37%"
"2025- 05- 08","4.2810","4.2450","4.2840","4.2450","","0.99%"
"2025- 05- 07","4.2390","4.2175","4.2450","4.2150","","0.15%"
"2025- 05- 06","4.2325","4.2025","4.2430","4.2025","","0.77%"
"2025- 05- 05","4.2000","4.2615","4.2615","4.1865","","-1.44%"
"2025- 05- 02","4.2615","4.3200","4.3305","4.2550","","-1.24%"
"2025- 05- 01","4.3150","4.3150","4.3150","4.3150","","0.00%"
"2025- 04- 30","4.3150","4.3250","4.3260","4.3040","","-0.29%"
"2025- 04- 29","4.3275","4.3600","4.3600","4.3190","","-0.81%"
"2025- 04- 28","4.3630","4.3740","4.3805","4.3620","","-0.25%"
"2025- 04- 25","4.3740","4.3695","4.3815","4.3680","","0.02%"
"2025- 04- 24","4.3730","4.3950","4.4100","4.3690","","-0.41%"
"2025- 04- 23","4.3910","4.3925","4.4150","4.3910","","-0.01%"
"2025- 04- 22","4.3915","4.3785","4.3920","4.3760","","0.56%"
"2025- 04- 21","4.3670","4.4075","4.4075","4.3690","","-0.98%"
"2025- 04- 18","4.4100","4.4095","4.4175","4.4040","","0.11%"
"2025- 04- 17","4.4050","4.4105","4.4210","4.3925","","-0.07%"
"2025- 04- 16","4.4080","4.4150","4.4205","4.4075","","-0.05%"
"2025- 04- 15","4.4100","4.4150","4.4205","4.4000","","0.00%"
"2025- 04- 14","4.4100","4.4225","4.4315","4.4035","","-0.23%"
"2025- 04- 11","4.4200","4.4650","4.4650","4.4160","","-1.03%"
"2025- 04- 10","4.4660","4.4925","4.4925","4.4655","","-0.62%"
"2025- 04- 09","4.4940","4.5025","4.5075","4.4870","","0.11%"
"2025- 04- 08","4.4890","4.4900","4.5030","4.4790","","0.29%"
"2025- 04- 07","4.4760","4.4300","4.4805","4.4250","","0.95%"
"2025- 04- 04","4.4340","4.4340","4.4405","4.4140","","-0.14%"
"2025- 04- 03","4.4400","4.4600","4.4825","4.4395","","-0.25%"
