"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","1.6902","1.6978","1.7077","1.6864","","-0.46%"
"2025- 07- 31","1.6980","1.6968","1.6985","1.6841","","0.10%"
"2025- 07- 30","1.6963","1.6794","1.6983","1.6745","","1.02%"
"2025- 07- 29","1.6792","1.6732","1.6830","1.6728","","0.24%"
"2025- 07- 28","1.6751","1.6596","1.6763","1.6563","","0.82%"
"2025- 07- 27","1.6616","1.6626","1.6629","1.6601","","-0.03%"
"2025- 07- 25","1.6621","1.6588","1.6674","1.6555","","0.19%"
"2025- 07- 24","1.6589","1.6539","1.6595","1.6500","","0.30%"
"2025- 07- 23","1.6540","1.6664","1.6693","1.6533","","-0.73%"
"2025- 07- 22","1.6661","1.6732","1.6837","1.6652","","-0.56%"
"2025- 07- 21","1.6755","1.6755","1.6841","1.6706","","-0.10%"
"2025- 07- 18","1.6772","1.6855","1.6881","1.6689","","-0.52%"
"2025- 07- 17","1.6860","1.6815","1.6937","1.6793","","0.27%"
"2025- 07- 16","1.6815","1.6805","1.6916","1.6749","","-0.01%"
"2025- 07- 15","1.6817","1.6732","1.6841","1.6646","","0.45%"
"2025- 07- 14","1.6742","1.6615","1.6756","1.6587","","0.64%"
"2025- 07- 11","1.6635","1.6569","1.6665","1.6544","","0.40%"
"2025- 07- 10","1.6569","1.6671","1.6679","1.6565","","-0.56%"
"2025- 07- 09","1.6663","1.6673","1.6737","1.6625","","-0.05%"
"2025- 07- 08","1.6671","1.6681","1.6725","1.6572","","-0.08%"
"2025- 07- 07","1.6684","1.6463","1.6702","1.6458","","1.16%"
"2025- 07- 04","1.6492","1.6457","1.6530","1.6440","","0.12%"
"2025- 07- 03","1.6472","1.6438","1.6587","1.6400","","0.32%"
"2025- 07- 02","1.6419","1.6397","1.6530","1.6373","","0.14%"
"2025- 07- 01","1.6396","1.6434","1.6462","1.6336","","-0.05%"
"2025- 06- 30","1.6405","1.6549","1.6570","1.6395","","-0.65%"
"2025- 06- 27","1.6512","1.6525","1.6566","1.6449","","0.02%"
"2025- 06- 26","1.6509","1.6566","1.6587","1.6460","","-0.29%"
"2025- 06- 25","1.6557","1.6652","1.6657","1.6547","","-0.55%"
"2025- 06- 24","1.6649","1.6756","1.6763","1.6552","","-0.47%"
"2025- 06- 23","1.6727","1.6777","1.7000","1.6720","","-0.27%"
"2025- 06- 20","1.6772","1.6713","1.6777","1.6638","","0.52%"
"2025- 06- 19","1.6685","1.6558","1.6783","1.6558","","0.59%"
"2025- 06- 18","1.6587","1.6618","1.6643","1.6506","","-0.24%"
"2025- 06- 17","1.6627","1.6500","1.6640","1.6446","","0.78%"
"2025- 06- 16","1.6498","1.6595","1.6663","1.6424","","-0.84%"
"2025- 06- 13","1.6638","1.6476","1.6682","1.6473","","0.98%"
"2025- 06- 12","1.6476","1.6584","1.6652","1.6468","","-0.67%"
"2025- 06- 11","1.6587","1.6528","1.6605","1.6484","","0.39%"
"2025- 06- 10","1.6522","1.6535","1.6592","1.6503","","-0.09%"
"2025- 06- 09","1.6537","1.6619","1.6646","1.6484","","-0.54%"
"2025- 06- 06","1.6627","1.6571","1.6650","1.6525","","0.33%"
"2025- 06- 05","1.6572","1.6591","1.6601","1.6443","","-0.11%"
"2025- 06- 04","1.6591","1.6674","1.6692","1.6555","","-0.50%"
"2025- 06- 03","1.6674","1.6571","1.6703","1.6514","","0.62%"
"2025- 06- 02","1.6572","1.6729","1.6793","1.6544","","-1.22%"
"2025- 05- 30","1.6777","1.6774","1.6815","1.6679","","0.10%"
"2025- 05- 29","1.6760","1.6756","1.6881","1.6685","","0.01%"
"2025- 05- 28","1.6758","1.6788","1.6882","1.6721","","-0.33%"
"2025- 05- 27","1.6813","1.6668","1.6837","1.6647","","0.87%"
"2025- 05- 26","1.6668","1.6719","1.6738","1.6577","","-0.17%"
"2025- 05- 23","1.6696","1.6934","1.6965","1.6692","","-1.52%"
"2025- 05- 22","1.6954","1.6835","1.6968","1.6793","","0.69%"
"2025- 05- 21","1.6837","1.6875","1.6902","1.6754","","-0.23%"
"2025- 05- 20","1.6875","1.6861","1.6968","1.6854","","0.08%"
"2025- 05- 19","1.6861","1.7003","1.7037","1.6854","","-0.82%"
"2025- 05- 16","1.7001","1.7030","1.7052","1.6894","","-0.08%"
"2025- 05- 15","1.7014","1.6949","1.7067","1.6901","","0.37%"
"2025- 05- 14","1.6951","1.6839","1.6969","1.6751","","0.66%"
"2025- 05- 13","1.6840","1.7074","1.7105","1.6825","","-1.39%"
"2025- 05- 12","1.7078","1.6912","1.7106","1.6831","","0.90%"
"2025- 05- 09","1.6925","1.6935","1.7036","1.6888","","-0.06%"
"2025- 05- 08","1.6935","1.6832","1.6948","1.6735","","0.60%"
"2025- 05- 07","1.6834","1.6640","1.6851","1.6601","","1.15%"
"2025- 05- 06","1.6643","1.6758","1.6825","1.6627","","-0.69%"
"2025- 05- 05","1.6758","1.6797","1.6848","1.6677","","-0.33%"
"2025- 05- 02","1.6814","1.6919","1.6941","1.6727","","-0.68%"
"2025- 05- 01","1.6929","1.6842","1.6970","1.6800","","0.46%"
"2025- 04- 30","1.6851","1.6861","1.6957","1.6806","","-0.05%"
"2025- 04- 29","1.6860","1.6726","1.6874","1.6702","","0.81%"
"2025- 04- 28","1.6725","1.6782","1.6869","1.6713","","-0.29%"
"2025- 04- 25","1.6774","1.6677","1.6814","1.6660","","0.59%"
"2025- 04- 24","1.6675","1.6820","1.6834","1.6662","","-0.87%"
"2025- 04- 23","1.6821","1.6752","1.6848","1.6627","","0.37%"
"2025- 04- 22","1.6759","1.6667","1.6769","1.6584","","0.59%"
"2025- 04- 21","1.6661","1.6843","1.6894","1.6610","","-1.07%"
"2025- 04- 18","1.6841","1.6766","1.6882","1.6734","","0.61%"
"2025- 04- 17","1.6739","1.6854","1.6951","1.6727","","-0.65%"
"2025- 04- 16","1.6849","1.6952","1.6991","1.6842","","-0.59%"
"2025- 04- 15","1.6949","1.7042","1.7064","1.6821","","-0.39%"
"2025- 04- 14","1.7015","1.7169","1.7203","1.6971","","-0.89%"
"2025- 04- 11","1.7167","1.7427","1.7437","1.7119","","-1.45%"
"2025- 04- 10","1.7419","1.7718","1.7772","1.7342","","-1.67%"
"2025- 04- 09","1.7715","1.8101","1.8232","1.7642","","-1.96%"
"2025- 04- 08","1.8070","1.8085","1.8116","1.7772","","0.09%"
"2025- 04- 07","1.8054","1.7862","1.8164","1.7714","","1.03%"
"2025- 04- 04","1.7870","1.7255","1.8017","1.7220","","3.56%"
"2025- 04- 03","1.7256","1.7433","1.7604","1.7083","","-0.81%"
"2025- 04- 02","1.7397","1.7530","1.7555","1.7301","","-0.80%"
"2025- 04- 01","1.7538","1.7612","1.7660","1.7527","","-0.40%"
"2025- 03- 31","1.7609","1.7454","1.7707","1.7426","","0.67%"
"2025- 03- 28","1.7492","1.7421","1.7512","1.7405","","0.42%"
"2025- 03- 27","1.7419","1.7454","1.7509","1.7372","","-0.19%"
"2025- 03- 26","1.7452","1.7443","1.7504","1.7351","","0.09%"
"2025- 03- 25","1.7437","1.7455","1.7513","1.7385","","-0.09%"
"2025- 03- 24","1.7452","1.7426","1.7516","1.7372","","0.09%"
"2025- 03- 21","1.7437","1.7371","1.7470","1.7335","","0.44%"
"2025- 03- 20","1.7361","1.7193","1.7477","1.7162","","0.99%"
"2025- 03- 19","1.7191","1.7182","1.7318","1.7178","","0.09%"
"2025- 03- 18","1.7176","1.7181","1.7249","1.7146","","-0.02%"
"2025- 03- 17","1.7179","1.7414","1.7457","1.7162","","-1.24%"
"2025- 03- 14","1.7394","1.7550","1.7567","1.7372","","-0.85%"
"2025- 03- 13","1.7544","1.7481","1.7601","1.7414","","0.56%"
"2025- 03- 12","1.7446","1.7495","1.7552","1.7436","","-0.25%"
"2025- 03- 11","1.7489","1.7549","1.7617","1.7460","","-0.31%"
"2025- 03- 10","1.7544","1.7497","1.7579","1.7411","","0.19%"
"2025- 03- 07","1.7510","1.7423","1.7570","1.7416","","0.44%"
"2025- 03- 06","1.7434","1.7461","1.7484","1.7360","","-0.15%"
"2025- 03- 05","1.7461","1.7652","1.7742","1.7445","","-1.07%"
"2025- 03- 04","1.7649","1.7803","1.7874","1.7648","","-0.85%"
"2025- 03- 03","1.7800","1.7846","1.7881","1.7731","","-0.27%"
"2025- 02- 28","1.7848","1.7745","1.7907","1.7738","","0.56%"
"2025- 02- 27","1.7749","1.7556","1.7767","1.7537","","1.12%"
"2025- 02- 26","1.7553","1.7487","1.7583","1.7442","","0.53%"
