"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","32.475","32.770","32.895","32.435","","-0.87%"
"2025- 07- 31","32.760","32.715","32.795","32.615","","0.09%"
"2025- 07- 30","32.730","32.420","32.760","32.325","","1.10%"
"2025- 07- 29","32.375","32.475","32.545","32.350","","-0.40%"
"2025- 07- 28","32.505","32.425","32.505","32.345","","0.23%"
"2025- 07- 27","32.431","32.400","32.439","32.371","","0.19%"
"2025- 07- 25","32.370","32.260","32.450","32.210","","0.37%"
"2025- 07- 24","32.250","32.180","32.350","32.090","","0.25%"
"2025- 07- 23","32.170","32.180","32.255","32.120","","-0.03%"
"2025- 07- 22","32.180","32.210","32.345","32.125","","-0.17%"
"2025- 07- 21","32.235","32.415","32.450","32.205","","-0.43%"
"2025- 07- 18","32.375","32.510","32.525","32.330","","-0.38%"
"2025- 07- 17","32.500","32.445","32.600","32.425","","0.12%"
"2025- 07- 16","32.460","32.575","32.650","32.340","","-0.35%"
"2025- 07- 15","32.575","32.480","32.610","32.375","","0.29%"
"2025- 07- 14","32.480","32.430","32.520","32.370","","0.11%"
"2025- 07- 11","32.445","32.605","32.700","32.345","","-0.54%"
"2025- 07- 10","32.620","32.630","32.735","32.530","","-0.08%"
"2025- 07- 09","32.645","32.555","32.770","32.520","","0.23%"
"2025- 07- 08","32.570","32.615","32.670","32.425","","-0.18%"
"2025- 07- 07","32.630","32.380","32.665","32.370","","0.83%"
"2025- 07- 04","32.360","32.440","32.525","32.285","","-0.25%"
"2025- 07- 03","32.440","32.370","32.520","32.285","","0.40%"
"2025- 07- 02","32.310","32.440","32.540","32.295","","-0.43%"
"2025- 07- 01","32.450","32.420","32.640","32.370","","0.06%"
"2025- 06- 30","32.430","32.580","32.655","32.410","","-0.38%"
"2025- 06- 27","32.555","32.495","32.675","32.420","","0.37%"
"2025- 06- 26","32.435","32.520","32.615","32.310","","-0.23%"
"2025- 06- 25","32.510","32.640","32.705","32.500","","-0.43%"
"2025- 06- 24","32.650","32.725","32.840","32.600","","-0.27%"
"2025- 06- 23","32.740","32.880","33.060","32.705","","-0.23%"
"2025- 06- 20","32.815","32.760","32.910","32.675","","0.14%"
"2025- 06- 19","32.770","32.655","32.955","32.630","","0.31%"
"2025- 06- 18","32.670","32.600","32.700","32.520","","0.25%"
"2025- 06- 17","32.590","32.440","32.655","32.400","","0.49%"
"2025- 06- 16","32.430","32.430","32.515","32.390","","0.08%"
"2025- 06- 13","32.405","32.390","32.535","32.295","","0.08%"
"2025- 06- 12","32.380","32.645","32.645","32.330","","-0.71%"
"2025- 06- 11","32.610","32.640","32.700","32.530","","-0.12%"
"2025- 06- 10","32.650","32.675","32.765","32.560","","-0.06%"
"2025- 06- 09","32.670","32.720","32.780","32.620","","-0.32%"
"2025- 06- 06","32.775","32.610","32.780","32.555","","0.54%"
"2025- 06- 05","32.600","32.615","32.705","32.460","","-0.09%"
"2025- 06- 04","32.630","32.620","32.770","32.525","","-0.08%"
"2025- 06- 03","32.655","32.525","32.690","32.505","","0.43%"
"2025- 06- 02","32.515","32.820","32.870","32.490","","-1.06%"
"2025- 05- 30","32.865","32.580","32.900","32.460","","0.84%"
"2025- 05- 29","32.590","32.710","32.905","32.505","","-0.35%"
"2025- 05- 28","32.705","32.750","32.810","32.585","","-0.17%"
"2025- 05- 27","32.760","32.595","32.835","32.490","","0.46%"
