"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","40.6170","40.6323","40.8251","40.4503","","-0.04%"
"2025- 07- 31","40.6332","40.5883","40.7340","40.4656","","0.11%"
"2025- 07- 30","40.5883","40.5824","40.7185","40.4389","","0.02%"
"2025- 07- 29","40.5813","40.5464","40.7140","40.3828","","0.07%"
"2025- 07- 28","40.5517","40.5535","40.8831","40.3992","","0.01%"
"2025- 07- 27","40.5487","40.5485","40.5887","40.2545","","-0.03%"
"2025- 07- 25","40.5624","40.6644","40.7482","40.3482","","-0.25%"
"2025- 07- 24","40.6643","40.4476","40.9082","40.2778","","0.54%"
"2025- 07- 23","40.4470","40.4058","40.6632","40.2647","","0.13%"
"2025- 07- 22","40.3935","40.3846","40.5676","40.2542","","0.02%"
"2025- 07- 21","40.3845","40.3798","40.5503","40.1315","","-0.02%"
"2025- 07- 18","40.3945","40.3082","40.5492","40.1141","","0.26%"
"2025- 07- 17","40.2881","40.2262","40.4127","40.0799","","0.08%"
"2025- 07- 16","40.2548","40.1843","40.4044","40.0213","","0.44%"
"2025- 07- 15","40.0790","40.0800","40.3821","40.0669","","-0.24%"
"2025- 07- 14","40.1735","40.1781","40.3657","39.9960","","-0.02%"
"2025- 07- 11","40.1815","40.0790","40.4245","39.9882","","0.26%"
"2025- 07- 10","40.0789","40.0349","40.2372","39.9147","","0.11%"
"2025- 07- 09","40.0349","40.0426","40.1865","39.9013","","-0.03%"
"2025- 07- 08","40.0450","39.9615","40.1072","39.8554","","0.21%"
"2025- 07- 07","39.9617","39.8358","40.1471","39.7270","","0.29%"
"2025- 07- 04","39.8474","39.8228","39.9768","39.6443","","0.06%"
"2025- 07- 03","39.8228","39.8058","40.0231","39.6305","","0.12%"
"2025- 07- 02","39.7749","39.8393","39.9820","39.6755","","-0.16%"
"2025- 07- 01","39.8392","39.8136","39.9618","39.6967","","0.06%"
"2025- 06- 30","39.8136","39.8971","40.0391","39.6657","","-0.24%"
"2025- 06- 27","39.9094","39.7708","40.0265","39.6512","","0.34%"
"2025- 06- 26","39.7760","39.7150","39.9058","39.6148","","0.05%"
"2025- 06- 25","39.7569","39.5590","39.8519","39.4666","","0.51%"
"2025- 06- 24","39.5545","39.6152","39.8612","39.4519","","-0.15%"
"2025- 06- 23","39.6153","39.6785","39.8609","39.3450","","-0.16%"
"2025- 06- 20","39.6775","39.6203","39.9189","39.4437","","0.14%"
"2025- 06- 19","39.6203","39.5214","39.7877","39.3832","","0.24%"
"2025- 06- 18","39.5270","39.5014","39.6384","39.3769","","0.07%"
"2025- 06- 17","39.5008","39.3474","39.5718","39.2169","","0.39%"
"2025- 06- 16","39.3489","39.4143","39.7030","39.1550","","-0.17%"
"2025- 06- 13","39.4143","39.3530","39.8068","39.1761","","0.16%"
"2025- 06- 12","39.3530","39.1717","39.4105","39.0386","","0.46%"
"2025- 06- 11","39.1717","39.1750","39.4028","38.9950","","-0.04%"
"2025- 06- 10","39.1875","39.2797","39.4420","39.0668","","-0.23%"
"2025- 06- 09","39.2786","39.2195","39.4369","39.0426","","0.15%"
"2025- 06- 06","39.2191","39.2776","39.4045","39.0370","","-0.15%"
"2025- 06- 05","39.2776","39.2003","39.3958","39.0578","","0.27%"
"2025- 06- 04","39.1721","39.1511","39.2871","39.0024","","0.06%"
