"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","18.0516","18.2144","18.3681","18.0161","","-0.89%"
"2025- 07- 31","18.2144","17.9960","18.2373","17.9523","","1.22%"
"2025- 07- 30","17.9951","17.8787","18.0262","17.8342","","0.64%"
"2025- 07- 29","17.8801","17.8742","18.0029","17.8594","","0.03%"
"2025- 07- 28","17.8743","17.7501","17.9111","17.7201","","0.70%"
"2025- 07- 27","17.7506","17.7414","17.7827","17.7242","","-0.06%"
"2025- 07- 25","17.7613","17.6360","17.8236","17.6055","","0.72%"
"2025- 07- 24","17.6349","17.5500","17.6664","17.5010","","0.48%"
"2025- 07- 23","17.5500","17.5510","17.6018","17.4939","","-0.05%"
"2025- 07- 22","17.5593","17.6227","17.6839","17.5255","","-0.37%"
"2025- 07- 21","17.6238","17.7037","17.7687","17.5950","","-0.52%"
"2025- 07- 20","17.7156","17.6778","17.7559","17.6918","","-0.04%"
"2025- 07- 18","17.7228","17.8347","17.8705","17.6553","","-0.63%"
"2025- 07- 17","17.8354","17.8145","17.9437","17.7950","","0.12%"
"2025- 07- 16","17.8139","17.9297","17.9647","17.7684","","-0.68%"
"2025- 07- 15","17.9366","17.9000","17.9606","17.7498","","0.20%"
"2025- 07- 14","17.9000","17.9238","17.9698","17.8313","","-0.15%"
"2025- 07- 11","17.9275","17.7400","17.9776","17.7235","","1.03%"
"2025- 07- 10","17.7452","17.8300","17.8377","17.7030","","-0.50%"
"2025- 07- 09","17.8335","17.7986","17.8768","17.7514","","0.22%"
"2025- 07- 08","17.7951","17.8619","17.8743","17.7179","","-0.36%"
"2025- 07- 07","17.8597","17.5930","17.8793","17.5882","","1.62%"
"2025- 07- 04","17.5750","17.5101","17.6452","17.4794","","0.35%"
"2025- 07- 03","17.5137","17.5726","17.6551","17.4832","","-0.32%"
"2025- 07- 02","17.5693","17.6037","17.7202","17.5526","","-0.19%"
"2025- 07- 01","17.6031","17.7375","17.7675","17.5682","","-0.83%"
"2025- 06- 30","17.7500","17.7932","17.8250","17.6857","","-0.46%"
"2025- 06- 27","17.8328","17.8537","17.9436","17.7137","","-0.10%"
"2025- 06- 26","17.8507","17.7625","17.8811","17.5761","","0.55%"
"2025- 06- 25","17.7537","17.7631","17.8466","17.6819","","-0.08%"
"2025- 06- 24","17.7679","17.8850","17.8850","17.6606","","-0.57%"
