"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","1,712.38","1,708.47","1,715.23","1,707.68","","-0.11%"
"2025- 08- 01","1,714.18","1,721.48","1,722.12","1,712.80","","-1.10%"
"2025- 07- 31","1,733.16","1,727.83","1,735.56","1,724.09","","-0.10%"
"2025- 07- 30","1,734.94","1,721.02","1,738.62","1,719.89","","0.64%"
"2025- 07- 29","1,723.90","1,712.02","1,723.90","1,710.52","","0.16%"
"2025- 07- 28","1,721.07","1,712.82","1,721.86","1,712.82","","0.44%"
"2025- 07- 25","1,713.56","1,715.03","1,716.66","1,710.70","","-0.57%"
"2025- 07- 24","1,723.33","1,733.66","1,733.66","1,720.47","","-0.31%"
"2025- 07- 23","1,728.63","1,723.21","1,731.29","1,719.12","","0.73%"
"2025- 07- 22","1,716.05","1,721.61","1,727.03","1,710.59","","-0.03%"
"2025- 07- 21","1,716.58","1,728.41","1,729.40","1,712.53","","-1.16%"
"2025- 07- 18","1,736.75","1,719.89","1,741.61","1,718.96","","1.42%"
"2025- 07- 17","1,712.43","1,705.16","1,713.15","1,703.33","","0.86%"
"2025- 07- 16","1,697.90","1,699.59","1,702.48","1,695.08","","-0.88%"
"2025- 07- 15","1,712.98","1,711.25","1,714.06","1,705.17","","0.59%"
"2025- 07- 14","1,702.88","1,705.26","1,708.95","1,702.00","","-0.15%"
"2025- 07- 11","1,705.50","1,712.71","1,712.71","1,702.88","","-0.11%"
"2025- 07- 10","1,707.36","1,704.26","1,712.91","1,703.40","","0.64%"
"2025- 07- 09","1,696.54","1,703.37","1,704.58","1,695.44","","-0.62%"
"2025- 07- 08","1,707.15","1,699.64","1,711.56","1,698.44","","0.00%"
"2025- 07- 07","1,707.23","1,709.62","1,713.53","1,702.64","","-0.14%"
"2025- 07- 04","1,709.67","1,711.03","1,712.35","1,706.25","","-0.01%"
"2025- 07- 03","1,709.80","1,716.18","1,716.84","1,700.37","","-0.08%"
"2025- 07- 02","1,711.09","1,706.63","1,714.52","1,697.20","","0.71%"
"2025- 07- 01","1,699.10","1,702.88","1,707.10","1,698.78","","-0.12%"
"2025- 06- 30","1,701.22","1,697.17","1,708.94","1,696.90","","0.29%"
"2025- 06- 27","1,696.31","1,712.71","1,716.24","1,696.31","","-0.53%"
"2025- 06- 26","1,705.34","1,705.21","1,707.96","1,702.90","","-0.21%"
"2025- 06- 25","1,708.85","1,706.08","1,711.92","1,705.18","","0.17%"
"2025- 06- 24","1,706.00","1,699.71","1,709.32","1,698.52","","1.09%"
"2025- 06- 23","1,687.67","1,685.60","1,688.42","1,675.40","","-0.26%"
"2025- 06- 20","1,692.00","1,697.93","1,697.93","1,682.18","","-0.29%"
"2025- 06- 19","1,696.98","1,695.60","1,701.18","1,692.30","","0.07%"
"2025- 06- 18","1,695.72","1,694.76","1,700.35","1,692.28","","-0.10%"
"2025- 06- 17","1,697.46","1,700.57","1,702.42","1,693.45","","-0.18%"
"2025- 06- 16","1,700.51","1,698.09","1,705.93","1,697.06","","0.02%"
"2025- 06- 13","1,700.12","1,702.75","1,706.24","1,696.07","","-0.20%"
