"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","3,471.81","3,480.66","3,483.73","3,449.67","","-0.95%"
"2025- 07- 31","3,505.18","3,518.64","3,534.51","3,499.69","","-0.36%"
"2025- 07- 30","3,517.84","3,535.67","3,543.65","3,507.74","","-0.56%"
"2025- 07- 29","3,537.50","3,529.15","3,538.70","3,525.81","","0.48%"
"2025- 07- 28","3,520.73","3,528.54","3,529.07","3,513.68","","-0.28%"
"2025- 07- 25","3,530.57","3,511.40","3,533.47","3,511.20","","0.53%"
"2025- 07- 24","3,511.97","3,511.94","3,525.59","3,507.50","","-0.17%"
"2025- 07- 23","3,518.10","3,514.07","3,524.16","3,512.00","","0.18%"
"2025- 07- 22","3,511.95","3,506.81","3,515.62","3,499.93","","0.15%"
"2025- 07- 21","3,506.79","3,519.88","3,524.24","3,505.29","","-0.07%"
"2025- 07- 18","3,509.33","3,523.33","3,523.37","3,505.74","","-0.29%"
"2025- 07- 17","3,519.41","3,476.99","3,523.81","3,476.36","","0.96%"
"2025- 07- 16","3,486.05","3,474.74","3,486.47","3,454.47","","0.45%"
"2025- 07- 15","3,470.49","3,496.73","3,497.25","3,466.56","","-0.60%"
"2025- 07- 14","3,491.60","3,469.11","3,494.47","3,463.72","","0.71%"
"2025- 07- 11","3,466.86","3,468.68","3,469.45","3,456.37","","-0.31%"
"2025- 07- 10","3,477.49","3,463.61","3,482.68","3,456.93","","0.41%"
"2025- 07- 09","3,463.14","3,461.13","3,469.52","3,454.61","","0.25%"
"2025- 07- 08","3,454.48","3,471.61","3,476.44","3,448.91","","-0.44%"
"2025- 07- 07","3,469.77","3,475.08","3,483.01","3,463.33","","-0.14%"
"2025- 07- 04","3,474.78","3,471.48","3,480.94","3,469.88","","-0.04%"
"2025- 07- 03","3,476.19","3,456.27","3,476.28","3,455.44","","0.66%"
"2025- 07- 02","3,453.44","3,455.13","3,456.36","3,438.65","","-0.02%"
"2025- 06- 30","3,454.08","3,437.11","3,454.08","3,429.87","","0.59%"
"2025- 06- 27","3,433.83","3,433.80","3,447.80","3,417.88","","-0.16%"
"2025- 06- 26","3,439.27","3,418.21","3,439.27","3,413.12","","0.68%"
"2025- 06- 25","3,416.01","3,436.13","3,436.13","3,413.09","","-0.61%"
"2025- 06- 24","3,437.14","3,419.11","3,444.49","3,416.62","","0.51%"
"2025- 06- 23","3,419.60","3,402.08","3,427.57","3,402.08","","0.45%"
"2025- 06- 20","3,404.41","3,417.41","3,426.69","3,398.76","","-0.01%"
"2025- 06- 19","3,404.78","3,405.24","3,407.80","3,396.05","","-0.23%"
"2025- 06- 18","3,412.50","3,413.03","3,422.64","3,409.32","","0.09%"
"2025- 06- 17","3,409.44","3,411.36","3,417.61","3,399.05","","-0.13%"
"2025- 06- 16","3,413.72","3,408.86","3,428.69","3,407.76","","0.31%"
"2025- 06- 13","3,403.07","3,418.37","3,418.37","3,397.07","","-0.46%"
"2025- 06- 12","3,418.71","3,403.03","3,418.71","3,400.91","","0.29%"
"2025- 06- 11","3,408.73","3,397.11","3,417.63","3,397.11","","0.39%"
"2025- 06- 10","3,395.38","3,387.55","3,400.67","3,384.46","","0.23%"
"2025- 06- 09","3,387.63","3,396.62","3,399.45","3,381.78","","-0.30%"
"2025- 06- 06","3,397.68","3,387.29","3,408.40","3,387.29","","0.42%"
"2025- 06- 05","3,383.49","3,394.74","3,395.08","3,380.28","","-0.04%"
"2025- 06- 04","3,384.92","3,399.73","3,402.17","3,378.56","","-0.41%"
"2025- 06- 03","3,398.84","3,392.96","3,404.73","3,385.96","","0.02%"
"2025- 06- 02","3,398.09","3,375.98","3,401.80","3,365.99","","0.79%"
"2025- 05- 30","3,371.31","3,369.35","3,375.60","3,352.23","","-0.14%"
"2025- 05- 29","3,375.94","3,402.01","3,402.01","3,368.58","","-0.30%"
"2025- 05- 28","3,386.02","3,387.05","3,394.16","3,381.51","","0.02%"
"2025- 05- 27","3,385.31","3,358.40","3,389.87","3,358.40","","0.78%"
"2025- 05- 26","3,359.24","3,348.66","3,366.05","3,347.19","","0.70%"
"2025- 05- 23","3,335.78","3,317.66","3,343.20","3,317.15","","-0.02%"
"2025- 05- 22","3,336.55","3,330.64","3,348.27","3,324.73","","0.13%"
"2025- 05- 21","3,332.15","3,349.95","3,354.49","3,323.93","","-0.91%"
"2025- 05- 20","3,362.67","3,352.19","3,371.19","3,352.19","","0.21%"
"2025- 05- 16","3,355.60","3,342.91","3,358.73","3,339.82","","0.23%"
"2025- 05- 15","3,347.83","3,318.50","3,347.96","3,318.50","","0.73%"
"2025- 05- 14","3,323.55","3,305.32","3,325.46","3,302.46","","0.46%"
"2025- 05- 13","3,308.39","3,305.93","3,319.92","3,302.75","","0.36%"
"2025- 05- 12","3,296.62","3,304.30","3,312.94","3,289.63","","0.92%"
"2025- 05- 09","3,266.53","3,279.24","3,280.36","3,250.68","","0.24%"
"2025- 05- 08","3,258.75","3,252.48","3,274.48","3,241.70","","0.34%"
"2025- 05- 07","3,247.56","3,224.33","3,247.70","3,222.06","","0.82%"
"2025- 05- 06","3,221.21","3,219.06","3,230.25","3,210.66","","-0.12%"
"2025- 05- 05","3,225.22","3,227.45","3,240.97","3,220.25","","-0.38%"
"2025- 05- 02","3,237.52","3,229.61","3,237.82","3,213.59","","1.03%"
"2025- 05- 01","3,204.46","3,207.37","3,228.22","3,198.90","","-0.06%"
"2025- 04- 30","3,206.45","3,196.12","3,206.68","3,162.90","","-0.18%"
"2025- 04- 29","3,212.32","3,197.40","3,216.41","3,194.30","","0.36%"
"2025- 04- 28","3,200.93","3,188.66","3,208.37","3,188.66","","0.37%"
"2025- 04- 25","3,189.26","3,183.07","3,190.61","3,174.97","","0.00%"
"2025- 04- 24","3,189.14","3,158.62","3,189.14","3,153.53","","1.05%"
"2025- 04- 23","3,156.08","3,150.68","3,182.98","3,150.68","","0.78%"
"2025- 04- 22","3,131.74","3,090.53","3,141.97","3,090.53","","1.40%"
"2025- 04- 21","3,088.50","3,111.30","3,111.30","3,065.28","","-0.78%"
"2025- 04- 17","3,112.71","3,102.15","3,127.55","3,094.27","","0.38%"
"2025- 04- 16","3,100.90","3,097.73","3,115.89","3,072.72","","0.06%"
"2025- 04- 15","3,099.18","3,078.02","3,103.92","3,077.04","","0.88%"
"2025- 04- 14","3,072.19","3,073.91","3,083.34","3,046.75","","1.16%"
"2025- 04- 11","3,037.09","2,967.07","3,043.09","2,962.70","","2.54%"
"2025- 04- 10","2,961.81","3,015.68","3,015.68","2,921.76","","-3.10%"
"2025- 04- 09","3,056.70","2,902.92","3,066.14","2,863.57","","5.27%"
"2025- 04- 08","2,903.61","2,955.91","3,015.98","2,878.53","","-1.44%"
"2025- 04- 07","2,945.93","2,875.63","3,025.78","2,865.95","","-1.47%"
"2025- 04- 04","2,989.86","3,062.60","3,070.55","2,960.68","","-4.56%"
"2025- 04- 03","3,132.58","3,173.16","3,207.58","3,129.84","","-4.02%"
"2025- 04- 02","3,263.74","3,197.41","3,263.83","3,195.63","","1.23%"
"2025- 04- 01","3,224.02","3,203.22","3,228.36","3,182.73","","0.53%"
"2025- 03- 31","3,206.97","3,160.71","3,217.28","3,156.01","","0.71%"
"2025- 03- 28","3,184.40","3,226.42","3,228.11","3,183.46","","-1.66%"
"2025- 03- 27","3,238.12","3,238.95","3,243.97","3,222.30","","-0.12%"
"2025- 03- 26","3,242.02","3,269.69","3,277.41","3,234.45","","-0.74%"
"2025- 03- 25","3,266.16","3,279.08","3,282.34","3,263.60","","0.09%"
"2025- 03- 24","3,263.19","3,239.00","3,270.12","3,239.00","","1.46%"
"2025- 03- 21","3,216.32","3,214.94","3,217.23","3,191.87","","-0.31%"
"2025- 03- 20","3,226.25","3,209.23","3,241.62","3,207.19","","0.01%"
"2025- 03- 19","3,226.06","3,182.80","3,232.41","3,182.80","","1.54%"
"2025- 03- 18","3,177.02","3,188.85","3,188.85","3,158.29","","-0.38%"
"2025- 03- 17","3,189.11","3,166.51","3,192.16","3,166.51","","0.86%"
"2025- 03- 14","3,161.80","3,135.10","3,163.03","3,126.30","","1.56%"
"2025- 03- 13","3,113.10","3,139.35","3,149.02","3,106.89","","-1.05%"
"2025- 03- 12","3,146.27","3,136.76","3,158.43","3,119.45","","0.72%"
"2025- 03- 11","3,123.72","3,143.76","3,159.34","3,113.13","","-0.74%"
"2025- 03- 10","3,146.85","3,156.64","3,166.52","3,129.20","","-1.47%"
"2025- 03- 07","3,193.71","3,164.35","3,201.90","3,152.76","","0.71%"
"2025- 03- 06","3,171.19","3,175.91","3,202.85","3,156.84","","-1.11%"
"2025- 03- 05","3,206.93","3,167.66","3,208.45","3,167.29","","1.20%"
"2025- 03- 04","3,169.02","3,187.37","3,200.81","3,140.99","","-1.87%"
"2025- 03- 03","3,229.57","3,295.26","3,302.63","3,213.65","","-1.60%"
"2025- 02- 28","3,282.12","3,231.93","3,282.12","3,229.55","","1.20%"
"2025- 02- 27","3,243.23","3,273.27","3,278.52","3,243.18","","-0.73%"
"2025- 02- 26","3,267.14","3,257.13","3,280.98","3,250.19","","0.46%"
