"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","2,349.92","2,367.90","2,367.90","2,330.59","","-0.94%"
"2025- 07- 31","2,372.25","2,399.08","2,402.57","2,366.29","","-1.12%"
"2025- 07- 30","2,399.05","2,412.27","2,418.97","2,386.87","","-0.36%"
"2025- 07- 29","2,407.79","2,412.15","2,439.53","2,407.72","","-0.80%"
"2025- 07- 28","2,427.23","2,471.15","2,471.15","2,417.06","","-0.97%"
"2025- 07- 25","2,450.92","2,454.40","2,454.77","2,437.61","","-0.57%"
"2025- 07- 24","2,465.06","2,469.86","2,475.52","2,459.33","","0.50%"
"2025- 07- 23","2,452.78","2,444.02","2,459.64","2,444.02","","1.18%"
"2025- 07- 22","2,424.27","2,422.99","2,431.81","2,412.83","","-0.21%"
"2025- 07- 21","2,429.36","2,420.13","2,432.28","2,413.45","","0.36%"
"2025- 07- 18","2,420.64","2,425.61","2,431.88","2,414.65","","0.42%"
"2025- 07- 17","2,410.51","2,400.48","2,413.18","2,398.62","","0.88%"
"2025- 07- 16","2,389.44","2,403.09","2,417.11","2,389.44","","-0.75%"
"2025- 07- 15","2,407.54","2,433.66","2,439.79","2,402.57","","-0.93%"
"2025- 07- 14","2,430.04","2,415.65","2,432.13","2,413.97","","-0.16%"
"2025- 07- 11","2,433.87","2,450.06","2,450.06","2,430.27","","-0.92%"
"2025- 07- 10","2,456.56","2,462.53","2,470.18","2,450.26","","0.26%"
"2025- 07- 09","2,450.28","2,437.31","2,452.76","2,435.01","","0.96%"
"2025- 07- 08","2,427.04","2,428.25","2,434.85","2,416.52","","-0.01%"
"2025- 07- 07","2,427.20","2,420.06","2,427.37","2,414.50","","0.11%"
"2025- 07- 04","2,424.60","2,433.42","2,433.42","2,413.93","","-0.23%"
"2025- 07- 03","2,430.28","2,433.20","2,439.82","2,419.71","","0.31%"
"2025- 07- 02","2,422.74","2,423.82","2,431.56","2,410.72","","0.13%"
"2025- 07- 01","2,419.61","2,427.37","2,430.78","2,413.59","","0.11%"
"2025- 06- 30","2,416.91","2,430.23","2,432.75","2,409.83","","-0.28%"
"2025- 06- 27","2,423.59","2,402.98","2,426.36","2,402.98","","1.23%"
"2025- 06- 26","2,394.18","2,391.29","2,404.09","2,388.11","","0.83%"
"2025- 06- 25","2,374.49","2,391.70","2,399.75","2,374.49","","-0.75%"
"2025- 06- 24","2,392.55","2,372.59","2,400.49","2,372.59","","1.84%"
"2025- 06- 23","2,349.34","2,341.81","2,357.96","2,324.53","","-0.11%"
"2025- 06- 20","2,351.98","2,357.85","2,371.00","2,349.53","","0.51%"
"2025- 06- 19","2,340.03","2,348.98","2,354.46","2,338.29","","-1.15%"
"2025- 06- 18","2,367.16","2,375.59","2,378.77","2,358.52","","-0.53%"
"2025- 06- 17","2,379.85","2,393.52","2,395.97","2,368.76","","-1.40%"
"2025- 06- 16","2,413.72","2,403.96","2,421.38","2,402.77","","0.75%"
"2025- 06- 13","2,395.70","2,398.15","2,402.68","2,384.91","","-1.18%"
"2025- 06- 12","2,424.31","2,408.88","2,430.26","2,399.04","","0.54%"
"2025- 06- 11","2,411.18","2,403.29","2,420.53","2,401.05","","0.24%"
"2025- 06- 10","2,405.52","2,400.12","2,412.62","2,395.50","","0.09%"
"2025- 06- 09","2,403.27","2,407.81","2,411.38","2,396.22","","0.04%"
"2025- 06- 06","2,402.25","2,403.55","2,406.67","2,397.54","","-0.24%"
"2025- 06- 05","2,408.15","2,394.58","2,410.18","2,394.58","","0.38%"
"2025- 06- 04","2,399.05","2,385.13","2,401.47","2,381.43","","0.86%"
"2025- 06- 03","2,378.57","2,388.45","2,388.99","2,365.15","","-0.25%"
"2025- 06- 02","2,384.51","2,373.86","2,387.16","2,366.53","","0.59%"
"2025- 05- 30","2,370.53","2,363.56","2,377.08","2,359.66","","0.22%"
"2025- 05- 29","2,365.24","2,366.94","2,373.85","2,357.17","","0.20%"
"2025- 05- 28","2,360.54","2,376.87","2,384.65","2,357.21","","-0.98%"
"2025- 05- 27","2,383.84","2,384.99","2,394.45","2,380.81","","-0.05%"
"2025- 05- 26","2,385.09","2,386.27","2,389.55","2,379.37","","1.30%"
"2025- 05- 23","2,354.40","2,371.92","2,383.73","2,315.15","","-0.34%"
"2025- 05- 22","2,362.51","2,376.62","2,376.62","2,351.90","","-1.19%"
"2025- 05- 21","2,390.94","2,388.80","2,394.92","2,377.04","","0.61%"
"2025- 05- 20","2,376.54","2,359.59","2,380.36","2,359.59","","0.85%"
"2025- 05- 19","2,356.62","2,341.13","2,356.62","2,333.95","","1.02%"
"2025- 05- 16","2,332.73","2,340.05","2,349.16","2,325.89","","0.16%"
"2025- 05- 15","2,328.95","2,313.56","2,330.82","2,306.75","","0.36%"
"2025- 05- 14","2,320.61","2,321.91","2,332.10","2,310.61","","0.21%"
"2025- 05- 13","2,315.82","2,303.13","2,322.13","2,303.13","","0.53%"
"2025- 05- 12","2,303.56","2,303.97","2,317.68","2,282.09","","-0.20%"
"2025- 05- 09","2,308.08","2,297.54","2,311.45","2,297.54","","0.33%"
"2025- 05- 08","2,300.38","2,297.87","2,317.66","2,287.04","","-0.44%"
"2025- 05- 07","2,310.63","2,318.16","2,318.16","2,296.78","","-0.29%"
"2025- 05- 06","2,317.42","2,320.08","2,324.72","2,295.80","","-0.20%"
