"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","2,902.69","2,892.55","2,904.34","2,888.53","","0.42%"
"2025- 08- 01","2,890.49","2,917.96","2,919.54","2,887.18","","-1.03%"
"2025- 07- 31","2,920.64","2,911.19","2,940.06","2,905.78","","-0.47%"
"2025- 07- 30","2,934.33","2,938.00","2,938.55","2,923.74","","0.09%"
"2025- 07- 29","2,931.55","2,911.42","2,933.92","2,904.08","","0.68%"
"2025- 07- 28","2,911.61","2,926.71","2,940.77","2,907.65","","-0.68%"
"2025- 07- 25","2,931.55","2,957.32","2,957.32","2,929.13","","-1.09%"
"2025- 07- 24","2,963.71","2,982.28","2,982.28","2,957.48","","-0.56%"
"2025- 07- 23","2,980.35","2,970.78","2,981.55","2,964.01","","0.51%"
"2025- 07- 22","2,965.29","2,977.20","2,980.86","2,963.45","","-0.25%"
"2025- 07- 21","2,972.78","2,961.27","2,974.87","2,948.05","","0.46%"
"2025- 07- 18","2,959.11","2,977.96","2,978.16","2,954.75","","-0.60%"
"2025- 07- 17","2,976.97","2,988.00","2,989.69","2,976.14","","-0.29%"
"2025- 07- 16","2,985.49","2,984.84","2,989.23","2,976.80","","0.04%"
"2025- 07- 15","2,984.34","2,970.10","2,987.33","2,968.78","","0.56%"
"2025- 07- 14","2,967.70","2,969.16","2,971.66","2,958.53","","-0.04%"
"2025- 07- 11","2,968.76","2,985.90","2,991.50","2,965.88","","-0.88%"
"2025- 07- 10","2,995.19","3,009.30","3,012.21","2,992.87","","-0.42%"
"2025- 07- 09","3,007.78","3,012.79","3,016.41","3,001.87","","-0.17%"
"2025- 07- 08","3,012.79","3,006.88","3,015.17","3,000.35","","0.12%"
"2025- 07- 07","3,009.18","3,008.95","3,013.07","3,003.32","","0.01%"
"2025- 07- 04","3,009.02","3,004.87","3,009.80","2,994.10","","0.22%"
"2025- 07- 03","3,002.52","3,013.36","3,021.33","3,000.88","","-0.21%"
"2025- 07- 02","3,008.77","3,020.80","3,023.18","2,998.18","","-0.27%"
"2025- 07- 01","3,016.92","3,017.60","3,023.50","3,009.76","","0.04%"
"2025- 06- 30","3,015.65","3,027.28","3,027.28","3,009.43","","-0.21%"
"2025- 06- 27","3,021.89","3,013.91","3,024.98","3,011.11","","0.40%"
"2025- 06- 26","3,009.89","2,982.56","3,011.30","2,982.44","","1.06%"
"2025- 06- 25","2,978.29","2,969.30","2,979.15","2,966.96","","0.72%"
"2025- 06- 24","2,956.91","2,964.12","2,984.18","2,952.44","","0.40%"
"2025- 06- 23","2,945.16","2,937.78","2,953.57","2,924.77","","-0.31%"
"2025- 06- 20","2,954.45","2,915.26","2,957.77","2,915.23","","1.33%"
"2025- 06- 19","2,915.78","2,929.12","2,934.40","2,908.48","","-0.48%"
