"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","6,209.51","6,234.04","6,235.12","6,181.81","","-0.32%"
"2025- 08- 01","6,229.56","6,287.12","6,301.58","6,215.62","","0.64%"
"2025- 07- 31","6,190.09","6,236.41","6,248.80","6,190.09","","-0.83%"
"2025- 07- 30","6,241.61","6,305.90","6,305.90","6,222.71","","-0.74%"
"2025- 07- 29","6,288.13","6,301.86","6,306.05","6,258.67","","-0.17%"
"2025- 07- 28","6,298.59","6,317.94","6,317.94","6,279.00","","0.91%"
"2025- 07- 25","6,241.81","6,262.53","6,262.53","6,209.84","","-0.59%"
"2025- 07- 24","6,278.77","6,224.76","6,298.12","6,221.14","","1.28%"
"2025- 07- 23","6,199.23","6,174.20","6,199.23","6,146.65","","0.91%"
"2025- 07- 22","6,143.54","6,201.88","6,220.98","6,143.54","","-0.69%"
"2025- 07- 21","6,186.38","6,220.00","6,230.23","6,158.85","","0.07%"
"2025- 07- 18","6,182.23","6,252.80","6,278.57","6,182.23","","-0.65%"
"2025- 07- 17","6,222.75","6,188.20","6,227.70","6,177.60","","1.01%"
"2025- 07- 16","6,160.81","6,207.54","6,224.33","6,160.81","","-0.18%"
"2025- 07- 15","6,172.09","6,199.12","6,203.71","6,134.39","","-0.08%"
"2025- 07- 14","6,176.84","6,265.86","6,267.50","6,132.78","","-1.15%"
"2025- 07- 11","6,248.64","6,222.07","6,252.85","6,215.00","","0.84%"
"2025- 07- 10","6,196.75","6,138.34","6,204.07","6,119.31","","1.32%"
"2025- 07- 09","6,116.29","6,088.49","6,116.29","6,074.19","","0.45%"
"2025- 07- 08","6,088.79","6,123.59","6,123.59","6,062.90","","-0.61%"
"2025- 07- 07","6,126.46","6,097.06","6,126.46","6,069.42","","0.57%"
"2025- 07- 04","6,091.49","6,106.47","6,151.24","6,067.41","","-0.21%"
"2025- 07- 03","6,104.46","6,139.79","6,182.33","6,104.46","","-0.52%"
"2025- 07- 02","6,136.64","6,155.36","6,155.36","6,078.05","","-0.41%"
"2025- 07- 01","6,161.82","6,178.43","6,224.47","6,116.62","","-0.24%"
"2025- 06- 30","6,176.52","6,206.92","6,224.17","6,136.09","","-0.04%"
"2025- 06- 26","6,178.96","6,098.44","6,178.96","6,064.50","","1.28%"
"2025- 06- 25","6,101.03","6,178.88","6,178.88","6,073.20","","-0.64%"
"2025- 06- 24","6,140.48","6,134.73","6,208.18","6,122.93","","1.76%"
"2025- 06- 23","6,034.19","6,045.14","6,068.17","5,968.78","","-1.48%"
"2025- 06- 20","6,125.00","6,151.26","6,191.69","6,085.67","","-0.96%"
"2025- 06- 19","6,184.45","6,319.53","6,326.54","6,159.73","","-2.31%"
"2025- 06- 18","6,330.83","6,361.91","6,376.73","6,308.18","","-0.93%"
"2025- 06- 17","6,390.02","6,403.15","6,431.17","6,380.29","","0.58%"
"2025- 06- 16","6,353.14","6,375.14","6,420.24","6,353.14","","-0.77%"
"2025- 06- 13","6,402.69","6,428.98","6,441.26","6,374.49","","-0.92%"
"2025- 06- 12","6,462.12","6,464.12","6,480.10","6,434.91","","-0.16%"
"2025- 06- 11","6,472.47","6,506.82","6,506.82","6,440.94","","-0.84%"
"2025- 06- 10","6,527.53","6,431.49","6,527.53","6,431.49","","2.13%"
"2025- 06- 05","6,391.62","6,376.06","6,405.70","6,359.55","","0.73%"
"2025- 06- 04","6,345.23","6,420.55","6,426.95","6,334.42","","-0.46%"
"2025- 06- 03","6,374.69","6,389.29","6,414.05","6,300.44","","-0.28%"
"2025- 06- 02","6,392.79","6,458.61","6,488.62","6,365.18","","-2.78%"
"2025- 05- 28","6,575.49","6,624.27","6,637.02","6,569.09","","-0.61%"
"2025- 05- 27","6,615.97","6,626.86","6,640.36","6,575.41","","-0.10%"
"2025- 05- 26","6,622.43","6,646.98","6,653.62","6,555.05","","-0.34%"
"2025- 05- 23","6,644.96","6,659.86","6,668.10","6,597.81","","0.62%"
"2025- 05- 22","6,604.14","6,628.38","6,636.39","6,582.26","","0.13%"
"2025- 05- 21","6,595.59","6,567.03","6,631.64","6,545.63","","1.07%"
"2025- 05- 20","6,525.86","6,582.99","6,643.60","6,525.86","","-0.71%"
"2025- 05- 19","6,572.22","6,515.97","6,596.36","6,487.96","","0.74%"
"2025- 05- 16","6,524.24","6,512.99","6,524.24","6,407.76","","1.12%"
"2025- 05- 15","6,452.24","6,392.73","6,503.49","6,392.73","","1.23%"
"2025- 05- 14","6,374.04","6,290.16","6,377.27","6,286.81","","3.31%"
"2025- 05- 09","6,169.69","6,193.19","6,210.68","6,147.20","","0.08%"
"2025- 05- 08","6,164.45","6,278.98","6,310.78","6,153.76","","-1.57%"
"2025- 05- 07","6,262.99","6,268.96","6,289.42","6,243.39","","0.36%"
"2025- 05- 06","6,240.58","6,233.91","6,269.30","6,221.65","","0.56%"
"2025- 05- 05","6,205.72","6,221.57","6,266.85","6,200.37","","0.24%"
"2025- 05- 02","6,190.95","6,208.18","6,210.82","6,132.87","","0.83%"
"2025- 04- 30","6,139.99","6,080.93","6,150.20","6,039.35","","1.04%"
"2025- 04- 29","6,076.73","6,095.88","6,098.42","6,052.21","","0.09%"
"2025- 04- 28","6,071.31","6,077.00","6,092.17","6,045.01","","0.84%"
"2025- 04- 25","6,020.67","6,032.67","6,041.41","5,995.50","","0.99%"
"2025- 04- 24","5,961.73","6,078.16","6,099.08","5,941.97","","-1.10%"
"2025- 04- 23","6,028.12","5,923.74","6,028.12","5,923.74","","2.65%"
"2025- 04- 22","5,872.34","5,804.45","5,876.04","5,802.75","","1.06%"
"2025- 04- 21","5,810.66","5,849.55","5,849.93","5,776.77","","-0.57%"
"2025- 04- 17","5,844.21","5,830.03","5,845.71","5,788.76","","0.27%"
"2025- 04- 16","5,828.58","5,878.88","5,878.88","5,785.16","","-0.85%"
"2025- 04- 15","5,878.57","5,913.00","5,924.61","5,829.81","","0.32%"
"2025- 04- 14","5,859.72","5,711.67","5,859.72","5,711.67","","1.55%"
