"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","3,910.46","3,952.36","3,952.36","3,878.54","","-1.48%"
"2025- 08- 01","3,969.19","3,980.16","3,990.53","3,957.45","","-0.01%"
"2025- 07- 31","3,969.40","3,945.68","3,973.71","3,938.52","","0.82%"
"2025- 07- 30","3,937.19","3,924.82","3,937.93","3,918.44","","0.36%"
"2025- 07- 29","3,922.93","3,933.69","3,933.69","3,913.41","","-0.89%"
"2025- 07- 28","3,957.96","3,994.04","3,994.04","3,957.65","","-0.80%"
"2025- 07- 25","3,990.05","4,014.20","4,024.82","3,983.25","","-1.08%"
"2025- 07- 24","4,033.45","3,986.91","4,048.56","3,982.41","","1.91%"
"2025- 07- 23","3,958.01","3,844.91","3,974.92","3,837.00","","3.62%"
"2025- 07- 22","3,819.72","3,821.32","3,858.46","3,798.07","","0.10%"
"2025- 07- 18","3,816.07","3,839.24","3,839.24","3,812.68","","-0.20%"
"2025- 07- 17","3,823.59","3,792.63","3,825.10","3,786.67","","0.71%"
"2025- 07- 16","3,796.79","3,807.22","3,810.71","3,787.35","","-0.23%"
"2025- 07- 15","3,805.46","3,811.21","3,821.24","3,793.51","","0.17%"
"2025- 07- 14","3,798.91","3,789.18","3,813.26","3,780.27","","-0.05%"
"2025- 07- 11","3,800.98","3,803.55","3,824.75","3,788.07","","0.34%"
"2025- 07- 10","3,787.93","3,799.68","3,799.68","3,772.73","","-0.61%"
"2025- 07- 09","3,811.07","3,817.13","3,820.36","3,797.99","","0.33%"
"2025- 07- 08","3,798.54","3,786.75","3,806.25","3,784.41","","0.09%"
"2025- 07- 07","3,795.26","3,819.34","3,821.46","3,788.87","","-0.67%"
"2025- 07- 04","3,820.83","3,843.41","3,844.89","3,808.67","","-0.07%"
"2025- 07- 03","3,823.32","3,815.00","3,823.32","3,803.15","","0.14%"
"2025- 07- 02","3,818.04","3,822.50","3,831.04","3,798.62","","-0.29%"
"2025- 07- 01","3,829.07","3,858.01","3,858.01","3,818.92","","-0.90%"
"2025- 06- 30","3,863.95","3,869.68","3,887.01","3,851.29","","0.48%"
"2025- 06- 27","3,845.35","3,809.65","3,852.16","3,806.46","","1.54%"
"2025- 06- 26","3,786.87","3,753.83","3,788.30","3,753.10","","0.86%"
"2025- 06- 25","3,754.67","3,763.65","3,763.65","3,735.87","","0.03%"
"2025- 06- 24","3,753.53","3,752.21","3,777.92","3,745.18","","0.82%"
"2025- 06- 23","3,722.94","3,728.08","3,728.08","3,704.28","","-0.40%"
"2025- 06- 20","3,737.91","3,760.20","3,773.27","3,737.91","","-0.80%"
"2025- 06- 19","3,767.96","3,793.38","3,793.38","3,762.01","","-0.76%"
"2025- 06- 18","3,796.64","3,749.55","3,797.58","3,748.77","","0.85%"
"2025- 06- 17","3,764.75","3,752.28","3,765.60","3,749.77","","0.35%"
"2025- 06- 16","3,751.78","3,743.05","3,760.64","3,735.38","","0.79%"
"2025- 06- 13","3,722.30","3,750.36","3,753.41","3,701.72","","-1.02%"
"2025- 06- 12","3,760.69","3,771.76","3,775.64","3,749.02","","-0.25%"
"2025- 06- 11","3,769.96","3,780.70","3,785.38","3,762.56","","-0.02%"
"2025- 06- 10","3,770.76","3,778.31","3,793.03","3,761.39","","0.06%"
"2025- 06- 09","3,768.49","3,765.20","3,776.92","3,764.19","","0.69%"
"2025- 06- 06","3,742.50","3,730.10","3,748.62","3,728.79","","0.54%"
"2025- 06- 05","3,722.24","3,743.46","3,744.22","3,718.14","","-1.16%"
"2025- 06- 04","3,765.85","3,757.90","3,780.61","3,756.80","","0.54%"
"2025- 06- 03","3,745.79","3,760.77","3,769.19","3,745.79","","-0.28%"
"2025- 06- 02","3,756.20","3,774.65","3,774.65","3,740.29","","-1.02%"
"2025- 05- 30","3,795.07","3,788.28","3,808.04","3,760.07","","-0.58%"
"2025- 05- 29","3,817.38","3,769.97","3,821.13","3,769.97","","1.81%"
"2025- 05- 28","3,749.63","3,782.84","3,792.31","3,749.63","","-0.03%"
"2025- 05- 27","3,750.92","3,722.66","3,755.58","3,716.54","","0.68%"
"2025- 05- 26","3,725.69","3,707.40","3,728.81","3,703.21","","0.65%"
"2025- 05- 23","3,701.71","3,684.00","3,713.82","3,684.00","","0.73%"
"2025- 05- 22","3,674.81","3,688.66","3,688.66","3,663.17","","-0.65%"
"2025- 05- 21","3,699.03","3,726.89","3,729.64","3,696.66","","-0.33%"
"2025- 05- 20","3,711.26","3,722.65","3,739.87","3,702.64","","0.22%"
"2025- 05- 19","3,703.28","3,700.77","3,714.47","3,693.13","","-0.17%"
"2025- 05- 16","3,709.44","3,718.48","3,719.33","3,689.20","","-0.01%"
"2025- 05- 15","3,709.95","3,731.96","3,734.54","3,698.94","","-1.01%"
"2025- 05- 14","3,747.64","3,759.09","3,759.09","3,709.78","","-0.32%"
"2025- 05- 13","3,759.60","3,723.58","3,788.25","3,723.22","","1.35%"
"2025- 05- 12","3,709.54","3,723.16","3,724.63","3,686.69","","0.17%"
"2025- 05- 09","3,703.08","3,677.84","3,709.37","3,674.76","","1.32%"
"2025- 05- 08","3,654.76","3,657.70","3,662.77","3,623.09","","0.05%"
"2025- 05- 07","3,652.96","3,648.78","3,665.38","3,640.64","","0.26%"
"2025- 05- 02","3,643.61","3,629.31","3,668.35","3,629.31","","0.40%"
"2025- 05- 01","3,629.15","3,611.55","3,636.02","3,597.18","","0.65%"
"2025- 04- 30","3,605.61","3,596.43","3,615.06","3,587.96","","0.66%"
"2025- 04- 28","3,581.80","3,573.31","3,604.27","3,568.71","","0.88%"
"2025- 04- 25","3,550.63","3,510.81","3,564.32","3,509.42","","1.60%"
"2025- 04- 24","3,494.62","3,486.08","3,517.03","3,486.08","","0.58%"
"2025- 04- 23","3,474.54","3,397.52","3,485.79","3,397.52","","2.33%"
"2025- 04- 22","3,395.44","3,382.63","3,403.26","3,381.23","","-0.02%"
"2025- 04- 21","3,396.24","3,420.54","3,427.26","3,387.55","","-1.37%"
"2025- 04- 18","3,443.35","3,417.93","3,446.50","3,397.81","","1.02%"
"2025- 04- 17","3,408.63","3,358.33","3,408.63","3,357.83","","1.39%"
"2025- 04- 16","3,361.94","3,390.65","3,401.24","3,332.51","","-0.72%"
"2025- 04- 15","3,386.27","3,379.64","3,405.80","3,377.09","","1.23%"
"2025- 04- 14","3,345.15","3,350.60","3,387.21","3,345.15","","0.88%"
"2025- 04- 11","3,315.97","3,428.37","3,429.30","3,231.29","","-3.37%"
"2025- 04- 10","3,431.68","3,161.56","3,438.27","3,160.80","","8.61%"
"2025- 04- 09","3,159.50","3,263.69","3,265.96","3,119.40","","-3.71%"
"2025- 04- 08","3,281.27","3,088.46","3,308.77","3,088.46","","6.47%"
"2025- 04- 07","3,081.78","3,349.43","3,349.43","3,052.07","","-8.01%"
"2025- 04- 04","3,350.18","3,459.91","3,460.54","3,288.77","","-3.38%"
"2025- 04- 03","3,467.25","3,582.65","3,582.91","3,430.22","","-3.35%"
"2025- 04- 02","3,587.47","3,602.63","3,602.63","3,556.44","","-0.32%"
"2025- 04- 01","3,598.99","3,625.05","3,647.44","3,588.90","","0.19%"
"2025- 03- 31","3,592.15","3,719.01","3,719.01","3,580.98","","-3.80%"
"2025- 03- 28","3,734.19","3,770.04","3,770.71","3,713.50","","-1.25%"
"2025- 03- 27","3,781.30","3,767.32","3,781.30","3,741.78","","-0.01%"
"2025- 03- 26","3,781.58","3,778.58","3,794.45","3,763.83","","0.60%"
"2025- 03- 25","3,759.20","3,772.43","3,791.67","3,748.75","","0.24%"
"2025- 03- 24","3,750.08","3,772.31","3,778.10","3,750.08","","-0.45%"
"2025- 03- 21","3,767.08","3,744.87","3,786.43","3,744.87","","0.33%"
"2025- 03- 19","3,754.55","3,751.73","3,780.93","3,748.45","","0.39%"
"2025- 03- 18","3,739.90","3,722.06","3,753.30","3,722.06","","1.42%"
"2025- 03- 17","3,687.39","3,664.20","3,700.49","3,664.20","","1.21%"
"2025- 03- 14","3,643.38","3,614.85","3,654.89","3,603.55","","0.65%"
"2025- 03- 13","3,619.89","3,633.96","3,660.72","3,619.14","","0.09%"
"2025- 03- 12","3,616.81","3,588.11","3,630.31","3,588.11","","0.86%"
"2025- 03- 11","3,585.88","3,620.48","3,620.48","3,514.31","","-1.15%"
"2025- 03- 10","3,627.76","3,640.63","3,647.67","3,615.44","","-0.24%"
"2025- 03- 07","3,636.65","3,685.96","3,688.33","3,626.28","","-1.84%"
"2025- 03- 06","3,704.83","3,678.57","3,712.34","3,678.57","","1.23%"
