"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","940.19","928.03","940.80","924.95","","1.32%"
"2025- 08- 01","927.98","962.34","962.34","927.30","","-4.02%"
"2025- 07- 31","966.81","972.13","981.02","961.66","","-0.45%"
"2025- 07- 30","971.14","960.16","976.33","960.16","","1.18%"
"2025- 07- 29","959.85","955.74","961.07","941.97","","0.44%"
"2025- 07- 28","955.66","947.24","957.67","943.02","","0.92%"
"2025- 07- 25","946.99","946.40","950.15","943.68","","0.14%"
"2025- 07- 24","945.71","946.05","960.54","943.66","","0.05%"
"2025- 07- 23","945.25","941.32","948.19","931.90","","0.59%"
"2025- 07- 22","939.70","955.07","959.69","935.88","","-1.65%"
"2025- 07- 21","955.45","945.54","955.72","945.54","","0.92%"
"2025- 07- 18","946.77","947.57","951.94","940.96","","-0.04%"
"2025- 07- 17","947.15","945.05","949.88","933.83","","0.25%"
"2025- 07- 16","944.81","950.90","950.90","940.29","","-0.68%"
"2025- 07- 15","951.26","945.17","951.26","938.71","","0.62%"
"2025- 07- 14","945.36","936.03","945.36","934.64","","1.00%"
"2025- 07- 11","935.98","935.17","948.10","933.61","","0.05%"
"2025- 07- 10","935.51","924.36","935.51","921.36","","1.53%"
"2025- 07- 09","921.37","922.08","923.62","915.86","","-0.12%"
"2025- 07- 08","922.45","907.55","923.11","907.20","","1.88%"
"2025- 07- 07","905.42","903.43","909.04","896.13","","0.03%"
"2025- 07- 04","905.19","923.21","925.37","903.84","","-1.90%"
"2025- 07- 03","922.74","907.96","922.74","907.96","","1.87%"
"2025- 07- 02","905.83","906.33","908.24","893.26","","-0.20%"
"2025- 07- 01","907.69","906.60","921.81","906.60","","0.32%"
"2025- 06- 30","904.76","903.15","909.96","902.52","","0.33%"
"2025- 06- 27","901.76","908.85","912.43","897.71","","-0.74%"
"2025- 06- 26","908.44","919.20","919.73","897.23","","-0.92%"
"2025- 06- 25","916.83","913.60","922.29","908.44","","0.44%"
"2025- 06- 24","912.85","886.86","913.12","886.86","","3.44%"
"2025- 06- 23","882.47","881.82","884.26","868.46","","-0.43%"
"2025- 06- 20","886.32","874.06","886.32","872.47","","1.58%"
"2025- 06- 19","872.55","873.68","880.61","867.00","","-0.08%"
"2025- 06- 18","873.25","860.67","874.72","858.69","","1.14%"
"2025- 06- 17","863.41","861.92","879.71","858.70","","0.38%"
"2025- 06- 16","860.13","850.55","860.97","844.38","","1.58%"
"2025- 06- 13","846.78","854.76","860.20","841.89","","-0.98%"
"2025- 06- 12","855.15","853.03","860.62","852.17","","0.12%"
"2025- 06- 11","854.09","844.87","854.78","844.87","","1.25%"
"2025- 06- 10","843.53","841.45","847.09","837.22","","0.38%"
"2025- 06- 09","840.32","826.44","844.15","826.44","","1.74%"
"2025- 06- 05","825.95","810.74","832.91","810.74","","1.92%"
"2025- 06- 04","810.37","788.72","810.37","788.72","","2.83%"
"2025- 06- 02","788.08","787.16","794.87","783.74","","0.07%"
"2025- 05- 30","787.51","795.29","795.29","785.92","","-0.98%"
"2025- 05- 29","795.34","782.52","795.84","782.52","","1.73%"
"2025- 05- 28","781.78","769.12","787.72","769.12","","1.65%"
"2025- 05- 27","769.11","771.55","771.55","766.15","","-0.38%"
"2025- 05- 26","772.02","757.67","772.02","757.67","","1.88%"
"2025- 05- 23","757.78","759.59","763.45","757.00","","-0.05%"
"2025- 05- 22","758.19","768.27","768.27","755.89","","-1.33%"
"2025- 05- 21","768.39","763.63","772.65","763.63","","0.66%"
"2025- 05- 20","763.33","765.00","770.99","762.14","","0.06%"
"2025- 05- 19","762.87","771.06","771.06","759.57","","-1.09%"
"2025- 05- 16","771.28","771.18","773.62","769.52","","0.08%"
"2025- 05- 15","770.68","775.84","778.45","769.53","","-0.75%"
"2025- 05- 14","776.51","770.69","779.08","770.69","","1.12%"
"2025- 05- 13","767.94","768.71","773.41","766.46","","-0.11%"
"2025- 05- 12","768.81","757.45","768.81","757.45","","1.78%"
"2025- 05- 09","755.38","756.56","759.10","753.34","","-0.07%"
"2025- 05- 08","755.89","758.95","760.80","755.89","","-0.19%"
"2025- 05- 07","757.32","754.39","759.23","752.57","","0.70%"
"2025- 05- 02","752.09","753.18","754.66","747.34","","-0.18%"
"2025- 04- 30","753.44","755.71","756.84","749.37","","-0.15%"
"2025- 04- 29","754.56","750.94","757.85","749.10","","0.55%"
"2025- 04- 28","750.45","750.84","753.63","748.28","","-0.04%"
"2025- 04- 25","750.72","745.39","754.05","745.39","","0.80%"
"2025- 04- 24","744.75","746.22","747.66","740.00","","-0.20%"
"2025- 04- 23","746.24","738.24","746.70","738.24","","1.69%"
"2025- 04- 22","733.87","734.78","737.39","731.10","","-0.22%"
"2025- 04- 21","735.48","733.87","739.66","732.90","","0.20%"
"2025- 04- 18","733.98","729.89","735.21","728.10","","0.65%"
"2025- 04- 17","729.25","723.30","730.60","722.54","","0.83%"
"2025- 04- 16","723.28","735.43","735.43","721.63","","-1.63%"
"2025- 04- 15","735.24","730.66","737.55","730.66","","0.77%"
"2025- 04- 14","729.62","723.49","734.14","723.49","","1.02%"
"2025- 04- 11","722.27","727.51","727.51","713.10","","-1.13%"
"2025- 04- 10","730.56","692.75","730.56","692.75","","6.82%"
"2025- 04- 09","683.94","695.69","697.99","681.80","","-1.71%"
"2025- 04- 08","695.86","705.18","711.66","694.16","","0.30%"
"2025- 04- 07","693.79","717.95","717.95","693.74","","-5.89%"
"2025- 04- 04","737.20","746.63","753.33","729.04","","-1.36%"
"2025- 04- 03","747.33","752.44","752.44","733.84","","-1.03%"
"2025- 04- 02","755.10","759.79","762.76","754.11","","-0.60%"
"2025- 04- 01","759.67","747.75","763.41","747.75","","1.87%"
"2025- 03- 31","745.69","770.81","770.81","745.60","","-3.38%"
"2025- 03- 28","771.77","788.72","788.72","769.15","","-2.21%"
"2025- 03- 27","789.19","798.75","798.75","787.38","","-1.23%"
"2025- 03- 26","799.05","789.04","799.99","789.04","","1.28%"
"2025- 03- 25","788.99","794.08","801.85","788.51","","-0.61%"
"2025- 03- 24","793.82","798.05","800.17","792.43","","-0.53%"
"2025- 03- 21","798.05","794.45","798.28","790.35","","0.43%"
"2025- 03- 20","794.60","788.32","797.42","788.32","","0.80%"
"2025- 03- 19","788.30","782.10","793.43","781.65","","0.79%"
"2025- 03- 18","782.12","784.28","792.42","780.10","","-0.01%"
"2025- 03- 17","782.17","763.60","782.17","763.60","","2.52%"
"2025- 03- 14","762.98","764.57","766.57","761.12","","-0.24%"
"2025- 03- 13","764.80","764.90","773.22","759.65","","0.08%"
"2025- 03- 12","764.17","751.03","766.01","751.03","","1.80%"
"2025- 03- 11","750.65","756.97","756.97","739.98","","-1.10%"
"2025- 03- 10","758.98","758.15","762.36","754.02","","0.08%"
"2025- 03- 07","758.34","762.38","762.38","752.34","","-0.62%"
"2025- 03- 06","763.06","757.52","765.62","757.52","","0.74%"
"2025- 03- 05","757.42","753.05","763.12","751.51","","0.71%"
"2025- 03- 04","752.08","750.33","757.02","746.34","","0.02%"
"2025- 02- 28","751.94","779.77","779.77","751.80","","-3.70%"
"2025- 02- 27","780.84","787.12","787.12","778.14","","-0.77%"
"2025- 02- 26","786.93","783.81","789.81","780.22","","0.38%"
"2025- 02- 25","783.96","788.37","788.37","779.97","","-0.74%"
"2025- 02- 24","789.81","791.41","791.41","784.06","","-0.56%"
"2025- 02- 21","794.24","794.76","795.45","788.16","","-0.04%"
"2025- 02- 20","794.59","800.04","800.04","791.53","","-0.68%"
"2025- 02- 19","800.04","783.01","802.57","783.01","","2.16%"
"2025- 02- 18","783.10","777.45","783.89","775.73","","0.73%"
"2025- 02- 17","777.43","772.46","778.36","772.25","","0.66%"
"2025- 02- 14","772.35","767.81","775.34","767.81","","0.60%"
"2025- 02- 13","767.75","761.05","767.85","761.05","","1.01%"
"2025- 02- 12","760.04","759.82","761.21","754.16","","0.04%"
"2025- 02- 11","759.73","757.56","763.52","756.16","","0.54%"
"2025- 02- 10","755.66","750.79","757.58","744.85","","0.29%"
"2025- 02- 07","753.45","758.81","758.81","752.38","","-0.67%"
"2025- 02- 06","758.50","753.13","758.50","750.96","","1.08%"
"2025- 02- 05","750.37","746.28","752.71","746.28","","1.20%"
"2025- 02- 04","741.46","735.60","751.18","735.60","","1.37%"
"2025- 02- 03","731.43","743.43","743.43","726.68","","-2.75%"
"2025- 01- 31","752.15","756.04","758.11","744.20","","-0.94%"
"2025- 01- 24","759.31","755.93","762.33","755.93","","0.60%"
"2025- 01- 23","754.78","761.83","761.83","754.78","","-1.17%"
"2025- 01- 22","763.72","756.09","765.38","755.60","","1.39%"
"2025- 01- 21","753.26","752.97","763.27","749.59","","0.07%"
"2025- 01- 20","752.71","756.86","758.45","751.59","","-0.25%"
"2025- 01- 17","754.59","755.03","757.32","751.02","","-0.30%"
"2025- 01- 16","756.83","747.94","759.77","747.94","","1.42%"
"2025- 01- 15","746.27","747.38","756.84","744.91","","-0.05%"
"2025- 01- 14","746.68","747.10","749.62","742.05","","0.25%"
"2025- 01- 13","744.84","754.72","754.91","743.78","","-1.47%"
"2025- 01- 10","755.97","759.03","763.41","754.19","","-0.37%"
"2025- 01- 09","758.77","760.73","764.77","757.41","","0.09%"
"2025- 01- 08","758.11","746.88","760.20","743.40","","1.41%"
