"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","479.95","480.66","480.66","478.19","","-0.36%"
"2025- 08- 01","481.66","477.43","482.32","477.33","","1.29%"
"2025- 07- 31","475.51","478.49","478.80","475.51","","-0.75%"
"2025- 07- 30","479.08","478.59","479.08","476.37","","0.14%"
"2025- 07- 29","478.39","480.05","482.68","478.39","","-0.34%"
"2025- 07- 28","480.00","482.48","483.26","479.77","","-0.28%"
"2025- 07- 25","481.34","482.72","483.00","478.72","","-0.37%"
"2025- 07- 24","483.14","479.77","483.14","479.42","","0.76%"
"2025- 07- 23","479.50","476.15","479.50","476.15","","0.70%"
"2025- 07- 22","476.18","478.54","478.99","475.97","","-0.38%"
"2025- 07- 21","478.02","478.63","478.76","476.29","","-0.11%"
"2025- 07- 18","478.56","477.25","479.60","477.25","","0.41%"
"2025- 07- 17","476.59","473.60","476.77","473.49","","0.64%"
"2025- 07- 16","473.55","477.82","478.34","473.02","","-0.91%"
"2025- 07- 15","477.90","481.34","482.21","477.90","","-0.83%"
"2025- 07- 14","481.90","481.54","482.26","480.61","","0.06%"
"2025- 07- 11","481.61","482.50","483.81","479.65","","-0.12%"
"2025- 07- 10","482.18","479.90","482.18","477.79","","0.53%"
"2025- 07- 09","479.64","480.06","481.17","477.75","","-0.12%"
"2025- 07- 08","480.21","480.06","480.58","478.89","","-0.48%"
"2025- 07- 07","482.55","484.62","484.62","481.18","","-0.81%"
"2025- 07- 04","486.49","486.49","486.76","485.33","","0.14%"
"2025- 07- 03","485.80","484.85","486.01","483.25","","0.02%"
"2025- 07- 02","485.72","481.95","485.72","481.79","","0.65%"
"2025- 07- 01","482.59","480.90","482.59","480.10","","0.40%"
"2025- 06- 30","480.67","480.96","482.20","478.35","","0.29%"
"2025- 06- 26","479.28","476.53","479.28","476.31","","0.64%"
"2025- 06- 25","476.22","475.53","477.69","475.03","","0.37%"
"2025- 06- 24","474.47","474.85","475.71","473.22","","-0.16%"
"2025- 06- 23","475.25","467.17","475.25","465.89","","1.03%"
"2025- 06- 20","470.40","469.73","472.29","469.27","","0.15%"
"2025- 06- 19","469.71","473.78","473.78","469.71","","-0.80%"
"2025- 06- 18","473.48","473.29","473.77","472.43","","-0.07%"
"2025- 06- 17","473.79","476.31","476.97","473.79","","-0.55%"
"2025- 06- 16","476.43","476.04","477.01","474.13","","0.03%"
"2025- 06- 13","476.29","478.07","478.07","475.57","","-0.59%"
"2025- 06- 12","479.14","479.47","479.77","478.14","","0.18%"
"2025- 06- 11","478.29","477.34","480.97","477.34","","0.42%"
"2025- 06- 10","476.29","477.53","478.13","476.13","","-0.20%"
"2025- 06- 09","477.24","476.41","477.86","476.41","","0.26%"
"2025- 06- 06","476.01","476.52","476.65","475.11","","-0.15%"
"2025- 06- 05","476.72","474.35","477.28","473.99","","0.67%"
"2025- 06- 04","473.57","473.33","473.57","471.46","","0.30%"
"2025- 06- 03","472.17","474.93","475.74","470.38","","-0.33%"
"2025- 05- 30","473.75","477.58","478.06","473.75","","-0.70%"
"2025- 05- 29","477.11","479.03","479.55","476.66","","-0.21%"
"2025- 05- 28","478.12","480.29","481.43","478.12","","-0.24%"
"2025- 05- 27","479.28","482.10","482.26","477.82","","-0.53%"
"2025- 05- 26","481.85","482.64","482.64","480.18","","-0.03%"
"2025- 05- 23","482.01","480.43","482.45","480.43","","0.67%"
"2025- 05- 22","478.82","483.80","483.80","478.82","","-1.23%"
"2025- 05- 21","484.77","486.99","487.87","484.02","","-0.32%"
"2025- 05- 20","486.32","488.53","490.16","485.40","","-0.46%"
"2025- 05- 19","488.56","492.10","492.10","486.86","","-1.05%"
"2025- 05- 16","493.74","494.48","496.24","492.79","","-0.11%"
"2025- 05- 15","494.29","497.26","498.52","494.01","","-0.67%"
"2025- 05- 14","497.62","497.22","497.62","494.08","","0.14%"
"2025- 05- 13","496.91","489.42","496.91","489.42","","2.49%"
"2025- 05- 09","484.85","484.42","485.33","483.66","","0.24%"
"2025- 05- 08","483.67","485.97","486.75","483.41","","-0.47%"
"2025- 05- 07","485.96","481.76","485.96","481.73","","0.90%"
"2025- 05- 06","481.62","483.53","484.76","480.47","","-0.34%"
"2025- 05- 05","483.24","483.70","486.31","481.75","","-0.15%"
"2025- 05- 02","483.96","482.25","483.96","480.38","","0.15%"
"2025- 04- 30","483.24","476.31","483.24","476.31","","1.64%"
"2025- 04- 29","475.43","476.92","478.32","475.43","","-0.35%"
"2025- 04- 28","477.11","473.81","477.11","473.71","","0.87%"
"2025- 04- 25","472.99","473.50","473.68","471.75","","0.26%"
"2025- 04- 24","471.74","470.15","472.51","470.07","","0.27%"
"2025- 04- 23","470.47","469.09","470.54","467.95","","1.01%"
"2025- 04- 22","465.77","468.03","468.03","464.71","","-0.95%"
"2025- 04- 21","470.25","471.50","471.50","468.68","","-0.06%"
"2025- 04- 18","470.53","463.94","470.53","463.94","","1.17%"
"2025- 04- 17","465.10","462.72","466.37","461.92","","0.37%"
"2025- 04- 16","463.37","466.04","466.66","461.95","","-0.63%"
"2025- 04- 15","466.30","465.20","467.27","464.05","","0.41%"
"2025- 04- 14","464.39","462.38","464.39","461.73","","1.86%"
"2025- 04- 11","455.91","451.92","458.63","449.59","","-0.72%"
"2025- 04- 10","459.23","459.23","462.29","456.10","","4.62%"
"2025- 04- 09","438.96","451.13","451.68","434.48","","-3.13%"
"2025- 04- 08","453.12","455.83","456.92","452.28","","-0.03%"
"2025- 04- 07","453.27","463.75","463.75","445.57","","-4.19%"
"2025- 04- 04","473.08","474.59","477.03","471.85","","-1.06%"
"2025- 04- 03","478.14","477.62","479.86","476.28","","-0.53%"
"2025- 04- 02","480.70","477.53","480.70","476.67","","0.84%"
"2025- 03- 28","476.69","483.41","483.41","476.69","","-1.51%"
"2025- 03- 27","484.00","477.29","484.00","476.73","","1.26%"
"2025- 03- 26","478.00","477.74","480.45","477.31","","0.25%"
"2025- 03- 25","476.80","475.48","477.47","475.48","","0.68%"
"2025- 03- 24","473.60","474.67","475.39","473.60","","-0.18%"
"2025- 03- 21","474.47","473.93","476.73","473.71","","0.12%"
"2025- 03- 20","473.88","479.70","480.45","473.82","","-0.94%"
"2025- 03- 19","478.39","480.73","480.73","476.43","","-0.71%"
"2025- 03- 17","481.82","478.26","483.38","478.26","","1.06%"
"2025- 03- 14","476.78","472.78","477.93","470.35","","0.15%"
"2025- 03- 13","476.08","468.52","477.31","468.14","","1.89%"
"2025- 03- 12","467.23","473.49","474.30","465.30","","-2.39%"
"2025- 03- 11","478.68","481.58","481.58","477.03","","-1.12%"
"2025- 03- 10","484.08","486.69","488.69","484.08","","-0.62%"
"2025- 03- 07","487.10","489.71","489.89","485.95","","-0.72%"
"2025- 03- 06","490.62","493.11","494.32","489.43","","-0.48%"
"2025- 03- 05","492.98","491.70","494.52","491.70","","0.59%"
"2025- 03- 04","490.10","492.56","492.89","490.03","","-1.09%"
"2025- 03- 03","495.49","496.02","498.54","494.58","","-0.16%"
"2025- 02- 28","496.27","500.72","500.72","496.27","","-1.30%"
"2025- 02- 27","502.80","502.94","503.37","501.70","","-0.10%"
"2025- 02- 26","503.30","496.30","503.30","496.07","","1.25%"
"2025- 02- 25","497.09","502.22","502.22","495.75","","-1.10%"
"2025- 02- 24","502.61","503.58","503.58","500.41","","-0.45%"
"2025- 02- 21","504.89","502.42","504.89","501.57","","0.59%"
"2025- 02- 20","501.92","502.55","503.16","500.68","","-0.20%"
"2025- 02- 19","502.91","503.91","503.91","502.15","","-0.28%"
"2025- 02- 18","504.32","503.31","504.56","501.74","","0.06%"
"2025- 02- 17","504.00","506.51","506.51","503.43","","-0.49%"
"2025- 02- 14","506.47","505.78","506.81","504.78","","0.19%"
"2025- 02- 13","505.51","508.18","509.49","505.51","","-0.66%"
"2025- 02- 12","508.85","505.21","508.85","505.21","","0.84%"
"2025- 02- 10","504.59","504.04","504.88","502.79","","-0.09%"
"2025- 02- 07","505.03","502.52","505.17","501.87","","0.55%"
"2025- 02- 06","502.29","499.88","502.29","499.01","","0.61%"
"2025- 02- 05","499.24","496.62","499.87","495.96","","0.66%"
"2025- 02- 04","495.97","493.82","496.08","493.05","","0.67%"
"2025- 02- 03","492.66","491.28","493.99","490.75","","-0.28%"
"2025- 01- 31","494.03","493.72","496.04","490.71","","0.27%"
"2025- 01- 28","492.70","494.31","494.31","490.14","","-0.47%"
"2025- 01- 27","495.04","499.34","499.34","495.04","","-0.85%"
"2025- 01- 24","499.26","500.52","500.58","497.24","","-0.21%"
"2025- 01- 23","500.29","503.47","503.47","499.98","","-0.67%"
"2025- 01- 22","503.64","502.25","504.76","501.84","","0.42%"
"2025- 01- 21","501.52","499.65","502.07","498.64","","0.52%"
"2025- 01- 20","498.91","499.08","500.09","496.78","","0.21%"
"2025- 01- 17","497.86","494.33","498.62","491.46","","0.66%"
"2025- 01- 16","494.59","499.85","500.39","494.59","","-0.22%"
"2025- 01- 15","495.67","500.17","503.22","494.60","","-0.87%"
"2025- 01- 14","500.03","503.39","507.47","500.03","","-0.60%"
"2025- 01- 13","503.05","506.95","507.11","501.12","","-0.98%"
"2025- 01- 10","508.02","508.47","509.05","507.34","","0.08%"
"2025- 01- 09","507.62","513.21","513.21","507.52","","-0.86%"
"2025- 01- 08","512.03","516.41","517.18","512.01","","-0.91%"
"2025- 01- 07","516.72","514.88","517.86","514.88","","0.31%"
"2025- 01- 06","515.12","516.54","517.26","514.69","","-0.23%"
"2025- 01- 03","516.32","517.70","518.13","515.48","","-0.18%"
"2025- 01- 02","517.23","520.09","520.09","516.14","","-0.59%"
"2024- 12- 31","520.32","518.46","520.98","516.91","","0.35%"
"2024- 12- 30","518.48","515.38","518.70","514.95","","0.49%"
"2024- 12- 27","515.95","512.78","517.17","512.78","","0.76%"
"2024- 12- 26","512.07","508.37","512.52","508.17","","0.77%"
"2024- 12- 24","508.15","506.37","508.45","506.37","","0.41%"
"2024- 12- 23","506.09","505.19","507.76","504.62","","0.39%"
"2024- 12- 20","504.12","506.99","508.64","504.12","","-0.53%"
"2024- 12- 19","506.80","505.44","507.04","504.43","","-0.05%"
"2024- 12- 18","507.03","507.22","508.02","506.01","","0.02%"
"2024- 12- 17","506.94","509.58","509.72","505.94","","-0.58%"
"2024- 12- 16","509.92","510.99","511.10","508.80","","-0.24%"
"2024- 12- 13","511.14","509.47","511.70","509.32","","0.51%"
"2024- 12- 12","508.57","508.90","509.52","507.05","","-0.08%"
"2024- 12- 11","509.00","508.93","509.71","507.30","","-0.29%"
"2024- 12- 10","510.48","510.09","511.58","509.16","","0.03%"
"2024- 12- 09","510.33","510.62","510.62","507.80","","-0.16%"
"2024- 12- 06","511.17","511.47","511.94","509.81","","-0.02%"
"2024- 12- 05","511.26","511.76","512.13","509.72","","0.05%"
"2024- 12- 04","511.02","508.33","511.44","508.33","","0.43%"
"2024- 12- 03","508.84","505.60","508.84","504.74","","0.74%"
"2024- 12- 02","505.11","504.59","507.34","504.15","","0.20%"
"2024- 11- 29","504.10","504.27","507.04","502.48","","-0.20%"
"2024- 11- 28","505.10","508.03","508.52","505.10","","-0.52%"
"2024- 11- 27","507.72","506.67","509.04","506.17","","0.15%"
"2024- 11- 26","506.94","506.74","508.56","505.15","","0.22%"
"2024- 11- 25","505.81","503.93","509.43","502.46","","0.58%"
"2024- 11- 22","502.91","503.86","504.14","501.98","","0.09%"
"2024- 11- 21","502.45","505.45","505.68","502.38","","-0.52%"
"2024- 11- 20","505.06","505.74","506.86","503.41","","-0.09%"
"2024- 11- 19","505.50","506.16","507.71","505.50","","-0.16%"
"2024- 11- 18","506.31","502.39","506.48","502.00","","0.83%"
"2024- 11- 15","502.14","504.22","505.37","502.14","","-0.40%"
"2024- 11- 14","504.14","508.75","509.15","503.73","","-0.71%"
"2024- 11- 13","507.72","506.84","507.72","504.72","","0.22%"
"2024- 11- 12","506.62","506.86","509.06","506.05","","-0.03%"
"2024- 11- 11","506.77","511.33","512.77","506.75","","-0.85%"
"2024- 11- 08","511.10","512.92","512.92","511.10","","-0.15%"
"2024- 11- 07","511.86","515.93","517.03","511.86","","-0.58%"
"2024- 11- 06","514.84","510.43","514.84","510.43","","0.98%"
"2024- 11- 05","509.86","509.21","510.72","508.31","","0.22%"
"2024- 11- 04","508.73","505.60","508.73","505.60","","0.79%"
"2024- 11- 01","504.74","502.64","505.43","500.43","","0.10%"
"2024- 10- 30","504.23","508.30","508.30","504.23","","-0.71%"
"2024- 10- 29","507.84","507.32","509.30","506.58","","0.25%"
"2024- 10- 28","506.56","509.61","512.46","506.50","","-0.38%"
"2024- 10- 25","508.50","513.18","513.55","508.40","","-0.83%"
"2024- 10- 24","512.74","515.30","516.08","512.74","","-0.63%"
"2024- 10- 23","516.00","516.73","517.36","516.00","","-0.04%"
"2024- 10- 22","516.21","516.78","517.69","515.35","","-0.06%"
"2024- 10- 21","516.52","516.88","517.20","515.23","","0.01%"
"2024- 10- 18","516.47","515.50","517.71","515.16","","0.29%"
"2024- 10- 17","515.00","513.02","515.34","512.90","","0.53%"
"2024- 10- 16","512.26","515.29","515.29","511.25","","-0.52%"
"2024- 10- 15","514.94","514.19","515.48","513.34","","0.31%"
"2024- 10- 14","513.35","513.44","515.54","512.27","","0.17%"
"2024- 10- 11","512.47","513.38","515.33","511.85","","-0.49%"
"2024- 10- 10","514.99","514.62","516.41","514.12","","0.36%"
"2024- 10- 09","513.16","514.53","515.88","513.16","","-0.12%"
"2024- 10- 08","513.80","512.55","514.45","511.56","","0.04%"
"2024- 10- 07","513.60","512.84","514.13","511.03","","0.40%"
"2024- 10- 04","511.54","513.99","514.26","510.32","","-0.64%"
"2024- 10- 03","514.81","514.72","515.55","511.64","","0.11%"
"2024- 10- 02","514.23","515.26","516.23","512.01","","-0.98%"
"2024- 10- 01","519.32","516.39","519.76","515.06","","0.48%"
