"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","6,252.61","6,333.74","6,341.67","6,243.07","","-1.30%"
"2025- 07- 31","6,335.15","6,303.18","6,370.34","6,276.00","","-0.08%"
"2025- 07- 30","6,340.19","6,358.53","6,408.76","6,299.86","","-0.59%"
"2025- 07- 29","6,377.74","6,303.09","6,423.46","6,232.51","","0.51%"
"2025- 07- 28","6,345.39","6,417.50","6,417.50","6,285.75","","-1.38%"
"2025- 07- 25","6,434.42","6,410.36","6,439.98","6,365.37","","0.39%"
"2025- 07- 24","6,409.68","6,367.91","6,423.30","6,349.30","","1.23%"
"2025- 07- 23","6,331.64","6,241.66","6,364.30","6,233.78","","1.78%"
"2025- 07- 22","6,220.88","6,261.68","6,261.99","6,193.20","","-0.34%"
"2025- 07- 21","6,242.06","6,309.48","6,321.83","6,234.18","","-0.63%"
"2025- 07- 18","6,281.79","6,340.92","6,340.92","6,262.61","","-0.35%"
"2025- 07- 17","6,303.89","6,256.82","6,322.38","6,249.89","","0.00%"
"2025- 07- 16","6,304.16","6,273.84","6,332.99","6,253.85","","0.20%"
"2025- 07- 15","6,291.77","6,311.81","6,340.49","6,234.93","","0.13%"
"2025- 07- 14","6,283.45","6,319.62","6,331.20","6,256.55","","-0.79%"
"2025- 07- 11","6,333.73","6,338.53","6,365.58","6,276.04","","-0.51%"
"2025- 07- 10","6,366.32","6,372.07","6,392.12","6,320.98","","-0.47%"
"2025- 07- 09","6,396.60","6,448.05","6,459.46","6,365.69","","-0.11%"
"2025- 07- 08","6,403.64","6,429.33","6,451.85","6,351.35","","-0.74%"
"2025- 07- 07","6,451.60","6,482.90","6,510.80","6,440.54","","-0.85%"
"2025- 07- 04","6,506.80","6,509.08","6,526.11","6,486.64","","0.36%"
"2025- 07- 03","6,483.46","6,537.78","6,578.34","6,472.23","","-0.51%"
"2025- 07- 02","6,516.90","6,458.91","6,531.26","6,439.32","","0.58%"
"2025- 07- 01","6,479.52","6,433.13","6,479.52","6,407.67","","1.80%"
"2025- 06- 30","6,364.83","6,374.54","6,431.77","6,361.87","","-0.08%"
"2025- 06- 27","6,370.24","6,359.04","6,421.63","6,357.89","","0.04%"
"2025- 06- 26","6,367.54","6,308.41","6,392.68","6,277.04","","1.08%"
"2025- 06- 25","6,299.38","6,247.36","6,313.38","6,246.44","","1.04%"
"2025- 06- 24","6,234.31","6,153.28","6,249.81","6,153.28","","2.01%"
"2025- 06- 23","6,111.73","6,094.97","6,132.95","6,051.30","","-0.53%"
"2025- 06- 20","6,144.36","6,161.47","6,180.41","6,113.67","","0.12%"
"2025- 06- 19","6,136.93","6,229.48","6,239.61","6,136.93","","-1.61%"
"2025- 06- 18","6,237.14","6,230.79","6,272.94","6,196.91","","0.09%"
"2025- 06- 17","6,231.49","6,279.48","6,289.91","6,200.36","","-1.25%"
"2025- 06- 16","6,310.59","6,373.86","6,411.95","6,289.61","","-0.30%"
"2025- 06- 13","6,329.46","6,311.39","6,370.53","6,258.39","","-0.77%"
"2025- 06- 12","6,378.64","6,375.22","6,413.24","6,341.44","","0.21%"
"2025- 06- 11","6,365.55","6,381.98","6,464.12","6,364.62","","0.03%"
"2025- 06- 10","6,363.42","6,336.44","6,368.71","6,307.33","","0.60%"
"2025- 06- 09","6,325.64","6,359.28","6,382.56","6,325.64","","0.08%"
"2025- 06- 06","6,320.40","6,282.20","6,356.88","6,215.27","","0.45%"
"2025- 06- 05","6,292.27","6,282.09","6,319.46","6,276.50","","0.55%"
"2025- 06- 04","6,257.85","6,287.49","6,316.70","6,242.87","","-0.04%"
"2025- 06- 03","6,260.20","6,274.82","6,276.58","6,226.71","","-0.27%"
"2025- 06- 02","6,277.36","6,301.97","6,374.47","6,256.52","","0.72%"
"2025- 05- 30","6,232.26","6,327.72","6,327.72","6,227.64","","-1.67%"
"2025- 05- 29","6,338.03","6,344.58","6,391.44","6,321.30","","0.14%"
"2025- 05- 28","6,329.01","6,339.55","6,399.89","6,285.65","","-0.78%"
"2025- 05- 27","6,378.61","6,334.14","6,511.41","6,334.14","","0.52%"
"2025- 05- 26","6,345.42","6,336.48","6,353.61","6,310.38","","0.54%"
"2025- 05- 23","6,311.50","6,197.92","6,339.01","6,160.37","","1.28%"
"2025- 05- 22","6,231.50","6,256.53","6,310.28","6,229.36","","-1.30%"
"2025- 05- 21","6,313.79","6,259.82","6,322.04","6,247.35","","0.17%"
"2025- 05- 20","6,302.87","6,308.52","6,356.17","6,292.21","","0.43%"
"2025- 05- 19","6,275.95","6,214.51","6,332.62","6,189.00","","1.62%"
"2025- 05- 16","6,176.19","6,184.06","6,230.30","6,138.48","","-0.35%"
"2025- 05- 15","6,197.79","6,192.67","6,204.85","6,143.56","","-0.26%"
"2025- 05- 14","6,213.69","6,190.42","6,213.69","6,158.26","","1.14%"
"2025- 05- 13","6,143.51","6,053.53","6,209.13","6,038.00","","1.89%"
"2025- 05- 12","6,029.37","6,089.20","6,111.13","5,942.46","","-0.50%"
"2025- 05- 09","6,059.42","6,122.26","6,143.40","6,052.17","","-0.33%"
"2025- 05- 08","6,079.18","6,246.11","6,269.47","6,071.38","","-1.90%"
"2025- 05- 07","6,197.19","6,109.58","6,223.96","6,106.29","","1.58%"
"2025- 05- 06","6,100.66","5,917.88","6,128.95","5,899.60","","2.13%"
"2025- 05- 05","5,973.48","5,971.75","6,002.67","5,928.95","","0.21%"
"2025- 05- 02","5,961.05","6,057.11","6,057.11","5,909.78","","-1.37%"
"2025- 05- 01","6,043.95","6,043.95","6,043.95","6,043.95","","-0.17%"
"2025- 04- 30","6,054.07","5,953.93","6,054.07","5,923.14","","1.61%"
"2025- 04- 29","5,958.42","6,128.85","6,129.45","5,957.73","","-2.71%"
"2025- 04- 28","6,124.60","6,097.78","6,173.16","6,095.00","","0.58%"
"2025- 04- 25","6,089.17","6,059.28","6,109.76","6,025.89","","0.54%"
"2025- 04- 24","6,056.64","5,997.22","6,098.63","5,974.02","","1.16%"
"2025- 04- 23","5,987.18","5,922.18","6,065.83","5,922.18","","1.61%"
"2025- 04- 22","5,892.10","5,786.84","5,898.60","5,784.70","","1.92%"
"2025- 04- 21","5,781.14","5,728.45","5,789.55","5,719.61","","2.57%"
"2025- 04- 18","5,636.35","5,636.35","5,636.35","5,636.35","","0.00%"
"2025- 04- 17","5,636.35","5,636.35","5,636.35","5,636.35","","0.74%"
"2025- 04- 16","5,594.75","5,539.05","5,643.11","5,528.14","","0.58%"
"2025- 04- 15","5,562.36","5,510.72","5,584.50","5,510.72","","1.17%"
"2025- 04- 14","5,497.92","5,401.59","5,536.36","5,401.59","","3.66%"
"2025- 04- 11","5,303.76","5,332.92","5,387.90","5,303.76","","0.17%"
"2025- 04- 10","5,294.86","5,379.21","5,402.59","5,263.02","","0.64%"
"2025- 04- 09","5,261.43","5,024.74","5,476.28","4,988.79","","3.00%"
"2025- 04- 08","5,108.31","5,223.77","5,264.66","5,046.90","","-0.44%"
"2025- 04- 07","5,131.08","5,170.28","5,288.04","5,041.75","","-2.59%"
"2025- 04- 04","5,267.53","5,525.46","5,525.46","5,237.33","","-7.58%"
"2025- 04- 03","5,699.37","5,573.53","5,792.03","5,565.42","","3.35%"
"2025- 04- 02","5,514.80","5,477.38","5,550.74","5,438.84","","0.67%"
"2025- 04- 01","5,478.02","5,382.03","5,503.34","5,354.58","","1.89%"
"2025- 03- 31","5,376.31","5,459.20","5,459.20","5,362.09","","-1.54%"
"2025- 03- 28","5,460.21","5,480.57","5,516.26","5,398.13","","-1.19%"
"2025- 03- 27","5,525.88","5,429.26","5,525.88","5,422.15","","0.61%"
"2025- 03- 26","5,492.22","5,532.20","5,532.85","5,475.72","","-0.76%"
"2025- 03- 25","5,534.54","5,513.62","5,550.12","5,483.38","","1.06%"
"2025- 03- 24","5,476.68","5,491.11","5,512.09","5,468.03","","0.14%"
"2025- 03- 21","5,468.88","5,485.05","5,491.63","5,437.93","","-0.86%"
"2025- 03- 20","5,516.33","5,487.25","5,524.47","5,456.93","","-0.33%"
"2025- 03- 19","5,534.73","5,526.32","5,568.16","5,516.13","","0.19%"
"2025- 03- 18","5,524.43","5,485.62","5,550.74","5,485.62","","-0.02%"
"2025- 03- 17","5,525.32","5,525.32","5,525.32","5,525.32","","-0.19%"
"2025- 03- 14","5,535.76","5,453.11","5,550.67","5,453.11","","2.34%"
"2025- 03- 13","5,409.24","5,392.83","5,457.24","5,380.07","","0.15%"
"2025- 03- 12","5,401.24","5,316.17","5,404.59","5,316.17","","2.16%"
"2025- 03- 11","5,287.01","5,312.76","5,340.25","5,249.90","","-0.48%"
"2025- 03- 10","5,312.63","5,453.74","5,453.74","5,253.73","","-2.41%"
"2025- 03- 07","5,443.86","5,419.51","5,454.04","5,321.27","","0.46%"
"2025- 03- 06","5,418.94","5,404.69","5,480.41","5,371.73","","0.61%"
"2025- 03- 05","5,386.26","5,348.35","5,396.83","5,340.01","","2.88%"
"2025- 03- 04","5,235.47","5,199.65","5,342.43","5,080.42","","-1.68%"
"2025- 03- 03","5,325.19","5,344.65","5,443.18","5,246.75","","0.40%"
"2025- 02- 28","5,303.75","5,347.16","5,368.28","5,284.88","","-0.94%"
"2025- 02- 27","5,353.97","5,414.36","5,424.07","5,314.04","","-1.03%"
"2025- 02- 26","5,409.48","5,379.29","5,437.27","5,341.37","","0.52%"
"2025- 02- 25","5,381.45","5,437.95","5,438.69","5,350.35","","-1.10%"
"2025- 02- 24","5,441.55","5,452.79","5,483.04","5,388.90","","-0.77%"
"2025- 02- 21","5,483.63","5,544.12","5,544.12","5,433.01","","-0.67%"
"2025- 02- 20","5,520.36","5,495.58","5,546.43","5,474.58","","0.52%"
"2025- 02- 19","5,491.93","5,546.54","5,546.54","5,469.25","","-1.44%"
