"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","157.68","157.72","158.44","157.52","","-0.39%"
"2025- 08- 01","158.30","159.61","159.62","158.24","","-0.78%"
"2025- 07- 31","159.55","160.25","160.90","159.46","","-0.79%"
"2025- 07- 30","160.82","161.52","161.89","160.80","","-0.22%"
"2025- 07- 29","161.17","159.88","161.39","159.82","","0.30%"
"2025- 07- 28","160.68","160.15","161.18","160.04","","0.92%"
"2025- 07- 25","159.21","158.25","159.97","158.21","","0.52%"
"2025- 07- 24","158.39","158.23","159.32","158.23","","0.02%"
"2025- 07- 23","158.36","158.37","158.44","157.09","","-0.62%"
"2025- 07- 22","159.34","159.83","160.30","158.82","","-0.99%"
"2025- 07- 21","160.94","159.78","161.16","159.73","","0.88%"
"2025- 07- 18","159.53","159.45","159.77","159.02","","-0.36%"
"2025- 07- 17","160.11","158.88","160.11","158.37","","2.05%"
"2025- 07- 16","156.90","157.03","157.56","156.54","","1.09%"
"2025- 07- 15","155.21","156.42","156.86","155.18","","-0.22%"
"2025- 07- 14","155.56","155.06","155.70","154.61","","-0.10%"
"2025- 07- 11","155.71","157.30","157.39","155.50","","-1.11%"
"2025- 07- 10","157.45","158.46","158.56","157.00","","-0.33%"
"2025- 07- 09","157.97","158.62","158.76","156.85","","-0.83%"
"2025- 07- 08","159.30","157.50","159.30","156.75","","1.09%"
"2025- 07- 07","157.59","158.07","158.23","157.26","","-0.16%"
"2025- 07- 04","157.84","158.24","158.66","157.34","","0.34%"
"2025- 07- 03","157.30","158.94","159.05","157.06","","-1.42%"
"2025- 07- 02","159.56","159.99","160.93","159.24","","0.35%"
"2025- 07- 01","159.01","157.36","159.01","157.30","","1.10%"
"2025- 06- 30","157.28","157.21","157.53","156.33","","-0.10%"
"2025- 06- 27","157.43","156.34","157.43","155.92","","1.17%"
"2025- 06- 26","155.61","155.46","155.91","155.12","","-0.06%"
"2025- 06- 25","155.71","155.63","156.88","155.54","","-0.26%"
"2025- 06- 24","156.12","158.41","158.87","156.00","","-0.86%"
"2025- 06- 23","157.47","158.06","158.38","156.72","","-0.40%"
"2025- 06- 19","158.11","158.20","158.98","157.49","","-0.85%"
"2025- 06- 18","159.47","159.40","160.08","158.98","","-0.36%"
"2025- 06- 17","160.04","160.65","161.60","159.40","","-0.38%"
"2025- 06- 16","160.65","158.44","160.65","158.26","","1.54%"
"2025- 06- 13","158.21","159.04","159.54","156.95","","-0.32%"
"2025- 06- 12","158.72","157.27","158.72","156.56","","0.61%"
"2025- 06- 11","157.75","157.66","158.55","157.21","","0.02%"
"2025- 06- 10","157.72","158.46","158.56","157.21","","0.35%"
"2025- 06- 09","157.17","157.51","157.79","156.85","","-0.66%"
"2025- 06- 06","158.21","159.17","159.75","157.93","","-0.35%"
"2025- 06- 05","158.76","158.62","159.02","158.09","","0.21%"
"2025- 06- 04","158.43","155.23","158.43","155.23","","1.65%"
