"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","1,157.38","1,155.27","1,157.85","1,145.64","","0.45%"
"2025- 08- 01","1,152.22","1,145.07","1,152.22","1,140.71","","0.82%"
"2025- 07- 31","1,142.86","1,152.72","1,153.54","1,137.51","","-1.01%"
"2025- 07- 30","1,154.52","1,155.95","1,158.67","1,152.36","","0.03%"
"2025- 07- 29","1,154.19","1,167.67","1,168.44","1,154.19","","-1.10%"
"2025- 07- 28","1,167.02","1,173.23","1,175.05","1,159.70","","-0.51%"
"2025- 07- 25","1,173.02","1,185.10","1,185.10","1,169.22","","-0.67%"
"2025- 07- 24","1,180.92","1,183.39","1,186.13","1,177.58","","-0.59%"
"2025- 07- 23","1,187.90","1,166.37","1,187.90","1,166.37","","2.01%"
"2025- 07- 22","1,164.54","1,165.23","1,166.45","1,157.93","","0.08%"
"2025- 07- 21","1,163.62","1,155.71","1,163.62","1,154.91","","0.82%"
"2025- 07- 18","1,154.14","1,154.05","1,161.88","1,151.88","","0.28%"
"2025- 07- 17","1,150.88","1,157.01","1,160.42","1,147.29","","-0.28%"
"2025- 07- 16","1,154.13","1,166.93","1,168.51","1,149.36","","-1.81%"
"2025- 07- 15","1,175.41","1,187.68","1,190.00","1,175.09","","-1.03%"
"2025- 07- 14","1,187.61","1,180.20","1,190.54","1,178.78","","1.06%"
"2025- 07- 11","1,175.10","1,181.58","1,184.58","1,171.48","","-0.32%"
"2025- 07- 10","1,178.88","1,186.46","1,193.12","1,178.88","","-0.66%"
"2025- 07- 09","1,186.72","1,170.69","1,188.82","1,170.69","","1.44%"
"2025- 07- 08","1,169.91","1,169.20","1,172.71","1,163.18","","-0.16%"
"2025- 07- 07","1,171.74","1,166.16","1,171.74","1,159.85","","0.65%"
"2025- 07- 04","1,164.12","1,176.43","1,177.25","1,164.12","","-1.02%"
"2025- 07- 03","1,176.09","1,162.77","1,180.63","1,161.98","","1.03%"
"2025- 07- 02","1,164.07","1,165.34","1,165.50","1,159.50","","-0.21%"
"2025- 07- 01","1,166.55","1,161.74","1,166.55","1,157.01","","1.00%"
"2025- 06- 30","1,155.04","1,166.63","1,172.90","1,155.04","","-0.85%"
"2025- 06- 27","1,164.89","1,150.62","1,166.62","1,150.32","","1.21%"
"2025- 06- 26","1,150.91","1,153.94","1,153.94","1,146.11","","0.17%"
"2025- 06- 25","1,148.95","1,146.54","1,153.37","1,145.53","","0.42%"
"2025- 06- 24","1,144.19","1,141.69","1,154.86","1,141.69","","1.08%"
"2025- 06- 23","1,131.94","1,144.05","1,144.05","1,128.75","","-1.80%"
"2025- 06- 20","1,152.64","1,157.65","1,160.44","1,151.74","","-0.41%"
"2025- 06- 19","1,157.38","1,153.97","1,159.73","1,147.64","","0.45%"
"2025- 06- 18","1,152.20","1,160.31","1,163.10","1,152.20","","-0.62%"
"2025- 06- 17","1,159.33","1,166.29","1,169.53","1,159.33","","-0.16%"
"2025- 06- 16","1,161.15","1,163.88","1,165.08","1,155.50","","-0.55%"
"2025- 06- 13","1,167.63","1,169.46","1,175.45","1,167.63","","0.42%"
"2025- 06- 11","1,162.70","1,158.53","1,164.49","1,154.25","","0.71%"
"2025- 06- 10","1,154.53","1,163.85","1,165.73","1,152.43","","-0.98%"
"2025- 06- 09","1,165.96","1,164.77","1,166.95","1,160.63","","0.22%"
"2025- 06- 05","1,163.35","1,162.79","1,168.39","1,159.01","","0.14%"
"2025- 06- 04","1,161.69","1,175.81","1,177.52","1,161.69","","-1.04%"
"2025- 06- 03","1,173.92","1,166.13","1,174.42","1,163.96","","0.79%"
"2025- 06- 02","1,164.70","1,158.83","1,167.11","1,154.06","","0.60%"
"2025- 05- 30","1,157.72","1,174.20","1,177.92","1,155.33","","-1.01%"
"2025- 05- 29","1,169.53","1,181.08","1,181.08","1,169.53","","-0.26%"
"2025- 05- 28","1,172.59","1,170.65","1,183.57","1,170.65","","0.60%"
"2025- 05- 27","1,165.56","1,164.78","1,168.44","1,162.61","","-0.19%"
"2025- 05- 26","1,167.79","1,171.99","1,171.99","1,164.12","","-0.68%"
"2025- 05- 23","1,175.76","1,158.42","1,175.76","1,158.30","","2.25%"
"2025- 05- 22","1,149.91","1,157.31","1,157.31","1,144.74","","-0.87%"
