"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","1,887.71","1,923.35","1,923.35","1,876.75","","-2.27%"
"2025- 07- 31","1,931.58","1,950.14","1,955.21","1,924.00","","-1.02%"
"2025- 07- 30","1,951.40","1,933.84","1,951.40","1,922.10","","1.01%"
"2025- 07- 29","1,931.85","1,899.79","1,935.81","1,899.69","","1.56%"
"2025- 07- 28","1,902.26","1,939.70","1,955.41","1,899.51","","-1.93%"
"2025- 07- 25","1,939.76","1,939.34","1,939.76","1,920.71","","-0.11%"
"2025- 07- 24","1,941.96","1,927.72","1,941.96","1,922.86","","0.85%"
"2025- 07- 23","1,925.54","1,928.58","1,941.28","1,915.91","","0.57%"
"2025- 07- 22","1,914.54","1,920.16","1,922.97","1,904.48","","-0.69%"
"2025- 07- 21","1,927.91","1,947.16","1,947.52","1,917.18","","-0.60%"
"2025- 07- 18","1,939.50","1,921.69","1,949.99","1,920.78","","1.99%"
"2025- 07- 17","1,901.65","1,882.69","1,903.55","1,868.67","","1.43%"
"2025- 07- 16","1,874.77","1,877.16","1,881.62","1,863.29","","-0.08%"
"2025- 07- 15","1,876.32","1,889.19","1,901.74","1,867.90","","-0.19%"
"2025- 07- 14","1,879.89","1,865.30","1,880.18","1,857.18","","0.64%"
"2025- 07- 11","1,867.91","1,864.32","1,869.45","1,851.98","","0.45%"
"2025- 07- 10","1,859.57","1,896.28","1,900.07","1,857.66","","-1.77%"
"2025- 07- 09","1,893.07","1,891.52","1,897.52","1,875.30","","0.35%"
"2025- 07- 08","1,886.41","1,876.40","1,886.70","1,874.20","","1.01%"
"2025- 07- 07","1,867.55","1,869.29","1,875.33","1,857.45","","-0.13%"
"2025- 07- 04","1,869.97","1,877.05","1,883.78","1,853.54","","-0.75%"
"2025- 07- 03","1,884.01","1,861.40","1,889.15","1,860.89","","1.77%"
"2025- 07- 02","1,851.29","1,846.06","1,856.04","1,838.22","","0.48%"
"2025- 07- 01","1,842.44","1,854.41","1,866.48","1,838.46","","-0.72%"
"2025- 06- 30","1,855.74","1,841.90","1,864.21","1,839.11","","1.30%"
"2025- 06- 27","1,831.84","1,834.12","1,836.90","1,820.17","","0.26%"
"2025- 06- 26","1,827.17","1,798.04","1,831.92","1,796.29","","2.28%"
"2025- 06- 25","1,786.48","1,796.28","1,797.33","1,781.13","","-0.57%"
"2025- 06- 24","1,796.72","1,769.88","1,796.72","1,768.62","","2.88%"
"2025- 06- 23","1,746.38","1,770.06","1,770.06","1,739.87","","-1.62%"
"2025- 06- 20","1,775.09","1,765.74","1,778.81","1,762.71","","0.52%"
"2025- 06- 18","1,765.99","1,772.87","1,776.62","1,752.66","","-0.36%"
"2025- 06- 17","1,772.31","1,755.43","1,776.37","1,740.42","","0.48%"
"2025- 06- 16","1,763.83","1,770.12","1,782.13","1,758.52","","0.24%"
"2025- 06- 13","1,759.62","1,762.40","1,777.64","1,751.57","","-1.81%"
"2025- 06- 12","1,791.99","1,795.29","1,820.82","1,772.06","","-0.95%"
"2025- 06- 11","1,809.15","1,808.82","1,812.39","1,788.99","","-0.37%"
"2025- 06- 10","1,815.78","1,778.62","1,827.46","1,776.69","","2.23%"
