"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","2,041.40","2,039.63","2,045.35","2,010.41","","-0.27%"
"2025- 07- 31","2,046.93","2,060.07","2,070.00","2,045.54","","-0.65%"
"2025- 07- 30","2,060.36","2,057.68","2,063.39","2,047.90","","0.12%"
"2025- 07- 29","2,057.94","2,045.39","2,064.94","2,044.63","","0.59%"
"2025- 07- 28","2,045.79","2,046.49","2,059.22","2,039.70","","0.01%"
"2025- 07- 25","2,045.61","2,065.49","2,065.49","2,040.83","","-1.14%"
"2025- 07- 24","2,069.20","2,079.52","2,083.22","2,055.13","","-0.45%"
"2025- 07- 23","2,078.47","2,077.28","2,088.91","2,072.17","","0.70%"
"2025- 07- 22","2,063.97","2,071.23","2,071.23","2,050.26","","-0.42%"
"2025- 07- 21","2,072.70","2,045.60","2,072.98","2,045.60","","1.36%"
"2025- 07- 18","2,044.93","2,007.21","2,050.38","2,007.21","","1.84%"
"2025- 07- 17","2,008.03","2,000.90","2,008.54","1,997.94","","0.39%"
"2025- 07- 16","2,000.15","2,002.83","2,004.40","1,985.48","","-0.19%"
"2025- 07- 15","2,004.00","1,996.30","2,019.22","1,996.30","","0.39%"
"2025- 07- 14","1,996.21","2,004.38","2,011.77","1,992.37","","-0.38%"
"2025- 07- 11","2,003.80","2,010.83","2,017.96","1,993.52","","-0.33%"
"2025- 07- 10","2,010.50","2,016.72","2,035.12","2,009.62","","-0.37%"
"2025- 07- 09","2,018.04","2,015.27","2,023.45","2,005.57","","0.14%"
"2025- 07- 08","2,015.27","2,021.34","2,036.11","2,012.41","","-0.25%"
"2025- 07- 07","2,020.32","2,015.63","2,020.34","1,995.39","","0.12%"
"2025- 07- 04","2,017.81","2,011.61","2,017.81","2,007.05","","0.33%"
"2025- 07- 03","2,011.12","2,005.35","2,022.45","2,005.35","","0.30%"
"2025- 07- 02","2,005.17","2,012.58","2,016.51","1,986.63","","-0.40%"
"2025- 07- 01","2,013.27","2,004.74","2,025.65","2,004.74","","0.75%"
"2025- 06- 30","1,998.38","1,983.31","2,006.47","1,980.11","","0.76%"
"2025- 06- 27","1,983.25","1,991.42","1,991.42","1,971.29","","-0.44%"
"2025- 06- 26","1,991.93","1,983.74","2,005.59","1,979.47","","0.41%"
"2025- 06- 25","1,983.72","1,993.74","2,013.45","1,970.64","","-0.51%"
"2025- 06- 24","1,993.87","1,981.69","1,999.85","1,978.14","","0.62%"
"2025- 06- 23","1,981.59","1,967.24","1,982.02","1,956.93","","0.72%"
"2025- 06- 20","1,967.49","1,973.90","1,985.66","1,963.84","","-0.34%"
"2025- 06- 19","1,974.26","1,971.92","1,977.41","1,948.93","","0.13%"
"2025- 06- 18","1,971.61","1,965.28","1,976.44","1,947.26","","0.31%"
"2025- 06- 17","1,965.46","1,985.47","1,987.89","1,957.51","","-1.18%"
"2025- 06- 13","1,988.89","2,019.70","2,023.64","1,988.89","","-1.64%"
"2025- 06- 12","2,022.07","1,997.55","2,025.17","1,996.68","","1.10%"
"2025- 06- 11","1,999.98","2,010.57","2,024.43","1,990.47","","-0.59%"
"2025- 06- 10","2,011.81","2,004.51","2,023.45","2,003.34","","0.41%"
"2025- 06- 09","2,003.63","1,999.54","2,008.69","1,998.35","","0.23%"
"2025- 06- 06","1,999.09","2,005.58","2,013.94","1,997.35","","-0.17%"
"2025- 06- 05","2,002.44","1,988.70","2,015.94","1,987.17","","0.72%"
"2025- 06- 04","1,988.17","1,970.72","1,993.49","1,970.72","","0.96%"
"2025- 06- 03","1,969.19","1,970.02","1,977.16","1,963.11","","-0.37%"
"2025- 06- 02","1,976.47","1,961.40","1,976.47","1,948.02","","1.58%"
"2025- 05- 30","1,945.77","1,960.20","1,973.29","1,944.65","","-1.00%"
"2025- 05- 29","1,965.34","1,943.42","1,973.55","1,943.42","","1.15%"
"2025- 05- 28","1,942.90","1,934.83","1,950.43","1,929.54","","0.40%"
"2025- 05- 27","1,935.14","1,936.33","1,941.11","1,916.63","","-0.10%"
"2025- 05- 26","1,937.14","1,937.43","1,949.00","1,931.46","","-0.01%"
"2025- 05- 23","1,937.25","1,927.45","1,946.41","1,923.50","","0.51%"
"2025- 05- 22","1,927.44","1,935.53","1,937.27","1,910.48","","-0.42%"
"2025- 05- 21","1,935.48","1,925.45","1,947.71","1,918.65","","0.65%"
"2025- 05- 20","1,922.91","1,914.62","1,922.91","1,907.00","","0.44%"
"2025- 05- 19","1,914.53","1,916.67","1,919.90","1,897.63","","-0.12%"
"2025- 05- 16","1,916.79","1,908.80","1,917.56","1,899.79","","0.11%"
"2025- 05- 15","1,914.75","1,908.94","1,918.77","1,892.25","","0.31%"
"2025- 05- 14","1,908.88","1,923.40","1,928.49","1,904.41","","-0.49%"
"2025- 05- 13","1,918.20","1,909.94","1,923.22","1,900.89","","0.42%"
"2025- 05- 12","1,910.18","1,917.88","1,930.60","1,902.80","","-0.37%"
"2025- 05- 09","1,917.31","1,892.44","1,921.81","1,889.48","","1.36%"
"2025- 05- 08","1,891.53","1,905.58","1,912.27","1,891.53","","-0.73%"
"2025- 05- 07","1,905.46","1,916.65","1,927.49","1,903.38","","-0.67%"
"2025- 05- 06","1,918.22","1,916.51","1,936.18","1,895.01","","0.08%"
"2025- 05- 05","1,916.76","1,915.64","1,927.80","1,912.10","","0.05%"
"2025- 05- 02","1,915.86","1,909.86","1,927.97","1,903.62","","0.21%"
"2025- 04- 30","1,911.81","1,899.46","1,916.81","1,896.37","","0.62%"
"2025- 04- 29","1,899.96","1,880.12","1,903.13","1,876.85","","0.99%"
"2025- 04- 25","1,881.42","1,880.50","1,892.33","1,876.88","","0.22%"
"2025- 04- 24","1,877.31","1,864.15","1,881.71","1,853.51","","0.64%"
"2025- 04- 23","1,865.39","1,884.87","1,901.44","1,855.81","","-0.71%"
"2025- 04- 22","1,878.79","1,877.48","1,910.62","1,872.39","","0.27%"
"2025- 04- 17","1,873.79","1,888.88","1,890.06","1,868.88","","-0.61%"
"2025- 04- 16","1,885.33","1,871.17","1,908.11","1,870.47","","0.71%"
"2025- 04- 15","1,872.09","1,853.33","1,876.72","1,844.08","","0.96%"
"2025- 04- 14","1,854.24","1,802.12","1,854.40","1,802.12","","2.95%"
"2025- 04- 11","1,801.08","1,790.19","1,816.37","1,785.96","","0.57%"
"2025- 04- 10","1,790.94","1,710.00","1,796.52","1,710.00","","4.79%"
