"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 31","1,521.05","1,536.34","1,539.52","1,519.98","","-0.83%"
"2025- 07- 30","1,533.77","1,536.78","1,543.45","1,533.77","","-0.24%"
"2025- 07- 29","1,537.45","1,533.33","1,544.07","1,531.19","","0.29%"
"2025- 07- 28","1,533.02","1,548.70","1,551.97","1,532.37","","-0.39%"
"2025- 07- 25","1,539.09","1,546.76","1,548.61","1,534.71","","-0.76%"
"2025- 07- 24","1,550.84","1,556.92","1,561.42","1,544.14","","-0.12%"
"2025- 07- 23","1,552.70","1,541.53","1,553.53","1,541.53","","1.43%"
"2025- 07- 22","1,530.77","1,534.93","1,535.09","1,524.48","","-0.51%"
"2025- 07- 21","1,538.66","1,541.07","1,545.32","1,534.32","","-0.30%"
"2025- 07- 18","1,543.32","1,542.19","1,548.74","1,539.80","","0.26%"
"2025- 07- 17","1,539.27","1,537.09","1,543.14","1,532.50","","0.51%"
"2025- 07- 16","1,531.42","1,528.74","1,539.75","1,528.74","","0.01%"
"2025- 07- 15","1,531.25","1,533.84","1,541.00","1,528.50","","-0.26%"
"2025- 07- 14","1,535.18","1,527.81","1,535.18","1,526.44","","0.02%"
"2025- 07- 11","1,534.85","1,549.74","1,550.32","1,532.97","","-1.45%"
"2025- 07- 10","1,557.44","1,547.65","1,557.44","1,547.11","","1.00%"
"2025- 07- 09","1,542.02","1,537.98","1,547.27","1,533.18","","0.24%"
"2025- 07- 08","1,538.27","1,535.76","1,538.27","1,526.44","","0.18%"
"2025- 07- 07","1,535.48","1,536.90","1,538.66","1,532.80","","-0.06%"
"2025- 07- 04","1,536.36","1,537.20","1,544.99","1,524.13","","-0.07%"
"2025- 07- 03","1,537.41","1,541.82","1,544.46","1,533.25","","-0.06%"
"2025- 07- 02","1,538.40","1,535.89","1,540.33","1,528.87","","0.32%"
"2025- 07- 01","1,533.45","1,532.69","1,533.48","1,518.47","","0.29%"
"2025- 06- 30","1,528.94","1,540.39","1,540.76","1,526.00","","-0.51%"
"2025- 06- 27","1,536.72","1,532.93","1,542.22","1,531.47","","0.88%"
"2025- 06- 26","1,523.29","1,526.20","1,531.97","1,518.25","","0.08%"
"2025- 06- 25","1,522.02","1,537.20","1,542.21","1,521.75","","-0.84%"
"2025- 06- 24","1,534.96","1,543.40","1,546.34","1,531.21","","0.96%"
"2025- 06- 23","1,520.37","1,514.47","1,526.78","1,514.47","","-0.15%"
"2025- 06- 20","1,522.58","1,525.82","1,535.67","1,522.58","","-0.05%"
"2025- 06- 19","1,523.27","1,525.57","1,530.41","1,517.39","","-0.67%"
"2025- 06- 18","1,533.59","1,536.72","1,538.25","1,528.51","","-0.31%"
"2025- 06- 17","1,538.36","1,534.74","1,549.10","1,532.67","","-0.66%"
