"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 04","425.56","423.03","426.29","420.65","","1.04%"
"2025- 08- 01","421.20","434.99","436.17","420.57","","-2.54%"
"2025- 07- 31","432.16","430.52","434.88","426.94","","0.09%"
"2025- 07- 30","431.78","429.64","432.64","428.63","","0.64%"
"2025- 07- 29","429.04","426.27","429.41","422.16","","1.32%"
"2025- 07- 25","423.47","417.12","424.23","417.12","","0.66%"
"2025- 07- 24","420.68","420.42","426.04","417.84","","-0.45%"
"2025- 07- 23","422.58","417.63","424.39","417.40","","2.29%"
"2025- 07- 22","413.10","419.28","420.56","412.93","","-1.49%"
"2025- 07- 21","419.36","421.78","423.27","415.50","","0.06%"
"2025- 07- 18","419.10","414.38","420.19","414.38","","0.90%"
"2025- 07- 17","415.36","401.22","415.72","400.87","","4.09%"
"2025- 07- 16","399.04","398.71","402.45","397.38","","-0.18%"
"2025- 07- 15","399.77","393.40","400.44","391.84","","1.56%"
"2025- 07- 14","393.64","385.48","393.64","385.06","","2.16%"
"2025- 07- 11","385.33","384.18","389.45","384.18","","0.97%"
"2025- 07- 09","381.64","383.68","385.07","380.67","","-0.49%"
"2025- 07- 08","383.51","385.26","385.80","382.11","","-0.71%"
"2025- 07- 07","386.26","382.04","386.26","380.09","","0.59%"
"2025- 07- 04","383.98","386.85","387.31","382.32","","-0.80%"
"2025- 07- 03","387.07","384.22","387.87","383.81","","0.57%"
"2025- 07- 02","384.86","382.80","385.12","381.14","","0.21%"
"2025- 07- 01","384.04","378.29","384.04","374.72","","2.15%"
"2025- 06- 30","375.95","376.59","378.21","372.85","","0.87%"
"2025- 06- 27","372.70","380.98","380.98","370.51","","-2.48%"
"2025- 06- 26","382.16","382.66","386.36","381.49","","-0.42%"
"2025- 06- 25","383.78","380.11","385.20","378.22","","0.49%"
"2025- 06- 24","381.92","374.17","381.92","372.51","","3.86%"
"2025- 06- 23","367.74","363.94","369.79","363.18","","0.30%"
"2025- 06- 20","366.63","366.58","371.84","365.48","","0.14%"
"2025- 06- 19","366.12","372.29","372.95","365.01","","-2.61%"
"2025- 06- 18","375.93","383.39","385.71","375.93","","-1.94%"
"2025- 06- 17","383.35","384.44","385.93","382.93","","-0.13%"
"2025- 06- 16","383.83","386.28","387.34","381.35","","-0.54%"
"2025- 06- 13","385.93","386.17","388.18","384.45","","-0.58%"
"2025- 06- 12","388.18","391.73","393.14","387.10","","-0.91%"
"2025- 06- 11","391.74","389.99","393.52","389.99","","0.47%"
"2025- 06- 10","389.90","388.18","392.21","388.05","","0.44%"
"2025- 06- 09","388.20","391.44","391.82","387.12","","-0.30%"
"2025- 06- 06","389.37","390.69","390.97","386.20","","-0.31%"
"2025- 06- 05","390.59","389.35","392.79","388.79","","0.84%"
"2025- 06- 04","387.35","391.76","391.76","385.74","","-1.10%"
"2025- 05- 30","391.67","395.02","397.50","391.67","","-1.64%"
"2025- 05- 29","398.22","403.25","404.16","398.09","","0.09%"
"2025- 05- 28","397.85","401.02","403.17","397.78","","-0.27%"
"2025- 05- 27","398.94","402.32","403.26","397.84","","-1.38%"
"2025- 05- 26","404.51","404.94","405.59","400.78","","0.12%"
"2025- 05- 23","404.04","405.44","408.25","402.99","","-0.08%"
"2025- 05- 22","404.36","404.50","407.58","403.82","","-0.36%"
"2025- 05- 21","405.83","412.14","413.91","404.19","","-1.11%"
"2025- 05- 20","410.40","411.81","413.76","409.53","","0.26%"
"2025- 05- 19","409.34","412.42","413.70","408.45","","-1.03%"
"2025- 05- 16","413.60","415.81","417.12","410.96","","-0.11%"
"2025- 05- 15","414.05","418.83","419.19","412.63","","-1.69%"
"2025- 05- 14","421.16","419.73","421.81","417.15","","0.49%"
"2025- 05- 13","419.11","426.01","427.00","418.32","","-0.18%"
"2025- 05- 09","419.86","420.14","420.80","413.97","","0.46%"
"2025- 05- 08","417.94","422.75","424.02","417.94","","-1.35%"
"2025- 05- 07","423.64","416.05","423.68","414.58","","2.96%"
"2025- 05- 06","411.47","414.36","416.72","411.12","","-0.75%"
"2025- 05- 02","414.56","419.95","421.92","413.35","","0.13%"
"2025- 04- 30","414.02","401.70","414.02","401.23","","3.01%"
"2025- 04- 29","401.91","396.22","401.91","394.35","","1.50%"
"2025- 04- 28","395.98","396.82","398.19","394.62","","0.04%"
