"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","11,789,926","11,839,810","11,857,403","11,730,338","","-0.32%"
"2025- 07- 31","11,827,863","11,687,974","11,827,863","11,673,712","","1.53%"
"2025- 07- 30","11,650,006","11,522,459","11,700,408","11,509,266","","1.21%"
"2025- 07- 29","11,510,554","11,589,573","11,635,420","11,510,554","","-0.60%"
"2025- 07- 28","11,580,380","11,746,007","11,749,229","11,570,399","","-1.03%"
"2025- 07- 25","11,700,896","11,774,688","11,799,244","11,680,569","","-0.53%"
"2025- 07- 24","11,763,177","11,677,945","11,891,486","11,638,085","","1.19%"
"2025- 07- 23","11,624,947","11,701,722","11,734,812","11,600,611","","-0.35%"
"2025- 07- 22","11,666,294","11,690,700","11,716,531","11,622,074","","-0.17%"
"2025- 07- 21","11,686,720","11,446,624","11,709,016","11,446,624","","2.61%"
"2025- 07- 18","11,389,647","11,414,659","11,455,951","11,361,698","","-0.11%"
"2025- 07- 17","11,401,907","11,238,256","11,438,580","11,179,865","","2.33%"
"2025- 07- 16","11,142,005","11,241,597","11,352,577","10,994,923","","-1.12%"
"2025- 07- 14","11,268,373","11,391,987","11,391,987","11,268,373","","-1.12%"
"2025- 07- 11","11,396,301","11,479,991","11,515,828","11,312,984","","0.16%"
"2025- 07- 10","11,377,940","11,317,900","11,432,086","11,316,118","","1.63%"
"2025- 07- 09","11,195,392","11,003,716","11,201,312","10,978,446","","1.81%"
"2025- 07- 08","10,995,835","11,217,702","11,235,652","10,953,102","","-1.22%"
"2025- 07- 07","11,131,243","11,145,698","11,211,189","11,118,284","","-1.61%"
"2025- 07- 04","11,313,772","11,260,746","11,358,836","11,203,989","","0.66%"
"2025- 07- 03","11,239,506","11,379,662","11,444,942","11,198,494","","0.18%"
"2025- 07- 02","11,219,085","11,093,514","11,349,015","11,093,514","","1.31%"
"2025- 07- 01","11,074,171","11,008,592","11,155,805","10,977,864","","0.86%"
"2025- 06- 30","10,980,175","10,378,401","10,994,117","10,371,271","","6.47%"
"2025- 06- 27","10,312,745","10,154,839","10,354,384","10,115,637","","1.67%"
"2025- 06- 26","10,143,502","10,337,447","10,352,142","10,143,502","","-1.83%"
"2025- 06- 25","10,332,674","10,397,099","10,415,061","10,302,404","","-0.30%"
"2025- 06- 24","10,364,162","10,353,587","10,397,898","10,197,384","","3.05%"
"2025- 06- 23","10,057,447","10,028,023","10,108,551","9,997,792","","-0.59%"
"2025- 06- 20","10,117,549","10,085,154","10,161,961","10,038,556","","1.05%"
"2025- 06- 19","10,012,166","10,161,741","10,221,715","9,987,023","","-0.86%"
"2025- 06- 18","10,099,438","10,221,839","10,254,126","10,034,594","","-1.52%"
"2025- 06- 17","10,255,175","10,251,333","10,368,573","10,241,976","","0.08%"
"2025- 06- 16","10,247,406","10,207,409","10,357,301","10,115,185","","0.45%"
"2025- 06- 13","10,201,216","10,149,169","10,201,216","9,942,715","","-1.83%"
"2025- 06- 12","10,391,007","10,500,481","10,551,314","10,391,007","","-1.67%"
"2025- 06- 11","10,567,334","10,560,663","10,626,844","10,520,920","","0.10%"
"2025- 06- 10","10,556,510","10,419,998","10,584,624","10,419,998","","1.78%"
"2025- 06- 05","10,371,914","10,341,631","10,376,865","10,281,750","","0.17%"
"2025- 06- 04","10,354,687","10,109,638","10,354,687","10,074,338","","2.38%"
"2025- 06- 03","10,114,234","9,843,751","10,147,220","9,843,751","","3.28%"
"2025- 06- 02","9,792,574","9,758,056","9,864,312","9,737,218","","0.38%"
"2025- 05- 30","9,755,586","9,922,113","9,938,335","9,722,181","","-1.85%"
"2025- 05- 29","9,939,229","10,003,679","10,030,520","9,910,477","","0.00%"
"2025- 05- 28","9,939,315","9,950,669","10,000,441","9,873,083","","-0.12%"
"2025- 05- 27","9,950,925","10,063,430","10,128,543","9,944,790","","-1.10%"
"2025- 05- 26","10,062,058","10,083,262","10,122,916","9,994,190","","0.15%"
