"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","2,580.11","2,595.77","2,595.77","2,568.66","","-0.64%"
"2025- 07- 31","2,596.69","2,595.67","2,614.54","2,593.33","","-0.15%"
"2025- 07- 30","2,600.52","2,598.47","2,601.41","2,586.88","","0.02%"
"2025- 07- 29","2,600.03","2,583.16","2,607.41","2,583.16","","0.63%"
"2025- 07- 28","2,583.84","2,598.15","2,607.99","2,577.01","","-0.40%"
"2025- 07- 25","2,594.33","2,599.58","2,600.02","2,587.52","","-0.21%"
"2025- 07- 24","2,599.79","2,580.96","2,604.99","2,580.96","","0.88%"
"2025- 07- 23","2,577.17","2,570.58","2,582.08","2,570.58","","0.45%"
"2025- 07- 22","2,565.71","2,559.02","2,569.31","2,557.22","","0.18%"
"2025- 07- 21","2,560.98","2,554.95","2,560.98","2,549.89","","0.22%"
"2025- 07- 18","2,555.31","2,554.33","2,561.82","2,548.61","","0.20%"
"2025- 07- 17","2,550.10","2,544.36","2,553.23","2,542.22","","0.44%"
"2025- 07- 16","2,538.83","2,543.17","2,551.84","2,538.83","","-0.13%"
"2025- 07- 15","2,542.06","2,558.86","2,564.02","2,540.02","","-0.64%"
"2025- 07- 14","2,558.55","2,540.88","2,558.92","2,540.88","","0.63%"
"2025- 07- 11","2,542.42","2,554.91","2,555.21","2,535.84","","-0.40%"
"2025- 07- 10","2,552.56","2,523.66","2,553.79","2,523.66","","1.26%"
"2025- 07- 09","2,520.82","2,518.95","2,527.03","2,517.98","","0.13%"
"2025- 07- 08","2,517.45","2,503.90","2,517.45","2,501.56","","0.60%"
"2025- 07- 07","2,502.52","2,507.85","2,511.25","2,500.68","","-0.21%"
"2025- 07- 04","2,507.90","2,503.87","2,510.43","2,496.35","","0.03%"
"2025- 07- 03","2,507.27","2,499.51","2,512.40","2,499.51","","0.48%"
"2025- 07- 02","2,495.26","2,495.23","2,508.25","2,484.25","","-0.02%"
"2025- 07- 01","2,495.65","2,488.03","2,497.10","2,478.41","","0.31%"
"2025- 06- 30","2,488.00","2,497.94","2,504.36","2,487.76","","-0.42%"
"2025- 06- 27","2,498.61","2,483.94","2,498.61","2,483.94","","0.72%"
