"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 05","157,474.7","158,543.0","158,818.9","156,701.2","0.00K","-0.67%"
"2025- 08- 04","158,543.0","157,449.6","159,400.0","157,148.4","0.01K","0.71%"
"2025- 08- 03","157,432.8","155,273.1","158,243.6","154,615.9","0.01K","1.40%"
"2025- 08- 02","155,252.2","155,962.4","157,067.9","154,447.0","0.01K","-0.55%"
"2025- 08- 01","156,112.7","160,403.4","160,647.4","155,413.7","0.05K","-2.70%"
"2025- 07- 31","160,443.4","162,807.6","164,288.2","160,299.8","0.01K","-1.46%"
"2025- 07- 30","162,815.3","162,404.0","163,905.0","160,151.0","0.01K","0.24%"
"2025- 07- 29","162,424.9","161,972.2","163,891.2","161,018.0","0.02K","0.28%"
"2025- 07- 28","161,972.2","163,532.2","163,847.2","161,111.1","0.02K","-0.95%"
"2025- 07- 27","163,526.6","161,646.9","163,957.3","161,504.4","0.01K","1.19%"
"2025- 07- 26","161,606.8","160,999.9","162,000.0","160,394.5","0.01K","0.39%"
"2025- 07- 25","160,980.6","161,427.3","161,474.9","156,959.5","0.03K","-0.18%"
"2025- 07- 24","161,277.4","161,383.0","162,922.5","159,705.0","0.02K","-0.05%"
"2025- 07- 23","161,357.4","163,223.0","163,286.1","159,605.0","0.02K","-1.14%"
"2025- 07- 22","163,223.0","160,735.7","163,499.9","159,400.1","0.02K","1.55%"
"2025- 07- 21","160,735.7","161,016.1","164,000.6","160,000.0","0.02K","-0.17%"
"2025- 07- 20","161,005.1","161,789.7","162,995.8","160,000.2","0.01K","-0.51%"
"2025- 07- 19","161,831.6","161,826.2","162,500.0","161,024.6","0.01K","-0.03%"
"2025- 07- 18","161,887.0","163,900.1","165,999.9","160,348.2","0.04K","-1.22%"
"2025- 07- 17","163,881.6","162,574.8","166,200.1","161,554.1","0.02K","0.79%"
"2025- 07- 16","162,600.0","161,402.2","164,453.9","160,523.1","0.02K","0.74%"
"2025- 07- 15","161,413.5","163,997.7","164,153.4","158,763.7","0.02K","-1.57%"
"2025- 07- 14","163,994.0","162,585.7","166,924.9","161,458.4","0.04K","0.87%"
"2025- 07- 13","162,585.7","160,099.2","162,749.9","160,000.7","0.01K","1.55%"
"2025- 07- 12","160,099.1","160,539.6","161,332.2","159,823.2","0.01K","-0.27%"
"2025- 07- 11","160,539.6","157,591.9","161,888.0","155,545.7","0.03K","1.90%"
"2025- 07- 10","157,553.0","152,200.5","158,100.0","151,355.1","0.03K","3.50%"
"2025- 07- 09","152,226.0","148,721.3","152,638.2","147,920.2","0.03K","2.36%"
"2025- 07- 08","148,721.3","147,566.0","148,999.9","146,604.7","0.01K","0.78%"
"2025- 07- 07","147,566.0","148,118.5","148,842.4","146,911.9","0.01K","-0.37%"
"2025- 07- 06","148,121.1","147,023.6","148,600.0","146,307.0","0.01K","0.75%"
"2025- 07- 05","147,023.6","146,686.9","147,241.6","146,500.0","0.01K","0.23%"
"2025- 07- 04","146,686.9","148,600.1","148,600.1","145,808.3","0.02K","-1.29%"
"2025- 07- 03","148,600.1","147,763.4","149,723.0","146,958.5","0.02K","0.57%"
"2025- 07- 02","147,750.8","144,084.7","148,998.8","143,385.4","0.01K","2.54%"
"2025- 07- 01","144,088.7","145,674.9","146,251.9","143,636.3","0.01K","-1.09%"
"2025- 06- 30","145,674.9","148,287.0","148,888.0","145,530.6","0.01K","-1.76%"
"2025- 06- 29","148,287.0","146,946.9","148,400.0","146,822.0","0.01K","0.91%"
"2025- 06- 28","146,946.9","146,574.9","147,226.7","146,110.2","0.01K","0.25%"
"2025- 06- 27","146,574.9","145,934.6","147,026.3","145,223.2","0.01K","0.47%"
"2025- 06- 26","145,887.1","147,307.7","148,138.4","145,497.8","0.02K","-0.88%"
"2025- 06- 25","147,175.6","145,511.8","148,642.6","145,393.3","0.01K","1.14%"
"2025- 06- 24","145,511.8","144,827.7","145,666.2","143,864.6","0.02K","0.50%"
"2025- 06- 23","144,784.5","139,032.2","145,618.0","137,708.8","0.02K","4.13%"
"2025- 06- 22","139,037.5","140,509.5","142,039.6","135,536.8","0.03K","-1.05%"
