"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 05","85,900.0","86,623.8","86,690.6","85,642.1","0.01K","-0.84%"
"2025- 08- 04","86,623.8","86,057.7","87,178.9","85,840.7","0.02K","0.65%"
"2025- 08- 03","86,061.3","84,851.1","86,500.0","84,457.3","0.04K","1.44%"
"2025- 08- 02","84,841.5","85,331.1","85,931.1","84,440.1","0.03K","-0.57%"
"2025- 08- 01","85,331.1","87,636.5","87,976.0","84,980.0","0.09K","-2.66%"
"2025- 07- 31","87,659.3","88,893.6","89,887.9","87,500.1","0.03K","-1.39%"
"2025- 07- 30","88,895.1","88,317.3","89,347.8","87,510.4","0.03K","0.62%"
"2025- 07- 29","88,344.1","88,366.2","89,400.0","87,705.0","0.03K","0.03%"
"2025- 07- 28","88,313.7","88,860.7","89,110.3","87,923.2","0.03K","-0.62%"
"2025- 07- 27","88,863.7","87,787.1","89,135.6","87,708.7","0.02K","1.23%"
"2025- 07- 26","87,781.6","87,551.0","88,054.0","87,305.3","0.01K","0.26%"
"2025- 07- 25","87,551.0","87,621.7","87,704.5","85,300.1","0.05K","-0.08%"
"2025- 07- 24","87,621.7","87,450.1","88,390.6","86,375.6","0.02K","0.20%"
"2025- 07- 23","87,450.0","88,748.9","88,837.5","85,915.0","0.04K","-1.47%"
"2025- 07- 22","88,751.2","87,056.4","88,850.0","86,169.5","0.04K","1.97%"
"2025- 07- 21","87,040.1","87,380.5","88,882.1","86,566.3","0.04K","-0.43%"
"2025- 07- 20","87,417.0","87,831.6","88,486.2","86,844.3","0.03K","-0.44%"
"2025- 07- 19","87,801.3","87,934.5","88,325.9","87,500.1","0.02K","-0.13%"
"2025- 07- 18","87,914.0","88,809.0","89,999.0","87,175.1","0.05K","-0.97%"
"2025- 07- 17","88,775.8","88,514.9","90,048.1","87,774.5","0.05K","0.29%"
"2025- 07- 16","88,518.4","87,958.2","89,436.5","87,500.0","0.04K","0.65%"
"2025- 07- 15","87,947.8","89,148.4","89,148.5","86,315.0","0.05K","-1.39%"
"2025- 07- 14","89,185.1","88,191.1","90,999.9","88,032.7","0.11K","1.12%"
"2025- 07- 13","88,200.1","86,747.8","88,240.0","86,550.2","0.06K","1.80%"
"2025- 07- 12","86,639.4","86,910.0","87,309.6","86,440.5","0.02K","-0.33%"
"2025- 07- 11","86,922.8","85,222.0","87,476.8","85,006.4","0.09K","2.00%"
"2025- 07- 10","85,222.0","81,850.1","85,826.2","81,432.7","0.08K","4.12%"
"2025- 07- 09","81,850.4","80,204.9","82,212.1","79,827.7","0.06K","2.06%"
"2025- 07- 08","80,197.1","79,497.8","80,488.0","78,950.1","0.03K","0.88%"
"2025- 07- 07","79,500.0","80,121.4","80,500.0","79,175.1","0.05K","-0.76%"
"2025- 07- 06","80,105.5","79,689.1","80,343.0","79,433.7","0.03K","0.52%"
"2025- 07- 05","79,688.1","79,246.8","79,950.0","79,143.5","0.13K","0.56%"
"2025- 07- 04","79,244.8","80,375.0","80,381.9","78,730.0","0.20K","-1.41%"
"2025- 07- 03","80,375.0","79,730.8","80,876.5","79,632.1","0.05K","0.81%"
"2025- 07- 02","79,728.6","76,948.3","80,441.9","76,579.4","0.06K","3.65%"
"2025- 07- 01","76,923.6","78,045.7","78,185.0","76,800.0","0.14K","-1.47%"
"2025- 06- 30","78,069.1","78,959.3","79,200.0","77,950.0","0.03K","-1.09%"
"2025- 06- 29","78,932.4","78,205.6","79,000.0","78,126.4","0.02K","0.95%"
"2025- 06- 28","78,191.0","78,038.7","78,343.6","77,887.5","0.01K","0.21%"
"2025- 06- 27","78,029.5","77,948.5","78,466.0","77,587.7","0.04K","0.11%"
"2025- 06- 26","77,945.0","78,444.6","78,912.1","77,700.1","0.04K","-0.57%"
"2025- 06- 25","78,390.1","77,964.1","79,422.8","77,775.0","0.07K","0.64%"
"2025- 06- 24","77,888.8","77,875.1","78,000.0","77,125.1","0.08K","0.00%"
"2025- 06- 23","77,890.4","75,182.4","78,291.4","74,050.0","0.15K","3.59%"
"2025- 06- 22","75,193.0","75,941.6","76,741.6","73,250.2","0.07K","-0.97%"
"2025- 06- 21","75,926.1","76,802.5","77,342.4","75,000.1","0.06K","-1.17%"
"2025- 06- 20","76,822.3","77,684.6","78,981.8","76,020.5","0.04K","-1.12%"
"2025- 06- 19","77,689.3","78,190.1","78,432.2","77,384.5","0.11K","-0.64%"
"2025- 06- 18","78,190.1","77,852.5","78,533.0","77,175.0","0.04K","0.48%"
"2025- 06- 17","77,818.0","78,702.1","79,315.1","76,761.1","0.03K","-1.09%"
"2025- 06- 16","78,675.1","77,878.7","80,200.0","77,500.1","0.05K","1.02%"
"2025- 06- 15","77,878.7","77,764.9","78,149.8","77,125.1","0.03K","0.15%"
"2025- 06- 14","77,764.9","78,177.0","78,327.4","76,975.0","0.05K","-0.58%"
"2025- 06- 13","78,215.6","77,650.1","78,263.9","75,900.1","0.08K","0.67%"
"2025- 06- 12","77,697.2","80,100.1","80,194.4","77,654.9","0.12K","-3.00%"
"2025- 06- 11","80,100.1","81,614.2","81,618.0","79,800.0","0.09K","-1.83%"
"2025- 06- 10","81,593.8","81,329.0","81,649.2","80,258.6","0.06K","0.33%"
"2025- 06- 09","81,329.0","78,183.3","81,498.1","77,796.4","0.06K","4.02%"
"2025- 06- 08","78,188.2","78,162.5","78,748.9","77,727.7","0.01K","0.03%"
"2025- 06- 07","78,162.5","77,180.8","78,354.7","76,887.1","0.04K","1.29%"
"2025- 06- 06","77,168.6","74,836.6","77,960.6","74,550.1","0.09K","3.12%"
"2025- 06- 05","74,836.6","77,330.9","78,000.0","74,000.0","0.09K","-3.22%"
"2025- 06- 04","77,325.3","77,946.3","78,360.0","77,002.0","0.04K","-0.79%"
"2025- 06- 03","77,942.2","78,069.5","79,039.7","77,684.0","0.07K","-0.19%"
"2025- 06- 02","78,088.8","78,549.5","78,549.5","76,627.3","0.05K","-0.57%"
"2025- 06- 01","78,536.4","77,873.2","78,678.2","77,259.0","0.03K","0.85%"
"2025- 05- 31","77,873.2","77,356.3","78,074.0","76,500.0","0.03K","0.71%"
"2025- 05- 30","77,323.7","78,204.4","78,927.5","77,119.1","0.06K","-1.20%"
"2025- 05- 29","78,266.1","80,291.6","80,895.8","78,163.7","0.04K","-2.47%"
"2025- 05- 28","80,251.4","80,658.7","80,993.2","79,373.6","0.04K","-0.50%"
"2025- 05- 27","80,658.7","80,699.5","81,750.0","79,242.8","0.04K","-0.04%"
"2025- 05- 26","80,689.2","80,550.0","81,400.0","80,331.8","0.03K","0.18%"
"2025- 05- 25","80,544.4","79,670.4","80,807.0","78,804.8","0.03K","1.09%"
"2025- 05- 24","79,674.7","79,225.8","80,846.0","79,000.0","0.02K","0.61%"
"2025- 05- 23","79,189.3","83,183.0","83,238.2","78,900.0","0.12K","-4.84%"
"2025- 05- 22","83,212.9","81,696.9","83,500.0","81,405.9","0.09K","1.86%"
"2025- 05- 21","81,696.3","79,699.8","82,500.0","79,082.8","0.10K","2.56%"
"2025- 05- 20","79,659.5","79,048.7","80,197.1","78,097.2","0.07K","0.78%"
"2025- 05- 19","79,039.8","79,950.6","80,401.2","76,400.1","0.07K","-1.22%"
"2025- 05- 18","80,013.9","77,719.4","80,050.0","77,694.3","0.06K","2.95%"
"2025- 05- 17","77,719.4","77,941.9","78,113.2","77,361.3","0.03K","-0.29%"
"2025- 05- 16","77,941.9","78,022.2","78,862.2","77,522.9","0.05K","-0.08%"
"2025- 05- 15","78,000.5","78,047.0","78,418.1","76,418.4","0.04K","-0.07%"
"2025- 05- 14","78,051.5","78,266.9","78,309.4","77,100.1","0.03K","-0.28%"
"2025- 05- 13","78,266.9","78,070.3","78,885.3","77,000.1","0.04K","0.25%"
"2025- 05- 12","78,070.3","78,378.2","79,999.9","76,550.0","0.06K","-0.39%"
"2025- 05- 11","78,378.2","78,685.8","78,799.8","77,730.0","0.04K","-0.39%"
"2025- 05- 10","78,685.8","77,398.1","78,750.0","77,316.0","0.03K","1.66%"
"2025- 05- 09","77,398.1","77,928.5","78,518.1","76,921.4","0.05K","-0.67%"
"2025- 05- 08","77,919.9","72,999.6","78,323.4","72,883.1","0.13K","6.74%"
"2025- 05- 07","72,999.3","72,562.3","73,210.4","71,978.8","0.04K","0.67%"
"2025- 05- 06","72,513.7","71,300.1","72,533.5","69,831.8","0.05K","1.69%"
"2025- 05- 05","71,311.3","71,068.9","71,623.3","70,350.0","0.05K","0.30%"
"2025- 05- 04","71,095.5","72,274.4","72,569.8","71,000.0","0.01K","-1.66%"
"2025- 05- 03","72,293.7","73,062.5","73,080.7","72,131.6","0.02K","-1.06%"
"2025- 05- 02","73,068.4","72,616.1","73,581.3","72,422.1","0.05K","0.62%"
"2025- 05- 01","72,616.1","70,721.2","73,331.8","70,706.0","0.07K","2.66%"
"2025- 04- 30","70,732.9","70,345.9","71,300.0","69,821.1","0.04K","0.52%"
"2025- 04- 29","70,365.8","70,757.9","71,247.1","70,001.7","0.06K","-0.49%"
"2025- 04- 28","70,711.9","70,560.4","71,747.7","69,750.0","0.04K","0.21%"
"2025- 04- 27","70,560.4","71,140.1","71,500.0","70,397.5","0.02K","-0.81%"
"2025- 04- 26","71,140.1","71,149.4","71,542.9","70,600.1","0.02K","-0.02%"
"2025- 04- 25","71,152.7","70,541.5","72,017.0","69,836.4","0.05K","0.93%"
"2025- 04- 24","70,500.0","70,649.7","70,728.9","68,889.9","0.04K","-0.22%"
"2025- 04- 23","70,654.5","70,467.2","70,999.9","69,265.9","0.10K","0.32%"
"2025- 04- 22","70,427.0","65,400.2","70,732.3","65,243.1","0.15K","7.69%"
"2025- 04- 21","65,400.1","64,003.2","65,975.0","63,891.3","0.07K","2.20%"
"2025- 04- 20","63,994.0","64,005.1","64,191.4","63,221.8","0.01K","-0.02%"
"2025- 04- 19","64,005.1","63,552.5","64,365.0","63,460.5","0.02K","0.69%"
"2025- 04- 18","63,563.6","64,055.6","64,119.0","63,450.2","0.03K","-0.72%"
"2025- 04- 17","64,027.2","63,500.4","64,462.8","63,160.8","0.03K","0.79%"
"2025- 04- 16","63,525.1","63,243.3","64,600.9","62,646.5","0.06K","0.41%"
"2025- 04- 15","63,267.1","64,238.7","65,383.3","63,200.1","0.04K","-1.45%"
"2025- 04- 14","64,196.5","64,023.6","65,214.2","63,502.1","0.04K","0.33%"
"2025- 04- 13","63,983.6","65,182.1","65,767.9","63,400.5","0.03K","-1.82%"
"2025- 04- 12","65,168.4","63,716.2","65,634.7","63,258.4","0.04K","2.28%"
"2025- 04- 11","63,715.8","61,267.1","64,423.9","60,668.9","0.08K","3.99%"
"2025- 04- 10","61,272.8","64,392.5","64,449.0","60,672.4","0.07K","-4.86%"
"2025- 04- 09","64,402.9","59,663.1","65,153.8","58,126.1","0.11K","8.01%"
"2025- 04- 08","59,624.9","62,132.9","63,198.4","59,612.7","0.08K","-4.17%"
"2025- 04- 07","62,219.7","60,379.3","63,193.2","56,704.5","0.16K","3.06%"
"2025- 04- 06","60,370.2","64,603.8","64,707.3","59,500.0","0.13K","-6.49%"
"2025- 04- 05","64,563.5","64,959.3","65,189.2","63,731.4","0.04K","-0.59%"
"2025- 04- 04","64,946.4","63,500.5","65,505.0","62,828.2","0.08K","2.28%"
"2025- 04- 03","63,500.5","63,290.1","64,288.3","61,756.1","0.05K","0.33%"
"2025- 04- 02","63,290.0","65,921.7","67,907.5","63,216.4","0.08K","-3.99%"
