"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","160,210,000","161,155,008","161,768,992","158,843,008","1.39K","-0.75%"
"2025- 07- 31","161,423,008","163,119,008","164,300,000","161,160,992","1.46K","-1.04%"
"2025- 07- 30","163,119,008","163,258,000","163,707,008","161,800,000","1.21K","-0.08%"
"2025- 07- 29","163,248,000","162,451,008","163,800,000","162,090,000","1.49K","0.47%"
"2025- 07- 28","162,483,008","162,782,000","162,984,992","161,391,008","1.46K","-0.15%"
"2025- 07- 27","162,720,000","160,930,000","162,800,000","160,860,000","1.06K","1.13%"
"2025- 07- 26","160,900,000","160,216,992","161,200,000","159,600,000","0.79K","0.42%"
"2025- 07- 25","160,224,992","160,864,992","161,232,000","157,751,008","2.66K","-0.47%"
"2025- 07- 24","160,980,000","162,000,000","162,888,000","159,000,000","2.15K","-0.63%"
"2025- 07- 23","162,000,000","162,599,008","162,831,008","159,200,992","2.10K","-0.24%"
"2025- 07- 22","162,388,000","160,096,000","162,990,000","158,800,000","2.73K","1.43%"
"2025- 07- 21","160,096,000","160,000,000","162,300,000","159,360,000","1.98K","0.01%"
"2025- 07- 20","160,072,000","161,423,008","162,000,000","159,776,992","1.43K","-0.84%"
"2025- 07- 19","161,424,992","161,131,008","162,442,000","160,819,008","0.84K","0.18%"
"2025- 07- 18","161,128,000","162,348,992","164,446,000","159,344,992","2.77K","-0.72%"
"2025- 07- 17","162,294,000","161,224,000","163,955,008","160,004,992","2.24K","0.65%"
"2025- 07- 16","161,250,000","160,822,000","163,202,000","160,180,000","1.84K","0.27%"
"2025- 07- 15","160,823,008","163,996,992","164,000,992","158,700,000","3.18K","-1.89%"
"2025- 07- 14","163,924,000","161,740,992","166,780,992","161,372,992","3.49K","1.35%"
"2025- 07- 13","161,740,000","159,684,000","161,740,000","159,450,000","1.23K","1.29%"
"2025- 07- 12","159,683,008","158,110,000","159,948,000","157,260,000","1.04K","0.95%"
"2025- 07- 11","158,187,008","156,500,992","160,704,000","155,076,992","3.34K","1.07%"
"2025- 07- 10","156,516,000","150,792,992","156,922,000","150,200,000","2.65K","3.83%"
"2025- 07- 09","150,748,992","148,211,008","151,474,000","148,000,000","1.50K","1.65%"
"2025- 07- 08","148,302,000","148,140,000","148,890,000","147,124,000","0.67K","0.14%"
"2025- 07- 07","148,100,000","148,500,000","149,098,000","147,196,992","0.83K","-0.27%"
"2025- 07- 06","148,500,000","148,204,000","149,100,000","147,420,000","0.58K","0.20%"
"2025- 07- 05","148,200,000","147,766,000","148,340,992","147,660,992","0.29K","0.27%"
"2025- 07- 04","147,798,000","148,736,992","149,360,000","146,928,992","0.82K","-0.63%"
"2025- 07- 03","148,739,008","147,512,992","149,755,008","147,364,992","1.18K","0.93%"
"2025- 07- 02","147,371,008","145,068,992","148,930,000","144,266,000","1.36K","1.62%"
"2025- 07- 01","145,016,000","145,670,000","146,678,000","144,711,008","0.92K","-0.51%"
"2025- 06- 30","145,756,992","148,000,000","148,450,000","145,756,992","0.94K","-1.51%"
"2025- 06- 29","147,996,000","147,199,008","148,502,000","147,094,000","0.65K","0.55%"
"2025- 06- 28","147,184,992","146,936,000","147,479,008","146,800,000","0.29K","0.13%"
"2025- 06- 27","147,000,992","146,870,000","147,608,992","146,000,000","0.76K","0.10%"
"2025- 06- 26","146,847,008","147,374,000","148,200,000","146,506,000","0.95K","-0.36%"
"2025- 06- 25","147,372,992","145,626,000","148,616,000","145,360,000","1.32K","1.20%"
"2025- 06- 24","145,624,992","146,164,992","146,299,008","144,256,000","1.27K","-0.39%"
"2025- 06- 23","146,200,992","140,904,992","147,100,000","139,700,000","2.42K","3.76%"
"2025- 06- 22","140,907,008","142,792,000","144,636,992","137,150,000","3.34K","-1.33%"
"2025- 06- 21","142,812,000","143,956,992","144,427,008","141,171,008","1.09K","-0.79%"
