"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 05","159,590,000","160,300,000","160,580,000","158,770,000","0.07K","-0.47%"
"2025- 08- 04","160,340,000","160,320,000","161,350,000","159,350,000","0.06K","0.01%"
"2025- 08- 03","160,320,000","157,450,000","160,450,000","156,700,000","0.05K","1.84%"
"2025- 08- 02","157,420,000","158,000,000","159,320,000","157,200,000","0.08K","-0.39%"
"2025- 08- 01","158,040,000","161,290,000","161,960,000","158,000,000","0.15K","-2.11%"
"2025- 07- 31","161,450,000","163,170,000","164,300,000","161,290,000","0.06K","-1.05%"
"2025- 07- 30","163,170,000","163,350,000","163,830,000","161,700,000","0.07K","-0.11%"
"2025- 07- 29","163,350,000","162,580,000","163,890,000","162,040,000","0.07K","0.47%"
"2025- 07- 28","162,580,000","162,750,000","163,000,000","161,450,000","0.07K","-0.13%"
"2025- 07- 27","162,790,000","161,030,000","162,950,000","160,950,000","0.06K","1.14%"
"2025- 07- 26","160,960,000","160,370,000","161,310,000","159,820,000","0.04K","0.36%"
"2025- 07- 25","160,390,000","161,020,000","161,290,000","157,740,000","0.12K","-0.37%"
"2025- 07- 24","160,990,000","162,160,000","163,000,000","158,990,000","0.13K","-0.72%"
"2025- 07- 23","162,160,000","162,770,000","162,860,000","159,580,000","0.11K","-0.26%"
"2025- 07- 22","162,590,000","160,140,000","163,100,000","159,100,000","0.12K","1.47%"
"2025- 07- 21","160,230,000","160,140,000","162,570,000","159,440,000","0.10K","0.01%"
"2025- 07- 20","160,220,000","161,500,000","162,070,000","159,780,000","0.08K","-0.79%"
"2025- 07- 19","161,500,000","161,210,000","162,590,000","161,000,000","0.05K","0.18%"
"2025- 07- 18","161,210,000","162,250,000","164,600,000","160,020,000","0.15K","-0.64%"
"2025- 07- 17","162,250,000","161,340,000","163,980,000","160,160,000","0.12K","0.56%"
"2025- 07- 16","161,340,000","160,800,000","163,230,000","160,330,000","0.09K","0.25%"
"2025- 07- 15","160,930,000","163,920,000","163,920,000","158,790,000","0.12K","-1.82%"
"2025- 07- 14","163,920,000","161,640,000","167,000,000","161,460,000","0.12K","1.41%"
"2025- 07- 13","161,640,000","159,610,000","161,700,000","159,500,000","0.05K","1.27%"
"2025- 07- 12","159,620,000","158,260,000","159,930,000","157,330,000","0.04K","0.86%"
"2025- 07- 11","158,260,000","156,470,000","160,800,000","155,310,000","0.19K","1.12%"
"2025- 07- 10","156,510,000","150,890,000","157,020,000","150,390,000","0.14K","3.72%"
"2025- 07- 09","150,890,000","148,260,000","151,670,000","147,990,000","0.07K","1.77%"
"2025- 07- 08","148,260,000","148,130,000","148,980,000","147,080,000","0.04K","0.09%"
"2025- 07- 07","148,130,000","148,610,000","149,260,000","147,160,000","0.04K","-0.32%"
"2025- 07- 06","148,610,000","148,190,000","149,230,000","147,380,000","0.03K","0.28%"
"2025- 07- 05","148,190,000","147,830,000","148,290,000","147,620,000","0.02K","0.24%"
"2025- 07- 04","147,830,000","148,850,000","149,500,000","146,860,000","0.05K","-0.69%"
"2025- 07- 03","148,850,000","147,430,000","150,000,000","147,430,000","0.07K","0.93%"
"2025- 07- 02","147,480,000","145,050,000","149,260,000","144,210,000","0.09K","1.68%"
