"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","488,901","486,313","489,999","486,297","0.03K","0.53%"
"2025- 08- 01","486,314","496,598","501,787","485,000","0.05K","-2.07%"
"2025- 07- 31","496,598","500,109","503,900","496,200","0.02K","-0.70%"
"2025- 07- 30","500,109","500,519","502,000","496,000","0.03K","-0.08%"
"2025- 07- 29","500,519","501,000","503,979","499,503","0.03K","-0.10%"
"2025- 07- 28","501,000","501,653","503,124","499,000","0.04K","-0.13%"
"2025- 07- 27","501,653","497,044","502,500","496,505","0.02K","0.93%"
"2025- 07- 26","497,044","495,000","499,589","494,999","0.02K","0.41%"
"2025- 07- 25","495,000","499,000","499,002","485,888","0.05K","-0.80%"
"2025- 07- 24","499,001","499,972","503,401","494,000","0.03K","-0.19%"
"2025- 07- 23","499,973","502,732","502,736","495,001","0.04K","-0.55%"
"2025- 07- 22","502,732","496,384","503,111","493,021","0.05K","1.28%"
"2025- 07- 21","496,384","493,849","501,705","491,000","0.04K","0.51%"
"2025- 07- 20","493,849","494,502","498,491","491,331","0.03K","-0.13%"
"2025- 07- 19","494,502","496,095","496,815","490,889","0.02K","-0.32%"
"2025- 07- 18","496,094","493,001","501,801","491,111","0.06K","0.63%"
"2025- 07- 17","493,001","493,005","499,236","491,010","0.05K","0.00%"
"2025- 07- 16","493,005","494,907","502,272","492,642","0.05K","-0.38%"
"2025- 07- 15","494,907","504,802","504,802","489,030","0.06K","-1.96%"
"2025- 07- 14","504,801","495,998","515,000","494,700","0.10K","1.77%"
"2025- 07- 13","495,998","489,999","497,472","485,000","0.04K","1.22%"
"2025- 07- 12","489,999","479,669","490,000","475,897","0.04K","2.15%"
"2025- 07- 11","479,668","474,745","494,000","463,000","0.08K","1.04%"
"2025- 07- 10","474,745","463,452","474,749","463,001","0.05K","2.44%"
"2025- 07- 09","463,453","458,714","464,900","458,566","0.03K","1.03%"
"2025- 07- 08","458,714","457,697","460,599","456,427","0.01K","0.22%"
"2025- 07- 07","457,696","459,217","460,307","456,553","0.02K","-0.33%"
"2025- 07- 06","459,217","458,342","460,553","457,387","0.01K","0.19%"
"2025- 07- 05","458,342","458,091","458,850","457,637","0.01K","0.05%"
"2025- 07- 04","458,091","459,121","459,850","455,000","0.02K","-0.22%"
"2025- 07- 03","459,121","455,801","460,000","455,801","0.02K","0.73%"
"2025- 07- 02","455,802","445,615","460,000","445,500","0.03K","2.29%"
"2025- 07- 01","445,615","451,100","451,107","445,000","0.02K","-1.22%"
"2025- 06- 30","451,100","457,398","458,597","451,100","0.02K","-1.38%"
"2025- 06- 29","457,398","455,601","457,998","454,949","0.01K","0.39%"
"2025- 06- 28","455,601","454,667","456,297","454,637","0.01K","0.21%"
"2025- 06- 27","454,667","454,426","456,784","452,402","0.01K","0.05%"
"2025- 06- 26","454,426","455,570","457,304","452,098","0.02K","-0.25%"
"2025- 06- 25","455,570","449,234","456,900","448,724","0.02K","1.42%"
"2025- 06- 24","449,198","453,186","453,186","445,296","0.03K","-0.94%"
"2025- 06- 23","453,471","431,097","455,000","429,831","0.05K","5.19%"
"2025- 06- 22","431,097","439,713","444,642","420,000","0.06K","-1.96%"
"2025- 06- 21","439,709","442,452","445,000","435,862","0.02K","-0.62%"
"2025- 06- 20","442,452","446,659","452,400","438,500","0.03K","-0.94%"
"2025- 06- 19","446,659","448,003","451,499","445,000","0.02K","-0.30%"
"2025- 06- 18","448,003","445,443","449,000","443,039","0.02K","0.57%"
"2025- 06- 17","445,443","452,001","454,998","440,293","0.03K","-1.45%"
"2025- 06- 16","452,001","450,792","459,900","448,501","0.02K","0.27%"
"2025- 06- 15","450,792","450,111","453,773","447,754","0.01K","0.15%"
"2025- 06- 14","450,112","452,983","453,077","444,669","0.01K","-0.63%"
"2025- 06- 13","452,984","449,930","453,950","438,991","0.05K","0.66%"
"2025- 06- 12","449,999","460,297","460,298","449,999","0.02K","-2.24%"
"2025- 06- 11","460,298","463,614","464,700","458,512","0.03K","-0.72%"
"2025- 06- 10","463,614","464,979","464,980","457,629","0.03K","-0.29%"
"2025- 06- 09","464,980","449,306","465,000","446,777","0.03K","3.49%"
