"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","174,401,232","173,568,576","175,519,520","173,568,576","0.00K","0.48%"
"2025- 08- 01","173,568,576","178,002,560","179,199,984","173,567,920","0.00K","-2.49%"
"2025- 07- 31","178,002,304","180,499,984","182,750,992","178,002,000","0.00K","-1.38%"
"2025- 07- 30","180,499,984","181,016,512","182,199,984","180,111,552","0.01K","-0.29%"
"2025- 07- 29","181,016,512","182,077,072","183,000,000","180,100,624","0.01K","-0.58%"
"2025- 07- 28","182,077,072","182,923,952","183,326,848","180,122,272","0.01K","-0.46%"
"2025- 07- 27","182,923,952","180,364,512","183,300,000","180,364,512","0.01K","1.42%"
"2025- 07- 26","180,364,512","180,000,000","180,941,472","179,498,976","0.00K","0.20%"
"2025- 07- 25","180,000,000","180,903,680","182,189,968","176,001,008","0.01K","-0.50%"
"2025- 07- 24","180,903,680","180,651,712","182,950,896","180,000,080","0.00K","0.14%"
"2025- 07- 23","180,651,712","184,000,096","184,800,000","179,696,000","0.00K","-1.82%"
"2025- 07- 22","184,000,096","179,654,832","184,451,888","178,620,816","0.01K","2.42%"
"2025- 07- 21","179,654,832","178,419,328","182,755,344","178,419,328","0.00K","0.69%"
"2025- 07- 20","178,419,328","179,557,440","181,118,544","178,164,608","0.00K","-0.63%"
"2025- 07- 19","179,557,440","179,064,512","181,125,360","176,500,000","0.00K","0.28%"
"2025- 07- 18","179,064,512","182,355,936","184,999,824","178,754,608","0.01K","-1.80%"
"2025- 07- 17","182,355,936","182,078,448","184,500,000","179,004,992","0.01K","0.15%"
"2025- 07- 16","182,078,448","178,889,904","183,898,800","177,596,032","0.01K","1.78%"
"2025- 07- 15","178,889,904","183,028,544","183,084,912","176,914,672","0.01K","-2.26%"
"2025- 07- 14","183,028,544","182,583,120","188,899,760","176,000,000","0.01K","0.24%"
"2025- 07- 13","182,583,120","179,600,000","182,750,944","179,328,976","0.00K","1.66%"
"2025- 07- 12","179,600,000","178,512,464","181,530,240","178,512,464","0.00K","0.61%"
"2025- 07- 11","178,512,464","177,500,000","182,100,000","174,223,024","0.00K","0.57%"
"2025- 07- 10","177,500,000","170,787,776","178,200,000","169,436,304","0.01K","3.93%"
"2025- 07- 09","170,787,776","166,998,288","171,000,000","165,969,632","0.00K","2.27%"
"2025- 07- 08","166,998,288","165,911,008","168,000,000","161,000,000","0.00K","0.66%"
"2025- 07- 07","165,911,008","167,479,776","167,479,776","165,810,848","0.00K","-0.94%"
"2025- 07- 06","167,479,776","165,722,048","167,493,696","165,490,528","0.00K","1.06%"
"2025- 07- 05","165,722,048","166,000,016","167,526,112","165,500,240","0.00K","-0.17%"
"2025- 07- 04","166,000,016","167,791,152","169,899,008","164,918,000","0.00K","-1.07%"
"2025- 07- 03","167,791,152","168,064,160","169,900,000","166,500,992","0.00K","-0.16%"
"2025- 07- 02","168,064,160","163,261,824","169,500,000","162,700,128","0.00K","2.94%"
"2025- 07- 01","163,261,824","165,460,304","166,059,456","162,703,632","0.00K","-1.33%"
"2025- 06- 30","165,460,304","169,173,232","170,000,000","165,298,304","0.00K","-2.19%"
"2025- 06- 29","169,173,232","167,977,264","169,350,944","167,376,064","0.00K","0.71%"
"2025- 06- 28","167,977,264","166,562,208","167,977,264","166,003,584","0.00K","0.85%"
"2025- 06- 27","166,562,208","166,987,808","169,000,000","165,766,816","0.00K","-0.25%"
"2025- 06- 26","166,987,808","167,873,856","169,249,984","164,770,000","0.00K","-0.53%"
"2025- 06- 25","167,873,856","166,242,624","168,998,992","164,981,312","0.00K","0.98%"
"2025- 06- 24","166,242,624","166,149,600","166,500,000","164,772,064","0.00K","0.06%"
"2025- 06- 23","166,150,448","158,541,504","166,499,984","157,001,200","0.00K","4.80%"
"2025- 06- 22","158,541,504","160,600,000","163,979,360","154,000,000","0.00K","-1.28%"
"2025- 06- 21","160,600,000","162,996,656","164,798,992","159,851,296","0.00K","-1.47%"
"2025- 06- 20","162,996,656","165,432,944","167,916,720","162,650,000","0.00K","-1.47%"
"2025- 06- 19","165,432,944","166,192,592","169,000,000","164,081,088","0.00K","-0.46%"
"2025- 06- 18","166,192,592","164,981,968","166,999,264","163,500,352","0.00K","0.73%"
"2025- 06- 17","164,981,968","168,000,000","169,504,672","164,402,208","0.00K","-1.80%"
"2025- 06- 16","168,000,000","164,936,832","172,900,000","164,422,544","0.00K","1.86%"
"2025- 06- 15","164,936,832","164,994,832","166,808,464","164,000,064","0.00K","-0.04%"
"2025- 06- 14","164,994,832","166,000,096","167,493,984","163,544,528","0.00K","-0.61%"
"2025- 06- 13","166,000,096","164,946,416","167,496,032","162,064,560","0.00K","0.64%"
"2025- 06- 12","164,946,416","170,198,432","170,198,432","161,849,840","0.00K","-3.09%"
"2025- 06- 11","170,198,432","172,959,232","173,499,792","169,000,064","0.00K","-1.60%"
"2025- 06- 10","172,959,232","173,535,200","174,000,000","166,400,000","0.00K","-0.33%"
"2025- 06- 09","173,535,200","167,000,608","173,538,256","166,185,696","0.00K","3.91%"
"2025- 06- 08","167,000,608","166,148,880","167,849,936","165,231,072","0.00K","0.51%"
"2025- 06- 07","166,148,880","163,402,080","166,150,000","161,849,840","0.00K","1.68%"
"2025- 06- 06","163,402,080","159,501,088","165,169,536","159,103,072","0.00K","2.45%"
"2025- 06- 05","159,501,088","165,252,944","167,900,000","158,001,120","0.00K","-3.48%"
"2025- 06- 04","165,252,944","166,700,000","167,765,520","160,005,952","0.00K","-0.87%"
"2025- 06- 03","166,700,000","167,000,000","169,201,680","165,001,120","0.00K","-0.18%"
"2025- 06- 02","167,000,000","167,999,808","170,500,000","164,582,352","0.00K","-0.60%"
"2025- 06- 01","167,999,808","166,690,240","167,999,808","165,001,008","0.00K","0.79%"
"2025- 05- 31","166,690,240","164,231,536","174,690,000","164,000,000","0.00K","1.50%"
"2025- 05- 30","164,231,536","168,554,704","170,524,208","164,231,536","0.00K","-2.56%"
"2025- 05- 29","168,554,704","172,443,040","174,899,904","168,554,688","0.00K","-2.25%"
"2025- 05- 28","172,443,040","174,607,536","178,965,376","172,006,000","0.00K","-1.24%"
"2025- 05- 27","174,607,536","174,998,800","177,300,000","173,260,000","0.00K","-0.22%"
"2025- 05- 26","174,998,800","174,105,856","176,523,808","172,900,000","0.00K","0.51%"
"2025- 05- 25","174,105,856","172,000,384","174,777,744","171,000,000","0.00K","1.22%"
"2025- 05- 24","172,000,384","171,557,120","175,439,952","171,555,584","0.00K","0.26%"
"2025- 05- 23","171,557,120","178,899,904","180,000,000","171,555,568","0.00K","-4.10%"
"2025- 05- 22","178,899,904","175,301,008","179,495,088","175,101,008","0.00K","2.05%"
"2025- 05- 21","175,301,008","171,999,712","177,200,000","169,107,296","0.00K","2.22%"
"2025- 05- 20","171,500,000","169,879,920","172,000,000","168,400,000","0.00K","0.95%"
"2025- 05- 19","169,879,920","171,515,680","171,999,536","165,329,456","0.00K","-0.95%"
"2025- 05- 18","171,515,680","166,251,776","171,515,680","166,073,968","0.00K","3.17%"
"2025- 05- 17","166,251,776","166,997,856","167,583,200","165,971,104","0.00K","-0.45%"
"2025- 05- 16","166,999,200","167,500,848","168,499,952","166,379,936","0.00K","-0.30%"
"2025- 05- 15","167,500,848","167,425,456","167,995,008","163,994,976","0.00K","0.05%"
