"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","3,714,000","3,701,000","3,736,448","3,701,000","0.00K","0.35%"
"2025- 08- 01","3,701,000","3,811,113","3,833,590","3,701,000","0.00K","-2.89%"
"2025- 07- 31","3,811,113","3,839,500","3,855,000","3,811,113","0.00K","-0.74%"
"2025- 07- 30","3,839,500","3,826,093","3,845,000","3,811,113","0.00K","0.35%"
"2025- 07- 29","3,826,093","3,843,831","3,845,000","3,812,354","0.00K","-0.46%"
"2025- 07- 28","3,843,831","3,830,000","3,845,000","3,818,579","0.00K","0.36%"
"2025- 07- 27","3,830,000","3,800,000","3,840,000","3,790,026","0.00K","0.79%"
"2025- 07- 26","3,800,000","3,789,613","3,823,000","3,765,836","0.00K","0.27%"
"2025- 07- 25","3,789,613","3,810,000","3,845,000","3,735,000","0.00K","-0.54%"
"2025- 07- 24","3,810,000","3,836,202","3,845,000","3,800,001","0.00K","-0.68%"
"2025- 07- 23","3,836,202","3,832,725","3,850,000","3,800,000","0.00K","0.09%"
"2025- 07- 22","3,832,725","3,800,979","3,855,000","3,780,849","0.00K","0.84%"
"2025- 07- 21","3,800,979","3,810,009","3,874,768","3,780,849","0.00K","-0.24%"
"2025- 07- 20","3,810,009","3,810,009","3,848,569","3,810,009","0.00K","0.00%"
"2025- 07- 19","3,810,009","3,819,000","3,852,449","3,810,009","0.00K","-0.24%"
"2025- 07- 18","3,819,000","3,876,685","3,940,000","3,819,000","0.00K","-1.49%"
"2025- 07- 17","3,876,685","3,898,888","3,898,888","3,823,624","0.00K","-0.57%"
"2025- 07- 16","3,898,888","3,807,456","3,898,888","3,807,456","0.00K","2.40%"
"2025- 07- 15","3,807,456","3,880,101","3,900,000","3,785,000","0.00K","-1.87%"
"2025- 07- 14","3,880,101","3,842,000","3,979,000","3,842,000","0.00K","0.99%"
"2025- 07- 13","3,842,000","3,780,001","3,850,000","3,780,001","0.00K","1.64%"
"2025- 07- 12","3,780,001","3,795,000","3,808,888","3,770,000","0.00K","-0.40%"
"2025- 07- 11","3,795,000","3,650,000","3,808,888","3,595,000","0.00K","3.97%"
"2025- 07- 10","3,650,000","3,594,929","3,650,000","3,594,929","0.00K","1.53%"
"2025- 07- 09","3,594,929","3,543,000","3,599,999","3,530,000","0.00K","1.47%"
"2025- 07- 08","3,543,000","3,520,000","3,543,000","3,490,724","0.00K","0.65%"
"2025- 07- 07","3,520,000","3,511,779","3,543,000","3,511,779","0.00K","0.23%"
"2025- 07- 06","3,511,779","3,490,001","3,511,779","3,483,650","0.00K","0.62%"
"2025- 07- 05","3,490,001","3,500,000","3,500,546","3,490,001","0.00K","-0.29%"
"2025- 07- 04","3,500,000","3,543,104","3,543,104","3,490,001","0.00K","-1.22%"
"2025- 07- 03","3,543,104","3,500,000","3,555,000","3,490,000","0.00K","1.23%"
"2025- 07- 02","3,500,000","3,429,319","3,510,000","3,423,456","0.00K","2.06%"
"2025- 07- 01","3,429,319","3,472,753","3,494,178","3,429,319","0.00K","-1.25%"
"2025- 06- 30","3,472,753","3,505,262","3,516,789","3,472,753","0.00K","-0.93%"
"2025- 06- 29","3,505,262","3,499,269","3,505,262","3,472,753","0.00K","0.17%"
"2025- 06- 28","3,499,269","3,473,427","3,506,505","3,470,000","0.00K","0.74%"
"2025- 06- 27","3,473,427","3,497,210","3,512,951","3,466,585","0.00K","-0.68%"
"2025- 06- 26","3,497,210","3,498,277","3,510,000","3,455,889","0.00K","-0.03%"
"2025- 06- 25","3,498,277","3,469,297","3,500,000","3,437,800","0.00K","0.84%"
"2025- 06- 24","3,469,297","3,427,477","3,469,297","3,423,456","0.00K","1.22%"
"2025- 06- 23","3,427,477","3,282,812","3,427,477","3,282,812","0.00K","4.41%"
"2025- 06- 22","3,282,812","3,348,920","3,382,547","3,220,000","0.00K","-1.97%"
"2025- 06- 21","3,348,920","3,407,219","3,410,913","3,330,000","0.00K","-1.71%"
"2025- 06- 20","3,407,219","3,437,627","3,500,000","3,395,000","0.00K","-0.88%"
"2025- 06- 19","3,437,627","3,400,000","3,450,595","3,380,000","0.00K","1.11%"
"2025- 06- 18","3,400,000","3,417,452","3,449,384","3,400,000","0.00K","-0.51%"
"2025- 06- 17","3,417,452","3,459,139","3,495,036","3,400,000","0.00K","-1.21%"
"2025- 06- 16","3,459,139","3,402,163","3,509,888","3,402,163","0.00K","1.67%"
"2025- 06- 15","3,402,163","3,421,947","3,453,749","3,400,000","0.00K","-0.58%"
"2025- 06- 14","3,421,947","3,433,565","3,456,771","3,400,000","0.00K","0.19%"
"2025- 06- 13","3,415,435","3,465,880","3,465,880","3,340,000","0.00K","-1.46%"
"2025- 06- 12","3,465,880","3,520,001","3,553,464","3,454,692","0.00K","-1.54%"
"2025- 06- 11","3,520,001","3,560,000","3,593,700","3,520,001","0.00K","-1.12%"
"2025- 06- 10","3,560,000","3,592,770","3,592,770","3,520,001","0.00K","-0.91%"
"2025- 06- 09","3,592,770","3,466,000","3,592,770","3,440,550","0.00K","3.66%"
"2025- 06- 08","3,466,000","3,460,000","3,470,000","3,426,300","0.00K","0.17%"
"2025- 06- 07","3,460,000","3,407,004","3,469,378","3,403,227","0.00K","1.56%"
"2025- 06- 06","3,407,004","3,345,948","3,448,080","3,332,451","0.00K","1.82%"
"2025- 06- 05","3,345,948","3,438,088","3,453,417","3,315,005","0.00K","-2.68%"
"2025- 06- 04","3,438,088","3,452,625","3,461,200","3,423,000","0.00K","-0.42%"
"2025- 06- 03","3,452,625","3,430,000","3,475,226","3,403,567","0.00K","0.66%"
"2025- 06- 02","3,430,000","3,477,000","3,477,000","3,391,585","0.00K","-1.35%"
"2025- 06- 01","3,477,000","3,467,132","3,477,000","3,401,000","0.00K","0.28%"
"2025- 05- 31","3,467,132","3,420,000","3,477,779","3,395,000","0.00K","1.38%"
"2025- 05- 30","3,420,000","3,464,899","3,489,618","3,401,747","0.00K","-1.30%"
"2025- 05- 29","3,464,899","3,534,700","3,575,000","3,464,899","0.00K","-1.97%"
"2025- 05- 28","3,534,700","3,546,804","3,581,630","3,515,551","0.00K","-0.34%"
"2025- 05- 27","3,546,804","3,576,911","3,599,999","3,500,000","0.00K","-0.84%"
"2025- 05- 26","3,576,911","3,566,312","3,600,000","3,543,798","0.00K","0.30%"
"2025- 05- 25","3,566,312","3,525,000","3,577,292","3,480,000","0.00K","1.17%"
"2025- 05- 24","3,525,000","3,490,000","3,580,003","3,480,000","0.00K","1.00%"
"2025- 05- 23","3,490,000","3,623,940","3,647,000","3,490,000","0.00K","-3.70%"
"2025- 05- 22","3,623,940","3,560,000","3,650,000","3,560,000","0.00K","1.80%"
"2025- 05- 21","3,560,000","3,500,000","3,560,000","3,480,000","0.00K","1.71%"
"2025- 05- 20","3,500,000","3,489,800","3,530,000","3,446,843","0.00K","0.29%"
"2025- 05- 19","3,489,800","3,499,999","3,522,345","3,400,000","0.00K","-0.29%"
"2025- 05- 18","3,499,999","3,407,000","3,499,999","3,407,000","0.00K","2.73%"
"2025- 05- 17","3,407,000","3,450,000","3,450,000","3,400,000","0.00K","-1.25%"
"2025- 05- 16","3,450,000","3,436,368","3,450,000","3,424,000","0.00K","0.40%"
"2025- 05- 15","3,436,368","3,438,236","3,438,236","3,377,172","0.00K","-0.05%"
"2025- 05- 14","3,438,236","3,434,343","3,445,000","3,400,000","0.00K","0.11%"
"2025- 05- 13","3,434,343","3,395,000","3,440,000","3,350,001","0.00K","1.16%"
"2025- 05- 12","3,395,000","3,417,518","3,440,000","3,370,000","0.00K","-0.66%"
"2025- 05- 11","3,417,518","3,389,999","3,420,000","3,389,999","0.00K","0.81%"
"2025- 05- 10","3,389,999","3,380,000","3,389,999","3,373,584","0.00K","0.30%"
"2025- 05- 09","3,380,000","3,304,567","3,380,000","3,304,567","0.00K","2.28%"
"2025- 05- 08","3,304,567","3,198,268","3,304,567","3,190,692","0.00K","3.32%"
"2025- 05- 07","3,198,268","3,140,053","3,200,000","3,140,000","0.00K","1.85%"
"2025- 05- 06","3,140,053","3,140,266","3,167,456","3,051,686","0.00K","-0.01%"
"2025- 05- 05","3,140,266","3,140,001","3,173,844","3,074,906","0.00K","0.01%"
"2025- 05- 04","3,140,001","3,169,633","3,197,062","3,140,001","0.00K","-0.93%"
"2025- 05- 03","3,169,633","3,223,479","3,223,479","3,165,683","0.00K","-1.67%"
"2025- 05- 02","3,223,479","3,240,000","3,250,000","3,200,000","0.00K","-0.51%"
"2025- 05- 01","3,240,000","3,164,944","3,249,900","3,138,465","0.00K","2.37%"
"2025- 04- 30","3,164,944","3,178,888","3,187,000","3,127,272","0.00K","-0.44%"
"2025- 04- 29","3,178,888","3,188,680","3,188,680","3,150,000","0.00K","-0.31%"
"2025- 04- 28","3,188,680","3,168,637","3,188,680","3,122,652","0.00K","0.63%"
"2025- 04- 27","3,168,637","3,171,204","3,175,000","3,122,652","0.00K","-0.08%"
"2025- 04- 26","3,171,204","3,195,913","3,200,000","3,125,768","0.00K","-0.77%"
"2025- 04- 25","3,195,913","3,130,026","3,200,000","3,119,575","0.00K","2.10%"
"2025- 04- 24","3,130,026","3,120,200","3,131,983","3,060,000","0.00K","0.31%"
"2025- 04- 23","3,120,200","3,123,639","3,150,000","3,080,000","0.00K","-0.11%"
"2025- 04- 22","3,123,639","2,909,108","3,123,639","2,900,050","0.00K","7.37%"
"2025- 04- 21","2,909,108","2,825,556","2,924,501","2,825,556","0.00K","2.96%"
"2025- 04- 20","2,825,556","2,845,989","2,846,000","2,804,393","0.00K","-0.72%"
"2025- 04- 19","2,845,989","2,821,600","2,846,000","2,810,728","0.00K","0.86%"
"2025- 04- 18","2,821,600","2,840,703","2,840,703","2,820,000","0.00K","-0.67%"
"2025- 04- 17","2,840,703","2,810,487","2,849,717","2,786,001","0.00K","1.08%"
"2025- 04- 16","2,810,487","2,826,012","2,895,000","2,779,113","0.00K","-0.55%"
"2025- 04- 15","2,826,012","2,864,615","2,884,649","2,826,012","0.00K","-1.35%"
"2025- 04- 14","2,864,615","2,803,718","2,870,807","2,803,718","0.00K","2.17%"
"2025- 04- 13","2,803,718","2,858,515","2,865,706","2,800,000","0.00K","-1.92%"
"2025- 04- 12","2,858,515","2,791,199","2,858,515","2,774,167","0.00K","2.41%"
"2025- 04- 11","2,791,199","2,713,656","2,813,211","2,678,774","0.00K","2.86%"
"2025- 04- 10","2,713,656","2,809,781","2,817,657","2,669,519","0.00K","-3.42%"
"2025- 04- 09","2,809,781","2,653,163","2,841,144","2,613,200","0.00K","5.90%"
"2025- 04- 08","2,653,163","2,769,093","2,778,429","2,653,163","0.00K","-4.19%"
"2025- 04- 07","2,769,093","2,704,927","2,772,994","2,580,516","0.00K","2.37%"
"2025- 04- 06","2,704,927","2,845,044","2,861,539","2,690,650","0.00K","-4.92%"
"2025- 04- 05","2,845,044","2,871,518","2,877,520","2,830,233","0.00K","-0.92%"
"2025- 04- 04","2,871,518","2,850,234","2,890,065","2,813,068","0.00K","0.75%"
