"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 05","113,937.0","115,081.0","115,105.0","113,625.0","1.02K","-0.97%"
"2025- 08- 04","115,051.0","114,226.0","115,729.0","114,129.0","0.93K","0.72%"
"2025- 08- 03","114,226.0","112,539.0","114,770.0","111,989.0","0.76K","1.52%"
"2025- 08- 02","112,519.0","113,243.0","114,006.0","112,003.0","1.09K","-0.67%"
"2025- 08- 01","113,273.0","115,750.0","116,054.0","112,680.0","2.33K","-2.14%"
"2025- 07- 31","115,754.0","117,834.0","118,904.0","115,512.0","1.02K","-1.77%"
"2025- 07- 30","117,834.0","117,926.0","118,756.0","115,785.0","1.04K","-0.08%"
"2025- 07- 29","117,926.0","118,051.0","119,267.0","116,955.0","1.16K","-0.11%"
"2025- 07- 28","118,051.0","119,469.0","119,812.0","117,412.0","1.06K","-1.16%"
"2025- 07- 27","119,442.0","117,962.0","119,789.0","117,888.0","0.58K","1.26%"
"2025- 07- 26","117,960.0","117,653.0","118,340.0","117,196.0","0.62K","0.26%"
"2025- 07- 25","117,653.0","118,347.0","118,509.0","114,764.0","5.66K","-0.59%"
"2025- 07- 24","118,347.0","118,813.0","119,525.0","117,206.0","1.08K","-0.39%"
"2025- 07- 23","118,812.0","120,012.0","120,163.0","117,380.0","0.98K","-1.00%"
"2025- 07- 22","120,011.0","117,437.0","120,297.0","116,186.0","1.30K","2.19%"
"2025- 07- 21","117,437.0","117,339.0","119,657.0","116,594.0","1.34K","0.07%"
"2025- 07- 20","117,355.0","117,936.0","118,896.0","116,593.0","0.62K","-0.48%"
"2025- 07- 19","117,916.0","118,023.0","118,553.0","117,357.0","0.50K","-0.09%"
"2025- 07- 18","118,022.0","119,298.0","120,896.0","116,915.0","1.83K","-1.05%"
"2025- 07- 17","119,275.0","118,697.0","120,999.0","117,535.0","1.63K","0.47%"
"2025- 07- 16","118,718.0","117,793.0","120,076.0","117,054.0","1.45K","0.81%"
"2025- 07- 15","117,769.0","119,862.0","119,945.0","115,729.0","5.85K","-1.76%"
"2025- 07- 14","119,879.0","119,162.0","123,181.0","118,972.0","2.01K","0.62%"
"2025- 07- 13","119,135.0","117,464.0","119,480.0","117,280.0","0.70K","1.42%"
"2025- 07- 12","117,464.0","117,579.0","118,227.0","116,985.0","0.66K","-0.10%"
"2025- 07- 11","117,579.0","116,038.0","118,824.0","115,266.0","1.87K","1.34%"
"2025- 07- 10","116,019.0","111,317.0","116,732.0","110,618.0","1.98K","4.25%"
"2025- 07- 09","111,287.0","108,947.0","111,959.0","108,352.0","1.21K","2.15%"
"2025- 07- 08","108,947.0","108,267.0","109,225.0","107,471.0","0.68K","0.61%"
"2025- 07- 07","108,286.0","109,231.0","109,706.0","107,538.0","0.71K","-0.87%"
"2025- 07- 06","109,233.0","108,240.0","109,712.0","107,858.0","0.42K","0.92%"
"2025- 07- 05","108,240.0","108,033.0","108,401.0","107,839.0","0.22K","0.19%"
"2025- 07- 04","108,033.0","109,627.0","109,799.0","107,304.0","0.61K","-1.47%"
"2025- 07- 03","109,648.0","108,884.0","110,547.0","108,605.0","0.90K","0.70%"
"2025- 07- 02","108,885.0","105,709.0","109,786.0","105,159.0","0.91K","3.00%"
"2025- 07- 01","105,710.0","107,164.0","107,548.0","105,280.0","0.92K","-1.39%"
"2025- 06- 30","107,201.0","108,442.0","108,800.0","106,751.0","0.81K","-1.09%"
"2025- 06- 29","108,384.0","107,348.0","108,542.0","107,239.0","0.53K","0.97%"
"2025- 06- 28","107,348.0","107,103.0","107,574.0","106,880.0","0.21K","0.23%"
"2025- 06- 27","107,105.0","107,005.0","107,794.0","106,454.0","1.29K","0.09%"
"2025- 06- 26","107,004.0","107,417.0","108,299.0","106,696.0","0.79K","-0.39%"
"2025- 06- 25","107,418.0","106,151.0","108,182.0","105,872.0","1.20K","1.21%"
