"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 02","2,076,890","2,063,309","2,082,393","2,060,104","0.05K","0.66%"
"2025- 08- 01","2,063,309","2,129,550","2,138,347","2,053,896","0.06K","-3.11%"
"2025- 07- 31","2,129,550","2,136,155","2,168,000","2,125,001","0.04K","-0.31%"
"2025- 07- 30","2,136,155","2,126,388","2,143,131","2,101,777","0.05K","0.46%"
"2025- 07- 29","2,126,388","2,124,475","2,156,000","2,112,060","0.05K","0.09%"
"2025- 07- 28","2,124,475","2,135,322","2,139,989","2,115,274","0.04K","-0.51%"
"2025- 07- 27","2,135,322","2,112,750","2,140,000","2,109,305","0.02K","1.07%"
"2025- 07- 26","2,112,750","2,106,115","2,117,977","2,099,263","0.02K","0.32%"
"2025- 07- 25","2,106,115","2,104,599","2,106,633","2,051,008","0.06K","-0.01%"
"2025- 07- 24","2,106,419","2,102,950","2,123,075","2,078,161","0.04K","0.16%"
"2025- 07- 23","2,102,950","2,126,450","2,127,068","2,075,100","0.04K","-1.11%"
"2025- 07- 22","2,126,450","2,084,492","2,129,997","2,066,330","0.04K","2.01%"
"2025- 07- 21","2,084,492","2,044,337","2,129,886","2,040,000","0.06K","1.96%"
"2025- 07- 20","2,044,337","1,970,000","2,071,456","1,970,000","0.03K","3.77%"
"2025- 07- 19","1,970,000","2,107,976","2,121,151","1,658,463","0.10K","-6.55%"
"2025- 07- 18","2,107,976","2,132,598","2,146,999","2,091,000","0.08K","-1.15%"
"2025- 07- 17","2,132,598","2,133,102","2,166,003","2,108,895","0.07K","-0.02%"
"2025- 07- 16","2,133,102","2,112,438","2,149,000","2,102,690","0.07K","0.98%"
"2025- 07- 15","2,112,438","2,160,434","2,162,622","2,087,287","0.09K","-2.22%"
"2025- 07- 14","2,160,434","2,140,614","2,210,000","2,140,215","0.08K","0.93%"
"2025- 07- 13","2,140,614","2,109,663","2,140,614","2,107,000","0.03K","1.47%"
"2025- 07- 12","2,109,663","2,105,000","2,115,962","2,105,000","0.02K","0.22%"
"2025- 07- 11","2,105,000","2,032,844","2,125,100","2,022,211","0.12K","3.56%"
"2025- 07- 10","2,032,543","1,990,755","2,038,028","1,980,560","0.06K","2.10%"
"2025- 07- 09","1,990,755","1,955,691","1,998,797","1,946,682","0.04K","1.79%"
"2025- 07- 08","1,955,691","1,945,853","1,958,000","1,936,033","0.03K","0.51%"
"2025- 07- 07","1,945,853","1,937,935","1,955,515","1,933,006","0.04K","0.41%"
"2025- 07- 06","1,937,935","1,926,829","1,944,999","1,922,644","0.02K","0.58%"
"2025- 07- 05","1,926,829","1,923,080","1,935,292","1,917,609","0.01K","0.20%"
"2025- 07- 04","1,923,077","1,941,142","1,941,500","1,911,228","0.02K","-0.93%"
"2025- 07- 03","1,941,142","1,927,857","1,945,335","1,923,744","0.05K","0.68%"
"2025- 07- 02","1,928,000","1,878,047","1,941,253","1,870,416","0.03K","2.66%"
"2025- 07- 01","1,878,047","1,917,630","1,923,329","1,873,459","0.03K","-2.06%"
"2025- 06- 30","1,917,630","1,939,773","1,945,000","1,914,177","0.03K","-1.14%"
"2025- 06- 29","1,939,774","1,927,009","1,944,910","1,925,756","0.02K","0.66%"
"2025- 06- 28","1,927,009","1,922,223","1,930,000","1,919,072","0.01K","0.25%"
"2025- 06- 27","1,922,223","1,925,146","1,939,000","1,913,494","0.03K","-0.15%"
"2025- 06- 26","1,925,146","1,920,380","1,939,499","1,910,859","0.04K","0.25%"
"2025- 06- 25","1,920,379","1,900,769","1,936,015","1,897,861","0.04K","1.03%"
"2025- 06- 24","1,900,769","1,898,042","1,902,622","1,875,528","0.04K","0.01%"
"2025- 06- 23","1,900,656","1,842,016","1,910,095","1,814,257","0.05K","3.18%"
"2025- 06- 22","1,842,015","1,864,445","1,884,006","1,780,356","0.06K","-1.20%"
"2025- 06- 21","1,864,445","1,881,892","1,893,522","1,842,612","0.02K","-0.93%"
"2025- 06- 20","1,881,892","1,905,120","1,934,994","1,863,003","0.03K","-1.31%"
"2025- 06- 19","1,906,893","1,901,802","1,913,999","1,895,697","0.02K","0.27%"
"2025- 06- 18","1,901,802","1,901,356","1,913,998","1,879,365","0.03K","0.02%"
"2025- 06- 17","1,901,356","1,921,378","1,940,657","1,875,521","0.04K","-1.04%"
"2025- 06- 16","1,921,378","1,913,529","1,957,283","1,907,320","0.03K","0.41%"
"2025- 06- 15","1,913,529","1,913,994","1,927,499","1,900,000","0.01K","-0.02%"
"2025- 06- 14","1,913,994","1,919,442","1,923,933","1,893,228","0.01K","-0.28%"
"2025- 06- 13","1,919,442","1,901,401","1,919,886","1,869,420","0.05K","0.95%"
"2025- 06- 12","1,901,409","1,945,519","1,947,787","1,901,409","0.03K","-2.28%"
"2025- 06- 11","1,945,817","1,969,316","1,975,499","1,939,600","0.04K","-1.19%"
"2025- 06- 10","1,969,316","1,972,891","1,974,980","1,940,978","0.04K","-0.18%"
"2025- 06- 09","1,972,891","1,902,223","1,976,481","1,889,318","0.04K","3.72%"
"2025- 06- 08","1,902,223","1,902,187","1,914,999","1,890,709","0.01K","0.00%"
"2025- 06- 07","1,902,187","1,878,680","1,904,999","1,871,691","0.01K","1.25%"
"2025- 06- 06","1,878,680","1,829,001","1,899,999","1,823,075","0.04K","2.72%"
"2025- 06- 05","1,829,001","1,887,881","1,898,864","1,806,129","0.05K","-3.12%"
"2025- 06- 04","1,887,881","1,905,747","1,914,124","1,880,000","0.02K","-0.94%"
"2025- 06- 03","1,905,747","1,909,459","1,931,493","1,896,634","0.03K","-0.19%"
"2025- 06- 02","1,909,459","1,923,114","1,923,114","1,877,501","0.03K","-0.71%"
"2025- 06- 01","1,923,114","1,904,495","1,924,995","1,895,171","0.01K","0.98%"
"2025- 05- 31","1,904,498","1,893,021","1,908,262","1,880,203","0.02K","0.61%"
"2025- 05- 30","1,893,021","1,910,035","1,928,177","1,885,000","0.06K","-0.88%"
"2025- 05- 29","1,909,902","1,965,406","1,979,497","1,905,004","0.05K","-2.76%"
"2025- 05- 28","1,964,055","1,981,260","1,984,463","1,950,431","0.04K","-0.87%"
"2025- 05- 27","1,981,260","1,976,952","2,004,999","1,950,000","0.06K","0.22%"
"2025- 05- 26","1,976,951","1,966,849","1,997,500","1,962,114","0.04K","0.51%"
"2025- 05- 25","1,966,849","1,958,440","1,971,500","1,925,080","0.03K","0.43%"
"2025- 05- 24","1,958,440","1,945,983","1,982,627","1,943,792","0.03K","0.64%"
"2025- 05- 23","1,945,983","2,028,375","2,029,962","1,943,611","0.08K","-4.06%"
"2025- 05- 22","2,028,414","1,989,568","2,032,150","1,979,500","0.08K","1.95%"
"2025- 05- 21","1,989,568","1,938,037","2,000,000","1,921,702","0.12K","2.66%"
"2025- 05- 20","1,938,037","1,934,953","1,953,500","1,900,000","0.06K","0.16%"
"2025- 05- 19","1,934,953","1,948,986","1,957,389","1,866,360","0.05K","-0.72%"
"2025- 05- 18","1,948,986","1,888,498","1,948,986","1,886,950","0.02K","3.20%"
"2025- 05- 17","1,888,498","1,893,741","1,901,187","1,880,760","0.02K","-0.28%"
"2025- 05- 16","1,893,741","1,896,556","1,916,837","1,889,258","0.02K","-0.17%"
"2025- 05- 15","1,896,997","1,917,430","1,919,499","1,858,434","0.03K","-1.07%"
"2025- 05- 14","1,917,430","1,928,329","1,931,408","1,900,003","0.03K","-0.57%"
"2025- 05- 13","1,928,329","1,903,583","1,943,468","1,878,003","0.04K","1.30%"
"2025- 05- 12","1,903,583","1,925,000","1,944,708","1,867,393","0.05K","-1.00%"
"2025- 05- 11","1,922,769","1,935,000","1,939,484","1,910,867","0.02K","-0.63%"
"2025- 05- 10","1,935,000","1,900,226","1,937,477","1,900,145","0.03K","1.83%"
"2025- 05- 09","1,900,226","1,901,379","1,923,500","1,889,459","0.06K","-0.06%"
"2025- 05- 08","1,901,379","1,797,643","1,916,471","1,795,313","0.10K","5.77%"
"2025- 05- 07","1,797,643","1,794,135","1,805,833","1,771,261","0.06K","0.24%"
"2025- 05- 06","1,793,382","1,769,019","1,794,827","1,738,026","0.05K","1.38%"
"2025- 05- 05","1,769,019","1,764,077","1,773,515","1,740,455","0.04K","0.28%"
"2025- 05- 04","1,764,078","1,793,327","1,801,999","1,763,001","0.02K","-1.63%"
"2025- 05- 03","1,793,327","1,807,216","1,809,272","1,793,268","0.03K","-0.77%"
"2025- 05- 02","1,807,216","1,812,108","1,826,510","1,805,000","0.04K","-0.25%"
"2025- 05- 01","1,811,687","1,775,045","1,833,000","1,774,250","0.05K","2.06%"
"2025- 04- 30","1,775,045","1,767,634","1,805,100","1,755,112","0.05K","0.42%"
"2025- 04- 29","1,767,634","1,786,136","1,794,682","1,762,501","0.05K","-1.04%"
"2025- 04- 28","1,786,136","1,777,615","1,808,169","1,765,153","0.03K","0.48%"
"2025- 04- 27","1,777,615","1,805,831","1,815,000","1,776,055","0.02K","-1.49%"
"2025- 04- 26","1,804,449","1,801,843","1,810,000","1,789,181","0.02K","0.14%"
"2025- 04- 25","1,801,843","1,783,542","1,815,000","1,766,945","0.05K","1.10%"
"2025- 04- 24","1,782,184","1,770,463","1,783,022","1,730,029","0.05K","0.66%"
"2025- 04- 23","1,770,463","1,762,001","1,783,174","1,735,860","0.06K","0.48%"
"2025- 04- 22","1,762,001","1,663,166","1,768,138","1,654,375","0.05K","5.94%"
"2025- 04- 21","1,663,166","1,624,108","1,672,219","1,623,510","0.04K","2.40%"
"2025- 04- 20","1,624,108","1,622,421","1,624,937","1,605,000","0.01K","0.10%"
"2025- 04- 19","1,622,421","1,610,578","1,629,000","1,610,169","0.01K","0.74%"
"2025- 04- 18","1,610,578","1,616,432","1,618,696","1,609,385","0.01K","-0.36%"
"2025- 04- 17","1,616,432","1,607,729","1,625,000","1,591,001","0.02K","0.54%"
"2025- 04- 16","1,607,729","1,620,057","1,625,482","1,591,431","0.03K","-0.76%"
"2025- 04- 15","1,620,057","1,618,945","1,650,500","1,615,703","0.04K","0.07%"
