Time,anxbtc,bitmarket,btcmarkets,mtgox
2011-06-24 00:00:00 UTC,,16.5,,
2011-06-26 00:00:00 UTC,,,,
2011-06-27 00:00:00 UTC,,,,
2011-06-28 00:00:00 UTC,,,,
2011-06-29 00:00:00 UTC,,,,
2011-06-30 00:00:00 UTC,,,,
2011-07-01 00:00:00 UTC,,,,
2011-07-02 00:00:00 UTC,,,,
2011-07-03 00:00:00 UTC,,,,
2011-07-04 00:00:00 UTC,,,,
2011-07-05 00:00:00 UTC,,,,
2011-07-06 00:00:00 UTC,,,,
2011-07-07 00:00:00 UTC,,,,
2011-07-08 00:00:00 UTC,,,,
2011-07-09 00:00:00 UTC,,,,
2011-07-10 00:00:00 UTC,,,,
2011-07-11 00:00:00 UTC,,,,
2011-07-12 00:00:00 UTC,,,,
2011-07-13 00:00:00 UTC,,,,
2011-07-14 00:00:00 UTC,,,,
2011-07-15 00:00:00 UTC,,,,
2011-07-16 00:00:00 UTC,,,,
2011-07-17 00:00:00 UTC,,,,
2011-07-18 00:00:00 UTC,,,,
2011-07-19 00:00:00 UTC,,12.5,,
2011-07-20 00:00:00 UTC,,,,
2011-07-21 00:00:00 UTC,,,,
2011-07-22 00:00:00 UTC,,,,
2011-07-23 00:00:00 UTC,,,,
2011-07-24 00:00:00 UTC,,,,
2011-07-25 00:00:00 UTC,,,,
2011-07-27 00:00:00 UTC,,,,
2011-07-28 00:00:00 UTC,,,,
2011-07-29 00:00:00 UTC,,,,
2011-07-30 00:00:00 UTC,,,,
2011-07-31 00:00:00 UTC,,,,
2011-08-01 00:00:00 UTC,,,,
2011-08-02 00:00:00 UTC,,,,
2011-08-03 00:00:00 UTC,,,,
2011-08-04 00:00:00 UTC,,,,
2011-08-05 00:00:00 UTC,,,,
2011-08-06 00:00:00 UTC,,,,
2011-08-07 00:00:00 UTC,,,,
2011-08-08 00:00:00 UTC,,,,
2011-08-09 00:00:00 UTC,,,,
2011-08-10 00:00:00 UTC,,,,
2011-08-11 00:00:00 UTC,,,,
2011-08-25 00:00:00 UTC,,,,
2011-08-26 00:00:00 UTC,,12.0,,
2011-08-27 00:00:00 UTC,,,,
2011-08-28 00:00:00 UTC,,,,
2011-08-29 00:00:00 UTC,,,,
2011-08-30 00:00:00 UTC,,,,
2011-08-31 00:00:00 UTC,,,,
2011-09-01 00:00:00 UTC,,,,
2011-09-02 00:00:00 UTC,,,,7.66381333333333
2011-09-03 00:00:00 UTC,,,,7.87091
2011-09-04 00:00:00 UTC,,,,7.51462
2011-09-05 00:00:00 UTC,,,,7.3363812
2011-09-06 00:00:00 UTC,,,,6.46498185185185
2011-09-07 00:00:00 UTC,,,,6.71416221428571
2011-09-08 00:00:00 UTC,,,,6.62313645833333
2011-09-09 00:00:00 UTC,,,,5.42271944444444
2011-09-10 00:00:00 UTC,,,,4.79505892156863
2011-09-11 00:00:00 UTC,,,,4.5743375
2011-09-12 00:00:00 UTC,,,,6.08257979738562
2011-09-13 00:00:00 UTC,,,,5.85082888927739
2011-09-14 00:00:00 UTC,,,,5.57796149621212
2011-09-15 00:00:00 UTC,,,,5.10963657407407
2011-09-16 00:00:00 UTC,,,,4.62378416666667
2011-09-17 00:00:00 UTC,,,,
2011-09-18 00:00:00 UTC,,,,4.69505416666667
2011-09-19 00:00:00 UTC,,,,5.30700522222222
2011-09-20 00:00:00 UTC,,9.0,,5.74636333333333
2011-09-21 00:00:00 UTC,,,,5.025
2011-09-22 00:00:00 UTC,,,,5.65213833333333
2011-09-23 00:00:00 UTC,,,,5.67517833333333
2011-09-24 00:00:00 UTC,,,,
2011-09-25 00:00:00 UTC,,,,5.73897
2011-09-26 00:00:00 UTC,,,,5.337905
2011-09-27 00:00:00 UTC,,,,5.13638248993739
2011-09-28 00:00:00 UTC,,,,
2011-09-29 00:00:00 UTC,,,,4.95778916666667
