Time,bitbay,bitcurex,bitmarket,bitmarketpl,bitomat,mtgox
2011-06-26 00:00:00 UTC,,,50.0,,,
2011-06-27 00:00:00 UTC,,,,,,
2011-06-28 00:00:00 UTC,,,,,,
2011-06-29 00:00:00 UTC,,,,,,
2011-06-30 00:00:00 UTC,,,,,,
2011-07-01 00:00:00 UTC,,,,,,
2011-07-02 00:00:00 UTC,,,,,,
2011-07-03 00:00:00 UTC,,,,,,
2011-07-04 00:00:00 UTC,,,,,,
2011-07-05 00:00:00 UTC,,,,,,
2011-07-06 00:00:00 UTC,,,,,,
2011-07-07 00:00:00 UTC,,,,,,
2011-07-08 00:00:00 UTC,,,,,,
2011-07-09 00:00:00 UTC,,,,,,
2011-07-10 00:00:00 UTC,,,,,,
2011-07-11 00:00:00 UTC,,,,,42.02,
2011-07-12 00:00:00 UTC,,,,,,
2011-07-13 00:00:00 UTC,,,,,,
2011-07-14 00:00:00 UTC,,,,,,
2011-07-15 00:00:00 UTC,,,,,,
2011-07-16 00:00:00 UTC,,,,,,
2011-07-17 00:00:00 UTC,,,,,,
2011-07-18 00:00:00 UTC,,,,,37.43,
2011-07-19 00:00:00 UTC,,,,,,
2011-07-20 00:00:00 UTC,,,,,,
2011-07-21 00:00:00 UTC,,,,,,
2011-07-22 00:00:00 UTC,,,,,,
2011-07-23 00:00:00 UTC,,,,,,
2011-07-24 00:00:00 UTC,,,,,,
2011-07-25 00:00:00 UTC,,,,,,
2011-07-26 00:00:00 UTC,,,,,,
2011-07-27 00:00:00 UTC,,,40.0,,,
2011-07-28 00:00:00 UTC,,,,,,
2011-07-29 00:00:00 UTC,,,,,,
2011-07-30 00:00:00 UTC,,,,,,
2011-07-31 00:00:00 UTC,,,,,,
2011-08-01 00:00:00 UTC,,,,,,
2011-08-02 00:00:00 UTC,,,,,,
2011-08-03 00:00:00 UTC,,,,,,
2011-08-04 00:00:00 UTC,,,,,,
2011-08-05 00:00:00 UTC,,,,,,
2011-08-06 00:00:00 UTC,,,,,,
2011-08-07 00:00:00 UTC,,,,,,
2011-08-08 00:00:00 UTC,,,,,,
2011-08-09 00:00:00 UTC,,,,,,
2011-08-10 00:00:00 UTC,,,,,,
2011-08-11 00:00:00 UTC,,,,,,
2011-08-25 00:00:00 UTC,,,,,,
2011-08-26 00:00:00 UTC,,,30.99,,,
2011-08-27 00:00:00 UTC,,,,,,
2011-08-28 00:00:00 UTC,,,,,,
2011-08-29 00:00:00 UTC,,,,,,
2011-08-30 00:00:00 UTC,,,,,,
2011-08-31 00:00:00 UTC,,,,,,
2011-09-01 00:00:00 UTC,,,,,,
2011-09-02 00:00:00 UTC,,,,,,
2011-09-03 00:00:00 UTC,,,,,,
2011-09-04 00:00:00 UTC,,,,,,
2011-09-05 00:00:00 UTC,,,,,,
2011-09-06 00:00:00 UTC,,,,,,
2011-09-07 00:00:00 UTC,,,,,,20.08917
2011-09-08 00:00:00 UTC,,,,,,
2011-09-09 00:00:00 UTC,,,,,,
2011-09-10 00:00:00 UTC,,,,,,
2011-09-11 00:00:00 UTC,,,,,,
2011-09-12 00:00:00 UTC,,,,,,
2011-09-13 00:00:00 UTC,,,,,,19.1
2011-09-14 00:00:00 UTC,,,,,,
2011-09-15 00:00:00 UTC,,,,,,
2011-09-16 00:00:00 UTC,,,,,,
2011-09-17 00:00:00 UTC,,,,,,
2011-09-18 00:00:00 UTC,,,,,,
2011-09-19 00:00:00 UTC,,,15.5,,,
2011-09-20 00:00:00 UTC,,,,,,
2011-09-21 00:00:00 UTC,,,,,,
2011-09-22 00:00:00 UTC,,,,,,
2011-09-23 00:00:00 UTC,,,,,,
2011-09-24 00:00:00 UTC,,,,,,
2011-09-25 00:00:00 UTC,,,,,,
2011-09-26 00:00:00 UTC,,,,,,
2011-09-27 00:00:00 UTC,,,,,,
2011-09-28 00:00:00 UTC,,,,,,
2011-09-29 00:00:00 UTC,,,,,,
2011-09-30 00:00:00 UTC,,,,,,
2011-10-01 00:00:00 UTC,,,,,,
2011-10-02 00:00:00 UTC,,,,,,
2011-10-03 00:00:00 UTC,,,,,,
2011-10-04 00:00:00 UTC,,,,,,
2011-10-05 00:00:00 UTC,,,,,,
2011-10-06 00:00:00 UTC,,,,,,
2011-10-07 00:00:00 UTC,,,,,,
2011-10-08 00:00:00 UTC,,,,,,
2011-10-09 00:00:00 UTC,,,,,,
2011-10-10 00:00:00 UTC,,,,,,
2011-10-11 00:00:00 UTC,,,,,,13.2238
2011-10-12 00:00:00 UTC,,,,,,
2011-10-13 00:00:00 UTC,,,,,,
2011-10-14 00:00:00 UTC,,,,,,
2011-10-15 00:00:00 UTC,,,,,,
2011-10-16 00:00:00 UTC,,,,,,
2011-10-17 00:00:00 UTC,,,,,,
