"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","1.5439","1.5561","1.5580","1.5399","","-0.80%"
"2025- 07- 31","1.5563","1.5544","1.5568","1.5438","","0.12%"
"2025- 07- 30","1.5545","1.5354","1.5563","1.5316","","1.19%"
"2025- 07- 29","1.5362","1.5340","1.5396","1.5312","","0.18%"
"2025- 07- 28","1.5335","1.5230","1.5356","1.5181","","0.77%"
"2025- 07- 27","1.5218","1.5212","1.5222","1.5208","","-0.07%"
"2025- 07- 25","1.5229","1.5174","1.5265","1.5153","","0.36%"
"2025- 07- 24","1.5175","1.5153","1.5185","1.5093","","0.18%"
"2025- 07- 23","1.5148","1.5258","1.5277","1.5143","","-0.71%"
"2025- 07- 22","1.5257","1.5319","1.5377","1.5246","","-0.45%"
"2025- 07- 21","1.5326","1.5333","1.5391","1.5295","","-0.23%"
"2025- 07- 18","1.5361","1.5412","1.5426","1.5286","","-0.33%"
"2025- 07- 17","1.5412","1.5315","1.5495","1.5305","","0.61%"
"2025- 07- 16","1.5318","1.5354","1.5398","1.5256","","-0.21%"
"2025- 07- 15","1.5350","1.5266","1.5368","1.5204","","0.46%"
"2025- 07- 14","1.5279","1.5213","1.5286","1.5178","","0.53%"
"2025- 07- 11","1.5198","1.5181","1.5255","1.5160","","0.12%"
"2025- 07- 10","1.5180","1.5307","1.5313","1.5170","","-0.79%"
"2025- 07- 09","1.5301","1.5313","1.5364","1.5269","","-0.08%"
"2025- 07- 08","1.5313","1.5404","1.5408","1.5248","","-0.60%"
"2025- 07- 07","1.5406","1.5255","1.5421","1.5231","","0.96%"
"2025- 07- 04","1.5260","1.5214","1.5279","1.5197","","0.28%"
"2025- 07- 03","1.5217","1.5192","1.5299","1.5178","","0.18%"
"2025- 07- 02","1.5189","1.5191","1.5284","1.5176","","-0.01%"
"2025- 07- 01","1.5191","1.5204","1.5261","1.5172","","-0.03%"
"2025- 06- 30","1.5196","1.5322","1.5334","1.5190","","-0.76%"
"2025- 06- 27","1.5313","1.5278","1.5366","1.5239","","0.24%"
"2025- 06- 26","1.5276","1.5359","1.5374","1.5233","","-0.51%"
"2025- 06- 25","1.5354","1.5413","1.5423","1.5347","","-0.37%"
"2025- 06- 24","1.5411","1.5482","1.5491","1.5337","","-0.45%"
"2025- 06- 23","1.5481","1.5534","1.5695","1.5469","","-0.14%"
"2025- 06- 20","1.5503","1.5427","1.5509","1.5393","","0.48%"
"2025- 06- 19","1.5429","1.5364","1.5516","1.5354","","0.41%"
"2025- 06- 18","1.5366","1.5444","1.5462","1.5296","","-0.51%"
"2025- 06- 17","1.5444","1.5328","1.5467","1.5279","","0.75%"
"2025- 06- 16","1.5329","1.5405","1.5465","1.5261","","-0.54%"
"2025- 06- 13","1.5413","1.5307","1.5491","1.5303","","0.70%"
"2025- 06- 12","1.5306","1.5368","1.5441","1.5303","","-0.50%"
"2025- 06- 11","1.5383","1.5331","1.5397","1.5275","","0.33%"
"2025- 06- 10","1.5333","1.5345","1.5410","1.5303","","-0.08%"
"2025- 06- 09","1.5345","1.5404","1.5412","1.5303","","-0.37%"
"2025- 06- 06","1.5402","1.5359","1.5436","1.5342","","0.20%"
"2025- 06- 05","1.5371","1.5404","1.5422","1.5293","","-0.21%"
"2025- 06- 04","1.5404","1.5475","1.5505","1.5371","","-0.46%"
"2025- 06- 03","1.5475","1.5397","1.5513","1.5383","","0.53%"
"2025- 06- 02","1.5394","1.5542","1.5560","1.5381","","-1.00%"
"2025- 05- 30","1.5549","1.5528","1.5609","1.5496","","0.16%"
"2025- 05- 29","1.5524","1.5560","1.5609","1.5478","","-0.23%"
"2025- 05- 28","1.5560","1.5521","1.5602","1.5492","","0.26%"
"2025- 05- 27","1.5519","1.5421","1.5543","1.5393","","0.65%"
