"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","0.8040","0.8123","0.8173","0.8025","","-1.03%"
"2025- 07- 31","0.8124","0.8148","0.8154","0.8111","","-0.29%"
"2025- 07- 30","0.8148","0.8059","0.8152","0.8037","","1.10%"
"2025- 07- 29","0.8059","0.8036","0.8081","0.8024","","0.29%"
"2025- 07- 28","0.8036","0.7959","0.8039","0.7944","","1.02%"
"2025- 07- 27","0.7955","0.7959","0.7976","0.7948","","0.08%"
"2025- 07- 25","0.7949","0.7959","0.7981","0.7945","","-0.09%"
"2025- 07- 24","0.7956","0.7927","0.7962","0.7915","","0.40%"
"2025- 07- 23","0.7924","0.7926","0.7951","0.7910","","-0.01%"
"2025- 07- 22","0.7925","0.7979","0.7993","0.7919","","-0.69%"
"2025- 07- 21","0.7980","0.8002","0.8024","0.7965","","-0.44%"
"2025- 07- 18","0.8015","0.8046","0.8050","0.7984","","-0.39%"
"2025- 07- 17","0.8046","0.8007","0.8065","0.8002","","0.51%"
"2025- 07- 16","0.8005","0.8015","0.8063","0.7947","","-0.15%"
"2025- 07- 15","0.8017","0.7984","0.8026","0.7952","","0.49%"
"2025- 07- 14","0.7978","0.7972","0.7986","0.7954","","0.15%"
"2025- 07- 11","0.7966","0.7973","0.7984","0.7953","","-0.06%"
"2025- 07- 10","0.7971","0.7945","0.7989","0.7918","","0.35%"
"2025- 07- 09","0.7943","0.7958","0.7981","0.7938","","-0.24%"
"2025- 07- 08","0.7962","0.7986","0.7996","0.7953","","-0.30%"
"2025- 07- 07","0.7986","0.7948","0.7992","0.7935","","0.57%"
"2025- 07- 04","0.7941","0.7952","0.7958","0.7920","","-0.14%"
"2025- 07- 03","0.7952","0.7919","0.7988","0.7898","","0.40%"
"2025- 07- 02","0.7920","0.7913","0.7943","0.7903","","0.11%"
"2025- 07- 01","0.7911","0.7931","0.7945","0.7871","","-0.25%"
"2025- 06- 30","0.7931","0.7999","0.8002","0.7929","","-0.75%"
"2025- 06- 27","0.7991","0.8000","0.8020","0.7957","","-0.15%"
"2025- 06- 26","0.8003","0.8050","0.8056","0.7978","","-0.56%"
"2025- 06- 25","0.8048","0.8056","0.8083","0.8038","","-0.10%"
"2025- 06- 24","0.8056","0.8127","0.8139","0.8035","","-0.87%"
"2025- 06- 23","0.8127","0.8184","0.8197","0.8115","","-0.60%"
"2025- 06- 20","0.8176","0.8169","0.8186","0.8151","","0.11%"
"2025- 06- 19","0.8167","0.8181","0.8217","0.8155","","-0.27%"
"2025- 06- 18","0.8189","0.8166","0.8201","0.8152","","0.29%"
"2025- 06- 17","0.8165","0.8141","0.8173","0.8119","","0.29%"
"2025- 06- 16","0.8141","0.8116","0.8148","0.8087","","0.35%"
"2025- 06- 13","0.8113","0.8105","0.8150","0.8056","","0.12%"
"2025- 06- 12","0.8103","0.8208","0.8212","0.8100","","-1.22%"
"2025- 06- 11","0.8203","0.8227","0.8237","0.8184","","-0.29%"
"2025- 06- 10","0.8227","0.8221","0.8243","0.8203","","0.10%"
"2025- 06- 09","0.8219","0.8224","0.8230","0.8192","","0.02%"
"2025- 06- 06","0.8217","0.8197","0.8250","0.8189","","0.23%"
"2025- 06- 05","0.8198","0.8183","0.8216","0.8171","","0.17%"
"2025- 06- 04","0.8184","0.8240","0.8252","0.8170","","-0.67%"
"2025- 06- 03","0.8239","0.8174","0.8249","0.8157","","0.83%"
"2025- 06- 02","0.8171","0.8236","0.8244","0.8156","","-0.67%"
"2025- 05- 30","0.8226","0.8229","0.8251","0.8198","","-0.05%"
"2025- 05- 29","0.8230","0.8273","0.8352","0.8218","","-0.54%"
"2025- 05- 28","0.8275","0.8268","0.8294","0.8244","","0.04%"
"2025- 05- 27","0.8272","0.8212","0.8281","0.8186","","0.74%"
"2025- 05- 26","0.8211","0.8213","0.8235","0.8192","","-0.04%"
"2025- 05- 23","0.8214","0.8287","0.8297","0.8204","","-0.93%"
"2025- 05- 22","0.8291","0.8248","0.8308","0.8233","","0.44%"
"2025- 05- 21","0.8255","0.8283","0.8290","0.8208","","-0.35%"
"2025- 05- 20","0.8284","0.8342","0.8365","0.8281","","-0.75%"
"2025- 05- 19","0.8347","0.8376","0.8383","0.8318","","-0.38%"
"2025- 05- 16","0.8379","0.8359","0.8402","0.8326","","0.24%"
"2025- 05- 15","0.8359","0.8425","0.8425","0.8345","","-0.74%"
"2025- 05- 14","0.8421","0.8399","0.8437","0.8324","","0.31%"
"2025- 05- 13","0.8395","0.8453","0.8463","0.8386","","-0.73%"
"2025- 05- 12","0.8457","0.8328","0.8477","0.8311","","1.71%"
"2025- 05- 09","0.8315","0.8322","0.8344","0.8269","","-0.08%"
"2025- 05- 08","0.8322","0.8239","0.8334","0.8223","","1.02%"
