"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","16,490.0","16,512.5","16,515.0","16,476.5","","0.21%"
"2025- 07- 31","16,455.0","16,437.5","16,466.0","16,430.0","","0.40%"
"2025- 07- 30","16,390.0","16,362.5","16,400.5","16,360.0","","-0.03%"
"2025- 07- 29","16,394.5","16,375.0","16,411.5","16,372.5","","0.33%"
"2025- 07- 28","16,340.0","16,325.0","16,355.0","16,320.0","","0.22%"
"2025- 07- 27","16,303.5","16,287.0","16,360.0","16,303.5","","-0.07%"
"2025- 07- 25","16,315.0","16,327.5","16,336.0","16,310.0","","0.18%"
"2025- 07- 24","16,285.0","16,270.0","16,295.5","16,257.5","","-0.03%"
"2025- 07- 23","16,290.0","16,275.0","16,306.5","16,267.5","","-0.12%"
"2025- 07- 22","16,310.0","16,312.5","16,320.0","16,288.5","","0.00%"
"2025- 07- 21","16,310.0","16,315.0","16,339.0","16,305.0","","0.12%"
"2025- 07- 18","16,290.0","16,325.0","16,325.0","16,287.0","","-0.24%"
"2025- 07- 17","16,330.0","16,290.0","16,342.5","16,285.0","","0.37%"
"2025- 07- 16","16,270.0","16,265.0","16,297.5","16,247.5","","0.06%"
"2025- 07- 15","16,260.0","16,267.5","16,296.0","16,255.0","","0.09%"
"2025- 07- 14","16,245.0","16,225.0","16,262.0","16,220.0","","0.22%"
"2025- 07- 11","16,210.0","16,227.5","16,235.0","16,209.0","","-0.06%"
"2025- 07- 10","16,220.0","16,245.0","16,245.0","16,205.0","","-0.14%"
"2025- 07- 09","16,242.5","16,250.0","16,265.0","16,235.0","","0.23%"
"2025- 07- 08","16,205.0","16,270.0","16,277.5","16,205.0","","-0.15%"
"2025- 07- 07","16,230.0","16,210.0","16,244.0","16,207.5","","0.28%"
"2025- 07- 04","16,185.0","16,222.5","16,237.5","16,175.0","","-0.03%"
"2025- 07- 03","16,190.0","16,205.0","16,225.0","16,187.5","","-0.31%"
"2025- 07- 02","16,240.0","16,202.5","16,248.5","16,200.0","","0.31%"
"2025- 07- 01","16,190.0","16,170.0","16,214.0","16,162.5","","-0.28%"
"2025- 06- 30","16,235.0","16,212.5","16,257.5","16,190.0","","0.19%"
"2025- 06- 27","16,204.0","16,204.0","16,204.0","16,204.0","","0.00%"
"2025- 06- 26","16,204.0","16,295.0","16,295.0","16,192.5","","-0.53%"
"2025- 06- 25","16,290.0","16,272.5","16,302.5","16,255.0","","-0.37%"
"2025- 06- 24","16,350.0","16,375.0","16,397.5","16,340.0","","-0.82%"
"2025- 06- 23","16,485.0","16,355.0","16,497.5","16,355.0","","0.61%"
"2025- 06- 20","16,385.0","16,372.5","16,412.5","16,362.5","","-0.06%"
"2025- 06- 19","16,395.0","16,350.0","16,412.5","16,342.0","","0.58%"
"2025- 06- 18","16,300.0","16,310.0","16,330.0","16,295.0","","0.12%"
"2025- 06- 17","16,280.0","16,297.5","16,307.5","16,259.5","","0.09%"
"2025- 06- 16","16,265.0","16,307.5","16,317.5","16,264.5","","-0.18%"
"2025- 06- 13","16,295.0","16,265.0","16,312.5","16,257.5","","0.37%"
"2025- 06- 12","16,235.0","16,245.0","16,257.5","16,215.0","","-0.12%"
"2025- 06- 11","16,255.0","16,270.0","16,272.5","16,254.5","","-0.09%"
"2025- 06- 10","16,270.0","16,270.0","16,290.0","16,259.5","","-0.03%"
"2025- 06- 09","16,275.0","16,275.0","16,275.0","16,275.0","","0.00%"
"2025- 06- 06","16,275.0","16,275.0","16,275.0","16,275.0","","0.00%"
"2025- 06- 05","16,275.0","16,275.0","16,292.5","16,257.5","","-0.09%"
"2025- 06- 04","16,290.0","16,302.5","16,317.5","16,287.0","","0.03%"
"2025- 06- 03","16,285.0","16,275.0","16,312.5","16,257.0","","0.25%"
"2025- 06- 02","16,245.0","16,320.0","16,337.5","16,245.0","","-0.28%"
"2025- 05- 30","16,290.0","16,290.0","16,290.0","16,290.0","","0.00%"
"2025- 05- 29","16,290.0","16,290.0","16,290.0","16,290.0","","0.00%"
"2025- 05- 28","16,290.0","16,287.5","16,312.5","16,275.0","","0.11%"
"2025- 05- 27","16,272.5","16,245.0","16,281.0","16,225.0","","0.20%"
"2025- 05- 26","16,240.0","16,185.0","16,245.0","16,155.0","","0.14%"
"2025- 05- 23","16,217.5","16,320.0","16,330.5","16,215.0","","-0.69%"
"2025- 05- 22","16,330.0","16,332.5","16,342.5","16,285.0","","-0.40%"
"2025- 05- 21","16,395.0","16,412.5","16,425.0","16,357.5","","-0.12%"
"2025- 05- 20","16,415.0","16,420.0","16,429.0","16,380.0","","-0.09%"
"2025- 05- 19","16,430.0","16,465.0","16,480.0","16,425.0","","-0.06%"
"2025- 05- 16","16,440.0","16,470.0","16,495.0","16,392.5","","-0.45%"
"2025- 05- 15","16,515.0","16,555.0","16,572.5","16,502.5","","-0.21%"
"2025- 05- 14","16,550.0","16,560.0","16,592.5","16,536.5","","0.21%"
"2025- 05- 13","16,515.0","16,515.0","16,515.0","16,515.0","","0.00%"
"2025- 05- 12","16,515.0","16,515.0","16,515.0","16,515.0","","0.00%"
"2025- 05- 09","16,515.0","16,537.5","16,565.0","16,500.0","","0.13%"
"2025- 05- 08","16,494.0","16,550.0","16,577.5","16,432.5","","-0.25%"
"2025- 05- 07","16,535.0","16,470.0","16,545.0","16,465.0","","0.52%"
"2025- 05- 06","16,450.0","16,465.0","16,492.5","16,435.0","","0.09%"
"2025- 05- 05","16,435.0","16,410.0","16,460.0","16,375.0","","0.00%"
"2025- 05- 02","16,435.0","16,615.0","16,615.0","16,424.5","","-0.99%"
"2025- 05- 01","16,600.0","16,600.0","16,600.0","16,600.0","","0.00%"
"2025- 04- 30","16,600.0","16,715.0","16,742.5","16,597.5","","-0.95%"
"2025- 04- 29","16,760.0","16,810.0","16,815.0","16,759.5","","-0.56%"
"2025- 04- 28","16,855.0","16,835.0","16,867.0","16,830.0","","0.15%"
"2025- 04- 25","16,830.0","16,825.0","16,842.5","16,807.5","","-0.24%"
"2025- 04- 24","16,870.0","16,867.5","16,887.5","16,862.5","","0.03%"
"2025- 04- 23","16,865.0","16,870.0","16,887.5","16,855.0","","0.06%"
"2025- 04- 22","16,855.0","16,835.0","16,867.5","16,835.0","","0.33%"
"2025- 04- 21","16,800.0","16,825.0","16,837.5","16,795.0","","-0.12%"
"2025- 04- 18","16,820.0","16,820.0","16,820.0","16,820.0","","0.00%"
"2025- 04- 17","16,820.0","16,830.0","16,845.0","16,802.5","","0.00%"
"2025- 04- 16","16,820.0","16,815.0","16,855.0","16,815.0","","0.06%"
"2025- 04- 15","16,810.0","16,782.5","16,825.0","16,770.0","","0.24%"
"2025- 04- 14","16,770.0","16,787.5","16,793.5","16,750.0","","-0.12%"
"2025- 04- 11","16,790.0","16,797.5","16,820.0","16,765.0","","-0.03%"
"2025- 04- 10","16,795.0","16,815.0","16,815.0","16,727.5","","-0.39%"
"2025- 04- 09","16,860.0","16,925.0","16,972.5","16,862.5","","0.00%"
"2025- 04- 08","16,860.0","16,852.5","16,874.0","16,825.0","","1.84%"
"2025- 04- 07","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 04- 04","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 04- 03","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 04- 02","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 04- 01","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 03- 31","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 03- 28","16,555.0","16,555.0","16,555.0","16,555.0","","0.00%"
"2025- 03- 27","16,555.0","16,610.0","16,615.0","16,541.5","","-0.12%"
"2025- 03- 26","16,575.0","16,605.0","16,615.0","16,560.0","","-0.09%"
"2025- 03- 25","16,590.0","16,597.5","16,645.0","16,587.5","","0.24%"
"2025- 03- 24","16,550.0","16,495.0","16,570.0","16,495.0","","0.33%"
"2025- 03- 21","16,495.0","16,497.5","16,516.5","16,475.0","","0.15%"
