"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","57.720","58.343","58.582","57.706","","-0.88%"
"2025- 07- 31","58.232","57.833","58.426","57.775","","0.67%"
"2025- 07- 30","57.845","57.247","57.933","57.141","","0.92%"
"2025- 07- 29","57.315","57.153","57.471","57.153","","0.26%"
"2025- 07- 28","57.164","57.141","57.232","57.002","","0.01%"
"2025- 07- 25","57.158","56.778","57.195","56.778","","0.68%"
"2025- 07- 24","56.770","56.760","56.871","56.592","","-0.04%"
"2025- 07- 23","56.791","56.888","57.010","56.791","","-0.29%"
"2025- 07- 22","56.955","57.070","57.076","56.903","","-0.17%"
"2025- 07- 21","57.050","57.158","57.243","56.975","","0.07%"
"2025- 07- 18","57.010","57.239","57.299","57.001","","-0.35%"
"2025- 07- 17","57.210","57.059","57.334","56.963","","0.39%"
"2025- 07- 16","56.990","56.775","57.160","56.775","","0.38%"
"2025- 07- 15","56.775","56.694","56.849","56.618","","0.14%"
"2025- 07- 14","56.694","56.496","56.737","56.454","","0.32%"
"2025- 07- 11","56.515","56.482","56.546","56.427","","0.04%"
"2025- 07- 10","56.490","56.549","56.639","56.388","","-0.23%"
"2025- 07- 09","56.622","56.522","56.683","56.445","","0.11%"
"2025- 07- 08","56.562","56.591","56.688","56.365","","-0.03%"
"2025- 07- 07","56.580","56.447","56.775","56.401","","0.26%"
"2025- 07- 04","56.434","56.281","56.658","56.221","","0.14%"
"2025- 07- 03","56.355","56.408","56.478","56.221","","0.01%"
"2025- 07- 02","56.348","56.323","56.415","56.266","","0.07%"
"2025- 07- 01","56.310","56.295","56.383","56.156","","0.02%"
"2025- 06- 30","56.301","56.549","56.589","56.255","","-0.49%"
"2025- 06- 27","56.577","56.620","56.699","56.485","","-0.05%"
"2025- 06- 26","56.606","56.740","56.740","56.566","","-0.16%"
"2025- 06- 25","56.698","56.758","56.852","56.660","","-0.87%"
"2025- 06- 24","57.195","57.139","57.200","56.846","","-0.73%"
"2025- 06- 23","57.615","57.161","57.646","57.133","","0.75%"
"2025- 06- 20","57.187","57.264","57.344","57.100","","-0.14%"
"2025- 06- 19","57.270","57.121","57.457","57.096","","0.31%"
"2025- 06- 18","57.095","56.682","57.252","56.661","","1.39%"
"2025- 06- 17","56.313","56.521","56.700","56.302","","-0.06%"
"2025- 06- 16","56.346","56.221","56.453","56.153","","0.17%"
"2025- 06- 13","56.250","55.826","56.293","55.786","","0.92%"
"2025- 06- 12","55.738","55.790","55.895","55.649","","-0.09%"
"2025- 06- 11","55.790","55.731","55.906","55.731","","0.00%"
"2025- 06- 10","55.790","55.790","55.854","55.700","","0.00%"
"2025- 06- 09","55.790","55.701","55.882","55.701","","-0.09%"
"2025- 06- 06","55.843","55.640","55.898","55.551","","0.27%"
"2025- 06- 05","55.690","55.725","55.780","55.503","","-0.14%"
"2025- 06- 04","55.769","55.675","55.899","55.632","","0.12%"
"2025- 06- 03","55.700","55.665","55.795","55.588","","0.08%"
"2025- 06- 02","55.658","55.810","55.923","55.564","","-0.31%"
"2025- 05- 30","55.831","55.647","55.873","55.531","","0.24%"
"2025- 05- 29","55.700","55.627","55.873","55.557","","0.35%"
"2025- 05- 28","55.508","55.549","55.674","55.392","","-0.05%"
