"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","3.6862","3.7462","3.7584","3.6804","","-1.60%"
"2025- 07- 31","3.7462","3.7473","3.7522","3.7226","","-0.03%"
"2025- 07- 30","3.7473","3.7051","3.7494","3.6938","","1.16%"
"2025- 07- 29","3.7045","3.6774","3.7208","3.6718","","0.73%"
"2025- 07- 28","3.6775","3.6133","3.6824","3.6085","","1.79%"
"2025- 07- 27","3.6127","3.6095","3.6145","3.6089","","-0.12%"
"2025- 07- 25","3.6169","3.6231","3.6349","3.6152","","-0.17%"
"2025- 07- 24","3.6230","3.6106","3.6291","3.6068","","0.35%"
"2025- 07- 23","3.6105","3.6171","3.6337","3.6083","","-0.19%"
"2025- 07- 22","3.6172","3.6292","3.6447","3.6152","","-0.32%"
"2025- 07- 21","3.6289","3.6532","3.6572","3.6213","","-0.64%"
"2025- 07- 18","3.6522","3.6714","3.6749","3.6411","","-0.52%"
"2025- 07- 17","3.6714","3.6522","3.6814","3.6510","","0.52%"
"2025- 07- 16","3.6524","3.6770","3.6856","3.6336","","-0.66%"
"2025- 07- 15","3.6768","3.6471","3.6805","3.6356","","0.81%"
"2025- 07- 14","3.6471","3.6481","3.6653","3.6363","","-0.05%"
"2025- 07- 11","3.6491","3.6344","3.6556","3.6294","","0.41%"
"2025- 07- 10","3.6343","3.6199","3.6483","3.6106","","0.40%"
"2025- 07- 09","3.6198","3.6204","3.6310","3.6160","","-0.02%"
"2025- 07- 08","3.6205","3.6301","3.6355","3.6047","","-0.26%"
"2025- 07- 07","3.6301","3.6022","3.6416","3.5969","","0.76%"
"2025- 07- 04","3.6026","3.6084","3.6141","3.5970","","-0.16%"
"2025- 07- 03","3.6085","3.6148","3.6294","3.5998","","-0.17%"
"2025- 07- 02","3.6148","3.6006","3.6323","3.5961","","0.39%"
"2025- 07- 01","3.6007","3.6023","3.6200","3.5841","","-0.04%"
"2025- 06- 30","3.6022","3.6206","3.6241","3.5999","","-0.52%"
"2025- 06- 27","3.6212","3.6252","3.6340","3.6082","","-0.11%"
"2025- 06- 26","3.6252","3.6446","3.6498","3.6117","","-0.54%"
"2025- 06- 25","3.6447","3.6632","3.6697","3.6425","","-0.51%"
"2025- 06- 24","3.6632","3.6910","3.6941","3.6518","","-0.75%"
"2025- 06- 23","3.6909","3.7159","3.7375","3.6886","","-0.35%"
"2025- 06- 20","3.7040","3.7179","3.7219","3.6961","","-0.37%"
"2025- 06- 19","3.7179","3.7237","3.7393","3.7156","","-0.16%"
"2025- 06- 18","3.7238","3.7246","3.7313","3.7062","","-0.02%"
"2025- 06- 17","3.7246","3.6958","3.7292","3.6888","","0.78%"
"2025- 06- 16","3.6958","3.6998","3.7074","3.6742","","-0.05%"
"2025- 06- 13","3.6977","3.6830","3.7241","3.6702","","0.40%"
"2025- 06- 12","3.6831","3.7032","3.7097","3.6700","","-0.54%"
"2025- 06- 11","3.7031","3.7261","3.7383","3.6934","","-0.60%"
"2025- 06- 10","3.7256","3.7397","3.7574","3.7151","","-0.38%"
"2025- 06- 09","3.7398","3.7625","3.7671","3.7334","","-0.57%"
"2025- 06- 06","3.7612","3.7423","3.7727","3.7344","","0.51%"
"2025- 06- 05","3.7421","3.7457","3.7560","3.7231","","-0.10%"
"2025- 06- 04","3.7459","3.7619","3.7715","3.7396","","-0.42%"
"2025- 06- 03","3.7616","3.7174","3.7663","3.7131","","1.17%"
"2025- 06- 02","3.7181","3.7432","3.7623","3.7121","","-0.74%"
"2025- 05- 30","3.7460","3.7324","3.7590","3.7231","","0.36%"
"2025- 05- 29","3.7325","3.7525","3.7810","3.7254","","-0.53%"
"2025- 05- 28","3.7525","3.7503","3.7663","3.7413","","0.06%"
"2025- 05- 27","3.7501","3.7261","3.7532","3.7185","","0.67%"
"2025- 05- 26","3.7252","3.7456","3.7488","3.7230","","-0.57%"
"2025- 05- 23","3.7467","3.7690","3.7735","3.7390","","-0.58%"
"2025- 05- 22","3.7686","3.7450","3.7815","3.7382","","0.63%"
"2025- 05- 21","3.7450","3.7565","3.7671","3.7336","","-0.30%"
"2025- 05- 20","3.7561","3.7814","3.7915","3.7541","","-0.66%"
"2025- 05- 19","3.7811","3.8293","3.8385","3.7721","","-1.12%"
"2025- 05- 16","3.8241","3.7958","3.8361","3.7812","","0.75%"
"2025- 05- 15","3.7958","3.7869","3.8081","3.7692","","0.24%"
"2025- 05- 14","3.7867","3.7877","3.7981","3.7683","","-0.02%"
"2025- 05- 13","3.7876","3.8271","3.8331","3.7818","","-1.02%"
"2025- 05- 12","3.8268","3.7644","3.8366","3.7608","","1.73%"
"2025- 05- 09","3.7617","3.7852","3.7967","3.7512","","-0.62%"
"2025- 05- 08","3.7852","3.7789","3.7945","3.7621","","0.17%"
"2025- 05- 07","3.7789","3.7589","3.7864","3.7530","","0.53%"
"2025- 05- 06","3.7589","3.7690","3.7914","3.7534","","-0.27%"
"2025- 05- 05","3.7690","3.7810","3.7884","3.7516","","-0.43%"
"2025- 05- 02","3.7852","3.7939","3.8057","3.7544","","-0.23%"
"2025- 05- 01","3.7938","3.7779","3.8038","3.7704","","0.42%"
"2025- 04- 30","3.7779","3.7479","3.7871","3.7441","","0.80%"
"2025- 04- 29","3.7479","3.7359","3.7575","3.7329","","0.32%"
"2025- 04- 28","3.7361","3.7593","3.7759","3.7309","","-0.61%"
"2025- 04- 25","3.7591","3.7510","3.7810","3.7467","","0.21%"
"2025- 04- 24","3.7511","3.7837","3.7885","3.7465","","-0.86%"
"2025- 04- 23","3.7837","3.7525","3.7915","3.7484","","0.82%"
"2025- 04- 22","3.7529","3.7082","3.7555","3.6965","","1.20%"
"2025- 04- 21","3.7083","3.7583","3.7596","3.7006","","-1.33%"
"2025- 04- 18","3.7583","3.7627","3.7731","3.7466","","-0.12%"
"2025- 04- 17","3.7628","3.7543","3.7808","3.7497","","0.23%"
"2025- 04- 16","3.7542","3.8063","3.8090","3.7505","","-1.37%"
"2025- 04- 15","3.8063","3.7723","3.8126","3.7621","","0.90%"
"2025- 04- 14","3.7724","3.7908","3.7926","3.7458","","-0.03%"
"2025- 04- 11","3.7737","3.8027","3.8113","3.7443","","-0.74%"
"2025- 04- 10","3.8019","3.8695","3.8863","3.7877","","-1.77%"
"2025- 04- 09","3.8703","3.9077","3.9138","3.8550","","-0.96%"
"2025- 04- 08","3.9077","3.9342","3.9410","3.8912","","-0.72%"
"2025- 04- 07","3.9361","3.8906","3.9451","3.8750","","1.17%"
"2025- 04- 04","3.8906","3.8234","3.9122","3.8054","","1.76%"
"2025- 04- 03","3.8233","3.8427","3.8700","3.7594","","-0.47%"
"2025- 04- 02","3.8412","3.8785","3.8857","3.8182","","-0.97%"
"2025- 04- 01","3.8788","3.8735","3.8887","3.8620","","0.23%"
"2025- 03- 31","3.8698","3.8605","3.8859","3.8491","","0.34%"
"2025- 03- 28","3.8566","3.8729","3.8874","3.8536","","-0.34%"
"2025- 03- 27","3.8697","3.8920","3.9013","3.8677","","-0.51%"
"2025- 03- 26","3.8895","3.8603","3.9026","3.8530","","0.83%"
"2025- 03- 25","3.8573","3.8670","3.8743","3.8432","","-0.19%"
"2025- 03- 24","3.8648","3.8785","3.8819","3.8516","","-0.18%"
"2025- 03- 21","3.8716","3.8658","3.8895","3.8570","","0.21%"
"2025- 03- 20","3.8636","3.8373","3.8888","3.8276","","0.74%"
"2025- 03- 19","3.8352","3.8222","3.8641","3.8168","","0.44%"
"2025- 03- 18","3.8184","3.8341","3.8458","3.8132","","-0.34%"
"2025- 03- 17","3.8316","3.8423","3.8534","3.8275","","-0.12%"
"2025- 03- 14","3.8362","3.8556","3.8683","3.8205","","-0.38%"
"2025- 03- 13","3.8507","3.8499","3.8819","3.8427","","0.13%"
"2025- 03- 12","3.8458","3.8466","3.8634","3.8359","","0.04%"
"2025- 03- 11","3.8443","3.8771","3.8791","3.8302","","-0.78%"
"2025- 03- 10","3.8747","3.8519","3.8875","3.8341","","0.76%"
"2025- 03- 07","3.8454","3.8720","3.8786","3.8224","","-0.62%"
"2025- 03- 06","3.8694","3.8512","3.8795","3.8373","","0.53%"
"2025- 03- 05","3.8490","3.9203","3.9369","3.8466","","-1.76%"
"2025- 03- 04","3.9180","3.9655","3.9797","3.9176","","-1.15%"
"2025- 03- 03","3.9634","4.0444","4.0444","3.9595","","-1.80%"
"2025- 02- 28","4.0362","4.0043","4.0539","3.9812","","0.85%"
"2025- 02- 27","4.0023","3.9474","4.0092","3.9380","","1.43%"
"2025- 02- 26","3.9457","3.9396","3.9577","3.9275","","0.25%"
"2025- 02- 25","3.9358","3.9585","3.9651","3.9361","","-0.50%"
"2025- 02- 24","3.9556","3.9776","3.9808","3.9471","","-0.40%"
"2025- 02- 21","3.9716","3.9627","3.9865","3.9592","","0.28%"
"2025- 02- 20","3.9604","4.0065","4.0131","3.9603","","-1.10%"
"2025- 02- 19","4.0045","3.9718","4.0216","3.9653","","0.88%"
"2025- 02- 18","3.9697","3.9664","3.9895","3.9645","","0.15%"
"2025- 02- 17","3.9639","3.9715","3.9818","3.9615","","-0.02%"
"2025- 02- 14","3.9646","3.9841","3.9960","3.9558","","-0.43%"
"2025- 02- 13","3.9816","4.0096","4.0284","3.9811","","-0.63%"
"2025- 02- 12","4.0068","4.0274","4.0497","3.9892","","-0.46%"
"2025- 02- 11","4.0255","4.0584","4.0728","4.0188","","-0.77%"
"2025- 02- 10","4.0568","4.0617","4.0728","4.0407","","0.05%"
"2025- 02- 07","4.0547","4.0348","4.0723","4.0265","","0.57%"
"2025- 02- 06","4.0319","4.0379","4.0648","4.0302","","-0.10%"
"2025- 02- 05","4.0358","4.0571","4.0626","4.0246","","-0.48%"
"2025- 02- 04","4.0552","4.0865","4.1253","4.0517","","-0.71%"
"2025- 02- 03","4.0841","4.0661","4.1421","4.0644","","0.62%"
"2025- 01- 31","4.0590","4.0446","4.0771","4.0374","","0.39%"
"2025- 01- 30","4.0431","4.0335","4.0512","4.0146","","0.30%"
"2025- 01- 29","4.0311","4.0283","4.0626","4.0200","","0.11%"
"2025- 01- 28","4.0265","4.0155","4.0472","4.0135","","0.30%"
"2025- 01- 27","4.0145","4.0154","4.0391","4.0054","","0.04%"
"2025- 01- 24","4.0129","4.0466","4.0519","4.0024","","-0.78%"
"2025- 01- 23","4.0446","4.0577","4.0694","4.0330","","-0.28%"
"2025- 01- 22","4.0559","4.0750","4.0916","4.0479","","-0.35%"
"2025- 01- 21","4.0702","4.0825","4.1173","4.0718","","-0.23%"
"2025- 01- 20","4.0795","4.1494","4.1516","4.0725","","-1.60%"
"2025- 01- 17","4.1458","4.1393","4.1530","4.1209","","0.24%"
"2025- 01- 16","4.1359","4.1382","4.1611","4.1306","","-0.01%"
"2025- 01- 15","4.1364","4.1364","4.1503","4.1127","","0.09%"
"2025- 01- 14","4.1327","4.1686","4.1756","4.1342","","-0.78%"
"2025- 01- 13","4.1650","4.1636","4.1966","4.1598","","0.15%"
"2025- 01- 10","4.1588","4.1374","4.1826","4.1338","","0.54%"
"2025- 01- 09","4.1366","4.1425","4.1678","4.1347","","-0.11%"
"2025- 01- 08","4.1411","4.1221","4.1626","4.1150","","0.51%"
"2025- 01- 07","4.1202","4.0941","4.1242","4.0739","","0.68%"
"2025- 01- 06","4.0925","4.1428","4.1511","4.0708","","-1.10%"
"2025- 01- 03","4.1380","4.1624","4.1674","4.1389","","-0.55%"
"2025- 01- 02","4.1608","4.1309","4.1817","4.1143","","0.81%"
"2025- 01- 01","4.1272","4.1293","4.1334","4.1286","","-0.03%"
"2024- 12- 31","4.1284","4.1099","4.1380","4.0971","","0.51%"
"2024- 12- 30","4.1073","4.0963","4.1226","4.0761","","0.33%"
"2024- 12- 27","4.0937","4.0908","4.1094","4.0860","","0.22%"
"2024- 12- 26","4.0849","4.0992","4.1089","4.0855","","-0.09%"
"2024- 12- 25","4.0885","4.0992","4.0992","4.0992","","0.00%"
"2024- 12- 24","4.0885","4.0991","4.1168","4.0872","","-0.18%"
"2024- 12- 23","4.0960","4.0868","4.1181","4.0767","","0.38%"
"2024- 12- 20","4.0803","4.1082","4.1185","4.0778","","-0.62%"
"2024- 12- 19","4.1056","4.1224","4.1251","4.0816","","-0.34%"
"2024- 12- 18","4.1198","4.0703","4.1261","4.0522","","1.27%"
"2024- 12- 17","4.0682","4.0503","4.0766","4.0398","","0.51%"
"2024- 12- 16","4.0475","4.0598","4.0716","4.0441","","-0.18%"
"2024- 12- 13","4.0549","4.0839","4.0946","4.0513","","-0.61%"
"2024- 12- 12","4.0798","4.0696","4.0883","4.0545","","0.30%"
"2024- 12- 11","4.0674","4.0458","4.0750","4.0388","","0.62%"
"2024- 12- 10","4.0425","4.0351","4.0619","4.0272","","0.27%"
"2024- 12- 09","4.0315","4.0364","4.0571","4.0181","","-0.06%"
"2024- 12- 06","4.0339","4.0328","4.0481","4.0132","","0.08%"
"2024- 12- 05","4.0308","4.0713","4.0759","4.0231","","-0.93%"
"2024- 12- 04","4.0685","4.0869","4.0988","4.0574","","-0.32%"
"2024- 12- 03","4.0817","4.0806","4.0974","4.0725","","0.11%"
"2024- 12- 02","4.0774","4.0659","4.1013","4.0634","","0.37%"
"2024- 11- 29","4.0622","4.0804","4.0843","4.0553","","-0.34%"
"2024- 11- 28","4.0762","4.0725","4.0953","4.0690","","0.12%"
"2024- 11- 27","4.0714","4.1044","4.1182","4.0646","","-0.73%"
"2024- 11- 26","4.1014","4.1071","4.1429","4.0827","","-0.09%"
"2024- 11- 25","4.1052","4.1536","4.1553","4.0974","","-1.22%"
"2024- 11- 22","4.1558","4.1473","4.2027","4.1316","","0.25%"
"2024- 11- 21","4.1455","4.1118","4.1562","4.1054","","0.89%"
"2024- 11- 20","4.1091","4.0907","4.1300","4.0828","","0.53%"
"2024- 11- 19","4.0876","4.0694","4.1203","4.0678","","0.50%"
"2024- 11- 18","4.0671","4.0968","4.1174","4.0656","","-0.65%"
"2024- 11- 15","4.0936","4.1051","4.1146","4.0777","","-0.19%"
"2024- 11- 14","4.1012","4.1101","4.1406","4.0847","","-0.15%"
"2024- 11- 13","4.1074","4.0951","4.1192","4.0698","","0.33%"
"2024- 11- 12","4.0937","4.0944","4.1130","4.0883","","0.05%"
"2024- 11- 11","4.0915","4.0340","4.1030","4.0328","","1.51%"
"2024- 11- 08","4.0305","3.9920","4.0522","3.9891","","1.07%"
"2024- 11- 07","3.9878","4.0577","4.0669","3.9847","","-1.66%"
