"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 08- 01","41.8000","41.7450","41.8358","41.6655","","0.24%"
"2025- 07- 31","41.7000","41.7400","41.8002","41.6155","","0.00%"
"2025- 07- 30","41.7000","41.7250","41.8502","41.6591","","-0.24%"
"2025- 07- 29","41.8000","41.7400","41.8453","41.6755","","0.10%"
"2025- 07- 28","41.7600","41.7250","41.8442","41.6655","","-0.01%"
"2025- 07- 25","41.7635","41.7250","41.8320","41.6855","","0.00%"
"2025- 07- 24","41.7650","41.7950","41.8573","41.6805","","-0.07%"
"2025- 07- 23","41.7925","41.7500","41.8545","41.6730","","0.08%"
"2025- 07- 22","41.7600","41.7500","41.8429","41.6420","","0.00%"
"2025- 07- 21","41.7600","41.7725","41.8651","41.6575","","-0.01%"
"2025- 07- 18","41.7650","41.7800","41.8745","41.6750","","0.04%"
"2025- 07- 17","41.7500","41.8850","41.9570","41.6800","","-0.36%"
"2025- 07- 16","41.9000","41.8000","41.9253","41.7005","","0.20%"
"2025- 07- 15","41.8150","41.8100","41.9001","41.7050","","0.00%"
"2025- 07- 14","41.8150","41.7950","41.9204","41.6505","","0.06%"
"2025- 07- 11","41.7900","41.7000","41.8553","41.6305","","-0.13%"
"2025- 07- 10","41.8450","41.7000","41.8841","41.6580","","0.11%"
"2025- 07- 09","41.8000","41.8150","41.8585","41.7130","","0.00%"
"2025- 07- 08","41.8000","41.8000","41.9328","41.6250","","-0.12%"
"2025- 07- 07","41.8500","41.7250","41.8932","41.6300","","0.29%"
"2025- 07- 04","41.7300","41.7500","41.8416","41.6250","","-0.10%"
"2025- 07- 03","41.7700","41.7250","41.8404","41.6105","","0.05%"
"2025- 07- 02","41.7500","41.8500","41.9070","41.6355","","-0.24%"
"2025- 07- 01","41.8500","41.7650","41.8906","41.6700","","0.20%"
"2025- 06- 30","41.7650","41.7250","41.8328","41.2550","","0.10%"
"2025- 06- 27","41.7250","41.5800","41.7459","41.5100","","0.40%"
"2025- 06- 26","41.5600","41.6250","41.7451","41.5295","","-0.18%"
"2025- 06- 25","41.6333","41.7300","41.7888","41.5100","","-0.33%"
"2025- 06- 24","41.7700","41.9150","41.9410","41.6170","","-0.36%"
"2025- 06- 23","41.9200","41.9350","41.9620","41.8060","","-0.04%"
"2025- 06- 20","41.9350","41.8100","41.9628","41.6305","","0.22%"
"2025- 06- 19","41.8433","41.7000","41.8538","41.5665","","0.31%"
"2025- 06- 18","41.7136","41.5700","41.7301","41.4556","","0.35%"
"2025- 06- 17","41.5700","41.5450","41.6123","41.4225","","-0.07%"
"2025- 06- 16","41.6000","41.5100","41.6426","41.3550","","0.28%"
"2025- 06- 13","41.4850","41.3900","41.5430","41.3145","","0.27%"
"2025- 06- 12","41.3750","41.5500","41.6224","41.3350","","-0.37%"
"2025- 06- 11","41.5300","41.5500","41.6304","41.4475","","-0.02%"
"2025- 06- 10","41.5400","41.5500","41.6213","41.4230","","0.02%"
"2025- 06- 09","41.5300","41.4752","41.6010","41.4068","","0.25%"
"2025- 06- 06","41.4263","41.5000","41.5548","41.3650","","0.00%"
"2025- 06- 05","41.4253","41.5500","41.6227","41.4038","","-0.29%"
"2025- 06- 04","41.5475","41.5250","41.6695","41.4345","","-0.02%"
"2025- 06- 03","41.5550","41.6600","41.7425","41.4650","","-0.31%"
"2025- 06- 02","41.6855","41.5500","41.6906","41.4905","","0.28%"
"2025- 05- 30","41.5700","41.5250","41.6423","41.4382","","0.12%"
"2025- 05- 29","41.5210","41.6000","41.6804","41.4480","","-0.03%"
"2025- 05- 28","41.5340","41.6400","41.7295","41.4705","","-0.25%"
"2025- 05- 27","41.6400","41.6010","41.7280","41.4605","","-0.02%"
"2025- 05- 26","41.6500","41.5200","41.6695","41.4120","","0.31%"
"2025- 05- 23","41.5200","41.4750","41.6195","41.3980","","0.05%"
"2025- 05- 22","41.5010","41.4650","41.6230","41.3725","","0.08%"
"2025- 05- 21","41.4675","41.4700","41.5939","41.3630","","-0.10%"
"2025- 05- 20","41.5100","41.5000","41.6270","41.3650","","0.02%"
"2025- 05- 19","41.5000","41.5000","41.6603","41.2550","","-0.06%"
"2025- 05- 16","41.5250","41.5000","41.6256","41.3806","","0.13%"
"2025- 05- 15","41.4700","41.5000","41.5995","41.3800","","-0.04%"
"2025- 05- 14","41.4875","41.5550","41.6420","41.3905","","-0.14%"
"2025- 05- 13","41.5450","41.4750","41.6295","41.3823","","0.08%"
"2025- 05- 12","41.5100","41.5550","41.6431","41.4050","","-0.10%"
"2025- 05- 09","41.5500","41.5500","41.6409","41.4005","","0.00%"
"2025- 05- 08","41.5510","41.5500","41.6403","41.3830","","0.21%"
"2025- 05- 07","41.4650","41.4150","41.5829","41.3155","","0.02%"
"2025- 05- 06","41.4550","41.5500","41.6150","41.2145","","-0.21%"
"2025- 05- 05","41.5425","41.6500","41.7320","41.4715","","0.13%"
"2025- 05- 02","41.4870","41.4870","41.7832","41.4495","","0.00%"
"2025- 05- 01","41.4870","41.4870","41.6850","41.4240","","0.00%"
"2025- 04- 30","41.4870","41.5500","41.6304","41.2550","","-0.25%"
"2025- 04- 29","41.5900","41.7000","41.7520","41.2550","","-0.24%"
"2025- 04- 28","41.6881","41.6750","41.8757","41.5825","","-0.30%"
"2025- 04- 25","41.8150","41.6750","41.8358","41.6055","","0.24%"
"2025- 04- 24","41.7151","41.7450","41.8173","41.5430","","-0.11%"
"2025- 04- 23","41.7600","41.5400","41.7855","41.4650","","0.37%"
"2025- 04- 22","41.6050","41.4100","41.6250","41.2650","","0.51%"
