datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-01,BRL,Mercado,,BRL,3472,3615,3424,3585,0.07K,3.52%
2017-01-02,BRL,Mercado,,BRL,3585,3798,3549,3661,0.15K,2.12%
2017-01-02,BRL,USD_BRL,,BRL,3.2547,3.2891,3.252,3.2851,,0.98%
2017-01-02,BRL,MSCI,MSCI Brazil,MSCI,1662.51,1662.51,1635.29,1653.93,,-1.07%
2017-01-03,BRL,MSCI,MSCI Brazil,MSCI,1649.99,1717.07,1649.76,1715.6,,3.73%
2017-01-03,BRL,Mercado,,BRL,3620,3709,3565,3650,0.17K,-0.30%
2017-01-03,BRL,USD_BRL,,BRL,3.2817,3.2926,3.2464,3.2644,,-0.63%
2017-01-04,BRL,MSCI,MSCI Brazil,MSCI,1722.99,1732.54,1713.03,1725.16,,0.56%
2017-01-04,BRL,USD_BRL,,BRL,3.2523,3.2523,3.2104,3.216,,-1.48%
2017-01-04,BRL,Mercado,,BRL,3970,4095,3586,4010,0.25K,9.86%
2017-01-05,BRL,Mercado,,BRL,4000,4050,3600,3710,0.32K,-7.48%
2017-01-05,BRL,MSCI,MSCI Brazil,MSCI,1734.4,1762.16,1723.94,1746.81,,1.25%
2017-01-05,BRL,USD_BRL,,BRL,3.2163,3.2298,3.1932,3.1988,,-0.53%
2017-01-06,BRL,USD_BRL,,BRL,3.198,3.2245,3.1876,3.2239,,0.78%
2017-01-06,BRL,MSCI,MSCI Brazil,MSCI,1749.13,1750.38,1720.41,1734.32,,-0.72%
2017-01-06,BRL,Mercado,,BRL,3500,3900,3200,3501,0.28K,-5.64%
2017-01-07,BRL,Mercado,,BRL,3501,3551,3260,3348,0.17K,-4.36%
2017-01-08,BRL,Mercado,,BRL,3442,3494,3315,3430,0.08K,2.45%
2017-01-09,BRL,USD_BRL,,BRL,3.2245,3.2319,3.1898,3.1967,,-0.84%
2017-01-09,BRL,MSCI,MSCI Brazil,MSCI,1727.07,1756.74,1719.92,1742.69,,0.48%
2017-01-09,BRL,Mercado,,BRL,3430,3450,3330,3419,0.15K,-0.33%
2017-01-10,BRL,MSCI,MSCI Brazil,MSCI,1743.6,1767.4,1743.6,1757.97,,0.88%
2017-01-10,BRL,Mercado,,BRL,3419,3437,3250,3300,0.16K,-3.47%
2017-01-10,BRL,USD_BRL,,BRL,3.1961,3.2018,3.1809,3.1955,,-0.04%
2017-01-11,BRL,Mercado,,BRL,3300,3343,2500,2723,0.40K,-17.48%
2017-01-11,BRL,USD_BRL,,BRL,3.1955,3.2306,3.1772,3.1965,,0.03%
2017-01-11,BRL,MSCI,MSCI Brazil,MSCI,1745.59,1769.81,1723.79,1746.16,,-0.67%
2017-01-12,BRL,Mercado,,BRL,2723,3200,2535,2980,0.29K,9.44%
2017-01-12,BRL,USD_BRL,,BRL,3.1975,3.2001,3.1526,3.1878,,-0.27%
2017-01-12,BRL,MSCI,MSCI Brazil,MSCI,1779.86,1837.17,1779.8,1814.04,,3.89%
2017-01-13,BRL,MSCI,MSCI Brazil,MSCI,1809.87,1812.32,1776.29,1786.51,,-1.52%
2017-01-13,BRL,Mercado,,BRL,2980,3049,2800,2946,0.20K,-1.14%
2017-01-13,BRL,USD_BRL,,BRL,3.1881,3.2241,3.1795,3.2205,,1.03%
2017-01-14,BRL,Mercado,,BRL,2946,2998,2871,2929,0.08K,-0.58%
2017-01-15,BRL,Mercado,,BRL,2929,2939,2881,2923,0.02K,-0.22%
2017-01-16,BRL,Mercado,,BRL,2923,2990,2890,2910,0.12K,-0.43%
2017-01-16,BRL,USD_BRL,,BRL,3.2246,3.2449,3.2169,3.2415,,0.65%
2017-01-16,BRL,MSCI,MSCI Brazil,MSCI,1782.35,1789.57,1767.3,1783.43,,-0.17%
2017-01-17,BRL,MSCI,MSCI Brazil,MSCI,1796.34,1816.67,1777.36,1805.5,,1.24%
2017-01-17,BRL,USD_BRL,,BRL,3.2418,3.2418,3.1961,3.2113,,-0.93%
2017-01-17,BRL,Mercado,,BRL,2910,3140,2906,3062,0.21K,5.22%
2017-01-18,BRL,USD_BRL,,BRL,3.2149,3.2321,3.2134,3.2307,,0.60%
2017-01-18,BRL,MSCI,MSCI Brazil,MSCI,1803.2,1809.94,1788.74,1796.16,,-0.52%
2017-01-18,BRL,Mercado,,BRL,3062,3100,2905,2934,0.26K,-4.18%
2017-01-19,BRL,Mercado,,BRL,2934,2985,2900,2915,0.18K,-0.65%
2017-01-19,BRL,USD_BRL,,BRL,3.2315,3.235,3.193,3.196,,-1.07%
2017-01-19,BRL,MSCI,MSCI Brazil,MSCI,1792.32,1812.82,1787.41,1796.18,,0.00%
2017-01-20,BRL,Mercado,,BRL,2915,2970,2881,2920,0.15K,0.17%
2017-01-20,BRL,MSCI,MSCI Brazil,MSCI,1805.42,1834.0,1803.96,1820.99,,1.38%
2017-01-20,BRL,USD_BRL,,BRL,3.2002,3.2047,3.169,3.1685,,-0.86%
2017-01-21,BRL,Mercado,,BRL,2920,3010,2915,2964,0.20K,1.51%
2017-01-22,BRL,Mercado,,BRL,2964,3010,2950,2950,0.08K,-0.48%
2017-01-23,BRL,USD_BRL,,BRL,3.169,3.1837,3.1537,3.1628,,-0.18%
2017-01-23,BRL,Mercado,,BRL,2950,3000,2930,2968,0.14K,0.61%
2017-01-23,BRL,MSCI,MSCI Brazil,MSCI,1836.31,1873.98,1836.31,1870.25,,2.71%
2017-01-24,BRL,USD_BRL,,BRL,3.1625,3.1755,3.1581,3.1697,,0.22%
2017-01-24,BRL,MSCI,MSCI Brazil,MSCI,1870.84,1884.03,1863.17,1871.55,,0.07%
2017-01-24,BRL,Mercado,,BRL,2968,3000,2876,2894,0.18K,-2.49%
2017-01-25,BRL,USD_BRL,,BRL,3.1697,3.1697,3.1697,3.1697,,0.00%
