datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,CAD,USD_CAD,,CAD,1.3436,1.3455,1.3388,1.3437,,0.05%
2017-01-03,CAD,MSCI,MSCI Canada,MSCI,1971.64,1978.06,1962.94,1971.04,,0.76%
2017-01-03,CAD,USD_CAD,,CAD,1.3443,1.3462,1.3398,1.3427,,-0.07%
2017-01-04,CAD,MSCI,MSCI Canada,MSCI,1972.08,1986.35,1972.08,1985.5,,0.73%
2017-01-04,CAD,USD_CAD,,CAD,1.3431,1.3459,1.3282,1.33,,-0.95%
2017-01-05,CAD,MSCI,MSCI Canada,MSCI,1986.33,1997.12,1986.33,1991.32,,0.29%
2017-01-05,CAD,USD_CAD,,CAD,1.3302,1.3315,1.3192,1.3223,,-0.58%
2017-01-06,CAD,MSCI,MSCI Canada,MSCI,1988.95,1988.95,1978.73,1981.92,,-0.47%
2017-01-06,CAD,USD_CAD,,CAD,1.3225,1.327,1.3177,1.3235,,0.09%
2017-01-09,CAD,MSCI,MSCI Canada,MSCI,1976.2,1976.2,1965.35,1967.75,,-0.71%
2017-01-09,CAD,USD_CAD,,CAD,1.3238,1.3279,1.3196,1.3214,,-0.16%
2017-01-10,CAD,USD_CAD,,CAD,1.3217,1.3259,1.3191,1.323,,0.12%
2017-01-10,CAD,MSCI,MSCI Canada,MSCI,1973.64,1977.74,1972.66,1973.12,,0.27%
2017-01-11,CAD,USD_CAD,,CAD,1.3232,1.3296,1.312,1.3177,,-0.40%
2017-01-11,CAD,MSCI,MSCI Canada,MSCI,1976.17,1983.87,1971.06,1983.35,,0.52%
2017-01-12,CAD,MSCI,MSCI Canada,MSCI,1980.45,1981.24,1967.03,1973.97,,-0.47%
2017-01-12,CAD,USD_CAD,,CAD,1.318,1.3189,1.303,1.3143,,-0.26%
2017-01-13,CAD,MSCI,MSCI Canada,MSCI,1972.52,1987.8,1972.52,1984.98,,0.56%
2017-01-13,CAD,USD_CAD,,CAD,1.3146,1.3169,1.3112,1.3111,,-0.24%
2017-01-16,CAD,USD_CAD,,CAD,1.3111,1.3189,1.3107,1.3173,,0.47%
2017-01-16,CAD,MSCI,MSCI Canada,MSCI,1985.64,1985.64,1977.28,1982.22,,-0.14%
2017-01-17,CAD,USD_CAD,,CAD,1.3175,1.3191,1.3018,1.3041,,-1.00%
2017-01-17,CAD,MSCI,MSCI Canada,MSCI,1983.17,1984.16,1974.05,1975.56,,-0.34%
2017-01-18,CAD,USD_CAD,,CAD,1.3042,1.3273,1.3038,1.3269,,1.75%
2017-01-18,CAD,MSCI,MSCI Canada,MSCI,1972.91,1977.3,1965.05,1971.73,,-0.19%
2017-01-19,CAD,MSCI,MSCI Canada,MSCI,1973.61,1979.26,1971.84,1973.07,,0.07%
2017-01-19,CAD,USD_CAD,,CAD,1.3269,1.3354,1.3252,1.3318,,0.37%
2017-01-20,CAD,USD_CAD,,CAD,1.332,1.339,1.3284,1.3321,,0.02%
2017-01-20,CAD,MSCI,MSCI Canada,MSCI,1982.32,1995.31,1982.32,1992.27,,0.97%
2017-01-23,CAD,MSCI,MSCI Canada,MSCI,1988.88,1989.07,1974.14,1982.44,,-0.49%
2017-01-23,CAD,USD_CAD,,CAD,1.3324,1.3336,1.3221,1.3237,,-0.63%
2017-01-24,CAD,USD_CAD,,CAD,1.3238,1.3301,1.3106,1.3157,,-0.60%
2017-01-24,CAD,MSCI,MSCI Canada,MSCI,1982.95,2001.85,1980.93,2000.41,,0.91%
2017-01-25,CAD,USD_CAD,,CAD,1.3159,1.3167,1.306,1.3069,,-0.67%
2017-01-25,CAD,MSCI,MSCI Canada,MSCI,2003.64,2009.64,2003.2,2004.39,,0.20%
2017-01-26,CAD,MSCI,MSCI Canada,MSCI,2003.94,2006.39,1997.97,2001.65,,-0.14%
2017-01-26,CAD,USD_CAD,,CAD,1.3068,1.3133,1.3053,1.3088,,0.15%
2017-01-27,CAD,USD_CAD,,CAD,1.3088,1.3155,1.3085,1.315,,0.47%
2017-01-27,CAD,MSCI,MSCI Canada,MSCI,2002.42,2005.44,1990.33,1994.44,,-0.36%
2017-01-30,CAD,USD_CAD,,CAD,1.3148,1.3171,1.3076,1.3116,,-0.26%
2017-01-30,CAD,MSCI,MSCI Canada,MSCI,1988.46,1988.46,1967.16,1973.26,,-1.06%
2017-01-31,CAD,MSCI,MSCI Canada,MSCI,1967.32,1974.84,1958.53,1969.22,,-0.20%
2017-01-31,CAD,USD_CAD,,CAD,1.3118,1.3125,1.2969,1.3028,,-0.67%
2017-02-01,CAD,USD_CAD,,CAD,1.3032,1.3104,1.3028,1.3048,,0.15%
2017-02-01,CAD,MSCI,MSCI Canada,MSCI,1973.43,1976.55,1960.56,1969.81,,0.03%
2017-02-02,CAD,USD_CAD,,CAD,1.3048,1.3055,1.298,1.3025,,-0.18%
2017-02-02,CAD,MSCI,MSCI Canada,MSCI,1970.67,1974.83,1965.73,1968.92,,-0.05%
2017-02-03,CAD,MSCI,MSCI Canada,MSCI,1973.93,1982.93,1968.72,1978.68,,0.50%
2017-02-03,CAD,USD_CAD,,CAD,1.3027,1.308,1.2992,1.3022,,-0.02%
2017-02-06,CAD,USD_CAD,,CAD,1.3024,1.3136,1.3006,1.308,,0.45%
2017-02-06,CAD,MSCI,MSCI Canada,MSCI,1975.64,1979.71,1970.17,1973.24,,-0.27%
2017-02-07,CAD,USD_CAD,,CAD,1.3085,1.3214,1.3074,1.3181,,0.77%
2017-02-07,CAD,MSCI,MSCI Canada,MSCI,1975.61,1981.21,1974.18,1979.54,,0.32%
2017-02-08,CAD,USD_CAD,,CAD,1.3183,1.3202,1.3134,1.3143,,-0.29%
