datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,CHF,USD_CHF,,CHF,1.0204,1.0246,1.0169,1.0234,,0.55%
2017-01-03,CHF,MSCI,MSCI Switzerland,MSCI,1090.66,1094.57,1088.6,1091.91,,1.07%
2017-01-03,CHF,USD_CHF,,CHF,1.0236,1.0338,1.0207,1.0269,,0.34%
2017-01-04,CHF,MSCI,MSCI Switzerland,MSCI,1096.05,1097.68,1091.62,1097.56,,0.52%
2017-01-04,CHF,USD_CHF,,CHF,1.0274,1.0294,1.02,1.02,,-0.67%
2017-01-05,CHF,USD_CHF,,CHF,1.0206,1.0227,1.0086,1.0093,,-1.05%
2017-01-05,CHF,MSCI,MSCI Switzerland,MSCI,1095.78,1102.29,1094.39,1102.29,,0.43%
2017-01-06,CHF,MSCI,MSCI Switzerland,MSCI,1101.76,1105.45,1099.89,1105.45,,0.29%
2017-01-06,CHF,USD_CHF,,CHF,1.0098,1.0185,1.0093,1.0179,,0.85%
2017-01-09,CHF,USD_CHF,,CHF,1.0172,1.02,1.014,1.0147,,-0.31%
2017-01-09,CHF,MSCI,MSCI Switzerland,MSCI,1107.38,1107.81,1102.2,1106.49,,0.09%
2017-01-10,CHF,MSCI,MSCI Switzerland,MSCI,1108.66,1109.24,1102.29,1109.24,,0.25%
2017-01-10,CHF,USD_CHF,,CHF,1.0158,1.0181,1.011,1.0162,,0.15%
2017-01-11,CHF,MSCI,MSCI Switzerland,MSCI,1110.19,1112.99,1106.46,1107.15,,-0.19%
2017-01-11,CHF,USD_CHF,,CHF,1.0169,1.0251,1.01,1.0136,,-0.26%
2017-01-12,CHF,MSCI,MSCI Switzerland,MSCI,1104.27,1105.56,1098.52,1101.05,,-0.55%
2017-01-12,CHF,USD_CHF,,CHF,1.0141,1.0152,1.0054,1.0107,,-0.29%
2017-01-13,CHF,MSCI,MSCI Switzerland,MSCI,1107.78,1110.93,1104.02,1110.93,,0.90%
2017-01-13,CHF,USD_CHF,,CHF,1.0111,1.0124,1.0044,1.0083,,-0.24%
2017-01-16,CHF,MSCI,MSCI Switzerland,MSCI,1108.18,1108.93,1100.16,1100.16,,-0.97%
2017-01-16,CHF,USD_CHF,,CHF,1.0099,1.0139,1.0079,1.0122,,0.39%
2017-01-17,CHF,MSCI,MSCI Switzerland,MSCI,1098.05,1098.37,1092.48,1093.63,,-0.59%
2017-01-17,CHF,USD_CHF,,CHF,1.0111,1.0126,0.9995,1.0009,,-1.12%
2017-01-18,CHF,USD_CHF,,CHF,1.0018,1.008,1.0005,1.007,,0.61%
2017-01-18,CHF,MSCI,MSCI Switzerland,MSCI,1097.72,1097.72,1090.35,1094.63,,0.09%
2017-01-19,CHF,USD_CHF,,CHF,1.0074,1.0124,1.004,1.006,,-0.10%
2017-01-19,CHF,MSCI,MSCI Switzerland,MSCI,1096.0,1096.31,1088.41,1090.25,,-0.40%
2017-01-20,CHF,MSCI,MSCI Switzerland,MSCI,1090.38,1092.07,1086.9,1090.34,,0.01%
2017-01-20,CHF,USD_CHF,,CHF,1.0061,1.0096,1.0012,1.0012,,-0.48%
2017-01-23,CHF,USD_CHF,,CHF,1.0033,1.0034,0.996,0.9963,,-0.49%
2017-01-23,CHF,MSCI,MSCI Switzerland,MSCI,1085.17,1086.45,1080.33,1084.87,,-0.50%
2017-01-24,CHF,MSCI,MSCI Switzerland,MSCI,1085.33,1089.52,1084.41,1086.46,,0.15%
2017-01-24,CHF,USD_CHF,,CHF,0.9963,1.0021,0.9959,1.0006,,0.43%
2017-01-25,CHF,MSCI,MSCI Switzerland,MSCI,1088.01,1104.24,1088.01,1104.24,,1.64%
2017-01-25,CHF,USD_CHF,,CHF,1.001,1.0028,0.9965,0.9993,,-0.13%
2017-01-26,CHF,USD_CHF,,CHF,0.9995,1.0029,0.9966,0.9998,,0.05%
2017-01-26,CHF,MSCI,MSCI Switzerland,MSCI,1105.32,1114.37,1103.58,1105.66,,0.13%
2017-01-27,CHF,USD_CHF,,CHF,0.9999,1.003,0.9968,0.999,,-0.08%
2017-01-27,CHF,MSCI,MSCI Switzerland,MSCI,1105.54,1107.43,1098.14,1102.16,,-0.32%
2017-01-30,CHF,MSCI,MSCI Switzerland,MSCI,1101.34,1102.39,1092.45,1094.34,,-0.71%
2017-01-30,CHF,USD_CHF,,CHF,0.9992,1.0046,0.9933,0.995,,-0.40%
2017-01-31,CHF,MSCI,MSCI Switzerland,MSCI,1093.29,1097.95,1089.51,1090.72,,-0.33%
2017-01-31,CHF,USD_CHF,,CHF,0.9952,0.9968,0.986,0.9892,,-0.58%
2017-02-01,CHF,USD_CHF,,CHF,0.9893,0.996,0.9882,0.9923,,0.31%
2017-02-01,CHF,MSCI,MSCI Switzerland,MSCI,1092.15,1102.46,1092.15,1095.44,,0.43%
2017-02-02,CHF,USD_CHF,,CHF,0.9929,0.9942,0.9869,0.9922,,-0.01%
2017-02-02,CHF,MSCI,MSCI Switzerland,MSCI,1090.71,1093.98,1087.47,1089.05,,-0.58%
2017-02-03,CHF,MSCI,MSCI Switzerland,MSCI,1091.27,1100.45,1091.27,1098.43,,0.86%
2017-02-03,CHF,USD_CHF,,CHF,0.9928,0.9988,0.9905,0.9924,,0.02%
2017-02-06,CHF,MSCI,MSCI Switzerland,MSCI,1098.36,1102.18,1094.16,1095.36,,-0.28%
2017-02-06,CHF,USD_CHF,,CHF,0.9935,0.9964,0.99,0.9903,,-0.21%
2017-02-07,CHF,USD_CHF,,CHF,0.9913,1.0009,0.99,0.997,,0.68%
2017-02-07,CHF,MSCI,MSCI Switzerland,MSCI,1095.02,1104.43,1094.6,1100.5,,0.47%
2017-02-08,CHF,MSCI,MSCI Switzerland,MSCI,1102.84,1104.55,1095.98,1101.78,,0.12%
2017-02-08,CHF,USD_CHF,,CHF,0.9978,1.0002,0.9929,0.9943,,-0.27%
2017-02-09,CHF,USD_CHF,,CHF,0.9948,1.0022,0.9933,1.0015,,0.72%
2017-02-09,CHF,MSCI,MSCI Switzerland,MSCI,1103.79,1109.2,1103.62,1109.09,,0.66%
2017-02-10,CHF,USD_CHF,,CHF,1.0018,1.0064,1.0,1.002,,0.05%
2017-02-10,CHF,MSCI,MSCI Switzerland,MSCI,1110.05,1111.68,1105.9,1111.68,,0.23%
2017-02-13,CHF,MSCI,MSCI Switzerland,MSCI,1111.13,1115.89,1110.05,1112.55,,0.08%
2017-02-13,CHF,USD_CHF,,CHF,1.0026,1.0072,1.0016,1.0051,,0.31%
2017-02-14,CHF,USD_CHF,,CHF,1.0062,1.0087,1.0029,1.0055,,0.04%
2017-02-14,CHF,MSCI,MSCI Switzerland,MSCI,1112.42,1112.47,1107.57,1108.15,,-0.40%
2017-02-15,CHF,MSCI,MSCI Switzerland,MSCI,1112.38,1116.05,1111.3,1115.82,,0.69%
2017-02-15,CHF,USD_CHF,,CHF,1.0063,1.012,1.0039,1.0051,,-0.04%
2017-02-16,CHF,USD_CHF,,CHF,1.0055,1.0067,0.9965,0.9965,,-0.86%
2017-02-16,CHF,MSCI,MSCI Switzerland,MSCI,1111.48,1115.03,1109.68,1113.38,,-0.22%
2017-02-17,CHF,MSCI,MSCI Switzerland,MSCI,1112.51,1118.13,1109.24,1118.13,,0.43%
2017-02-17,CHF,USD_CHF,,CHF,0.9973,1.0036,0.9963,1.0025,,0.60%
2017-02-20,CHF,USD_CHF,,CHF,1.0023,1.0046,1.0011,1.0022,,-0.03%
2017-02-20,CHF,MSCI,MSCI Switzerland,MSCI,1120.32,1121.98,1118.36,1119.91,,0.16%
2017-02-21,CHF,MSCI,MSCI Switzerland,MSCI,1118.96,1128.72,1117.98,1126.54,,0.59%
2017-02-21,CHF,USD_CHF,,CHF,1.0027,1.0107,1.0023,1.009,,0.68%
2017-02-22,CHF,USD_CHF,,CHF,1.0097,1.0143,1.0077,1.0102,,0.12%
2017-02-22,CHF,MSCI,MSCI Switzerland,MSCI,1126.6,1130.39,1124.05,1128.91,,0.21%
2017-02-23,CHF,MSCI,MSCI Switzerland,MSCI,1125.57,1128.93,1125.57,1126.98,,-0.17%
2017-02-23,CHF,USD_CHF,,CHF,1.0107,1.0119,1.0053,1.006,,-0.42%
2017-02-24,CHF,USD_CHF,,CHF,1.0063,1.0082,1.0023,1.0073,,0.13%
2017-02-24,CHF,MSCI,MSCI Switzerland,MSCI,1125.56,1125.92,1114.04,1121.19,,-0.51%
2017-02-27,CHF,USD_CHF,,CHF,1.0073,1.0101,1.0044,1.0087,,0.14%
2017-02-27,CHF,MSCI,MSCI Switzerland,MSCI,1122.91,1124.22,1118.01,1120.99,,-0.02%
2017-02-28,CHF,MSCI,MSCI Switzerland,MSCI,1122.04,1124.25,1119.25,1124.25,,0.29%
2017-02-28,CHF,USD_CHF,,CHF,1.0092,1.0103,1.0008,1.0056,,-0.31%
2017-03-01,CHF,MSCI,MSCI Switzerland,MSCI,1125.32,1135.23,1125.32,1135.23,,0.98%
2017-03-01,CHF,USD_CHF,,CHF,1.0058,1.0131,1.0052,1.0084,,0.28%
2017-03-02,CHF,MSCI,MSCI Switzerland,MSCI,1141.21,1141.53,1135.87,1139.78,,0.40%
2017-03-02,CHF,USD_CHF,,CHF,1.0089,1.0149,1.0084,1.0131,,0.47%
