datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,EUR,USD_EUR,,EUR,0.9496,0.9571,0.9491,0.9561,,0.54%
2017-01-02,EUR,MSCI,MSCI Europe,MSCI,1468.02,1477.92,1465.22,1477.92,,0.46%
2017-01-03,EUR,USD_EUR,,EUR,0.9566,0.9671,0.9532,0.961,,0.51%
2017-01-03,EUR,MSCI,MSCI Europe,MSCI,1467.23,1477.01,1464.78,1465.15,,-0.86%
2017-01-04,EUR,MSCI,MSCI Europe,MSCI,1468.91,1479.94,1468.38,1476.38,,0.77%
2017-01-04,EUR,USD_EUR,,EUR,0.961,0.9626,0.9524,0.9534,,-0.79%
2017-01-05,EUR,USD_EUR,,EUR,0.9533,0.9543,0.942,0.9428,,-1.11%
2017-01-05,EUR,MSCI,MSCI Europe,MSCI,1484.94,1495.82,1478.36,1495.1,,1.27%
2017-01-06,EUR,USD_EUR,,EUR,0.9428,0.9504,0.9414,0.9494,,0.70%
2017-01-06,EUR,MSCI,MSCI Europe,MSCI,1492.13,1492.56,1484.27,1491.18,,-0.26%
2017-01-09,EUR,USD_EUR,,EUR,0.9489,0.9516,0.9449,0.9457,,-0.39%
2017-01-09,EUR,MSCI,MSCI Europe,MSCI,1481.78,1485.73,1473.9,1480.84,,-0.69%
2017-01-10,EUR,USD_EUR,,EUR,0.9457,0.9479,0.941,0.9474,,0.18%
2017-01-10,EUR,MSCI,MSCI Europe,MSCI,1485.16,1488.17,1481.61,1487.65,,0.46%
2017-01-11,EUR,USD_EUR,,EUR,0.9475,0.9567,0.9413,0.945,,-0.25%
2017-01-11,EUR,MSCI,MSCI Europe,MSCI,1484.01,1495.36,1473.99,1473.99,,-0.92%
2017-01-12,EUR,USD_EUR,,EUR,0.945,0.946,0.9359,0.9423,,-0.29%
2017-01-12,EUR,MSCI,MSCI Europe,MSCI,1496.52,1499.86,1484.11,1490.3,,1.11%
