datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,GBP,USD_GBP,,GBP,0.8101,0.8149,0.8093,0.8146,,0.53%
2017-01-03,GBP,USD_GBP,,GBP,0.8147,0.8198,0.8124,0.8169,,0.28%
2017-01-03,GBP,MSCI,MSCI United Kingdom,MSCI,2079.4,2096.17,2079.4,2088.46,,0.53%
2017-01-04,GBP,MSCI,MSCI United Kingdom,MSCI,2088.47,2092.05,2085.94,2092.05,,0.17%
2017-01-04,GBP,USD_GBP,,GBP,0.8172,0.8184,0.8095,0.8112,,-0.70%
2017-01-05,GBP,USD_GBP,,GBP,0.8115,0.8151,0.8043,0.8051,,-0.75%
2017-01-05,GBP,MSCI,MSCI United Kingdom,MSCI,2092.03,2099.31,2087.45,2093.9,,0.09%
2017-01-06,GBP,MSCI,MSCI United Kingdom,MSCI,2093.75,2098.29,2089.67,2098.29,,0.21%
2017-01-06,GBP,USD_GBP,,GBP,0.8059,0.8158,0.8044,0.8134,,1.03%
2017-01-09,GBP,MSCI,MSCI United Kingdom,MSCI,2101.75,2107.72,2097.47,2106.12,,0.37%
2017-01-09,GBP,USD_GBP,,GBP,0.8151,0.8248,0.8147,0.8221,,1.07%
2017-01-10,GBP,MSCI,MSCI United Kingdom,MSCI,2106.95,2119.51,2106.95,2116.66,,0.50%
2017-01-10,GBP,USD_GBP,,GBP,0.8223,0.8261,0.8202,0.8212,,-0.11%
2017-01-11,GBP,USD_GBP,,GBP,0.8213,0.8307,0.8149,0.8188,,-0.29%
2017-01-11,GBP,MSCI,MSCI United Kingdom,MSCI,2117.45,2131.13,2110.8,2120.4,,0.18%
2017-01-12,GBP,MSCI,MSCI United Kingdom,MSCI,2120.21,2124.39,2112.34,2120.4,,0.00%
2017-01-12,GBP,USD_GBP,,GBP,0.8192,0.8231,0.8119,0.8223,,0.43%
2017-01-13,GBP,USD_GBP,,GBP,0.8225,0.8251,0.8174,0.821,,-0.16%
2017-01-13,GBP,MSCI,MSCI United Kingdom,MSCI,2121.91,2133.67,2121.91,2133.67,,0.63%
2017-01-16,GBP,USD_GBP,,GBP,0.8289,0.8346,0.8274,0.8296,,1.05%
2017-01-16,GBP,MSCI,MSCI United Kingdom,MSCI,2134.42,2138.32,2128.84,2130.75,,-0.14%
2017-01-17,GBP,USD_GBP,,GBP,0.83,0.8322,0.8054,0.8055,,-2.91%
2017-01-17,GBP,MSCI,MSCI United Kingdom,MSCI,2131.6,2131.6,2100.35,2100.35,,-1.43%
2017-01-18,GBP,USD_GBP,,GBP,0.8056,0.8161,0.8054,0.8156,,1.25%
2017-01-18,GBP,MSCI,MSCI United Kingdom,MSCI,2103.64,2110.99,2099.65,2108.48,,0.39%
2017-01-19,GBP,MSCI,MSCI United Kingdom,MSCI,2107.65,2108.91,2092.18,2096.85,,-0.55%
2017-01-19,GBP,USD_GBP,,GBP,0.8155,0.8162,0.81,0.8102,,-0.66%
2017-01-20,GBP,MSCI,MSCI United Kingdom,MSCI,2096.51,2099.78,2091.94,2092.94,,-0.19%
2017-01-20,GBP,USD_GBP,,GBP,0.8102,0.8156,0.8076,0.808,,-0.27%
2017-01-23,GBP,MSCI,MSCI United Kingdom,MSCI,2090.22,2090.22,2073.68,2079.83,,-0.63%
2017-01-23,GBP,USD_GBP,,GBP,0.8091,0.8094,0.7973,0.7974,,-1.31%
2017-01-24,GBP,USD_GBP,,GBP,0.7978,0.8054,0.797,0.7987,,0.16%
2017-01-24,GBP,MSCI,MSCI United Kingdom,MSCI,2084.71,2090.87,2078.54,2080.16,,0.02%
2017-01-25,GBP,MSCI,MSCI United Kingdom,MSCI,2083.96,2095.92,2082.97,2084.08,,0.19%
2017-01-25,GBP,USD_GBP,,GBP,0.7987,0.8007,0.7912,0.7912,,-0.94%
2017-01-26,GBP,USD_GBP,,GBP,0.7916,0.7965,0.789,0.7936,,0.30%
2017-01-26,GBP,MSCI,MSCI United Kingdom,MSCI,2084.11,2089.71,2081.22,2083.95,,-0.01%
2017-01-27,GBP,MSCI,MSCI United Kingdom,MSCI,2084.03,2090.47,2080.59,2090.47,,0.31%
2017-01-27,GBP,USD_GBP,,GBP,0.794,0.799,0.7931,0.7959,,0.29%
2017-01-30,GBP,USD_GBP,,GBP,0.7968,0.8023,0.7935,0.8006,,0.59%
2017-01-30,GBP,MSCI,MSCI United Kingdom,MSCI,2090.53,2090.53,2067.26,2070.88,,-0.94%
2017-01-31,GBP,MSCI,MSCI United Kingdom,MSCI,2070.43,2084.04,2065.89,2065.89,,-0.24%
2017-01-31,GBP,USD_GBP,,GBP,0.801,0.8057,0.7938,0.7948,,-0.72%
2017-02-01,GBP,USD_GBP,,GBP,0.7948,0.7972,0.7886,0.79,,-0.60%
2017-02-01,GBP,MSCI,MSCI United Kingdom,MSCI,2066.82,2086.32,2066.37,2068.12,,0.11%
2017-02-02,GBP,USD_GBP,,GBP,0.7899,0.799,0.7869,0.7977,,0.97%
2017-02-02,GBP,MSCI,MSCI United Kingdom,MSCI,2068.11,2083.87,2063.71,2077.02,,0.43%
2017-02-03,GBP,MSCI,MSCI United Kingdom,MSCI,2076.26,2094.66,2074.82,2090.73,,0.66%
2017-02-03,GBP,USD_GBP,,GBP,0.7983,0.8027,0.7975,0.8006,,0.36%
2017-02-06,GBP,MSCI,MSCI United Kingdom,MSCI,2091.34,2097.02,2084.5,2086.52,,-0.20%
2017-02-06,GBP,USD_GBP,,GBP,0.8005,0.8048,0.7992,0.8019,,0.16%
2017-02-07,GBP,USD_GBP,,GBP,0.802,0.8099,0.7969,0.7993,,-0.32%
