datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,IDR,USD_IDR,,IDR,"13,472.5","13,472.5","13,472.5","13,472.5",,0.00%
2017-01-03,IDR,MSCI,MSCI Indonesia,MSCI,6107.29,6117.75,6042.28,6117.75,,-0.06%
2017-01-03,IDR,USD_IDR,,IDR,"13,461.5","13,486.5","13,461.5","13,479.5",,0.05%
2017-01-04,IDR,MSCI,MSCI Indonesia,MSCI,6102.07,6166.77,6076.04,6166.77,,0.80%
2017-01-04,IDR,USD_IDR,,IDR,"13,470.0","13,485.0","13,435.0","13,440.0",,-0.29%
2017-01-05,IDR,USD_IDR,,IDR,"13,405.0","13,405.0","13,315.0","13,375.0",,-0.48%
2017-01-05,IDR,MSCI,MSCI Indonesia,MSCI,6171.64,6203.35,6168.9,6196.33,,0.48%
2017-01-06,IDR,MSCI,MSCI Indonesia,MSCI,6189.35,6223.34,6182.56,6214.51,,0.29%
2017-01-06,IDR,USD_IDR,,IDR,"13,340.0","13,365.0","13,334.0","13,365.0",,-0.07%
2017-01-09,IDR,USD_IDR,,IDR,"13,390.0","13,398.0","13,365.0","13,365.0",,0.00%
2017-01-09,IDR,MSCI,MSCI Indonesia,MSCI,6215.82,6225.38,6140.29,6156.91,,-0.93%
2017-01-10,IDR,MSCI,MSCI Indonesia,MSCI,6176.07,6176.07,6119.16,6161.93,,0.08%
2017-01-10,IDR,USD_IDR,,IDR,"13,325.0","13,335.0","13,285.0","13,315.0",,-0.37%
2017-01-11,IDR,USD_IDR,,IDR,"13,311.0","13,331.0","13,301.0","13,329.0",,0.11%
2017-01-11,IDR,MSCI,MSCI Indonesia,MSCI,6168.57,6177.15,6123.73,6123.73,,-0.62%
2017-01-12,IDR,MSCI,MSCI Indonesia,MSCI,6121.41,6150.16,6103.74,6103.74,,-0.33%
2017-01-12,IDR,USD_IDR,,IDR,"13,285.0","13,310.0","13,265.0","13,290.0",,-0.29%
2017-01-13,IDR,USD_IDR,,IDR,"13,295.5","13,333.5","13,293.5","13,331.5",,0.31%
2017-01-13,IDR,MSCI,MSCI Indonesia,MSCI,6109.46,6137.46,6091.76,6091.76,,-0.20%
2017-01-16,IDR,MSCI,MSCI Indonesia,MSCI,6107.76,6113.13,6056.82,6056.82,,-0.57%
2017-01-16,IDR,USD_IDR,,IDR,"13,303.5","13,368.5","13,303.5","13,366.5",,0.26%
2017-01-17,IDR,USD_IDR,,IDR,"13,351.5","13,381.5","13,331.5","13,351.5",,-0.11%
2017-01-17,IDR,MSCI,MSCI Indonesia,MSCI,6052.24,6088.64,6051.28,6062.21,,0.09%
2017-01-18,IDR,MSCI,MSCI Indonesia,MSCI,6072.8,6110.79,6072.68,6110.79,,0.80%
2017-01-18,IDR,USD_IDR,,IDR,"13,322.5","13,342.5","13,317.5","13,342.5",,-0.07%
2017-01-19,IDR,USD_IDR,,IDR,"13,375.0","13,385.0","13,355.0","13,373.0",,0.23%
2017-01-19,IDR,MSCI,MSCI Indonesia,MSCI,6117.98,6133.46,6107.8,6133.46,,0.37%
2017-01-20,IDR,USD_IDR,,IDR,"13,395.0","13,410.0","13,375.0","13,410.0",,0.28%
2017-01-20,IDR,MSCI,MSCI Indonesia,MSCI,6111.68,6116.4,6036.12,6048.61,,-1.38%
2017-01-23,IDR,USD_IDR,,IDR,"13,380.0","13,385.0","13,345.0","13,360.0",,-0.37%
2017-01-23,IDR,MSCI,MSCI Indonesia,MSCI,6038.44,6071.23,6008.68,6042.15,,-0.11%
2017-01-24,IDR,USD_IDR,,IDR,"13,339.0","13,341.0","13,304.0","13,331.0",,-0.22%
2017-01-24,IDR,MSCI,MSCI Indonesia,MSCI,6071.39,6116.14,6071.39,6095.06,,0.88%
