datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,INR,USD_INR,,INR,67.951,68.231,67.906,68.145,,0.28%
2017-01-02,INR,MSCI,MSCI India,MSCI,986.06,986.97,979.07,985.06,,0.19%
2017-01-03,INR,USD_INR,,INR,68.147,68.438,68.045,68.26,,0.17%
2017-01-03,INR,MSCI,MSCI India,MSCI,987.47,989.52,982.17,986.31,,0.13%
2017-01-04,INR,MSCI,MSCI India,MSCI,988.18,990.76,985.3,986.99,,0.07%
2017-01-04,INR,USD_INR,,INR,68.28,68.3,67.85,67.886,,-0.55%
2017-01-05,INR,USD_INR,,INR,67.895,68.013,67.73,67.743,,-0.21%
2017-01-05,INR,MSCI,MSCI India,MSCI,991.36,998.95,991.36,998.21,,1.14%
2017-01-06,INR,MSCI,MSCI India,MSCI,999.27,1001.63,991.36,992.77,,-0.54%
2017-01-06,INR,USD_INR,,INR,67.755,68.198,67.755,68.115,,0.55%
2017-01-09,INR,MSCI,MSCI India,MSCI,994.77,994.82,991.04,992.07,,-0.07%
2017-01-09,INR,USD_INR,,INR,68.116,68.305,68.07,68.1,,-0.02%
2017-01-10,INR,MSCI,MSCI India,MSCI,995.56,998.74,994.85,998.01,,0.60%
2017-01-10,INR,USD_INR,,INR,68.11,68.351,67.988,68.327,,0.33%
2017-01-11,INR,USD_INR,,INR,68.37,68.546,68.223,68.312,,-0.02%
2017-01-11,INR,MSCI,MSCI India,MSCI,1001.98,1008.12,1001.71,1007.5,,0.95%
2017-01-12,INR,MSCI,MSCI India,MSCI,1008.51,1011.84,1007.18,1010.17,,0.27%
2017-01-12,INR,USD_INR,,INR,68.195,68.196,67.95,68.141,,-0.25%
2017-01-13,INR,USD_INR,,INR,68.15,68.29,68.097,68.18,,0.06%
2017-01-13,INR,MSCI,MSCI India,MSCI,1016.16,1016.6,1005.66,1009.58,,-0.06%
2017-01-16,INR,MSCI,MSCI India,MSCI,1008.84,1011.99,1006.3,1010.37,,0.08%
2017-01-16,INR,USD_INR,,INR,68.168,68.28,68.07,68.103,,-0.11%
2017-01-17,INR,USD_INR,,INR,68.103,68.158,67.855,67.862,,-0.35%
2017-01-17,INR,MSCI,MSCI India,MSCI,1011.0,1013.45,1007.55,1009.63,,-0.07%
2017-01-18,INR,MSCI,MSCI India,MSCI,1010.73,1016.41,1009.77,1012.61,,0.30%
2017-01-18,INR,USD_INR,,INR,67.853,68.22,67.853,68.22,,0.53%
2017-01-19,INR,USD_INR,,INR,68.222,68.319,68.069,68.1,,-0.18%
