datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-01,JPY,비트플라이어,,JPY,115846,121208,115302,120735,25.43K,4.22%
2017-01-02,JPY,비트플라이어,,JPY,120735,123000,120200,122210,8.11K,1.22%
2017-01-02,JPY,USD_JPY,,JPY,117.0,117.69,116.74,117.51,,0.55%
2017-01-03,JPY,비트플라이어,,JPY,122337,123213,121320,122833,45.05K,0.51%
2017-01-03,JPY,USD_JPY,,JPY,117.56,118.62,117.21,117.74,,0.20%
2017-01-04,JPY,MSCI,MSCI Japan Net,MSCI,1721.09,1749.72,1720.36,1749.48,,2.38%
2017-01-04,JPY,USD_JPY,,JPY,117.76,118.2,117.04,117.24,,-0.42%
2017-01-04,JPY,비트플라이어,,JPY,122833,142760,122800,142704,44.16K,16.18%
2017-01-05,JPY,MSCI,MSCI Japan Net,MSCI,1752.88,1754.04,1745.12,1750.89,,0.08%
2017-01-05,JPY,비트플라이어,,JPY,142704,152232,103400,117450,36.54K,-17.70%
2017-01-05,JPY,USD_JPY,,JPY,117.26,117.45,115.22,115.34,,-1.62%
2017-01-06,JPY,비트플라이어,,JPY,117450,133999,104698,111794,25.63K,-4.82%
2017-01-06,JPY,MSCI,MSCI Japan Net,MSCI,1740.5,1748.66,1734.79,1747.02,,-0.22%
2017-01-06,JPY,USD_JPY,,JPY,115.36,117.2,115.06,116.91,,1.36%
2017-01-07,JPY,비트플라이어,,JPY,111794,112871,99900,109509,25.24K,-2.04%
2017-01-08,JPY,비트플라이어,,JPY,109509,113000,105456,108288,31.94K,-1.11%
2017-01-09,JPY,비트플라이어,,JPY,108288,108452,103493,105004,27.40K,-3.03%
2017-01-09,JPY,USD_JPY,,JPY,116.92,117.54,115.97,116.01,,-0.77%
2017-01-10,JPY,MSCI,MSCI Japan Net,MSCI,1744.27,1751.58,1732.04,1733.38,,-0.78%
2017-01-10,JPY,비트플라이어,,JPY,105004,107999,104263,107224,34.72K,2.11%
2017-01-10,JPY,USD_JPY,,JPY,116.04,116.36,115.2,115.76,,-0.22%
2017-01-11,JPY,MSCI,MSCI Japan Net,MSCI,1739.9,1745.75,1737.98,1744.0,,0.61%
2017-01-11,JPY,비트플라이어,,JPY,107224,109249,89095,90700,47.08K,-15.41%
2017-01-11,JPY,USD_JPY,,JPY,115.78,116.87,114.25,115.4,,-0.31%
2017-01-12,JPY,MSCI,MSCI Japan Net,MSCI,1737.4,1738.45,1719.24,1726.67,,-0.99%
2017-01-12,JPY,USD_JPY,,JPY,115.42,115.53,113.75,114.7,,-0.61%
2017-01-12,JPY,비트플라이어,,JPY,90700,96336,86000,93101,38.73K,2.65%
2017-01-13,JPY,MSCI,MSCI Japan Net,MSCI,1725.83,1738.44,1724.72,1737.79,,0.64%
2017-01-13,JPY,비트플라이어,,JPY,93101,96852,90225,95078,40.48K,2.12%
2017-01-13,JPY,USD_JPY,,JPY,114.72,115.46,114.2,114.51,,-0.17%
2017-01-14,JPY,비트플라이어,,JPY,95078,96990,93000,94427,37.46K,-0.68%
2017-01-15,JPY,비트플라이어,,JPY,94427,95027,93014,94352,29.87K,-0.08%
2017-01-16,JPY,MSCI,MSCI Japan Net,MSCI,1733.54,1736.39,1718.26,1721.81,,-0.92%
2017-01-16,JPY,USD_JPY,,JPY,114.56,114.56,113.67,114.18,,-0.29%
2017-01-16,JPY,비트플라이어,,JPY,94352,96500,94212,95430,23.00K,1.14%
2017-01-17,JPY,비트플라이어,,JPY,95430,104500,95357,103797,32.44K,8.77%
2017-01-17,JPY,USD_JPY,,JPY,114.2,114.3,112.6,112.62,,-1.37%
2017-01-17,JPY,MSCI,MSCI Japan Net,MSCI,1716.23,1716.3,1697.78,1697.78,,-1.40%
2017-01-18,JPY,USD_JPY,,JPY,112.63,114.77,112.57,114.65,,1.80%
2017-01-18,JPY,비트플라이어,,JPY,103797,104989,96498,100714,31.87K,-2.97%
2017-01-18,JPY,MSCI,MSCI Japan Net,MSCI,1690.92,1706.89,1682.04,1703.67,,0.35%
2017-01-19,JPY,MSCI,MSCI Japan Net,MSCI,1717.94,1726.41,1711.66,1719.62,,0.94%
2017-01-19,JPY,비트플라이어,,JPY,100714,103300,100435,102613,21.33K,1.89%
2017-01-19,JPY,USD_JPY,,JPY,114.64,115.63,114.39,114.86,,0.18%
2017-01-20,JPY,USD_JPY,,JPY,114.87,115.4,114.21,114.6,,-0.23%
2017-01-20,JPY,MSCI,MSCI Japan Net,MSCI,1719.34,1730.04,1717.4,1725.36,,0.33%
2017-01-20,JPY,비트플라이어,,JPY,102613,103599,101900,102768,17.50K,0.15%
2017-01-21,JPY,비트플라이어,,JPY,102768,106250,102701,105993,20.06K,3.14%
2017-01-22,JPY,비트플라이어,,JPY,105993,108682,103002,105670,24.01K,-0.30%
2017-01-23,JPY,MSCI,MSCI Japan Net,MSCI,1709.96,1713.58,1701.42,1703.83,,-1.25%
2017-01-23,JPY,USD_JPY,,JPY,114.38,114.45,112.68,112.68,,-1.68%
2017-01-23,JPY,비트플라이어,,JPY,105670,106512,104599,105042,20.56K,-0.59%
2017-01-24,JPY,비트플라이어,,JPY,105042,105478,101000,103302,21.84K,-1.66%
2017-01-24,JPY,USD_JPY,,JPY,112.7,113.91,112.52,113.78,,0.98%
2017-01-24,JPY,MSCI,MSCI Japan Net,MSCI,1696.98,1702.48,1691.73,1693.48,,-0.61%
2017-01-25,JPY,비트플라이어,,JPY,103302,103600,101510,102081,15.78K,-1.18%
2017-01-25,JPY,USD_JPY,,JPY,113.79,114.01,113.03,113.27,,-0.45%
