datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,MXN,MSCI,MSCI Mexico,MSCI,4671.33,4702.64,4661.83,4702.64,,0.12%
2017-01-02,MXN,USD_MXN,,MXN,20.687,20.7697,20.6796,20.7277,,0.06%
2017-01-03,MXN,MSCI,MSCI Mexico,MSCI,4693.28,4747.04,4626.59,4709.27,,0.14%
2017-01-03,MXN,USD_MXN,,MXN,20.7403,21.1318,20.6758,21.109,,1.84%
2017-01-04,MXN,USD_MXN,,MXN,21.111,21.6283,21.0164,21.425,,1.50%
2017-01-04,MXN,MSCI,MSCI Mexico,MSCI,4629.84,4645.26,4552.16,4620.73,,-1.88%
2017-01-05,MXN,USD_MXN,,MXN,21.4423,21.6206,21.1221,21.4227,,-0.01%
2017-01-05,MXN,MSCI,MSCI Mexico,MSCI,4641.72,4646.22,4589.08,4639.68,,0.41%
2017-01-06,MXN,MSCI,MSCI Mexico,MSCI,4640.94,4652.05,4571.08,4571.08,,-1.48%
2017-01-06,MXN,USD_MXN,,MXN,21.4248,21.481,21.2017,21.219,,-0.95%
2017-01-09,MXN,MSCI,MSCI Mexico,MSCI,4585.83,4597.72,4506.4,4532.98,,-0.83%
2017-01-09,MXN,USD_MXN,,MXN,21.263,21.3942,21.2081,21.377,,0.74%
2017-01-10,MXN,USD_MXN,,MXN,21.3786,21.8409,21.359,21.798,,1.97%
2017-01-10,MXN,MSCI,MSCI Mexico,MSCI,4483.0,4523.26,4465.37,4518.09,,-0.33%
2017-01-11,MXN,USD_MXN,,MXN,21.804,22.0392,21.7377,21.859,,0.28%
2017-01-11,MXN,MSCI,MSCI Mexico,MSCI,4474.4,4490.43,4402.81,4445.2,,-1.61%
2017-01-12,MXN,USD_MXN,,MXN,21.861,21.9734,21.5677,21.78,,-0.36%
2017-01-12,MXN,MSCI,MSCI Mexico,MSCI,4477.46,4525.54,4473.29,4499.27,,1.22%
2017-01-13,MXN,USD_MXN,,MXN,21.785,21.8404,21.4738,21.465,,-1.45%
2017-01-13,MXN,MSCI,MSCI Mexico,MSCI,4505.5,4570.66,4499.03,4523.56,,0.54%
2017-01-16,MXN,MSCI,MSCI Mexico,MSCI,4528.94,4528.94,4465.85,4485.21,,-0.85%
2017-01-16,MXN,USD_MXN,,MXN,21.5243,21.7445,21.5015,21.725,,1.21%
2017-01-17,MXN,MSCI,MSCI Mexico,MSCI,4522.33,4547.67,4510.47,4523.42,,0.85%
2017-01-17,MXN,USD_MXN,,MXN,21.735,21.74,21.4689,21.498,,-1.04%
2017-01-18,MXN,USD_MXN,,MXN,21.5124,22.0136,21.4905,21.923,,1.98%
2017-01-18,MXN,MSCI,MSCI Mexico,MSCI,4501.06,4528.7,4464.4,4525.45,,0.04%
2017-01-19,MXN,USD_MXN,,MXN,21.929,22.041,21.8444,21.953,,0.14%
2017-01-19,MXN,MSCI,MSCI Mexico,MSCI,4486.79,4513.28,4454.11,4481.82,,-0.96%
2017-01-20,MXN,USD_MXN,,MXN,21.955,21.9958,21.521,21.5845,,-1.68%
2017-01-20,MXN,MSCI,MSCI Mexico,MSCI,4518.31,4580.36,4492.8,4532.0,,1.12%
2017-01-23,MXN,MSCI,MSCI Mexico,MSCI,4589.62,4696.77,4583.61,4682.45,,3.32%
2017-01-23,MXN,USD_MXN,,MXN,21.5705,21.5755,21.263,21.391,,-0.90%
2017-01-24,MXN,USD_MXN,,MXN,21.393,21.5386,21.245,21.526,,0.63%
2017-01-24,MXN,MSCI,MSCI Mexico,MSCI,4719.97,4798.92,4719.97,4788.01,,2.25%
2017-01-25,MXN,USD_MXN,,MXN,21.528,21.5937,20.9271,21.067,,-2.13%
2017-01-25,MXN,MSCI,MSCI Mexico,MSCI,4785.24,4885.42,4772.1,4801.89,,0.29%
2017-01-26,MXN,USD_MXN,,MXN,21.0765,21.3635,20.8629,21.214,,0.70%
2017-01-26,MXN,MSCI,MSCI Mexico,MSCI,4818.95,4830.91,4721.56,4769.84,,-0.67%
2017-01-27,MXN,MSCI,MSCI Mexico,MSCI,4806.01,4839.98,4754.74,4787.71,,0.37%
2017-01-27,MXN,USD_MXN,,MXN,21.216,21.3857,20.8462,20.885,,-1.55%
2017-01-30,MXN,USD_MXN,,MXN,20.8781,20.9322,20.6509,20.784,,-0.48%
2017-01-30,MXN,MSCI,MSCI Mexico,MSCI,4839.38,4839.38,4776.54,4825.44,,0.79%
2017-01-31,MXN,MSCI,MSCI Mexico,MSCI,4825.99,4838.84,4772.83,4800.28,,-0.52%
2017-01-31,MXN,USD_MXN,,MXN,20.785,20.905,20.6585,20.832,,0.23%
2017-02-01,MXN,USD_MXN,,MXN,20.834,20.85,20.6553,20.7035,,-0.62%
2017-02-01,MXN,MSCI,MSCI Mexico,MSCI,4812.2,4823.94,4761.82,4793.5,,-0.14%
2017-02-02,MXN,USD_MXN,,MXN,20.709,20.7491,20.4282,20.5444,,-0.77%
2017-02-02,MXN,MSCI,MSCI Mexico,MSCI,4835.64,4876.87,4828.62,4861.27,,1.41%
2017-02-03,MXN,MSCI,MSCI Mexico,MSCI,4878.72,4923.02,4866.6,4919.26,,1.19%
2017-02-03,MXN,USD_MXN,,MXN,20.5475,20.6055,20.2787,20.3765,,-0.82%
2017-02-06,MXN,MSCI,MSCI Mexico,MSCI,4870.37,4870.37,4870.37,4870.37,,-0.99%
