datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,MYR,USD_MYR,,MYR,4.486,4.486,4.486,4.486,,0.00%
2017-01-03,MYR,USD_MYR,,MYR,4.4825,4.4925,4.4825,4.4925,,0.14%
2017-01-03,MYR,MSCI,MSCI Malaysia,MSCI,571.28,571.63,569.52,571.63,,-0.16%
2017-01-04,MYR,MSCI,MSCI Malaysia,MSCI,572.54,575.49,572.12,575.49,,0.68%
2017-01-04,MYR,USD_MYR,,MYR,4.4925,4.4995,4.4925,4.4975,,0.11%
2017-01-05,MYR,MSCI,MSCI Malaysia,MSCI,575.66,579.32,575.63,579.29,,0.66%
2017-01-05,MYR,USD_MYR,,MYR,4.494,4.494,4.482,4.485,,-0.28%
2017-01-06,MYR,MSCI,MSCI Malaysia,MSCI,578.59,583.71,578.59,583.71,,0.76%
2017-01-06,MYR,USD_MYR,,MYR,4.4785,4.4785,4.4715,4.4725,,-0.28%
2017-01-09,MYR,MSCI,MSCI Malaysia,MSCI,583.89,583.89,581.26,581.26,,-0.42%
2017-01-09,MYR,USD_MYR,,MYR,4.476,4.479,4.475,4.477,,0.10%
2017-01-10,MYR,USD_MYR,,MYR,4.4745,4.4755,4.4735,4.4745,,-0.06%
2017-01-10,MYR,MSCI,MSCI Malaysia,MSCI,581.0,582.84,580.68,582.73,,0.25%
2017-01-11,MYR,MSCI,MSCI Malaysia,MSCI,582.83,584.11,582.31,584.11,,0.24%
2017-01-11,MYR,USD_MYR,,MYR,4.4725,4.4755,4.4695,4.4715,,-0.07%
2017-01-12,MYR,MSCI,MSCI Malaysia,MSCI,584.41,586.57,583.8,585.41,,0.22%
2017-01-12,MYR,USD_MYR,,MYR,4.467,4.468,4.458,4.458,,-0.30%
2017-01-13,MYR,MSCI,MSCI Malaysia,MSCI,585.47,585.92,583.01,583.03,,-0.41%
2017-01-13,MYR,USD_MYR,,MYR,4.457,4.464,4.457,4.462,,0.09%
2017-01-16,MYR,MSCI,MSCI Malaysia,MSCI,583.04,583.04,578.56,578.56,,-0.77%
2017-01-16,MYR,USD_MYR,,MYR,4.462,4.466,4.462,4.466,,0.09%
2017-01-17,MYR,USD_MYR,,MYR,4.4675,4.4675,4.4625,4.4625,,-0.08%
2017-01-17,MYR,MSCI,MSCI Malaysia,MSCI,578.96,580.67,578.67,580.23,,0.29%
2017-01-18,MYR,USD_MYR,,MYR,4.4585,4.4585,4.4385,4.4445,,-0.40%
2017-01-18,MYR,MSCI,MSCI Malaysia,MSCI,580.35,582.52,580.31,580.65,,0.07%
2017-01-19,MYR,MSCI,MSCI Malaysia,MSCI,581.19,581.57,578.91,581.57,,0.16%
2017-01-19,MYR,USD_MYR,,MYR,4.447,4.453,4.447,4.449,,0.10%
2017-01-20,MYR,MSCI,MSCI Malaysia,MSCI,581.19,581.83,580.58,580.58,,-0.17%
2017-01-20,MYR,USD_MYR,,MYR,4.4495,4.4505,4.4455,4.4455,,-0.08%
2017-01-23,MYR,MSCI,MSCI Malaysia,MSCI,580.96,583.56,580.61,582.26,,0.29%
2017-01-23,MYR,USD_MYR,,MYR,4.445,4.445,4.438,4.438,,-0.17%
2017-01-24,MYR,USD_MYR,,MYR,4.435,4.436,4.433,4.435,,-0.07%
2017-01-24,MYR,MSCI,MSCI Malaysia,MSCI,583.33,585.88,581.98,585.88,,0.62%
2017-01-25,MYR,USD_MYR,,MYR,4.4355,4.4395,4.4345,4.4385,,0.08%
2017-01-25,MYR,MSCI,MSCI Malaysia,MSCI,586.66,586.83,585.79,586.45,,0.10%
2017-01-26,MYR,USD_MYR,,MYR,4.435,4.436,4.422,4.429,,-0.21%
2017-01-26,MYR,MSCI,MSCI Malaysia,MSCI,586.93,589.84,586.67,589.84,,0.58%
2017-01-27,MYR,USD_MYR,,MYR,4.4265,4.4315,4.4245,4.4315,,0.06%
2017-01-27,MYR,MSCI,MSCI Malaysia,MSCI,590.14,590.69,587.72,587.96,,-0.32%
2017-01-30,MYR,USD_MYR,,MYR,4.4315,4.4315,4.4315,4.4315,,0.00%
2017-01-31,MYR,MSCI,MSCI Malaysia,MSCI,587.99,588.11,582.65,582.65,,-0.90%
2017-01-31,MYR,USD_MYR,,MYR,4.433,4.433,4.4255,4.4295,,-0.05%
2017-02-01,MYR,USD_MYR,,MYR,4.4295,4.4295,4.4295,4.4295,,0.00%
2017-02-02,MYR,MSCI,MSCI Malaysia,MSCI,581.97,585.5,581.42,583.36,,0.12%
2017-02-02,MYR,USD_MYR,,MYR,4.432,4.441,4.424,4.424,,-0.12%
2017-02-03,MYR,MSCI,MSCI Malaysia,MSCI,583.82,587.27,583.82,587.27,,0.67%
2017-02-03,MYR,USD_MYR,,MYR,4.422,4.428,4.422,4.428,,0.09%
2017-02-06,MYR,USD_MYR,,MYR,4.4235,4.4295,4.4205,4.4295,,0.03%
2017-02-06,MYR,MSCI,MSCI Malaysia,MSCI,587.77,589.93,587.51,589.93,,0.45%
2017-02-07,MYR,USD_MYR,,MYR,4.43,4.439,4.427,4.436,,0.15%
