datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,NGN,USD_NGN,,NGN,304.700,317.000,304.500,304.000,,-0.07%
2017-01-03,NGN,USD_NGN,,NGN,304.500,315.075,304.500,314.310,,3.39%
2017-01-04,NGN,USD_NGN,,NGN,304.500,315.515,304.500,314.380,,0.02%
2017-01-05,NGN,USD_NGN,,NGN,304.500,315.510,304.500,304.000,,-3.30%
2017-01-06,NGN,USD_NGN,,NGN,304.500,315.215,304.500,304.000,,0.00%
2017-01-09,NGN,USD_NGN,,NGN,304.500,318.500,304.500,315.000,,3.62%
2017-01-10,NGN,USD_NGN,,NGN,304.500,315.620,304.500,314.690,,-0.10%
2017-01-11,NGN,USD_NGN,,NGN,304.700,315.480,304.500,304.000,,-3.40%
2017-01-12,NGN,USD_NGN,,NGN,304.500,315.000,304.500,304.000,,0.00%
2017-01-13,NGN,USD_NGN,,NGN,304.500,315.385,304.500,304.000,,0.00%
2017-01-16,NGN,USD_NGN,,NGN,304.500,318.500,304.500,304.000,,0.00%
2017-01-17,NGN,USD_NGN,,NGN,304.500,318.475,304.500,304.200,,0.07%
2017-01-18,NGN,USD_NGN,,NGN,314.740,318.285,304.700,304.200,,0.00%
2017-01-19,NGN,USD_NGN,,NGN,304.700,318.715,304.500,315.430,,3.69%
2017-01-20,NGN,USD_NGN,,NGN,304.700,318.500,304.700,304.480,,-3.47%
2017-01-23,NGN,USD_NGN,,NGN,304.980,318.555,304.950,315.110,,3.49%
2017-01-24,NGN,USD_NGN,,NGN,304.950,316.755,304.950,305.190,,-3.15%
2017-01-25,NGN,USD_NGN,,NGN,305.000,315.305,304.950,313.680,,2.78%
2017-01-26,NGN,USD_NGN,,NGN,305.000,315.055,304.950,313.680,,0.00%
2017-01-27,NGN,USD_NGN,,NGN,305.000,315.055,304.700,304.200,,-3.02%
2017-01-30,NGN,USD_NGN,,NGN,304.700,318.250,304.500,311.580,,2.43%
2017-01-31,NGN,USD_NGN,,NGN,312.415,314.750,304.700,304.250,,-2.35%
2017-02-01,NGN,USD_NGN,,NGN,304.750,304.750,304.700,304.200,,-0.02%
2017-02-02,NGN,USD_NGN,,NGN,304.700,314.750,304.700,304.250,,0.02%
2017-02-03,NGN,USD_NGN,,NGN,304.750,314.750,304.750,304.250,,0.00%
2017-02-06,NGN,USD_NGN,,NGN,304.750,318.500,304.700,304.250,,0.00%
2017-02-07,NGN,USD_NGN,,NGN,304.750,318.340,304.750,314.250,,3.29%
2017-02-08,NGN,USD_NGN,,NGN,314.750,318.500,305.275,314.800,,0.18%
2017-02-09,NGN,USD_NGN,,NGN,305.700,318.500,304.700,304.200,,-3.37%
2017-02-10,NGN,USD_NGN,,NGN,304.700,314.750,304.480,304.000,,-0.07%
2017-02-13,NGN,USD_NGN,,NGN,304.500,318.250,304.500,304.000,,0.00%
2017-02-14,NGN,USD_NGN,,NGN,304.500,318.250,304.500,304.000,,0.00%
2017-02-15,NGN,USD_NGN,,NGN,304.500,318.250,304.500,304.450,,0.15%
2017-02-16,NGN,USD_NGN,,NGN,304.950,318.250,304.950,304.450,,0.00%
2017-02-17,NGN,USD_NGN,,NGN,314.750,318.250,304.950,304.500,,0.02%
2017-02-20,NGN,USD_NGN,,NGN,305.000,318.250,304.950,304.450,,-0.02%
2017-02-21,NGN,USD_NGN,,NGN,304.950,315.250,304.700,304.200,,-0.08%
2017-02-22,NGN,USD_NGN,,NGN,304.700,314.750,304.700,304.200,,0.00%
2017-02-23,NGN,USD_NGN,,NGN,304.700,315.150,304.700,304.200,,0.00%
2017-02-24,NGN,USD_NGN,,NGN,304.700,314.750,304.700,304.480,,0.09%
2017-02-27,NGN,USD_NGN,,NGN,304.980,318.250,304.950,304.500,,0.01%
2017-02-28,NGN,USD_NGN,,NGN,305.000,318.500,304.950,304.450,,-0.02%
2017-03-01,NGN,USD_NGN,,NGN,304.950,318.500,302.500,304.400,,-0.02%
2017-03-02,NGN,USD_NGN,,NGN,304.950,318.500,304.900,304.450,,0.02%
2017-03-03,NGN,USD_NGN,,NGN,304.950,318.250,304.700,304.200,,-0.08%
2017-03-06,NGN,USD_NGN,,NGN,304.700,318.250,304.700,304.200,,0.00%
2017-03-07,NGN,USD_NGN,,NGN,304.700,315.250,304.700,304.450,,0.08%
2017-03-08,NGN,USD_NGN,,NGN,304.950,314.750,304.500,304.700,,0.08%
2017-03-09,NGN,USD_NGN,,NGN,305.200,315.250,304.950,304.650,,-0.02%
2017-03-10,NGN,USD_NGN,,NGN,305.200,314.750,305.000,304.770,,0.04%
2017-03-13,NGN,USD_NGN,,NGN,305.270,318.495,305.150,304.750,,-0.01%
2017-03-14,NGN,USD_NGN,,NGN,305.250,314.750,305.125,305.000,,0.08%
2017-03-15,NGN,USD_NGN,,NGN,305.500,314.750,305.150,305.150,,0.05%
2017-03-16,NGN,USD_NGN,,NGN,305.650,314.750,305.500,305.480,,0.11%
2017-03-17,NGN,USD_NGN,,NGN,305.980,310.250,305.650,305.700,,0.07%
2017-03-20,NGN,USD_NGN,,NGN,306.200,318.250,306.200,306.000,,0.10%
2017-03-21,NGN,USD_NGN,,NGN,306.500,315.250,306.500,306.450,,0.15%
2017-03-22,NGN,USD_NGN,,NGN,306.950,316.015,306.500,306.500,,0.02%
2017-03-23,NGN,USD_NGN,,NGN,307.000,315.295,305.250,310.440,,1.29%
2017-03-24,NGN,USD_NGN,,NGN,307.200,314.750,306.750,307.000,,-1.11%
2017-03-27,NGN,USD_NGN,,NGN,307.500,318.250,306.500,306.000,,-0.33%
2017-03-28,NGN,USD_NGN,,NGN,306.500,315.225,306.000,305.700,,-0.10%
2017-03-29,NGN,USD_NGN,,NGN,306.200,307.150,306.000,306.600,,0.29%
2017-03-30,NGN,USD_NGN,,NGN,307.100,314.750,305.950,305.450,,-0.38%
2017-03-31,NGN,USD_NGN,,NGN,305.950,314.750,305.000,305.350,,-0.03%
2017-04-03,NGN,USD_NGN,,NGN,305.850,318.750,305.250,314.680,,3.06%
2017-04-04,NGN,USD_NGN,,NGN,305.800,316.030,305.700,313.750,,-0.30%
2017-04-05,NGN,USD_NGN,,NGN,305.700,315.250,305.700,305.250,,-2.71%
2017-04-06,NGN,USD_NGN,,NGN,305.750,315.280,305.650,312.820,,2.48%
2017-04-07,NGN,USD_NGN,,NGN,305.650,313.940,305.650,305.150,,-2.45%
2017-04-10,NGN,USD_NGN,,NGN,305.650,318.500,305.600,305.100,,-0.02%
2017-04-11,NGN,USD_NGN,,NGN,305.600,318.000,305.600,309.240,,1.36%
2017-04-12,NGN,USD_NGN,,NGN,305.600,318.000,305.000,305.740,,-1.13%
2017-04-13,NGN,USD_NGN,,NGN,305.550,318.000,305.550,309.360,,1.18%
2017-04-14,NGN,USD_NGN,,NGN,305.600,315.550,305.600,305.100,,-1.38%
2017-04-17,NGN,USD_NGN,,NGN,305.600,315.150,305.500,305.000,,-0.03%
2017-04-18,NGN,USD_NGN,,NGN,305.500,315.250,305.500,305.000,,0.00%
2017-04-19,NGN,USD_NGN,,NGN,305.500,315.250,305.500,305.050,,0.02%
2017-04-20,NGN,USD_NGN,,NGN,305.550,315.250,305.500,305.050,,0.00%
2017-04-21,NGN,USD_NGN,,NGN,305.550,314.750,305.500,305.050,,0.00%
2017-04-24,NGN,USD_NGN,,NGN,305.550,315.150,305.370,305.000,,-0.02%
2017-04-25,NGN,USD_NGN,,NGN,305.500,314.750,305.500,305.000,,0.00%
2017-04-26,NGN,USD_NGN,,NGN,305.500,323.500,305.500,305.000,,0.00%
2017-04-27,NGN,USD_NGN,,NGN,305.500,315.805,305.300,304.800,,-0.07%
2017-04-28,NGN,USD_NGN,,NGN,305.300,315.805,305.245,304.740,,-0.02%
2017-05-01,NGN,USD_NGN,,NGN,305.300,322.800,305.250,304.800,,0.02%
2017-05-02,NGN,USD_NGN,,NGN,305.300,323.000,305.250,305.400,,0.20%
2017-05-03,NGN,USD_NGN,,NGN,305.900,323.430,305.250,316.880,,3.76%
2017-05-04,NGN,USD_NGN,,NGN,305.250,323.500,305.100,304.700,,-3.84%
2017-05-05,NGN,USD_NGN,,NGN,305.200,322.800,305.150,314.680,,3.28%
2017-05-08,NGN,USD_NGN,,NGN,305.150,322.800,305.100,313.680,,-0.32%
2017-05-09,NGN,USD_NGN,,NGN,305.150,324.590,305.150,304.700,,-2.86%
2017-05-10,NGN,USD_NGN,,NGN,305.200,322.800,305.150,304.650,,-0.02%
2017-05-11,NGN,USD_NGN,,NGN,305.150,315.250,305.050,304.550,,-0.03%
2017-05-12,NGN,USD_NGN,,NGN,305.050,315.250,305.000,304.550,,0.00%
2017-05-15,NGN,USD_NGN,,NGN,305.050,324.500,305.050,306.000,,0.48%
2017-05-16,NGN,USD_NGN,,NGN,306.500,322.420,305.000,314.690,,2.84%
2017-05-17,NGN,USD_NGN,,NGN,305.050,315.250,304.900,304.400,,-3.27%
2017-05-18,NGN,USD_NGN,,NGN,315.110,324.500,304.900,314.190,,3.22%
2017-05-19,NGN,USD_NGN,,NGN,304.900,315.155,304.900,304.450,,-3.10%
2017-05-22,NGN,USD_NGN,,NGN,304.950,325.000,304.900,305.400,,0.31%
2017-05-23,NGN,USD_NGN,,NGN,305.900,321.800,304.900,304.400,,-0.33%
2017-05-24,NGN,USD_NGN,,NGN,304.900,326.800,304.850,304.400,,0.00%
2017-05-25,NGN,USD_NGN,,NGN,304.900,326.800,304.900,304.450,,0.02%
2017-05-26,NGN,USD_NGN,,NGN,304.950,326.800,304.900,304.450,,0.00%
2017-05-29,NGN,USD_NGN,,NGN,304.950,326.800,304.900,304.400,,-0.02%
2017-05-30,NGN,USD_NGN,,NGN,304.900,324.355,304.800,323.680,,6.33%
2017-05-31,NGN,USD_NGN,,NGN,304.800,326.800,304.800,304.350,,-5.97%
2017-06-01,NGN,USD_NGN,,NGN,319.855,325.000,304.800,304.380,,0.01%
2017-06-02,NGN,USD_NGN,,NGN,304.880,324.400,304.880,304.400,,0.01%
2017-06-05,NGN,USD_NGN,,NGN,304.880,327.300,304.750,304.480,,0.03%
2017-06-06,NGN,USD_NGN,,NGN,304.980,314.750,304.880,304.500,,0.01%
2017-06-07,NGN,USD_NGN,,NGN,305.000,324.520,304.880,304.550,,0.02%
2017-06-08,NGN,USD_NGN,,NGN,305.050,324.535,304.880,304.550,,0.00%
2017-06-09,NGN,USD_NGN,,NGN,305.050,327.300,304.880,304.580,,0.01%
2017-06-12,NGN,USD_NGN,,NGN,305.080,327.330,304.880,317.680,,4.30%
2017-06-13,NGN,USD_NGN,,NGN,305.080,322.135,304.880,304.600,,-4.12%
2017-06-14,NGN,USD_NGN,,NGN,305.100,327.300,305.050,323.680,,6.26%
2017-06-15,NGN,USD_NGN,,NGN,305.180,327.300,305.100,322.680,,-0.31%
2017-06-16,NGN,USD_NGN,,NGN,305.180,327.300,305.150,304.700,,-5.57%
2017-06-19,NGN,USD_NGN,,NGN,305.200,327.300,305.180,323.680,,6.23%
