datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,NZD,USD_NZD,,NZD,1.441,1.4484,1.438,1.4442,,0.33%
2017-01-03,NZD,USD_NZD,,NZD,1.4442,1.4526,1.4337,1.4457,,0.10%
2017-01-04,NZD,USD_NZD,,NZD,1.4455,1.4516,1.4329,1.4351,,-0.73%
2017-01-04,NZD,MSCI,MSCI New Zealand,MSCI,129.86,130.97,129.55,130.97,,1.89%
2017-01-05,NZD,MSCI,MSCI New Zealand,MSCI,131.09,131.41,130.52,131.41,,0.34%
2017-01-05,NZD,USD_NZD,,NZD,1.4341,1.4384,1.4207,1.4235,,-0.81%
2017-01-06,NZD,USD_NZD,,NZD,1.4234,1.4387,1.4201,1.4369,,0.94%
2017-01-06,NZD,MSCI,MSCI New Zealand,MSCI,131.42,131.53,131.14,131.2,,-0.16%
2017-01-09,NZD,USD_NZD,,NZD,1.4386,1.4392,1.4215,1.4253,,-0.81%
2017-01-09,NZD,MSCI,MSCI New Zealand,MSCI,131.5,132.03,131.33,131.7,,0.38%
2017-01-10,NZD,USD_NZD,,NZD,1.4255,1.4374,1.4188,1.4308,,0.39%
2017-01-10,NZD,MSCI,MSCI New Zealand,MSCI,131.91,132.49,131.46,132.49,,0.60%
2017-01-11,NZD,MSCI,MSCI New Zealand,MSCI,132.39,133.66,132.18,133.66,,0.88%
2017-01-11,NZD,USD_NZD,,NZD,1.4304,1.4366,1.41,1.4172,,-0.95%
2017-01-12,NZD,USD_NZD,,NZD,1.4177,1.4197,1.3987,1.4093,,-0.56%
2017-01-12,NZD,MSCI,MSCI New Zealand,MSCI,132.95,133.08,132.51,132.8,,-0.64%
2017-01-13,NZD,USD_NZD,,NZD,1.4097,1.4151,1.4009,1.4022,,-0.50%
2017-01-13,NZD,MSCI,MSCI New Zealand,MSCI,132.52,132.56,131.8,132.26,,-0.41%
2017-01-16,NZD,USD_NZD,,NZD,1.4072,1.414,1.3996,1.4079,,0.41%
2017-01-16,NZD,MSCI,MSCI New Zealand,MSCI,132.84,133.05,132.69,132.99,,0.55%
2017-01-17,NZD,MSCI,MSCI New Zealand,MSCI,132.85,132.98,132.62,132.62,,-0.28%
2017-01-17,NZD,USD_NZD,,NZD,1.4081,1.4094,1.3845,1.386,,-1.56%
2017-01-18,NZD,MSCI,MSCI New Zealand,MSCI,132.41,132.94,131.95,132.94,,0.24%
