datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-02,PHP,USD_PHP,,PHP,49.64,49.765,49.485,49.645,,0.09%
2017-01-03,PHP,MSCI,MSCI Philippines,MSCI,1172.52,1176.2,1155.84,1176.2,,0.36%
2017-01-03,PHP,USD_PHP,,PHP,49.739,49.946,49.617,49.805,,0.32%
2017-01-04,PHP,MSCI,MSCI Philippines,MSCI,1178.96,1208.82,1178.36,1208.43,,2.74%
2017-01-04,PHP,USD_PHP,,PHP,49.789,49.825,49.472,49.685,,-0.24%
2017-01-05,PHP,MSCI,MSCI Philippines,MSCI,1210.52,1250.15,1210.15,1236.95,,2.36%
2017-01-05,PHP,USD_PHP,,PHP,49.706,49.706,49.24,49.365,,-0.64%
2017-01-06,PHP,MSCI,MSCI Philippines,MSCI,1231.93,1252.77,1231.49,1244.99,,0.65%
2017-01-06,PHP,USD_PHP,,PHP,49.304,49.59,49.265,49.525,,0.32%
2017-01-09,PHP,USD_PHP,,PHP,49.555,49.685,49.442,49.595,,0.14%
2017-01-09,PHP,MSCI,MSCI Philippines,MSCI,1246.78,1251.88,1238.97,1251.88,,0.55%
2017-01-10,PHP,USD_PHP,,PHP,49.634,49.645,49.465,49.505,,-0.18%
2017-01-10,PHP,MSCI,MSCI Philippines,MSCI,1252.34,1267.98,1251.85,1267.37,,1.24%
2017-01-11,PHP,MSCI,MSCI Philippines,MSCI,1271.29,1274.11,1257.96,1260.17,,-0.57%
2017-01-11,PHP,USD_PHP,,PHP,49.504,49.832,49.474,49.595,,0.18%
2017-01-12,PHP,USD_PHP,,PHP,49.635,49.692,49.385,49.67,,0.15%
2017-01-12,PHP,MSCI,MSCI Philippines,MSCI,1262.09,1264.92,1248.39,1249.43,,-0.85%
2017-01-13,PHP,MSCI,MSCI Philippines,MSCI,1247.57,1249.27,1242.45,1244.57,,-0.39%
2017-01-13,PHP,USD_PHP,,PHP,49.61,49.903,49.574,49.845,,0.35%
2017-01-16,PHP,MSCI,MSCI Philippines,MSCI,1244.74,1252.43,1241.32,1245.24,,0.05%
2017-01-16,PHP,USD_PHP,,PHP,49.712,50.075,49.712,49.92,,0.15%
2017-01-17,PHP,USD_PHP,,PHP,50.017,50.017,49.636,49.825,,-0.19%
2017-01-17,PHP,MSCI,MSCI Philippines,MSCI,1246.11,1246.11,1225.0,1225.0,,-1.63%
2017-01-18,PHP,USD_PHP,,PHP,49.849,50.089,49.709,50.029,,0.41%
2017-01-18,PHP,MSCI,MSCI Philippines,MSCI,1228.05,1233.12,1225.98,1231.16,,0.50%
2017-01-19,PHP,MSCI,MSCI Philippines,MSCI,1234.45,1247.83,1232.84,1247.83,,1.35%
2017-01-19,PHP,USD_PHP,,PHP,49.874,50.172,49.775,50.025,,-0.01%
2017-01-20,PHP,USD_PHP,,PHP,49.994,50.131,49.814,49.995,,-0.06%
2017-01-20,PHP,MSCI,MSCI Philippines,MSCI,1247.66,1250.0,1239.72,1246.79,,-0.08%
2017-01-23,PHP,MSCI,MSCI Philippines,MSCI,1248.96,1271.39,1247.43,1271.39,,1.97%
2017-01-23,PHP,USD_PHP,,PHP,49.931,50.045,49.77,49.859,,-0.27%
2017-01-24,PHP,USD_PHP,,PHP,49.859,49.947,49.687,49.825,,-0.07%
2017-01-24,PHP,MSCI,MSCI Philippines,MSCI,1270.75,1271.7,1263.79,1269.03,,-0.19%
2017-01-25,PHP,USD_PHP,,PHP,49.836,49.886,49.572,49.59,,-0.47%
2017-01-25,PHP,MSCI,MSCI Philippines,MSCI,1270.7,1273.45,1258.13,1258.13,,-0.86%
2017-01-26,PHP,MSCI,MSCI Philippines,MSCI,1258.18,1265.76,1257.86,1259.93,,0.14%
2017-01-26,PHP,USD_PHP,,PHP,49.667,49.919,49.62,49.8,,0.42%
2017-01-27,PHP,MSCI,MSCI Philippines,MSCI,1260.42,1266.53,1259.64,1259.64,,-0.02%
2017-01-27,PHP,USD_PHP,,PHP,49.804,49.93,49.715,49.795,,-0.01%
2017-01-30,PHP,MSCI,MSCI Philippines,MSCI,1262.78,1268.15,1260.41,1260.41,,0.06%
2017-01-30,PHP,USD_PHP,,PHP,49.863,49.894,49.733,49.746,,-0.10%
2017-01-31,PHP,MSCI,MSCI Philippines,MSCI,1258.27,1261.18,1240.65,1240.65,,-1.57%
2017-01-31,PHP,USD_PHP,,PHP,49.806,49.861,49.606,49.766,,0.04%
2017-02-01,PHP,MSCI,MSCI Philippines,MSCI,1251.78,1252.81,1235.12,1238.38,,-0.18%
2017-02-01,PHP,USD_PHP,,PHP,49.766,49.906,49.656,49.83,,0.13%
2017-02-02,PHP,USD_PHP,,PHP,49.83,49.87,49.621,49.77,,-0.12%
2017-02-02,PHP,MSCI,MSCI Philippines,MSCI,1238.85,1248.93,1235.74,1238.84,,0.04%
2017-02-03,PHP,USD_PHP,,PHP,49.697,49.904,49.614,49.699,,-0.14%
2017-02-03,PHP,MSCI,MSCI Philippines,MSCI,1238.47,1240.1,1231.03,1239.07,,0.02%
2017-02-06,PHP,MSCI,MSCI Philippines,MSCI,1241.36,1251.34,1241.05,1251.34,,0.99%
2017-02-06,PHP,USD_PHP,,PHP,49.792,49.8,49.496,49.529,,-0.34%
2017-02-07,PHP,USD_PHP,,PHP,49.603,49.831,49.583,49.77,,0.49%
2017-02-07,PHP,MSCI,MSCI Philippines,MSCI,1248.72,1249.17,1243.19,1247.39,,-0.32%
2017-02-08,PHP,USD_PHP,,PHP,49.76,49.986,49.749,49.88,,0.22%
2017-02-08,PHP,MSCI,MSCI Philippines,MSCI,1249.04,1250.22,1239.06,1241.24,,-0.49%
2017-02-09,PHP,USD_PHP,,PHP,49.874,50.005,49.805,49.929,,0.10%
2017-02-09,PHP,MSCI,MSCI Philippines,MSCI,1242.59,1245.36,1240.03,1245.15,,0.32%
2017-02-10,PHP,MSCI,MSCI Philippines,MSCI,1246.08,1247.87,1233.86,1242.71,,-0.20%
2017-02-10,PHP,USD_PHP,,PHP,49.879,50.035,49.855,49.959,,0.06%
2017-02-13,PHP,USD_PHP,,PHP,49.95,50.106,49.901,49.95,,-0.02%
