datetime,currency,market,index_name,platform,open,high,low,close,volume,change_pct
2017-01-01,PLN,Zonda,,PLN,4070,4241,4035,4214,1.58K,4.31%
2017-01-02,PLN,USD_PLN,,PLN,4.1915,4.2276,4.1814,4.2228,,0.96%
2017-01-02,PLN,MSCI,MSCI Poland,MSCI,1389.97,1402.16,1384.7,1397.79,,0.37%
2017-01-02,PLN,Zonda,,PLN,4215,4399,4200,4300,1.64K,2.04%
2017-01-03,PLN,MSCI,MSCI Poland,MSCI,1398.92,1420.29,1398.92,1420.22,,1.60%
2017-01-03,PLN,USD_PLN,,PLN,4.2212,4.2448,4.2025,4.2197,,-0.07%
2017-01-03,PLN,Zonda,,PLN,4353,4400,4300,4400,0.92K,2.33%
2017-01-04,PLN,MSCI,MSCI Poland,MSCI,1421.88,1429.13,1416.01,1429.13,,0.63%
2017-01-04,PLN,USD_PLN,,PLN,4.2183,4.2254,4.1593,4.162,,-1.37%
2017-01-04,PLN,Zonda,,PLN,4795,4989,4393,4949,3.95K,12.49%
2017-01-05,PLN,MSCI,MSCI Poland,MSCI,1429.53,1432.38,1419.27,1427.41,,-0.12%
2017-01-05,PLN,Zonda,,PLN,3751,4969,3710,4220,5.31K,-14.74%
2017-01-05,PLN,USD_PLN,,PLN,4.1668,4.1776,4.1112,4.1136,,-1.16%
2017-01-06,PLN,Zonda,,PLN,3905,4320,3800,3900,2.37K,-7.58%
2017-01-06,PLN,USD_PLN,,PLN,4.116,4.1451,4.1061,4.1345,,0.51%
2017-01-07,PLN,Zonda,,PLN,3900,3926,3500,3840,1.83K,-1.54%
2017-01-08,PLN,Zonda,,PLN,3840,3962,3793,3822,0.83K,-0.47%
2017-01-09,PLN,Zonda,,PLN,3822,3950,3812,3851,0.50K,0.76%
2017-01-09,PLN,USD_PLN,,PLN,4.1401,4.1738,4.1304,4.1426,,0.20%
2017-01-09,PLN,MSCI,MSCI Poland,MSCI,1427.2,1437.61,1422.06,1437.61,,0.71%
2017-01-10,PLN,MSCI,MSCI Poland,MSCI,1438.85,1457.74,1438.85,1451.03,,0.93%
2017-01-10,PLN,USD_PLN,,PLN,4.1422,4.1511,4.1165,4.1403,,-0.06%
2017-01-10,PLN,Zonda,,PLN,3851,3944,3842,3900,1.00K,1.27%
2017-01-11,PLN,USD_PLN,,PLN,4.1442,4.184,4.1119,4.1314,,-0.21%
2017-01-11,PLN,Zonda,,PLN,3900,3942,2958,3610,2.82K,-7.44%
2017-01-11,PLN,MSCI,MSCI Poland,MSCI,1452.62,1459.81,1443.32,1458.3,,0.50%
2017-01-12,PLN,USD_PLN,,PLN,4.1317,4.1386,4.0927,4.1207,,-0.26%
2017-01-12,PLN,Zonda,,PLN,3610,3701,3301,3600,1.96K,-0.28%
2017-01-12,PLN,MSCI,MSCI Poland,MSCI,1455.86,1468.13,1448.08,1453.12,,-0.36%
2017-01-13,PLN,MSCI,MSCI Poland,MSCI,1454.33,1455.78,1441.02,1447.59,,-0.38%
2017-01-13,PLN,Zonda,,PLN,3600,4988,3458,3590,0.92K,-0.28%
2017-01-13,PLN,USD_PLN,,PLN,4.1198,4.1351,4.0941,4.121,,0.01%
2017-01-14,PLN,Zonda,,PLN,3590,4988,3516,3581,0.58K,-0.25%
2017-01-15,PLN,Zonda,,PLN,3581,3620,3517,3549,0.22K,-0.89%
2017-01-16,PLN,MSCI,MSCI Poland,MSCI,1442.06,1459.15,1437.3,1452.52,,0.34%
2017-01-16,PLN,Zonda,,PLN,3549,3628,3520,3561,0.76K,0.33%
2017-01-16,PLN,USD_PLN,,PLN,4.1184,4.1464,4.1145,4.1203,,-0.02%
